Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Benoit,Jean-Charles Cléroux,Pierre Duteau,Jeremy Fournier,Christine Normandin,Jean Rioux,Leigh V. Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 25","Saint-Jean-sur-Richelieu",27,11,1,8,69,47,3,5,171,383
24067,"Saint-Jean/Saint-Jean"," 26","Saint-Jean-sur-Richelieu",21,10,6,17,83,39,0,4,180,412
24067,"Saint-Jean/Saint-Jean"," 27","Saint-Jean-sur-Richelieu",22,7,2,8,79,52,2,8,180,423
24067,"Saint-Jean/Saint-Jean"," 28","Saint-Jean-sur-Richelieu",13,8,3,16,84,45,4,3,176,365
24067,"Saint-Jean/Saint-Jean"," 29","Saint-Jean-sur-Richelieu",20,3,2,16,78,51,4,4,178,370
24067,"Saint-Jean/Saint-Jean"," 30","Mont-Saint-Grégoire",19,4,0,12,69,47,9,4,164,305
24067,"Saint-Jean/Saint-Jean"," 31","Mont-Saint-Grégoire",26,3,1,8,58,42,5,2,145,331
24067,"Saint-Jean/Saint-Jean"," 32","Mont-Saint-Grégoire",28,1,1,21,100,81,7,2,241,494
24067,"Saint-Jean/Saint-Jean"," 33","Mont-Saint-Grégoire",18,5,1,13,72,43,7,5,164,388
24067,"Saint-Jean/Saint-Jean"," 34","Mont-Saint-Grégoire",11,8,3,17,69,33,5,4,150,357
24067,"Saint-Jean/Saint-Jean"," 35","Mont-Saint-Grégoire",26,6,2,10,66,44,5,3,162,371
24067,"Saint-Jean/Saint-Jean"," 36","Mont-Saint-Grégoire",15,8,1,18,68,40,7,4,161,323
24067,"Saint-Jean/Saint-Jean"," 37","Saint-Jean-sur-Richelieu",37,6,5,21,142,86,10,2,309,661
24067,"Saint-Jean/Saint-Jean"," 38","Saint-Jean-sur-Richelieu",15,6,0,17,91,54,3,3,189,458
