Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pascal Antonin,Sarah Carter,Jason De Lierre,JP Fortin,Raphaël Guérard,David Lametti,Janina Moran,Michel Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 156","Montréal",3,5,28,0,21,106,24,12,2,201,498
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 157","Montréal",7,10,43,0,60,103,24,9,5,261,535
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 158","Montréal",4,8,37,2,50,72,18,8,1,200,396
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 159","Montréal",6,9,21,1,67,69,14,12,6,205,435
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 160","Montréal",2,2,18,1,16,87,26,14,3,169,459
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 161","Montréal",2,1,14,0,20,78,16,13,5,149,461
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 162","Montréal",7,3,23,0,9,101,23,7,3,176,513
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 163","Montréal",2,3,18,0,14,87,18,12,9,163,533
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 164","Montréal",2,7,26,1,19,124,25,7,2,213,525
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 165","Montréal",1,1,20,1,27,109,27,9,1,196,520
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 166","Montréal",2,6,14,0,15,78,23,5,1,144,418
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 167","Montréal",0,1,13,0,23,96,17,7,7,164,389
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 168","Montréal",2,5,23,0,67,62,19,12,2,192,455
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 169","Montréal",1,3,18,0,27,98,20,13,0,180,474
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 170","Montréal",1,8,29,1,41,100,22,11,1,214,535
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 171","Montréal",2,3,28,0,27,68,18,12,3,161,462
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 172","Montréal",4,2,27,0,33,108,25,4,9,212,527
