Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jan Johnstone,Ben Lobb,James Rice,Justin L Smith,Jack Stecho,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Huron--Bruce/Huron--Bruce"," 97","Lucknow",25,91,18,1,15,1,151,384
35040,"Huron--Bruce/Huron--Bruce"," 98","Turnberry",34,89,23,1,9,0,156,404
35040,"Huron--Bruce/Huron--Bruce"," 99","Lower Wingham",23,111,21,0,12,0,167,413
35040,"Huron--Bruce/Huron--Bruce"," 100","Wingham",22,116,37,1,14,2,192,392
35040,"Huron--Bruce/Huron--Bruce"," 101","Wingham",12,68,39,4,7,1,131,333
35040,"Huron--Bruce/Huron--Bruce"," 102","Wingham",27,72,42,2,18,0,161,438
35040,"Huron--Bruce/Huron--Bruce"," 103","Wingham",11,58,26,0,11,1,107,343
35040,"Huron--Bruce/Huron--Bruce"," 104","Wingham",18,73,30,0,15,2,138,325
35040,"Huron--Bruce/Huron--Bruce"," 105","Wingham",25,38,36,4,9,1,113,368
35040,"Huron--Bruce/Huron--Bruce"," 106","Kintail",14,47,25,0,12,0,98,317
35040,"Huron--Bruce/Huron--Bruce"," 107","Ashfield",16,75,11,0,5,0,107,307
35040,"Huron--Bruce/Huron--Bruce"," 108","St. Helens",15,73,12,0,12,0,112,261
35040,"Huron--Bruce/Huron--Bruce"," 109","Wroxeter",16,85,25,3,19,2,150,266
35040,"Huron--Bruce/Huron--Bruce"," 110","Wroxeter",23,118,27,0,15,0,183,335
35040,"Huron--Bruce/Huron--Bruce"," 111","Howick",15,92,19,1,25,1,153,295
35040,"Huron--Bruce/Huron--Bruce"," 112","Howick",26,93,21,3,22,1,166,291
35040,"Huron--Bruce/Huron--Bruce"," 113","Howick",18,145,27,0,23,0,213,380
35040,"Huron--Bruce/Huron--Bruce"," 114","Howick",13,108,20,2,23,1,167,327
35040,"Huron--Bruce/Huron--Bruce"," 115","Howick",13,122,28,1,29,2,195,368
35040,"Huron--Bruce/Huron--Bruce"," 116","Bluevale",19,116,26,0,36,3,200,365
35040,"Huron--Bruce/Huron--Bruce"," 117","Bluevale",14,146,22,3,11,0,196,404
35040,"Huron--Bruce/Huron--Bruce"," 118","Belgrave",15,78,19,0,10,1,123,317
