Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Friesen,Kyla Kitzul,Rokhan Sarwar,Gillian Walker,Kevin Waugh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 54A","Saskatoon",2,8,11,2,28,0,51,196
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 54B","Saskatoon",2,27,16,1,76,3,125,172
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 55","Saskatoon",18,70,11,6,98,1,204,506
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 56","Saskatoon",14,87,13,3,76,1,194,524
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 57","Saskatoon",16,71,16,4,75,1,183,447
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 58","Saskatoon",16,55,41,0,117,1,230,573
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 59A","Saskatoon",1,12,12,2,10,0,37,193
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 59B","Saskatoon",1,9,23,1,77,2,113,155
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 60","Saskatoon",2,22,15,0,46,0,85,509
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 61","Saskatoon",7,35,19,4,50,0,115,511
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 62","Saskatoon",0,12,15,2,52,1,82,418
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 63","Saskatoon",4,79,15,2,86,1,187,486
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 64","Saskatoon",9,73,20,2,88,1,193,484
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 65","Saskatoon",6,59,25,4,76,1,171,480
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 66","Saskatoon",11,53,18,1,94,1,178,428
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 67","Saskatoon",6,75,22,3,68,0,174,498
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 68","Saskatoon",9,78,26,4,74,0,191,512
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 69","Saskatoon",12,73,30,5,75,2,197,491
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 70","Saskatoon",17,94,32,2,98,0,243,539
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 71","Saskatoon",2,69,32,0,73,0,176,447
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 72","Saskatoon",1,28,9,1,56,0,95,499
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 73","Saskatoon",3,21,18,0,44,1,87,367
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 74","Saskatoon",9,44,25,1,57,2,138,420
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 75","Saskatoon",12,43,18,1,48,0,122,384
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 76","Saskatoon",15,45,31,4,97,2,194,516
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 77","Saskatoon",13,44,28,5,60,1,151,497
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 78","Saskatoon",2,41,30,0,67,1,141,383
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 79","Saskatoon",9,39,12,6,52,0,118,447
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 80","Saskatoon",11,68,25,2,73,0,179,548
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 81","Saskatoon",3,14,12,0,34,0,63,386
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 82A","Saskatoon",2,9,10,0,20,0,41,290
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 82B","Saskatoon",3,5,13,0,27,0,48,296
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 83","Saskatoon",2,22,20,0,71,0,115,443
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 84","Saskatoon",7,64,38,2,125,0,236,592
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 85A","Saskatoon",7,53,23,3,46,0,132,328
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 85B","Saskatoon",8,43,16,1,58,0,126,305
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 86","Saskatoon",13,60,23,2,57,0,155,478
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 87A","Saskatoon",8,71,41,4,56,2,182,515
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 87B","Saskatoon",0,1,1,0,0,1,3,2
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 88","Saskatoon",13,48,20,0,71,2,154,489
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 89A","Saskatoon",5,39,19,1,52,0,116,324
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 89B","Saskatoon",13,35,7,2,49,1,107,299
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 90","Saskatoon",11,69,25,1,75,3,184,515
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 91","Saskatoon",10,54,11,1,62,0,138,517
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 92","Saskatoon",6,44,22,1,68,1,142,421
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 93","Saskatoon",12,50,29,1,73,1,166,450
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 94","Saskatoon",7,48,24,5,82,0,166,443
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 95","Saskatoon",14,72,17,0,74,4,181,535
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 96","Saskatoon",13,40,15,1,83,0,152,411
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 97","Saskatoon",9,41,24,2,62,0,138,513
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 98","Saskatoon",7,42,15,5,86,0,155,419
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 99","Saskatoon",4,49,24,3,107,0,187,458
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 100","Saskatoon",4,38,21,1,100,0,164,441
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 101","Saskatoon",4,53,15,1,101,0,174,481
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 102","Saskatoon",3,44,24,1,70,2,144,455
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 103A","Saskatoon",7,57,24,2,39,2,131,410
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 103B","Saskatoon",6,69,23,0,37,0,135,401
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 104A","Saskatoon",0,33,19,0,33,0,85,311
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 104B","Saskatoon",2,32,12,0,50,3,99,283
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 105A","Saskatoon",5,58,20,2,65,0,150,511
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 105B","Mobile poll/Bureau itinérant",4,15,4,0,71,2,96,136
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 106","Saskatoon",10,32,22,1,72,0,137,474
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 107","Saskatoon",5,38,39,2,70,0,154,462
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 108","Saskatoon",4,26,19,2,49,0,100,330
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 109","Saskatoon",2,6,9,0,35,0,52,318
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 110","Saskatoon",1,6,7,0,59,0,73,319
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 111","Corman Park No. 344",7,18,12,0,54,0,91,277
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 112","Saskatoon",11,65,18,0,80,1,175,484
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 113","Saskatoon",9,53,28,3,61,0,154,473
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 114","Saskatoon",11,40,12,2,96,1,162,505
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 115A","Saskatoon",6,56,15,2,112,1,192,489
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 115B","Mobile poll/Bureau itinérant",0,1,1,0,3,1,6,6
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 116","Saskatoon",12,53,23,1,72,1,162,473
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 117","Saskatoon",10,26,20,0,101,1,158,468
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 118","Saskatoon",6,39,32,1,107,0,185,507
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 119","Saskatoon",10,48,23,2,106,1,190,494
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 120A","Saskatoon",7,19,31,0,69,0,126,311
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 120B","Saskatoon",7,35,19,0,80,1,142,316
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 121A","Saskatoon",5,38,27,0,73,0,143,382
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 121B","Saskatoon",5,37,21,1,70,1,135,418
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 122","Saskatoon",7,38,17,0,59,1,122,444
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 123","Saskatoon",6,26,24,0,86,0,142,443
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 124A","Saskatoon",6,29,16,1,69,0,121,333
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 124B","Saskatoon",1,24,15,0,59,0,99,316
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 125","Saskatoon",12,51,29,0,92,0,184,487
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 126A","Saskatoon",7,27,20,1,33,0,88,310
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 126B","Saskatoon",5,24,15,0,46,0,90,282
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 127","Saskatoon",5,14,6,0,27,1,53,221
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 128A","Saskatoon",12,32,25,2,76,0,147,505
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 128B","Mobile poll/Bureau itinérant",0,1,0,0,2,0,3,5
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 129","Corman Park No. 344",19,34,19,2,131,2,207,542
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 130","Corman Park No. 344",17,48,17,3,136,0,221,532
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 131","Corman Park No. 344",15,45,19,3,165,2,249,536
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 132","Corman Park No. 344",32,38,15,6,151,1,243,580
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 400","Saskatoon",Void/Supprimé,,,,,,,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 401","Mobile poll/Bureau itinérant",16,15,15,1,105,0,152,119
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 402","Mobile poll/Bureau itinérant",4,17,20,3,44,9,97,155
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 403","Mobile poll/Bureau itinérant",1,12,17,3,68,8,109,176
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 404","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°405,,,,,,,99
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 405","Mobile poll/Bureau itinérant",6,15,19,0,45,1,86,114
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 406","Saskatoon",Void/Supprimé,,,,,,,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 407","Saskatoon",2,15,17,3,25,1,63,97
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 408","Saskatoon",4,19,16,1,42,1,83,140
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 409","Mobile poll/Bureau itinérant",3,26,24,1,83,4,141,200
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 500","Mobile poll/Bureau itinérant",0,2,5,0,4,1,12,78
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 501","Mobile poll/Bureau itinérant",1,8,4,1,9,2,25,40
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 502","Saskatoon",Merged with No./Fusionné avec le n°53,,,,,,,44
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 503","Mobile poll/Bureau itinérant",0,5,2,1,1,1,10,5
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,6
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,5
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,10
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 507","Mobile poll/Bureau itinérant",2,4,3,3,12,0,24,85
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 508","Mobile poll/Bureau itinérant",0,2,2,0,9,0,13,20
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 509","Mobile poll/Bureau itinérant",3,7,19,2,24,4,59,105
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 510","Mobile poll/Bureau itinérant",1,9,9,1,18,1,39,131
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 511","Mobile poll/Bureau itinérant",0,2,2,0,14,1,19,14
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 512","Saskatoon",Merged with No./Fusionné avec le n°68,,,,,,,5
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 513","Saskatoon",Merged with No./Fusionné avec le n°93,,,,,,,9
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 514","Mobile poll/Bureau itinérant",1,2,2,0,3,1,9,11
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 515","Mobile poll/Bureau itinérant",4,9,6,2,20,2,43,50
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 516","Mobile poll/Bureau itinérant",4,38,46,3,158,5,254,149
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 517","Mobile poll/Bureau itinérant",1,6,22,1,81,0,111,120
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 518","Mobile poll/Bureau itinérant",3,22,41,6,49,1,122,164
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 519","Mobile poll/Bureau itinérant",2,33,18,3,64,1,121,153
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 600","Saskatoon",33,416,127,10,340,5,931,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 601","Saskatoon",39,406,161,8,426,3,1043,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 602","Saskatoon",11,74,87,8,251,0,431,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 603","Saskatoon",50,312,175,17,810,4,1368,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 604","Saskatoon",62,282,137,13,682,1,1177,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 605","Saskatoon",60,257,122,12,813,5,1269,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 606","Saskatoon",14,113,80,3,318,1,529,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 607","Saskatoon",53,326,332,19,1316,5,2051,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 608","Saskatoon",53,267,156,5,761,3,1245,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 609","Saskatoon",40,199,103,10,372,2,726,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 610","Saskatoon",41,210,80,6,351,0,688,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 611","Saskatoon",52,258,136,12,512,2,972,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 612","Saskatoon",50,269,183,8,715,2,1227,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 613","Corman Park No. 344",26,260,55,10,246,3,600,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 614","Corman Park No. 344",45,93,76,1,629,0,844,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 615","Saskatoon",35,291,109,15,426,1,877,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 616","Saskatoon",44,213,56,8,290,0,611,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 617","Saskatoon",38,144,85,2,431,1,701,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 618","Saskatoon",35,225,110,8,314,0,692,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood",,Group 1/Groupe 1, 24,172,96,11,218,30,551,187
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood",,Group 2/Groupe 2, 77,1270,696,43,1520,99,3705,
