Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Crawley,Nira Dookeran,Kevin Hua,Pierre Poilievre,Gustave Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35088,"Carleton/Carleton"," 20","Ottawa",9,8,18,121,40,1,197,308
35088,"Carleton/Carleton"," 21","Ottawa",7,4,22,139,36,1,209,361
35088,"Carleton/Carleton"," 22","Ottawa",Merged with No./Fusionné avec le n°18,,,,,,,335
35088,"Carleton/Carleton"," 23A","Ottawa",5,1,33,69,97,3,208,397
35088,"Carleton/Carleton"," 23B","Ottawa",2,4,28,74,88,3,199,384
35088,"Carleton/Carleton"," 24","Ottawa",3,1,16,91,38,0,149,463
35088,"Carleton/Carleton"," 25","Ottawa",6,7,10,58,32,2,115,373
35088,"Carleton/Carleton"," 26A","Ottawa",Merged with No./Fusionné avec le n°23A,,,,,,,160
35088,"Carleton/Carleton"," 26B","Ottawa",Merged with No./Fusionné avec le n°23B,,,,,,,192
35088,"Carleton/Carleton"," 27","Ottawa",8,7,21,79,51,0,166,438
35088,"Carleton/Carleton"," 28","Ottawa",2,1,36,66,72,1,178,554
35088,"Carleton/Carleton"," 29","Ottawa",7,6,32,77,51,0,173,519
35088,"Carleton/Carleton"," 30","Ottawa",5,5,49,116,99,1,275,397
35088,"Carleton/Carleton"," 31","Ottawa",Merged with No./Fusionné avec le n°30,,,,,,,397
35088,"Carleton/Carleton"," 32A","Ottawa",2,5,31,80,128,0,246,368
35088,"Carleton/Carleton"," 32B","Ottawa",7,1,27,76,98,1,210,347
35088,"Carleton/Carleton"," 33","Ottawa",5,8,29,82,75,1,200,552
35088,"Carleton/Carleton"," 34","Ottawa",1,6,23,70,51,0,151,474
35088,"Carleton/Carleton"," 35","Ottawa",4,0,28,69,85,0,186,495
35088,"Carleton/Carleton"," 36A","Ottawa",Merged with No./Fusionné avec le n°39A,,,,,,,35
35088,"Carleton/Carleton"," 36B","Ottawa",Merged with No./Fusionné avec le n°39B,,,,,,,18
35088,"Carleton/Carleton"," 36C","Ottawa",Merged with No./Fusionné avec le n°39C,,,,,,,45
35088,"Carleton/Carleton"," 37","Ottawa",7,4,29,57,77,0,174,485
35088,"Carleton/Carleton"," 38A","Ottawa",Merged with No./Fusionné avec le n°32A,,,,,,,244
35088,"Carleton/Carleton"," 38B","Ottawa",Merged with No./Fusionné avec le n°32B,,,,,,,220
35088,"Carleton/Carleton"," 39A","Ottawa",5,5,29,74,132,0,245,564
35088,"Carleton/Carleton"," 39B","Ottawa",0,1,21,53,105,2,182,505
35088,"Carleton/Carleton"," 39C","Ottawa",8,2,25,72,118,2,227,519
35088,"Carleton/Carleton"," 40","Ottawa",13,6,30,96,46,1,192,491
35088,"Carleton/Carleton"," 41","Ottawa",5,1,28,110,35,1,180,522
35088,"Carleton/Carleton"," 42","Ottawa",6,3,17,86,35,0,147,401
35088,"Carleton/Carleton"," 43","Ottawa",10,1,20,58,21,1,111,361
35088,"Carleton/Carleton"," 44","Ottawa",2,2,28,117,41,1,191,511
35088,"Carleton/Carleton"," 45","Ottawa",1,2,37,62,65,1,168,548
35088,"Carleton/Carleton"," 46","Ottawa",3,4,48,117,118,3,293,500
35088,"Carleton/Carleton"," 47","Ottawa",6,4,28,52,76,1,167,452
35088,"Carleton/Carleton"," 48","Ottawa",5,5,25,74,85,0,194,484
35088,"Carleton/Carleton"," 49","Ottawa",Merged with No./Fusionné avec le n°48,,,,,,,432
35088,"Carleton/Carleton"," 50","Ottawa",Merged with No./Fusionné avec le n°46,,,,,,,415
35088,"Carleton/Carleton"," 51","Ottawa",4,5,17,102,47,0,175,480
35088,"Carleton/Carleton"," 52","Ottawa",11,9,35,147,86,0,288,398
35088,"Carleton/Carleton"," 53","Ottawa",10,7,19,102,27,3,168,467
35088,"Carleton/Carleton"," 54","Ottawa",3,1,27,79,52,1,163,469
35088,"Carleton/Carleton"," 55","Ottawa",4,0,12,79,57,0,152,457
35088,"Carleton/Carleton"," 56","Ottawa",Merged with No./Fusionné avec le n°57,,,,,,,367
35088,"Carleton/Carleton"," 57","Ottawa",6,3,35,117,89,0,250,399
35088,"Carleton/Carleton"," 58","Ottawa",10,2,24,85,50,1,172,424
35088,"Carleton/Carleton"," 59","Ottawa",Merged with No./Fusionné avec le n°52,,,,,,,370
35088,"Carleton/Carleton"," 60","Ottawa",4,6,30,104,44,1,189,604
35088,"Carleton/Carleton"," 61","Ottawa",3,4,29,56,64,0,156,513
35088,"Carleton/Carleton"," 62","Ottawa",5,4,26,64,133,0,232,654
35088,"Carleton/Carleton"," 63","Ottawa",4,3,53,84,105,0,249,529
35088,"Carleton/Carleton"," 64A","Ottawa",4,6,20,87,119,0,236,599
35088,"Carleton/Carleton"," 64B","Ottawa",5,3,20,80,103,2,213,524
35088,"Carleton/Carleton"," 65","Ottawa",5,2,19,89,76,0,191,532
35088,"Carleton/Carleton"," 66","Ottawa",4,1,11,64,61,0,141,447
35088,"Carleton/Carleton"," 67","Ottawa",10,5,30,124,72,0,241,337
35088,"Carleton/Carleton"," 68","Ottawa",2,7,19,68,65,0,161,439
35088,"Carleton/Carleton"," 69","Ottawa",Merged with No./Fusionné avec le n°66,,,,,,,388
35088,"Carleton/Carleton"," 70","Ottawa",5,9,23,142,97,0,276,421
35088,"Carleton/Carleton"," 71A","Ottawa",Merged with No./Fusionné avec le n°67,,,,,,,259
35088,"Carleton/Carleton"," 71B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°400,,,,,,,24
35088,"Carleton/Carleton"," 72","Ottawa",7,6,19,102,55,1,190,492
35088,"Carleton/Carleton"," 73","Ottawa",4,2,14,61,24,2,107,288
35088,"Carleton/Carleton"," 74","Ottawa",4,6,21,108,76,1,216,508
35088,"Carleton/Carleton"," 75","Ottawa",1,2,12,119,69,3,206,441
35088,"Carleton/Carleton"," 76","Ottawa",12,4,22,107,65,0,210,553
35088,"Carleton/Carleton"," 77","Ottawa",4,3,33,60,70,2,172,485
35088,"Carleton/Carleton"," 78","Ottawa",8,4,20,58,63,0,153,450
35088,"Carleton/Carleton"," 79A","Ottawa",4,2,14,35,48,1,104,308
35088,"Carleton/Carleton"," 79B","Ottawa",3,4,10,43,37,0,97,281
35088,"Carleton/Carleton"," 80","Ottawa",2,3,30,71,46,0,152,460
35088,"Carleton/Carleton"," 81","Ottawa",3,6,26,63,51,1,150,461
35088,"Carleton/Carleton"," 82","Ottawa",0,3,20,42,48,1,114,439
35088,"Carleton/Carleton"," 83A","Ottawa",7,5,35,80,117,0,244,456
35088,"Carleton/Carleton"," 83B","Ottawa",6,4,37,77,106,0,230,453
35088,"Carleton/Carleton"," 83C","Ottawa",5,8,30,67,129,3,242,452
35088,"Carleton/Carleton"," 84A","Ottawa",5,1,17,52,70,1,146,426
35088,"Carleton/Carleton"," 84B","Ottawa",1,2,20,43,68,2,136,433
35088,"Carleton/Carleton"," 85A","Ottawa",Merged with No./Fusionné avec le n°83A,,,,,,,105
35088,"Carleton/Carleton"," 85B","Ottawa",Merged with No./Fusionné avec le n°83B,,,,,,,81
35088,"Carleton/Carleton"," 85C","Ottawa",Merged with No./Fusionné avec le n°83C,,,,,,,104
35088,"Carleton/Carleton"," 86","Ottawa",15,1,27,64,117,2,226,543
35088,"Carleton/Carleton"," 87A","Ottawa",2,1,21,90,85,0,199,534
35088,"Carleton/Carleton"," 87B","Ottawa",3,0,19,84,68,1,175,539
35088,"Carleton/Carleton"," 88A","Ottawa",2,2,41,89,136,0,270,611
35088,"Carleton/Carleton"," 88B","Ottawa",7,4,28,83,93,0,215,596
35088,"Carleton/Carleton"," 89","Ottawa",Void/Supprimé,,,,,,,
35088,"Carleton/Carleton"," 90","Ottawa",0,4,23,56,49,1,133,388
35088,"Carleton/Carleton"," 91","Ottawa",4,8,24,65,52,0,153,411
35088,"Carleton/Carleton"," 92","Ottawa",6,3,19,52,59,0,139,425
35088,"Carleton/Carleton"," 93","Ottawa",3,4,20,79,45,0,151,436
35088,"Carleton/Carleton"," 94","Ottawa",12,6,45,82,75,1,221,544
35088,"Carleton/Carleton"," 95","Ottawa",9,0,19,54,68,1,151,523
35088,"Carleton/Carleton"," 96A","Ottawa",4,4,34,60,95,1,198,513
35088,"Carleton/Carleton"," 96B","Ottawa",5,5,20,57,76,1,164,515
35088,"Carleton/Carleton"," 97","Ottawa",6,2,34,104,59,1,206,502
35088,"Carleton/Carleton"," 98","Ottawa",6,6,22,53,40,1,128,433
35088,"Carleton/Carleton"," 99","Ottawa",4,5,26,55,55,0,145,345
35088,"Carleton/Carleton"," 100","Ottawa",7,1,35,69,89,1,202,500
35088,"Carleton/Carleton"," 101A","Ottawa",7,5,32,80,78,2,204,527
35088,"Carleton/Carleton"," 101B","Ottawa",4,4,46,85,103,2,244,557
35088,"Carleton/Carleton"," 102","Ottawa",5,0,22,47,56,0,130,349
35088,"Carleton/Carleton"," 103","Ottawa",4,5,28,61,52,0,150,405
35088,"Carleton/Carleton"," 104","Ottawa",6,4,39,88,46,2,185,496
35088,"Carleton/Carleton"," 105","Ottawa",1,6,16,49,49,0,121,342
35088,"Carleton/Carleton"," 106","Ottawa",1,5,13,47,52,0,118,451
35088,"Carleton/Carleton"," 107","Ottawa",6,7,22,83,58,0,176,453
35088,"Carleton/Carleton"," 108","Ottawa",6,3,22,58,41,0,130,417
35088,"Carleton/Carleton"," 109","Ottawa",4,6,35,72,73,0,190,548
35088,"Carleton/Carleton"," 110","Ottawa",7,1,35,62,57,1,163,456
35088,"Carleton/Carleton"," 111","Ottawa",Void/Supprimé,,,,,,,
35088,"Carleton/Carleton"," 112","Ottawa",4,2,16,79,45,0,146,432
35088,"Carleton/Carleton"," 113","Ottawa",3,3,32,71,60,0,169,442
35088,"Carleton/Carleton"," 114","Ottawa",1,4,33,65,53,0,156,462
35088,"Carleton/Carleton"," 115","Ottawa",3,1,24,72,59,1,160,500
35088,"Carleton/Carleton"," 116","Ottawa",1,4,35,91,80,3,214,498
35088,"Carleton/Carleton"," 117","Ottawa",4,2,28,41,59,0,134,409
35088,"Carleton/Carleton"," 118A","Ottawa",4,0,22,60,56,3,145,515
35088,"Carleton/Carleton"," 118B","Mobile poll/Bureau itinérant",2,2,6,35,21,2,68,35
35088,"Carleton/Carleton"," 119","Ottawa",5,7,19,47,31,0,109,346
35088,"Carleton/Carleton"," 120","Ottawa",2,1,20,39,49,0,111,358
35088,"Carleton/Carleton"," 121","Ottawa",4,0,10,55,42,2,113,352
35088,"Carleton/Carleton"," 122","Ottawa",4,0,11,48,29,0,92,327
35088,"Carleton/Carleton"," 123A","Ottawa",3,5,41,106,91,0,246,473
35088,"Carleton/Carleton"," 123B","Ottawa",6,4,40,90,87,0,227,460
35088,"Carleton/Carleton"," 124","Ottawa",4,3,25,73,26,0,131,454
35088,"Carleton/Carleton"," 125","Ottawa",3,8,35,84,30,0,160,527
35088,"Carleton/Carleton"," 126A","Ottawa",Merged with No./Fusionné avec le n°123A,,,,,,,177
35088,"Carleton/Carleton"," 126B","Ottawa",Merged with No./Fusionné avec le n°123B,,,,,,,165
35088,"Carleton/Carleton"," 127","Ottawa",8,3,10,66,16,0,103,198
35088,"Carleton/Carleton"," 128","Ottawa",0,2,17,104,26,0,149,332
35088,"Carleton/Carleton"," 129","Ottawa",9,10,21,148,40,0,228,375
35088,"Carleton/Carleton"," 130","Ottawa",5,1,22,146,45,0,219,389
35088,"Carleton/Carleton"," 131","Ottawa",0,2,28,59,35,0,124,366
35088,"Carleton/Carleton"," 132A","Ottawa",Merged with No./Fusionné avec le n°133A,,,,,,,170
35088,"Carleton/Carleton"," 132B","Ottawa",Merged with No./Fusionné avec le n°133B,,,,,,,190
35088,"Carleton/Carleton"," 133A","Ottawa",1,6,40,71,57,0,175,310
35088,"Carleton/Carleton"," 133B","Ottawa",1,8,30,78,50,1,168,330
35088,"Carleton/Carleton"," 134","Ottawa",4,4,47,67,65,1,188,514
35088,"Carleton/Carleton"," 135","Ottawa",3,4,21,64,68,1,161,472
35088,"Carleton/Carleton"," 136","Ottawa",0,1,22,73,75,1,172,546
35088,"Carleton/Carleton"," 137","Ottawa",1,5,17,57,35,0,115,373
35088,"Carleton/Carleton"," 138A","Ottawa",7,4,27,90,75,0,203,450
35088,"Carleton/Carleton"," 138B","Ottawa",1,1,27,60,66,4,159,399
35088,"Carleton/Carleton"," 139","Ottawa",1,4,32,107,75,1,220,653
35088,"Carleton/Carleton"," 140","Ottawa",7,6,38,101,71,0,223,530
35088,"Carleton/Carleton"," 141","Ottawa",6,5,30,101,79,0,221,666
35088,"Carleton/Carleton"," 142","Ottawa",6,6,18,87,85,2,204,607
35088,"Carleton/Carleton"," 143","Ottawa",3,6,33,91,46,1,180,551
35088,"Carleton/Carleton"," 144","Ottawa",8,8,11,64,43,4,138,418
35088,"Carleton/Carleton"," 145","Ottawa",2,7,23,78,51,1,162,412
35088,"Carleton/Carleton"," 146","Ottawa",4,3,9,71,39,2,128,437
35088,"Carleton/Carleton"," 147","Ottawa",1,8,4,48,31,0,92,330
35088,"Carleton/Carleton"," 148A","Ottawa",1,7,21,73,79,0,181,396
35088,"Carleton/Carleton"," 148B","Ottawa",6,5,14,89,73,3,190,411
35088,"Carleton/Carleton"," 149","Ottawa",4,10,7,85,35,2,143,464
35088,"Carleton/Carleton"," 150","Ottawa",4,4,21,84,38,0,151,428
35088,"Carleton/Carleton"," 151A","Ottawa",Merged with No./Fusionné avec le n°148A,,,,,,,143
35088,"Carleton/Carleton"," 151B","Ottawa",Merged with No./Fusionné avec le n°148B,,,,,,,173
35088,"Carleton/Carleton"," 152","Ottawa",12,5,29,115,37,1,199,571
35088,"Carleton/Carleton"," 153","Ottawa",4,2,29,87,45,0,167,504
35088,"Carleton/Carleton"," 154","Ottawa",2,4,20,76,24,0,126,327
35088,"Carleton/Carleton"," 155","Ottawa",Merged with No./Fusionné avec le n°161,,,,,,,344
35088,"Carleton/Carleton"," 156","Ottawa",13,7,37,171,68,1,297,461
35088,"Carleton/Carleton"," 157","Ottawa",Merged with No./Fusionné avec le n°162,,,,,,,426
35088,"Carleton/Carleton"," 158","Ottawa",Merged with No./Fusionné avec le n°156,,,,,,,388
35088,"Carleton/Carleton"," 159","Ottawa",10,4,28,71,37,1,151,435
35088,"Carleton/Carleton"," 160","Ottawa",Merged with No./Fusionné avec le n°163,,,,,,,372
35088,"Carleton/Carleton"," 161","Ottawa",10,6,43,183,62,2,306,383
35088,"Carleton/Carleton"," 162","Ottawa",7,5,68,213,91,1,385,587
35088,"Carleton/Carleton"," 163","Ottawa",9,7,42,169,74,1,302,420
35088,"Carleton/Carleton"," 164","Ottawa",5,2,27,80,36,1,151,406
35088,"Carleton/Carleton"," 165","Ottawa",8,2,20,85,78,3,196,471
35088,"Carleton/Carleton"," 166A","Ottawa",Merged with No./Fusionné avec le n°167A,,,,,,,205
35088,"Carleton/Carleton"," 166B","Ottawa",Merged with No./Fusionné avec le n°167B,,,,,,,196
35088,"Carleton/Carleton"," 167A","Ottawa",10,3,26,87,62,0,188,378
35088,"Carleton/Carleton"," 167B","Ottawa",2,6,30,74,45,0,157,348
35088,"Carleton/Carleton"," 168","Ottawa",4,7,28,75,29,0,143,431
35088,"Carleton/Carleton"," 169","Ottawa",7,2,16,86,37,0,148,422
35088,"Carleton/Carleton"," 170","Ottawa",3,4,24,71,47,2,151,411
35088,"Carleton/Carleton"," 171","Ottawa",4,7,16,63,29,0,119,331
35088,"Carleton/Carleton"," 172","Ottawa",7,4,31,75,46,0,163,375
35088,"Carleton/Carleton"," 173","Ottawa",3,3,9,52,9,0,76,249
35088,"Carleton/Carleton"," 174","Ottawa",3,0,22,84,64,0,173,382
35088,"Carleton/Carleton"," 175","Ottawa",10,0,42,113,51,0,216,517
35088,"Carleton/Carleton"," 176","Ottawa",0,2,9,52,40,0,103,255
35088,"Carleton/Carleton"," 177","Ottawa",6,2,21,81,40,1,151,380
35088,"Carleton/Carleton"," 178","Ottawa",4,2,33,87,71,2,199,356
35088,"Carleton/Carleton"," 179","Ottawa",2,2,19,93,72,1,189,335
35088,"Carleton/Carleton"," 180","Ottawa",3,7,23,93,42,3,171,386
35088,"Carleton/Carleton"," 181","Ottawa",6,2,14,54,23,0,99,273
35088,"Carleton/Carleton"," 182","Ottawa",7,9,16,109,53,2,196,492
35088,"Carleton/Carleton"," 183","Ottawa",4,4,19,77,30,0,134,351
35088,"Carleton/Carleton"," 184","Ottawa",9,8,25,110,43,0,195,506
35088,"Carleton/Carleton"," 185","Ottawa",8,9,27,113,32,3,192,518
35088,"Carleton/Carleton"," 186","Ottawa",8,3,27,111,37,0,186,457
35088,"Carleton/Carleton"," 187","Ottawa",0,4,16,78,10,1,109,237
35088,"Carleton/Carleton"," 188","Ottawa",3,2,21,94,60,0,180,510
35088,"Carleton/Carleton"," 189","Ottawa",2,6,17,52,37,1,115,350
35088,"Carleton/Carleton"," 190","Ottawa",7,5,33,76,30,0,151,367
35088,"Carleton/Carleton"," 191","Ottawa",5,0,28,96,49,0,178,433
35088,"Carleton/Carleton"," 192","Ottawa",4,4,21,110,56,0,195,462
35088,"Carleton/Carleton"," 193","Ottawa",13,5,26,111,54,2,211,521
35088,"Carleton/Carleton"," 194","Ottawa",9,5,15,78,18,1,126,269
35088,"Carleton/Carleton"," 195","Ottawa",18,6,28,147,67,1,267,540
35088,"Carleton/Carleton"," 196","Ottawa",10,7,22,167,76,3,285,559
35088,"Carleton/Carleton"," 197","Ottawa",18,10,29,141,58,0,256,527
35088,"Carleton/Carleton"," 400","Mobile poll/Bureau itinérant",2,1,4,37,14,1,59,65
35088,"Carleton/Carleton"," 401A","Ottawa",Merged with No./Fusionné avec le n°79A,,,,,,,96
35088,"Carleton/Carleton"," 401B","Ottawa",Merged with No./Fusionné avec le n°79B,,,,,,,88
35088,"Carleton/Carleton"," 402","Mobile poll/Bureau itinérant",0,1,3,60,27,2,93,108
35088,"Carleton/Carleton"," 500","Mobile poll/Bureau itinérant",1,0,2,10,11,2,26,90
35088,"Carleton/Carleton"," 501","Mobile poll/Bureau itinérant",0,0,2,15,8,1,26,38
35088,"Carleton/Carleton"," 502","Mobile poll/Bureau itinérant",3,0,1,19,15,3,41,52
35088,"Carleton/Carleton"," 503","Mobile poll/Bureau itinérant",0,1,0,17,5,0,23,33
35088,"Carleton/Carleton"," 504","Mobile poll/Bureau itinérant",0,0,3,6,11,1,21,24
35088,"Carleton/Carleton"," 505","Mobile poll/Bureau itinérant",1,0,1,13,3,0,18,36
35088,"Carleton/Carleton"," 506","Mobile poll/Bureau itinérant",0,2,2,20,17,6,47,60
35088,"Carleton/Carleton"," 507","Ottawa",Merged with No./Fusionné avec le n°159,,,,,,,42
35088,"Carleton/Carleton"," 508","Mobile poll/Bureau itinérant",1,3,5,9,7,0,25,44
35088,"Carleton/Carleton"," 509","Ottawa",Merged with No./Fusionné avec le n°42,,,,,,,55
35088,"Carleton/Carleton"," 510","Mobile poll/Bureau itinérant",1,1,1,4,10,0,17,24
35088,"Carleton/Carleton"," 600","Ottawa",24,27,145,661,347,1,1205,
35088,"Carleton/Carleton"," 601","Ottawa",32,18,151,659,718,12,1590,
35088,"Carleton/Carleton"," 602","Ottawa",24,19,93,680,346,4,1166,
35088,"Carleton/Carleton"," 603","Ottawa",28,20,109,691,365,3,1216,
35088,"Carleton/Carleton"," 604","Ottawa",34,29,147,1082,508,8,1808,
35088,"Carleton/Carleton"," 605","Ottawa",19,24,108,937,456,3,1547,
35088,"Carleton/Carleton"," 606","Ottawa",26,17,78,620,158,2,901,
35088,"Carleton/Carleton"," 607","Ottawa",31,32,167,1006,394,8,1638,
35088,"Carleton/Carleton"," 608","Ottawa",33,31,131,1078,292,4,1569,
35088,"Carleton/Carleton"," 609","Ottawa",20,20,82,654,416,2,1194,
35088,"Carleton/Carleton"," 610","Ottawa",37,27,136,1005,344,3,1552,
35088,"Carleton/Carleton"," 611","Ottawa",67,32,120,1123,343,5,1690,
35088,"Carleton/Carleton"," 612","Ottawa",18,9,65,596,279,2,969,
35088,"Carleton/Carleton"," 613","Ottawa",24,17,119,571,608,6,1345,
35088,"Carleton/Carleton"," 614","Ottawa",37,25,157,880,728,13,1840,
35088,"Carleton/Carleton"," 615","Ottawa",21,18,159,668,569,20,1455,
35088,"Carleton/Carleton"," 616","Ottawa",33,21,67,846,326,5,1298,
35088,"Carleton/Carleton"," 617","Ottawa",26,10,115,503,574,5,1233,
35088,"Carleton/Carleton"," 618","Ottawa",36,12,86,451,622,13,1220,
35088,"Carleton/Carleton"," 619","Ottawa",23,20,117,478,397,1,1036,
35088,"Carleton/Carleton"," 620","Ottawa",22,12,111,660,408,9,1222,
35088,"Carleton/Carleton"," 621","Ottawa",31,27,72,845,385,1,1361,
35088,"Carleton/Carleton"," 622","Ottawa",19,16,91,761,274,4,1165,
35088,"Carleton/Carleton",,Group 1/Groupe 1, 30,21,202,560,377,51,1241,325
35088,"Carleton/Carleton",,Group 2/Groupe 2, 39,57,390,1487,1477,73,3523,
