Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephanie Bell,Erica Charlton,Neil Ellis,Janine LeClerc,Ryan Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bay of Quinte/Baie de Quinte"," 108","Prince Edward County",28,12,100,6,63,2,211,433
35006,"Bay of Quinte/Baie de Quinte"," 109","Prince Edward County",38,7,105,6,83,1,240,459
35006,"Bay of Quinte/Baie de Quinte"," 110","Quinte West",44,5,41,11,129,4,234,549
35006,"Bay of Quinte/Baie de Quinte"," 111","Quinte West",29,3,42,5,60,4,143,525
35006,"Bay of Quinte/Baie de Quinte"," 112","Quinte West",15,4,31,4,27,0,81,393
35006,"Bay of Quinte/Baie de Quinte"," 113","Quinte West",19,2,26,6,35,2,90,511
35006,"Bay of Quinte/Baie de Quinte"," 114","Quinte West",29,2,32,10,37,0,110,391
35006,"Bay of Quinte/Baie de Quinte"," 115","Quinte West",35,4,44,15,154,0,252,477
35006,"Bay of Quinte/Baie de Quinte"," 116","Quinte West",41,8,46,12,117,0,224,457
35006,"Bay of Quinte/Baie de Quinte"," 117","Quinte West",25,6,39,4,107,2,183,395
35006,"Bay of Quinte/Baie de Quinte"," 118","Quinte West",13,4,44,15,97,0,173,367
35006,"Bay of Quinte/Baie de Quinte"," 119","Quinte West",34,1,47,16,82,1,181,484
35006,"Bay of Quinte/Baie de Quinte"," 120","Quinte West",24,4,48,19,78,0,173,464
35006,"Bay of Quinte/Baie de Quinte"," 121","Quinte West",21,3,39,12,66,0,141,507
35006,"Bay of Quinte/Baie de Quinte"," 122","Quinte West",28,7,36,13,70,0,154,496
35006,"Bay of Quinte/Baie de Quinte"," 123","Quinte West",33,6,41,12,52,0,144,524
35006,"Bay of Quinte/Baie de Quinte"," 124","Quinte West",42,9,33,9,103,1,197,493
35006,"Bay of Quinte/Baie de Quinte"," 125","Quinte West",45,4,25,16,78,1,169,623
35006,"Bay of Quinte/Baie de Quinte"," 126","Quinte West",23,1,39,14,66,0,143,440
35006,"Bay of Quinte/Baie de Quinte"," 127","Quinte West",19,3,30,10,38,0,100,400
35006,"Bay of Quinte/Baie de Quinte"," 128","Quinte West",23,8,41,10,59,2,143,419
35006,"Bay of Quinte/Baie de Quinte"," 129","Quinte West",38,7,43,13,63,2,166,440
35006,"Bay of Quinte/Baie de Quinte"," 130","Quinte West",20,0,28,16,65,2,131,425
35006,"Bay of Quinte/Baie de Quinte"," 131","Quinte West",24,2,44,15,54,1,140,455
35006,"Bay of Quinte/Baie de Quinte"," 132","Quinte West",33,6,41,15,78,0,173,523
35006,"Bay of Quinte/Baie de Quinte"," 133","Quinte West",27,4,36,7,61,0,135,351
35006,"Bay of Quinte/Baie de Quinte"," 134","Quinte West",21,4,27,18,78,0,148,453
35006,"Bay of Quinte/Baie de Quinte"," 135","Quinte West",29,4,39,11,39,0,122,497
35006,"Bay of Quinte/Baie de Quinte"," 136","Quinte West",23,4,41,13,65,5,151,427
35006,"Bay of Quinte/Baie de Quinte"," 137","Quinte West",33,1,43,20,48,1,146,541
35006,"Bay of Quinte/Baie de Quinte"," 138","Quinte West",42,2,36,14,62,2,158,452
35006,"Bay of Quinte/Baie de Quinte"," 139","Quinte West",29,8,35,15,60,1,148,457
35006,"Bay of Quinte/Baie de Quinte"," 140","Quinte West",34,1,51,9,61,1,157,465
35006,"Bay of Quinte/Baie de Quinte"," 141","Prince Edward County",40,10,88,3,65,0,206,490
35006,"Bay of Quinte/Baie de Quinte"," 142","Prince Edward County",26,2,61,5,23,1,118,392
