Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Darryl Boisson,Colin Krieger,Jordan Francis MacDougall,Leslie Penny,Gail Ungstad,Arnold Viersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48028,"Peace River--Westlock/Peace River--Westlock"," 20","Tall Cree 173",0,0,0,1,8,6,0,15,119
48028,"Peace River--Westlock/Peace River--Westlock"," 21","Fox Lake",Merged with No./Fusionné avec le n°5,,,,,,,,1036
48028,"Peace River--Westlock/Peace River--Westlock"," 22","Three Creeks",16,9,1,4,23,104,1,158,315
48028,"Peace River--Westlock/Peace River--Westlock"," 23","St. Isidore",17,5,2,27,43,124,1,219,402
48028,"Peace River--Westlock/Peace River--Westlock"," 24","Cadotte Lake",8,1,0,13,26,12,0,60,428
48028,"Peace River--Westlock/Peace River--Westlock"," 25","Bluesky",5,22,0,6,12,94,0,139,303
48028,"Peace River--Westlock/Peace River--Westlock"," 26","Highland Park",25,17,1,5,14,85,0,147,320
48028,"Peace River--Westlock/Peace River--Westlock"," 27","Fairview",10,18,0,12,6,112,0,158,363
48028,"Peace River--Westlock/Peace River--Westlock"," 28","Fairview",5,1,2,8,12,90,0,118,355
48028,"Peace River--Westlock/Peace River--Westlock"," 29","Fairview",15,10,3,3,25,83,0,139,335
48028,"Peace River--Westlock/Peace River--Westlock"," 30","Fairview",6,3,2,6,16,75,0,108,331
48028,"Peace River--Westlock/Peace River--Westlock"," 31","Fairview",11,6,0,5,10,73,1,106,312
48028,"Peace River--Westlock/Peace River--Westlock"," 32","Fairview",12,6,2,6,19,64,2,111,299
48028,"Peace River--Westlock/Peace River--Westlock"," 33","Friedenstal",13,21,2,4,13,102,0,155,335
48028,"Peace River--Westlock/Peace River--Westlock"," 34","Whitelaw",14,13,0,0,9,76,0,112,295
48028,"Peace River--Westlock/Peace River--Westlock"," 35","Grimshaw",17,8,2,7,13,71,0,118,325
48028,"Peace River--Westlock/Peace River--Westlock"," 36","Roma Junction",15,9,1,10,23,116,0,174,371
48028,"Peace River--Westlock/Peace River--Westlock"," 37","Grimshaw",16,6,0,8,15,82,0,127,341
48028,"Peace River--Westlock/Peace River--Westlock"," 38","Grimshaw",25,8,3,5,31,128,1,201,459
48028,"Peace River--Westlock/Peace River--Westlock"," 39","Grimshaw",23,7,2,6,14,95,1,148,397
48028,"Peace River--Westlock/Peace River--Westlock"," 40","Grimshaw",20,2,3,0,20,76,0,121,329
48028,"Peace River--Westlock/Peace River--Westlock"," 41","Peace River",16,3,1,11,34,86,0,151,372
48028,"Peace River--Westlock/Peace River--Westlock"," 42","Peace River",13,5,1,8,33,56,2,118,351
48028,"Peace River--Westlock/Peace River--Westlock"," 43","Peace River",13,0,1,9,30,75,0,128,385
48028,"Peace River--Westlock/Peace River--Westlock"," 44","Peace River",15,2,1,6,16,66,0,106,390
48028,"Peace River--Westlock/Peace River--Westlock"," 45","Peace River",19,6,2,9,49,61,2,148,413
48028,"Peace River--Westlock/Peace River--Westlock"," 46","Peace River",16,5,3,15,38,55,0,132,419
48028,"Peace River--Westlock/Peace River--Westlock"," 47","Peace River",21,5,6,13,40,67,0,152,443
48028,"Peace River--Westlock/Peace River--Westlock"," 48","Brownvale",6,1,1,6,25,104,2,145,317
48028,"Peace River--Westlock/Peace River--Westlock"," 49","Berwyn",13,11,2,3,17,63,1,110,281
48028,"Peace River--Westlock/Peace River--Westlock"," 50","Berwyn",20,9,3,4,19,79,1,135,309
48028,"Peace River--Westlock/Peace River--Westlock"," 51","Peace River",15,9,3,6,39,105,2,179,485
48028,"Peace River--Westlock/Peace River--Westlock"," 52","Peace River",15,8,1,18,49,129,0,220,576
48028,"Peace River--Westlock/Peace River--Westlock"," 53","Peace River",25,8,0,23,39,103,2,200,488
48028,"Peace River--Westlock/Peace River--Westlock"," 54","Peace River",12,4,2,20,47,145,0,230,484
48028,"Peace River--Westlock/Peace River--Westlock"," 55","Little Buffalo",1,0,1,2,18,1,0,23,160
48028,"Peace River--Westlock/Peace River--Westlock"," 56","Loon Lake",1,0,0,4,3,15,0,23,190
48028,"Peace River--Westlock/Peace River--Westlock"," 57","Red Earth Creek",13,2,2,8,9,88,0,122,300
48028,"Peace River--Westlock/Peace River--Westlock"," 58A","Peerless Lake",4,0,0,29,10,16,0,59,222
48028,"Peace River--Westlock/Peace River--Westlock"," 58B","Peerless Lake",8,1,0,5,15,14,2,45,111
48028,"Peace River--Westlock/Peace River--Westlock"," 59","Nampa",19,4,2,2,17,97,0,141,236
48028,"Peace River--Westlock/Peace River--Westlock"," 60","Nampa",17,2,2,6,12,99,1,139,251
48028,"Peace River--Westlock/Peace River--Westlock"," 61","Marie-Reine",23,6,1,2,12,107,0,151,297
48028,"Peace River--Westlock/Peace River--Westlock"," 62","Harmon Valley",18,14,1,4,14,90,1,142,252
48028,"Peace River--Westlock/Peace River--Westlock"," 63","Belloy",23,5,4,3,20,110,1,166,314
48028,"Peace River--Westlock/Peace River--Westlock"," 64","Peoria",16,4,0,2,13,102,0,137,266
48028,"Peace River--Westlock/Peace River--Westlock"," 65","Eaglesham",34,38,2,9,18,158,1,260,481
48028,"Peace River--Westlock/Peace River--Westlock"," 66","Falher",30,9,0,4,11,114,1,169,358
48028,"Peace River--Westlock/Peace River--Westlock"," 67","Culp",22,3,0,5,19,105,2,156,362
48028,"Peace River--Westlock/Peace River--Westlock"," 68","Falher",12,4,2,7,14,66,1,106,251
48028,"Peace River--Westlock/Peace River--Westlock"," 69","Donnelly",22,10,0,16,35,95,2,180,348
48028,"Peace River--Westlock/Peace River--Westlock"," 70","Falher",14,16,1,7,22,86,1,147,424
48028,"Peace River--Westlock/Peace River--Westlock"," 71","McLennan",26,5,0,6,23,65,0,125,225
48028,"Peace River--Westlock/Peace River--Westlock"," 72","McLennan",25,2,0,8,36,67,0,138,239
48028,"Peace River--Westlock/Peace River--Westlock"," 73","McLennan",19,5,0,16,31,53,1,125,232
48028,"Peace River--Westlock/Peace River--Westlock"," 74","Peavine Metis Settlement",18,2,1,35,49,44,1,150,390
48028,"Peace River--Westlock/Peace River--Westlock"," 75","Gift Lake ",20,0,0,10,46,8,1,85,358
48028,"Peace River--Westlock/Peace River--Westlock"," 76","Prairie Echo ",28,7,0,7,15,68,1,126,221
48028,"Peace River--Westlock/Peace River--Westlock"," 77","Guy",15,12,0,6,10,82,0,125,222
48028,"Peace River--Westlock/Peace River--Westlock"," 78","Atikameg",10,0,0,13,55,5,1,84,405
48028,"Peace River--Westlock/Peace River--Westlock"," 79","Whitemud Creek",19,33,2,2,3,113,0,172,401
48028,"Peace River--Westlock/Peace River--Westlock"," 80","Grouard ",10,1,2,23,67,38,2,143,350
48028,"Peace River--Westlock/Peace River--Westlock"," 81","Sucker Creek 150A",22,2,2,23,82,39,0,170,370
48028,"Peace River--Westlock/Peace River--Westlock"," 82","Drift Pile River 150 ",7,2,1,28,48,11,0,97,392
48028,"Peace River--Westlock/Peace River--Westlock"," 83","Triangle",15,11,0,1,11,106,1,145,365
48028,"Peace River--Westlock/Peace River--Westlock"," 84","High Prairie",19,4,3,9,32,101,0,168,390
48028,"Peace River--Westlock/Peace River--Westlock"," 85","High Prairie",19,6,0,9,47,97,0,178,455
48028,"Peace River--Westlock/Peace River--Westlock"," 86","High Prairie",9,1,1,15,38,72,0,136,381
48028,"Peace River--Westlock/Peace River--Westlock"," 87","High Prairie",28,5,3,12,37,95,1,181,472
48028,"Peace River--Westlock/Peace River--Westlock"," 88","Enilda",35,10,1,5,19,97,0,167,384
48028,"Peace River--Westlock/Peace River--Westlock"," 89","Sunset House--High Prairie",21,5,0,5,16,109,2,158,358
48028,"Peace River--Westlock/Peace River--Westlock"," 90","High Prairie",15,14,0,2,20,103,0,154,394
48028,"Peace River--Westlock/Peace River--Westlock"," 91","Sunset House",19,33,2,3,16,104,1,178,416
48028,"Peace River--Westlock/Peace River--Westlock"," 92","Valleyview",14,24,1,12,24,98,0,173,444
48028,"Peace River--Westlock/Peace River--Westlock"," 93","Valleyview",7,13,1,5,23,58,0,107,325
48028,"Peace River--Westlock/Peace River--Westlock"," 94","Valleyview",13,17,1,9,18,85,2,145,529
48028,"Peace River--Westlock/Peace River--Westlock"," 95A","Valleyview",13,36,0,2,9,121,0,181,496
48028,"Peace River--Westlock/Peace River--Westlock"," 95B","Mobile poll/Bureau itinérant",0,2,0,0,2,6,1,11,2
48028,"Peace River--Westlock/Peace River--Westlock"," 96","Sweathouse Creek",14,30,0,3,12,72,1,132,361
48028,"Peace River--Westlock/Peace River--Westlock"," 97","East Prairie Metis Settlement",4,0,2,11,32,9,0,58,182
48028,"Peace River--Westlock/Peace River--Westlock"," 98","Joussard",7,2,3,5,28,47,0,92,315
48028,"Peace River--Westlock/Peace River--Westlock"," 99","Faust",19,6,2,14,35,50,0,126,290
48028,"Peace River--Westlock/Peace River--Westlock"," 100","Slave Lake",14,4,2,6,22,78,1,127,449
48028,"Peace River--Westlock/Peace River--Westlock"," 101","Slave Lake",6,6,0,6,31,71,0,120,416
48028,"Peace River--Westlock/Peace River--Westlock"," 102","Slave Lake",15,2,3,2,28,69,0,119,453
48028,"Peace River--Westlock/Peace River--Westlock"," 103","Slave Lake",13,1,0,3,18,73,0,108,370
48028,"Peace River--Westlock/Peace River--Westlock"," 104","Little Smoky",31,53,1,3,6,113,0,207,385
48028,"Peace River--Westlock/Peace River--Westlock"," 105","Kinuso",13,0,0,10,30,53,0,106,270
48028,"Peace River--Westlock/Peace River--Westlock"," 106","Big Lakes County--Swan River 150E",27,10,0,5,30,165,1,238,406
48028,"Peace River--Westlock/Peace River--Westlock"," 107","Slave Lake",14,3,2,5,25,71,0,120,478
48028,"Peace River--Westlock/Peace River--Westlock"," 108A","Slave Lake",13,4,0,10,33,85,2,147,412
48028,"Peace River--Westlock/Peace River--Westlock"," 108B","Mobile poll/Bureau itinérant",1,1,0,1,1,5,0,9,18
48028,"Peace River--Westlock/Peace River--Westlock"," 109","Slave Lake",13,5,1,9,27,105,0,160,464
48028,"Peace River--Westlock/Peace River--Westlock"," 110","Slave Lake",20,6,0,8,34,77,1,146,367
48028,"Peace River--Westlock/Peace River--Westlock"," 111","Slave Lake",26,5,2,10,38,124,1,206,450
48028,"Peace River--Westlock/Peace River--Westlock"," 112","Slave Lake",15,3,1,9,24,98,0,150,437
48028,"Peace River--Westlock/Peace River--Westlock"," 113","Slave Lake",18,6,3,7,26,125,0,185,523
48028,"Peace River--Westlock/Peace River--Westlock"," 114","Slave Lake",12,6,2,2,32,99,0,153,432
48028,"Peace River--Westlock/Peace River--Westlock"," 115","Widewater",38,16,2,15,49,246,1,367,738
48028,"Peace River--Westlock/Peace River--Westlock"," 116","Smith",46,12,2,8,29,219,1,317,566
48028,"Peace River--Westlock/Peace River--Westlock"," 117","Fox Creek",10,6,0,2,5,103,0,126,345
48028,"Peace River--Westlock/Peace River--Westlock"," 118","Fox Creek",14,2,1,3,7,95,0,122,334
48028,"Peace River--Westlock/Peace River--Westlock"," 119","Fox Creek",15,6,1,8,6,86,0,122,322
48028,"Peace River--Westlock/Peace River--Westlock"," 120","Fox Creek",12,10,1,5,10,93,0,131,311
48028,"Peace River--Westlock/Peace River--Westlock"," 121","Swan Hills",25,5,2,9,11,107,0,159,372
48028,"Peace River--Westlock/Peace River--Westlock"," 122","Swan Hills",13,4,0,6,11,68,0,102,224
48028,"Peace River--Westlock/Peace River--Westlock"," 123","Swan Hills",7,7,3,5,18,86,1,127,333
48028,"Peace River--Westlock/Peace River--Westlock"," 124","Tieland",13,2,1,2,14,126,1,159,328
48028,"Peace River--Westlock/Peace River--Westlock"," 125","Freeman River",30,20,2,5,22,145,1,225,394
48028,"Peace River--Westlock/Peace River--Westlock"," 126","Lone Pine",27,14,1,6,24,90,0,162,311
48028,"Peace River--Westlock/Peace River--Westlock"," 127","Tiger Lily",42,9,2,3,12,101,0,169,392
48028,"Peace River--Westlock/Peace River--Westlock"," 128","Windfall",21,15,0,12,11,109,0,168,509
48028,"Peace River--Westlock/Peace River--Westlock"," 129","Blue Ridge",15,11,1,10,19,190,0,246,684
48028,"Peace River--Westlock/Peace River--Westlock"," 130","Whitecourt",22,11,0,11,19,112,1,176,547
48028,"Peace River--Westlock/Peace River--Westlock"," 131","Whitecourt",17,5,2,6,9,120,0,159,481
48028,"Peace River--Westlock/Peace River--Westlock"," 132","Whitecourt",14,12,0,6,25,124,0,181,479
48028,"Peace River--Westlock/Peace River--Westlock"," 133","Whitecourt",20,7,0,5,11,120,1,164,458
48028,"Peace River--Westlock/Peace River--Westlock"," 134","Whitecourt",21,3,0,4,10,152,0,190,555
48028,"Peace River--Westlock/Peace River--Westlock"," 135","Whitecourt",20,18,0,3,6,119,0,166,442
48028,"Peace River--Westlock/Peace River--Westlock"," 136","Whitecourt",26,18,1,7,14,109,0,175,538
48028,"Peace River--Westlock/Peace River--Westlock"," 137","Whitecourt",24,9,3,7,17,127,0,187,572
48028,"Peace River--Westlock/Peace River--Westlock"," 138","Whitecourt",24,6,2,9,14,110,0,165,530
48028,"Peace River--Westlock/Peace River--Westlock"," 139","Whitecourt",11,5,0,10,18,130,1,175,567
48028,"Peace River--Westlock/Peace River--Westlock"," 140","Whitecourt",15,6,0,9,12,118,2,162,452
48028,"Peace River--Westlock/Peace River--Westlock"," 141","Whitecourt",26,2,2,6,13,111,1,161,516
48028,"Peace River--Westlock/Peace River--Westlock"," 142","Whitecourt",16,6,0,5,12,90,1,130,439
48028,"Peace River--Westlock/Peace River--Westlock"," 143","Whitecourt",19,8,2,1,15,72,1,118,518
48028,"Peace River--Westlock/Peace River--Westlock"," 144","Whitecourt",8,5,3,5,16,94,2,133,479
48028,"Peace River--Westlock/Peace River--Westlock"," 145","Whitecourt",12,7,1,13,30,117,1,181,558
48028,"Peace River--Westlock/Peace River--Westlock"," 146","Whitecourt",14,1,1,3,6,121,0,146,473
48028,"Peace River--Westlock/Peace River--Westlock"," 147","Fawcett",24,19,4,9,20,120,1,197,374
48028,"Peace River--Westlock/Peace River--Westlock"," 148","Jarvie",42,10,2,7,23,154,1,239,448
48028,"Peace River--Westlock/Peace River--Westlock"," 149","Larkspur",14,10,0,13,17,126,0,180,360
48028,"Peace River--Westlock/Peace River--Westlock"," 150","Vega",52,3,2,4,10,140,0,211,327
48028,"Peace River--Westlock/Peace River--Westlock"," 151","Neerlandia",46,7,0,1,11,238,1,304,405
48028,"Peace River--Westlock/Peace River--Westlock"," 152","Pembina Heights",19,12,1,4,8,116,1,161,290
48028,"Peace River--Westlock/Peace River--Westlock"," 153","Anselmo",14,20,1,6,18,109,1,169,235
48028,"Peace River--Westlock/Peace River--Westlock"," 154","Bloomsbury",34,9,1,2,11,138,0,195,379
48028,"Peace River--Westlock/Peace River--Westlock"," 155","Campsie",21,5,2,9,21,132,0,190,415
48028,"Peace River--Westlock/Peace River--Westlock"," 156","Barrhead",16,6,2,5,23,102,0,154,365
48028,"Peace River--Westlock/Peace River--Westlock"," 157","Barrhead",16,7,0,3,22,106,0,154,348
48028,"Peace River--Westlock/Peace River--Westlock"," 158","Manola",23,8,3,4,17,93,0,148,320
48028,"Peace River--Westlock/Peace River--Westlock"," 159","Barrhead",14,7,1,5,11,104,0,142,387
48028,"Peace River--Westlock/Peace River--Westlock"," 160","Barrhead",21,3,2,10,25,95,0,156,409
48028,"Peace River--Westlock/Peace River--Westlock"," 161","Barrhead",31,4,2,15,22,125,2,201,398
48028,"Peace River--Westlock/Peace River--Westlock"," 162","Barrhead",17,7,2,24,23,116,0,189,408
48028,"Peace River--Westlock/Peace River--Westlock"," 163","Barrhead",15,2,1,5,18,78,0,119,351
48028,"Peace River--Westlock/Peace River--Westlock"," 164","Barrhead",21,9,1,10,26,62,1,130,388
48028,"Peace River--Westlock/Peace River--Westlock"," 165","Barrhead",15,7,1,12,30,66,5,136,400
48028,"Peace River--Westlock/Peace River--Westlock"," 166","Barrhead",16,7,0,6,24,95,2,150,406
48028,"Peace River--Westlock/Peace River--Westlock"," 167","Pibroch",21,1,0,3,14,59,0,98,310
48028,"Peace River--Westlock/Peace River--Westlock"," 168","Rossington",14,4,0,7,11,82,0,118,305
48028,"Peace River--Westlock/Peace River--Westlock"," 169","Westlock",18,1,1,4,11,94,1,130,320
48028,"Peace River--Westlock/Peace River--Westlock"," 170","Westlock",15,9,0,6,21,84,0,135,365
48028,"Peace River--Westlock/Peace River--Westlock"," 171","Meadowview",35,13,0,8,24,136,1,217,338
48028,"Peace River--Westlock/Peace River--Westlock"," 172","Westlock",22,3,0,10,20,98,1,154,465
48028,"Peace River--Westlock/Peace River--Westlock"," 173","Westlock",16,5,4,9,35,106,0,175,444
48028,"Peace River--Westlock/Peace River--Westlock"," 174","Westlock",29,9,1,15,31,105,0,190,471
48028,"Peace River--Westlock/Peace River--Westlock"," 175","Westlock",13,3,1,13,32,97,0,159,446
48028,"Peace River--Westlock/Peace River--Westlock"," 176","Westlock",25,10,1,16,28,87,2,169,443
48028,"Peace River--Westlock/Peace River--Westlock"," 177","Westlock",22,12,0,9,31,85,0,159,382
48028,"Peace River--Westlock/Peace River--Westlock"," 178","Westlock",18,1,0,12,27,78,1,137,428
48028,"Peace River--Westlock/Peace River--Westlock"," 179","Westlock",22,1,1,9,33,85,1,152,510
48028,"Peace River--Westlock/Peace River--Westlock"," 180","Tawatinaw",38,6,8,12,27,136,1,228,418
48028,"Peace River--Westlock/Peace River--Westlock"," 181","Clyde",26,4,4,10,41,103,0,188,427
48028,"Peace River--Westlock/Peace River--Westlock"," 182","Halfway Lake",34,3,2,11,30,132,0,212,425
48028,"Peace River--Westlock/Peace River--Westlock"," 183","Belvedere",33,12,0,7,16,108,0,176,350
48028,"Peace River--Westlock/Peace River--Westlock"," 184","Dunstable",29,8,3,7,20,107,0,174,399
48028,"Peace River--Westlock/Peace River--Westlock"," 185","Pickardville",29,12,2,4,11,133,0,191,369
48028,"Peace River--Westlock/Peace River--Westlock"," 186","Pickardville",40,11,3,6,15,92,1,168,341
48028,"Peace River--Westlock/Peace River--Westlock"," 187","Vimy",54,7,4,24,36,208,1,334,576
48028,"Peace River--Westlock/Peace River--Westlock"," 188","Arvilla",37,4,2,10,20,122,0,195,348
48028,"Peace River--Westlock/Peace River--Westlock"," 189","Busby",40,4,2,14,37,193,1,291,438
48028,"Peace River--Westlock/Peace River--Westlock"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
48028,"Peace River--Westlock/Peace River--Westlock"," 501","La Crête",Merged with No./Fusionné avec le n°8,,,,,,,,9
48028,"Peace River--Westlock/Peace River--Westlock"," 502","La Crête",Merged with No./Fusionné avec le n°8,,,,,,,,22
48028,"Peace River--Westlock/Peace River--Westlock"," 503","Mobile poll/Bureau itinérant",0,0,0,2,5,11,0,18,18
48028,"Peace River--Westlock/Peace River--Westlock"," 504","Mobile poll/Bureau itinérant",0,3,1,2,5,29,0,40,43
48028,"Peace River--Westlock/Peace River--Westlock"," 505","Mobile poll/Bureau itinérant",1,0,0,6,2,11,0,20,5
48028,"Peace River--Westlock/Peace River--Westlock"," 506","Mobile poll/Bureau itinérant",Results combined with no. 505/Résultats combinés au n° 505,,,,,,,,28
48028,"Peace River--Westlock/Peace River--Westlock"," 507","Peace River",Merged with No./Fusionné avec le n°41,,,,,,,,20
48028,"Peace River--Westlock/Peace River--Westlock"," 508","Mobile poll/Bureau itinérant",1,2,0,7,7,27,2,46,70
48028,"Peace River--Westlock/Peace River--Westlock"," 509","Mobile poll/Bureau itinérant",0,0,0,5,4,13,0,22,34
48028,"Peace River--Westlock/Peace River--Westlock"," 510","Mobile poll/Bureau itinérant",6,7,3,8,9,26,0,59,78
48028,"Peace River--Westlock/Peace River--Westlock"," 511","Mobile poll/Bureau itinérant",1,1,3,9,3,12,0,29,39
48028,"Peace River--Westlock/Peace River--Westlock"," 512","Mobile poll/Bureau itinérant",3,2,1,11,1,12,2,32,38
48028,"Peace River--Westlock/Peace River--Westlock"," 513","Mobile poll/Bureau itinérant",8,2,1,6,3,20,1,41,53
48028,"Peace River--Westlock/Peace River--Westlock"," 514","Mobile poll/Bureau itinérant",0,1,0,3,0,5,0,9,12
48028,"Peace River--Westlock/Peace River--Westlock"," 515","Mobile poll/Bureau itinérant",1,0,0,3,0,5,0,9,12
48028,"Peace River--Westlock/Peace River--Westlock"," 516","Mobile poll/Bureau itinérant",2,3,0,5,4,23,1,38,54
48028,"Peace River--Westlock/Peace River--Westlock"," 517","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
48028,"Peace River--Westlock/Peace River--Westlock"," 518","Mobile poll/Bureau itinérant",3,4,1,4,3,19,2,36,78
48028,"Peace River--Westlock/Peace River--Westlock"," 519","Mobile poll/Bureau itinérant",0,0,0,1,0,6,0,7,19
48028,"Peace River--Westlock/Peace River--Westlock"," 520","Mobile poll/Bureau itinérant",Results combined with no. 109/Résultats combinés au n° 109,,,,,,,,15
48028,"Peace River--Westlock/Peace River--Westlock"," 521","Mobile poll/Bureau itinérant",1,0,0,2,1,5,0,9,16
48028,"Peace River--Westlock/Peace River--Westlock"," 522","Mobile poll/Bureau itinérant",1,1,3,4,1,20,0,30,44
48028,"Peace River--Westlock/Peace River--Westlock"," 523","Mobile poll/Bureau itinérant",0,0,0,3,2,9,0,14,21
48028,"Peace River--Westlock/Peace River--Westlock"," 524","Mobile poll/Bureau itinérant",0,0,0,2,2,12,0,16,39
48028,"Peace River--Westlock/Peace River--Westlock"," 525","Mobile poll/Bureau itinérant",1,0,0,2,2,11,0,16,31
48028,"Peace River--Westlock/Peace River--Westlock"," 526","Mobile poll/Bureau itinérant",2,2,0,1,4,24,1,34,80
48028,"Peace River--Westlock/Peace River--Westlock"," 527","Mobile poll/Bureau itinérant",0,0,0,9,7,30,0,46,51
48028,"Peace River--Westlock/Peace River--Westlock"," 528","Mobile poll/Bureau itinérant",0,0,1,2,0,6,0,9,15
48028,"Peace River--Westlock/Peace River--Westlock"," 529","Mobile poll/Bureau itinérant",5,2,1,9,8,38,7,70,101
48028,"Peace River--Westlock/Peace River--Westlock"," 530","Mobile poll/Bureau itinérant",1,1,1,10,5,53,0,71,112
48028,"Peace River--Westlock/Peace River--Westlock"," 531","Mobile poll/Bureau itinérant",4,2,2,3,4,22,1,38,102
48028,"Peace River--Westlock/Peace River--Westlock"," 600","Mackenzie County--Fort Vermilion",43,7,0,7,25,102,2,186,
48028,"Peace River--Westlock/Peace River--Westlock"," 601","Mackenzie County--La Crête",320,37,0,6,19,792,2,1176,
48028,"Peace River--Westlock/Peace River--Westlock"," 602","Peace River",59,35,1,30,74,344,1,544,
48028,"Peace River--Westlock/Peace River--Westlock"," 603","Loon Lake",6,0,0,2,2,36,0,46,
48028,"Peace River--Westlock/Peace River--Westlock"," 604","Peace River",60,35,7,60,182,333,2,679,
48028,"Peace River--Westlock/Peace River--Westlock"," 605","Grimshaw",83,36,7,22,80,479,5,712,
48028,"Peace River--Westlock/Peace River--Westlock"," 606","Birch Hills County",53,88,8,46,93,702,4,994,
48028,"Peace River--Westlock/Peace River--Westlock"," 607","Falher",67,54,2,32,71,432,1,659,
48028,"Peace River--Westlock/Peace River--Westlock"," 608","Valleyview",99,185,5,24,53,560,7,933,
48028,"Peace River--Westlock/Peace River--Westlock"," 609","High Prairie",55,36,5,48,102,396,2,644,
48028,"Peace River--Westlock/Peace River--Westlock"," 610","High Prairie",29,17,3,11,50,203,1,314,
48028,"Peace River--Westlock/Peace River--Westlock"," 611","Slave Lake",115,30,3,25,90,568,1,832,
48028,"Peace River--Westlock/Peace River--Westlock"," 612","Slave Lake",87,25,2,29,123,513,0,779,
48028,"Peace River--Westlock/Peace River--Westlock"," 613","Smith",6,4,0,0,13,75,0,98,
48028,"Peace River--Westlock/Peace River--Westlock"," 614","Westlock County",81,28,5,33,70,450,1,668,
48028,"Peace River--Westlock/Peace River--Westlock"," 615","Westlock",70,22,9,58,105,540,1,805,
48028,"Peace River--Westlock/Peace River--Westlock"," 616","Westlock County",76,22,4,22,66,372,0,562,
48028,"Peace River--Westlock/Peace River--Westlock"," 617","Barrhead",106,65,16,89,128,677,13,1094,
48028,"Peace River--Westlock/Peace River--Westlock"," 618","Barrhead County No. 11--Fort Assiniboine",134,63,5,28,68,632,1,931,
48028,"Peace River--Westlock/Peace River--Westlock"," 619","Swan Hills",25,12,0,10,29,191,0,267,
48028,"Peace River--Westlock/Peace River--Westlock"," 620","Fox Creek",29,34,4,15,23,282,0,387,
48028,"Peace River--Westlock/Peace River--Westlock"," 621","Whitecourt",78,64,12,33,61,624,0,872,
48028,"Peace River--Westlock/Peace River--Westlock"," 622","Whitecourt",103,72,5,38,68,618,1,905,
48028,"Peace River--Westlock/Peace River--Westlock"," 623","Whitecourt",97,72,1,43,53,795,2,1063,
48028,"Peace River--Westlock/Peace River--Westlock",,Group 1/Groupe 1, 45,20,4,44,73,253,22,461,93
48028,"Peace River--Westlock/Peace River--Westlock",,Group 2/Groupe 2, 115,87,9,84,165,730,9,1199,
