Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Bayer,Ewan DeSilva,Iqra Khalid,James Nguyen,Kaukab Usman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 17","Mississauga",4,2,77,93,12,2,190,395
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 18","Mississauga",6,7,104,62,24,4,207,455
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 19","Mississauga",19,5,98,72,17,0,211,466
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 20","Mississauga",2,2,63,48,18,0,133,435
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 21","Mississauga",9,5,99,69,26,0,208,342
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 22","Mississauga",Merged with No./Fusionné avec le n°21,,,,,,,367
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 23","Mississauga",14,5,129,158,20,2,328,343
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 24","Mississauga",Merged with No./Fusionné avec le n°23,,,,,,,428
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 25","Mississauga",10,5,119,111,49,0,294,442
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 26","Mississauga",13,3,94,75,15,0,200,478
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 27","Mississauga",7,6,169,141,20,0,343,388
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 28","Mississauga",Merged with No./Fusionné avec le n°27,,,,,,,350
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 29","Mississauga",9,2,110,70,29,1,221,502
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 30","Mississauga",11,4,92,54,15,1,177,492
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 31","Mississauga",5,4,144,52,22,0,227,500
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 32","Mississauga",5,1,72,63,12,1,154,443
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 33","Mississauga",2,1,119,63,18,0,203,481
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 34","Mississauga",4,3,133,68,24,1,233,556
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 35","Mississauga",2,2,126,54,19,3,206,430
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 36","Mississauga",10,4,122,40,33,1,210,429
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 37","Mississauga",12,6,157,98,46,1,320,822
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 38","Mississauga",6,2,118,127,22,3,278,522
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 39","Mississauga",3,1,115,99,26,0,244,515
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 40","Mississauga",6,2,125,60,30,3,226,502
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 41","Mississauga",8,4,92,98,23,1,226,499
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 42","Mississauga",2,3,125,63,34,2,229,584
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 43","Mississauga",9,3,83,50,29,2,176,452
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 44","Mississauga",7,6,107,65,24,2,211,467
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 45","Mississauga",2,3,55,41,14,0,115,389
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 46","Mississauga",8,4,85,72,21,4,194,325
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 47","Mississauga",Merged with No./Fusionné avec le n°46,,,,,,,386
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 48","Mississauga",13,3,107,87,22,3,235,380
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 49","Mississauga",Merged with No./Fusionné avec le n°48,,,,,,,355
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 50","Mississauga",15,3,59,39,10,0,126,578
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 51","Mississauga",9,7,67,47,14,0,144,505
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 52","Mississauga",Merged with No./Fusionné avec le n°25,,,,,,,267
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 53","Mississauga",5,0,105,71,38,2,221,451
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 54","Mississauga",7,0,124,59,16,0,206,412
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 55","Mississauga",1,3,92,66,26,1,189,427
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 56","Mississauga",14,5,101,62,39,2,223,413
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 57","Mississauga",7,1,150,78,29,0,265,667
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 58","Mississauga",4,4,124,58,31,1,222,640
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 59","Mississauga",2,4,84,46,17,0,153,435
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 60","Mississauga",4,4,121,96,25,0,250,474
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 61","Mississauga",9,2,86,40,22,2,161,534
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 62","Mississauga",8,5,123,69,13,2,220,415
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 63","Mississauga",12,5,99,75,38,1,230,730
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 64","Mississauga",3,0,132,71,18,0,224,497
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 65","Mississauga",10,7,152,98,43,2,312,869
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 66","Mississauga",16,3,79,68,20,1,187,480
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 67","Mississauga",3,1,64,62,12,1,143,413
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 68","Mississauga",9,4,91,60,11,1,176,521
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 69","Mississauga",5,4,74,60,24,1,168,479
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 70","Mississauga",6,5,84,56,15,2,168,422
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 71","Mississauga",19,5,102,76,40,0,242,291
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 72","Mississauga",9,0,131,57,18,2,217,678
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 73","Mississauga",1,0,72,46,12,1,132,572
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 74","Mississauga",6,2,76,38,18,0,140,590
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 75","Mississauga",1,2,61,31,11,1,107,430
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 76","Mississauga",7,6,131,76,24,0,244,623
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 77","Mississauga",8,2,93,51,29,0,183,525
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 78","Mississauga",5,5,112,38,27,2,189,621
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 79","Mississauga",6,5,128,63,12,3,217,689
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 80","Mississauga",5,3,94,48,21,1,172,562
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 81","Mississauga",1,2,100,51,17,0,171,581
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 82","Mississauga",9,5,131,76,31,2,254,370
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 83","Mississauga",Merged with No./Fusionné avec le n°82,,,,,,,400
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 84","Mississauga",5,0,79,61,25,2,172,455
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 85","Mississauga",Merged with No./Fusionné avec le n°84,,,,,,,329
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 86","Mississauga",Void/Supprimé,,,,,,,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 87","Mississauga",12,3,68,55,22,0,160,488
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 88","Mississauga",3,2,71,65,22,0,163,517
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 89","Mississauga",11,1,58,57,10,0,137,419
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 90","Mississauga",6,8,81,41,26,0,162,338
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 91","Mississauga",Merged with No./Fusionné avec le n°71,,,,,,,391
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 92","Mississauga",8,7,71,55,26,0,167,417
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 93","Mississauga",3,5,91,58,28,1,186,518
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 94","Mississauga",4,2,70,38,15,1,130,430
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 95","Mississauga",2,0,61,49,13,0,125,434
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 96","Mississauga",4,3,62,43,17,2,131,440
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 97","Mississauga",4,4,60,75,18,1,162,493
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 98","Mississauga",1,3,79,38,12,0,133,459
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 99","Mississauga",3,0,37,29,6,0,75,436
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 100","Mississauga",0,2,52,24,23,0,101,467
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 101","Mississauga",6,4,70,41,25,0,146,527
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 102","Mississauga",8,7,71,41,18,2,147,439
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 103","Mississauga",9,5,91,75,19,4,203,560
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 104","Mississauga",5,2,76,27,17,2,129,384
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 105","Mississauga",11,2,71,48,28,3,163,602
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 106","Mississauga",17,11,84,72,42,3,229,307
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 107","Mississauga",Merged with No./Fusionné avec le n°106,,,,,,,414
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 108","Mississauga",9,4,90,98,38,0,239,493
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 109","Mississauga",3,3,55,56,15,0,132,519
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 110","Mississauga",7,3,75,49,15,0,149,512
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 111","Mississauga",Merged with No./Fusionné avec le n°108,,,,,,,415
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 112","Mississauga",2,0,53,57,19,2,133,496
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 113","Mississauga",7,2,69,41,15,1,135,474
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 114","Mississauga",4,4,80,48,15,2,153,412
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 115","Mississauga",6,2,107,47,45,7,214,559
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 116","Mississauga",9,4,52,63,23,1,152,465
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 117","Mississauga",11,4,70,52,28,0,165,450
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 118","Mississauga",13,5,87,56,29,2,192,493
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 119","Mississauga",14,4,130,107,46,5,306,391
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 120","Mississauga",Merged with No./Fusionné avec le n°119,,,,,,,447
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 121","Mississauga",4,6,115,104,15,2,246,542
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 122","Mississauga",3,1,140,94,25,0,263,520
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 123","Mississauga",6,2,88,91,11,0,198,431
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 124","Mississauga",7,5,86,75,27,2,202,504
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 125","Mississauga",0,2,76,52,8,2,140,438
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 126","Mississauga",4,0,59,22,9,0,94,357
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 127","Mississauga",2,1,94,43,22,1,163,526
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 128","Mississauga",8,12,87,71,17,3,198,527
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 129","Mississauga",12,8,129,93,38,3,283,390
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 130","Mississauga",Merged with No./Fusionné avec le n°129,,,,,,,454
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 131","Mississauga",14,7,84,54,16,1,176,432
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 132","Mississauga",Merged with No./Fusionné avec le n°131,,,,,,,320
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 133","Mississauga",2,4,60,39,14,1,120,435
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 134","Mississauga",5,3,94,42,13,1,158,527
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 135","Mississauga",7,3,68,58,15,8,159,539
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 136","Mississauga",6,2,99,53,25,1,186,557
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 137","Mississauga",8,1,79,54,14,2,158,492
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 138","Mississauga",1,0,95,49,15,0,160,520
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 139","Mississauga",1,1,81,61,14,0,158,482
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 140","Mississauga",4,0,77,52,22,1,156,478
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 141","Mississauga",9,5,95,45,18,0,172,526
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 142","Mississauga",7,1,125,33,14,3,183,618
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 143","Mississauga",3,0,71,21,19,4,118,401
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 144","Mississauga",1,2,76,29,14,1,123,457
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 145","Mississauga",4,5,55,56,8,1,129,467
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 146","Mississauga",9,7,128,88,22,3,257,426
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 147","Mississauga",Merged with No./Fusionné avec le n°146,,,,,,,357
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 148","Mississauga",7,6,111,56,24,1,205,375
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 149","Mississauga",Merged with No./Fusionné avec le n°148,,,,,,,406
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 150","Mississauga",2,2,76,44,13,4,141,465
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 151","Mississauga",6,3,118,55,33,3,218,390
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 152","Mississauga",21,12,153,116,53,4,359,454
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 153","Mississauga",Merged with No./Fusionné avec le n°152,,,,,,,367
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 154","Mississauga",17,10,126,86,48,0,287,358
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 155","Mississauga",Merged with No./Fusionné avec le n°154,,,,,,,423
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 156","Mississauga",15,5,66,37,24,2,149,398
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 157","Mississauga",14,7,64,50,8,2,145,403
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 158","Mississauga",9,2,52,52,23,0,138,458
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 159","Mississauga",13,9,128,73,20,0,243,445
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 160","Mississauga",Merged with No./Fusionné avec le n°159,,,,,,,382
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 161","Mississauga",9,4,161,94,26,0,294,386
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 162","Mississauga",Merged with No./Fusionné avec le n°161,,,,,,,412
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 163","Mississauga",14,3,93,71,17,0,198,495
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 164","Mississauga",5,0,126,116,38,5,290,365
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 165","Mississauga",Merged with No./Fusionné avec le n°164,,,,,,,381
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 166","Mississauga",5,5,72,48,20,1,151,507
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 167","Mississauga",9,4,123,101,18,0,255,386
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 168","Mississauga",Merged with No./Fusionné avec le n°167,,,,,,,268
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 169","Mississauga",3,2,91,13,19,1,129,448
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 170","Mississauga",13,5,96,74,29,3,220,511
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 171","Mississauga",Merged with No./Fusionné avec le n°151,,,,,,,381
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 172","Mississauga",8,4,73,45,14,0,144,495
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 173","Mississauga",9,6,118,88,34,0,255,421
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 174","Mississauga",Merged with No./Fusionné avec le n°173,,,,,,,379
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 175","Mississauga",5,3,54,48,18,3,131,433
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 176","Mississauga",3,1,77,41,13,1,136,443
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 177","Mississauga",2,4,83,57,15,1,162,496
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 178","Mississauga",4,3,93,69,25,1,195,321
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 179","Mississauga",10,2,87,72,21,3,195,376
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 180","Mississauga",Merged with No./Fusionné avec le n°178,,,,,,,456
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 181","Mississauga",Merged with No./Fusionné avec le n°179,,,,,,,537
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 182","Mississauga",8,4,71,22,10,3,118,566
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 400","Mississauga",18,6,130,88,28,10,280,212
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 401","Mississauga",Merged with No./Fusionné avec le n°400,,,,,,,175
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 402","Mississauga",Merged with No./Fusionné avec le n°400,,,,,,,130
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 403","Mississauga",10,5,102,64,17,2,200,232
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 404","Mississauga",Merged with No./Fusionné avec le n°403,,,,,,,214
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 405","Mississauga",Merged with No./Fusionné avec le n°90,,,,,,,296
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 406","Mobile poll/Bureau itinérant",4,4,67,44,7,2,128,183
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 407","Mississauga",Merged with No./Fusionné avec le n°92,,,,,,,177
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 408","Mississauga",6,3,85,34,30,1,159,172
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 500","Mobile poll/Bureau itinérant",2,1,16,11,2,2,34,86
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°20,,,,,,,1
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 502","Mobile poll/Bureau itinérant",2,0,34,14,5,6,61,97
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°20,,,,,,,297
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 504","Mobile poll/Bureau itinérant",0,0,35,10,3,2,50,79
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 505","Mobile poll/Bureau itinérant",2,0,14,7,2,0,25,52
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 506","Mobile poll/Bureau itinérant",3,4,21,20,2,2,52,164
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 507","Mobile poll/Bureau itinérant",1,2,31,17,6,5,62,144
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 508","Mobile poll/Bureau itinérant",1,1,51,13,1,1,68,127
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 509","Mobile poll/Bureau itinérant",3,0,14,29,0,2,48,69
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 600","Mississauga",27,6,289,204,53,1,580,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 601","Mississauga",21,12,493,238,88,3,855,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 602","Mississauga",13,7,473,217,56,1,767,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 603","Mississauga",13,7,341,161,45,2,569,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 604","Mississauga",21,11,624,329,78,2,1065,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 605","Mississauga",21,18,753,427,109,0,1328,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 606","Mississauga",12,6,460,250,36,1,765,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 607","Mississauga",24,5,445,243,63,2,782,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 608","Mississauga",15,4,243,162,39,1,464,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 609","Mississauga",26,10,352,178,64,3,633,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 610","Mississauga",46,15,624,499,103,9,1296,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 611","Mississauga",37,16,705,467,95,7,1327,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 612","Mississauga",38,16,512,359,89,3,1017,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 613","Mississauga",59,18,548,406,93,6,1130,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 614","Mississauga",25,13,466,229,83,4,820,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 615","Mississauga",60,27,705,560,133,3,1488,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 616","Mississauga",37,9,537,476,67,5,1131,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 617","Mississauga",29,7,438,323,72,5,874,
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills",,Group 1/Groupe 1, 12,9,292,172,105,24,614,307
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills",,Group 2/Groupe 2, 50,35,1557,1102,234,57,3035,
