Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Boskovic,Mary Henein Thorn,Mike Morrice,Ellen Papenburg,Raj Saini,Beisan Zubi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35045,"Kitchener Centre/Kitchener-Centre"," 503","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,,150
35045,"Kitchener Centre/Kitchener-Centre"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°166,,,,,,,,67
35045,"Kitchener Centre/Kitchener-Centre"," 505","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,,65
35045,"Kitchener Centre/Kitchener-Centre"," 506","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,,63
35045,"Kitchener Centre/Kitchener-Centre"," 507","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,,52
35045,"Kitchener Centre/Kitchener-Centre"," 508","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,,143
35045,"Kitchener Centre/Kitchener-Centre"," 600","Kitchener",77,335,648,4,220,231,9,1524,
35045,"Kitchener Centre/Kitchener-Centre"," 601","Kitchener",81,229,380,4,192,206,12,1104,
35045,"Kitchener Centre/Kitchener-Centre"," 602","Kitchener",65,204,593,0,150,224,20,1256,
35045,"Kitchener Centre/Kitchener-Centre"," 603","Kitchener",127,348,709,5,232,322,8,1751,
35045,"Kitchener Centre/Kitchener-Centre"," 604","Kitchener",78,179,609,2,111,149,7,1135,
35045,"Kitchener Centre/Kitchener-Centre"," 605","Kitchener",130,582,468,2,243,174,15,1614,
35045,"Kitchener Centre/Kitchener-Centre"," 606","Kitchener",117,386,407,2,227,155,20,1314,
35045,"Kitchener Centre/Kitchener-Centre"," 607","Kitchener",127,764,460,3,292,214,18,1878,
35045,"Kitchener Centre/Kitchener-Centre"," 608","Kitchener",75,357,316,4,140,110,12,1014,
35045,"Kitchener Centre/Kitchener-Centre"," 609","Kitchener",77,274,639,4,143,158,27,1322,
35045,"Kitchener Centre/Kitchener-Centre"," 610","Kitchener",106,237,360,2,157,184,14,1060,
35045,"Kitchener Centre/Kitchener-Centre"," 611","Kitchener",90,300,513,3,181,197,12,1296,
35045,"Kitchener Centre/Kitchener-Centre"," 612","Kitchener",95,314,356,5,225,192,13,1200,
35045,"Kitchener Centre/Kitchener-Centre",,Group 1/Groupe 1, 14,92,188,0,109,132,25,560,271
35045,"Kitchener Centre/Kitchener-Centre",,Group 2/Groupe 2, 67,465,1021,5,418,483,54,2513,
