Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Doug Bebb,Terry Grimwood,Gordon Jeffrey,Avi Lewis,Chris MacGregor,Mike Simpson,Patrick Weiler,John Weston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 111","Roberts Creek",14,0,0,51,0,7,31,38,1,142,382
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 112","Roberts Creek",8,0,1,50,0,9,27,22,1,118,413
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 113","Roberts Creek",5,0,0,64,0,5,28,12,0,114,363
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 114","Roberts Creek",6,1,1,59,0,8,17,20,0,112,385
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 115","Roberts Creek",8,0,0,45,0,3,36,15,1,108,388
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 116","Roberts Creek",12,0,1,126,0,19,50,32,0,240,392
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 117","Gibsons",8,0,0,49,0,2,20,19,0,98,355
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 118","Granthams Landing",5,0,0,40,0,9,30,23,0,107,290
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 119","Gibsons",7,0,0,61,0,10,27,18,2,125,282
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 120","Gibsons",4,0,0,52,0,6,32,18,1,113,357
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 121","Gibsons",7,0,0,57,0,12,41,20,0,137,394
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 122","Gibsons",8,0,0,59,0,5,45,29,0,146,373
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 123","Gibsons",3,0,0,54,0,6,37,37,0,137,361
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 124","Gibsons",7,1,1,52,1,14,32,37,0,145,379
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 125","Gibsons",5,0,0,59,0,9,30,34,0,137,591
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 126","Gibsons",9,1,0,44,0,5,21,19,0,99,360
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 127","Gibsons",Merged with No./Fusionné avec le n°132,,,,,,,,,,214
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 128","Gibsons",6,0,0,39,0,1,35,22,1,104,361
