Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Michael DeVita,Mario Greco,Muhammad Hassan Khan,Luca Mele,Angela Panacci,Francesco Sorbara,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 81","Vaughan",10,18,1,0,78,65,1,173,491
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 82","Vaughan",6,5,0,0,64,36,0,111,375
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 83","Vaughan",7,5,2,0,43,58,0,115,342
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 84","Vaughan",7,7,0,0,73,38,0,125,349
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 85","Vaughan",8,13,3,0,51,95,0,170,416
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 86","Vaughan",14,9,4,0,39,77,3,146,331
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 87","Vaughan",4,10,0,0,71,64,0,149,374
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 88","Vaughan",6,9,0,0,52,82,1,150,348
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 89","Vaughan",8,5,1,2,54,82,0,152,433
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 90","Vaughan",20,10,1,1,46,74,0,152,423
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 91","Vaughan",16,10,6,1,83,91,2,209,511
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 92","Vaughan",21,9,1,0,75,65,2,173,387
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 93","Vaughan",13,4,1,0,83,93,1,195,502
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 94","Vaughan",3,4,0,0,66,26,0,99,255
