Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jerome Adamo,Anita Anand,Kerry Colborne,Oriana Knox,JD Meaney,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35072,"Oakville/Oakville"," 62","Oakville",33,72,70,6,14,0,195,483
35072,"Oakville/Oakville"," 63","Oakville",13,56,39,2,4,1,115,289
35072,"Oakville/Oakville"," 64","Oakville",12,68,55,6,5,0,146,420
35072,"Oakville/Oakville"," 65","Oakville",24,48,55,3,13,2,145,389
35072,"Oakville/Oakville"," 66","Oakville",15,49,44,6,9,0,123,371
35072,"Oakville/Oakville"," 67","Oakville",72,59,29,4,8,1,173,451
35072,"Oakville/Oakville"," 68","Oakville",13,68,53,2,4,1,141,409
35072,"Oakville/Oakville"," 69","Oakville",29,38,38,0,11,2,118,328
35072,"Oakville/Oakville"," 70","Oakville",17,55,28,6,6,1,113,307
35072,"Oakville/Oakville"," 71","Oakville",13,42,48,2,4,0,109,408
35072,"Oakville/Oakville"," 72","Oakville",78,76,38,5,14,0,211,585
35072,"Oakville/Oakville"," 73","Oakville",4,53,69,3,6,0,135,402
35072,"Oakville/Oakville"," 74","Oakville",3,45,78,2,3,1,132,416
35072,"Oakville/Oakville"," 75","Oakville",11,53,69,0,5,0,138,390
35072,"Oakville/Oakville"," 76","Oakville",8,48,84,0,8,1,149,422
35072,"Oakville/Oakville"," 77","Oakville",7,50,52,1,2,1,113,381
35072,"Oakville/Oakville"," 78","Oakville",2,45,23,2,2,0,74,285
35072,"Oakville/Oakville"," 79","Oakville",66,59,39,9,7,2,182,428
35072,"Oakville/Oakville"," 80","Oakville",21,55,28,1,7,1,113,324
35072,"Oakville/Oakville"," 81","Oakville",22,60,35,6,7,0,130,395
35072,"Oakville/Oakville"," 82","Oakville",25,59,51,2,13,0,150,354
35072,"Oakville/Oakville"," 83","Oakville",27,44,29,3,4,0,107,352
35072,"Oakville/Oakville"," 84","Oakville",22,67,52,3,3,0,147,302
35072,"Oakville/Oakville"," 85","Oakville",35,62,46,6,8,3,160,462
35072,"Oakville/Oakville"," 86","Oakville",29,61,65,7,15,0,177,432
35072,"Oakville/Oakville"," 87","Oakville",15,77,49,2,13,0,156,391
35072,"Oakville/Oakville"," 88","Oakville",13,67,68,4,9,3,164,448
35072,"Oakville/Oakville"," 89","Oakville",14,74,71,4,2,0,165,454
35072,"Oakville/Oakville"," 90","Oakville",4,47,90,2,5,0,148,437
35072,"Oakville/Oakville"," 91","Oakville",4,50,89,5,4,0,152,421
35072,"Oakville/Oakville"," 92","Oakville",7,68,85,4,3,2,169,466
35072,"Oakville/Oakville"," 93","Oakville",15,77,50,3,6,1,152,359
35072,"Oakville/Oakville"," 94","Oakville",14,57,59,3,2,0,135,422
35072,"Oakville/Oakville"," 95","Oakville",36,75,74,10,17,3,215,491
35072,"Oakville/Oakville"," 96","Oakville",23,82,61,4,10,2,182,403
35072,"Oakville/Oakville"," 97","Oakville",20,68,94,9,14,0,205,479
35072,"Oakville/Oakville"," 98","Oakville",27,66,63,3,7,0,166,382
35072,"Oakville/Oakville"," 99","Oakville",15,84,52,4,11,1,167,401
35072,"Oakville/Oakville"," 100","Oakville",39,56,89,5,7,2,198,430
35072,"Oakville/Oakville"," 101","Oakville",18,128,72,3,4,1,226,424
35072,"Oakville/Oakville"," 102","Oakville",16,72,46,0,2,1,137,427
35072,"Oakville/Oakville"," 103","Oakville",7,47,98,3,1,0,156,429
35072,"Oakville/Oakville"," 104","Oakville",20,77,56,5,6,1,165,397
35072,"Oakville/Oakville"," 105","Oakville",19,82,59,5,9,0,174,375
35072,"Oakville/Oakville"," 106","Oakville",6,33,39,1,2,0,81,286
35072,"Oakville/Oakville"," 107","Oakville",18,80,45,4,7,1,155,405
35072,"Oakville/Oakville"," 108","Oakville",36,85,41,6,7,1,176,460
35072,"Oakville/Oakville"," 109","Oakville",24,63,41,3,7,0,138,358
35072,"Oakville/Oakville"," 110","Oakville",34,68,37,5,8,0,152,515
35072,"Oakville/Oakville"," 111","Oakville",24,50,37,3,5,0,119,347
35072,"Oakville/Oakville"," 112","Oakville",40,138,43,9,5,2,237,538
35072,"Oakville/Oakville"," 113","Oakville",21,62,43,5,5,0,136,380
35072,"Oakville/Oakville"," 114","Oakville",25,64,61,5,9,0,164,400
35072,"Oakville/Oakville"," 115","Oakville",26,97,26,2,6,0,157,391
35072,"Oakville/Oakville"," 116","Oakville",4,50,24,1,0,0,79,293
35072,"Oakville/Oakville"," 117","Oakville",22,39,23,4,4,0,92,331
35072,"Oakville/Oakville"," 118","Oakville",29,96,42,6,6,0,179,496
35072,"Oakville/Oakville"," 119","Oakville",18,71,54,4,0,0,147,397
35072,"Oakville/Oakville"," 120","Oakville",5,48,39,3,2,0,97,279
35072,"Oakville/Oakville"," 121","Oakville",10,42,24,2,6,0,84,273
35072,"Oakville/Oakville"," 122","Oakville",9,46,54,2,0,0,111,307
35072,"Oakville/Oakville"," 123","Oakville",10,51,36,1,0,0,98,293
35072,"Oakville/Oakville"," 124","Oakville",21,59,31,1,3,2,117,367
35072,"Oakville/Oakville"," 125","Oakville",12,66,59,6,5,1,149,400
35072,"Oakville/Oakville"," 126","Oakville",7,73,73,0,4,0,157,419
35072,"Oakville/Oakville"," 127A","Oakville",9,47,53,0,4,1,114,366
35072,"Oakville/Oakville"," 127B","Mobile poll/Bureau itinérant",4,33,12,2,0,0,51,73
35072,"Oakville/Oakville"," 128","Oakville",17,75,77,10,2,0,181,577
35072,"Oakville/Oakville"," 129","Oakville",25,69,56,3,3,0,156,418
35072,"Oakville/Oakville"," 130","Oakville",17,69,34,3,3,0,126,399
35072,"Oakville/Oakville"," 131","Oakville",27,96,99,5,9,0,236,607
35072,"Oakville/Oakville"," 132","Oakville",16,41,36,0,10,0,103,294
35072,"Oakville/Oakville"," 133","Oakville",14,53,31,2,4,0,104,319
35072,"Oakville/Oakville"," 134","Oakville",8,64,40,10,5,2,129,390
35072,"Oakville/Oakville"," 135","Oakville",11,51,23,3,6,0,94,344
35072,"Oakville/Oakville"," 136","Oakville",23,80,69,3,9,7,191,636
35072,"Oakville/Oakville"," 137","Oakville",9,67,55,3,4,0,138,335
35072,"Oakville/Oakville"," 138","Oakville",20,70,60,4,4,0,158,426
35072,"Oakville/Oakville"," 139","Oakville",10,41,55,1,6,0,113,265
35072,"Oakville/Oakville"," 140","Oakville",4,50,49,0,1,0,104,310
35072,"Oakville/Oakville"," 141","Oakville",28,88,90,6,11,1,224,485
35072,"Oakville/Oakville"," 142","Oakville",10,73,57,2,3,0,145,448
35072,"Oakville/Oakville"," 143","Oakville",7,45,57,1,3,2,115,340
35072,"Oakville/Oakville"," 144","Oakville",11,75,53,3,3,1,146,364
35072,"Oakville/Oakville"," 145","Oakville",7,29,45,2,2,0,85,252
35072,"Oakville/Oakville"," 146","Oakville",30,101,45,3,7,0,186,534
35072,"Oakville/Oakville"," 147","Oakville",20,81,81,4,3,1,190,427
35072,"Oakville/Oakville"," 148","Oakville",20,70,83,5,9,2,189,413
35072,"Oakville/Oakville"," 149","Oakville",11,78,98,2,7,0,196,433
35072,"Oakville/Oakville"," 150","Oakville",15,84,54,7,1,0,161,369
35072,"Oakville/Oakville"," 151","Oakville",11,58,69,3,6,0,147,414
35072,"Oakville/Oakville"," 152","Oakville",21,62,77,3,3,1,167,477
35072,"Oakville/Oakville"," 153","Oakville",15,68,44,8,5,0,140,443
35072,"Oakville/Oakville"," 154","Oakville",22,75,55,3,14,4,173,450
35072,"Oakville/Oakville"," 155","Oakville",9,79,61,3,3,2,157,416
35072,"Oakville/Oakville"," 156","Oakville",23,86,34,3,2,2,150,550
35072,"Oakville/Oakville"," 157","Oakville",9,60,86,1,10,1,167,467
35072,"Oakville/Oakville"," 158","Oakville",13,64,63,1,8,1,150,411
35072,"Oakville/Oakville"," 159","Oakville",7,58,66,4,8,0,143,343
35072,"Oakville/Oakville"," 160","Oakville",12,83,64,2,10,2,173,414
35072,"Oakville/Oakville"," 161","Oakville",14,46,48,1,4,0,113,303
35072,"Oakville/Oakville"," 162","Oakville",17,66,63,2,4,2,154,326
35072,"Oakville/Oakville"," 163","Oakville",15,61,52,4,10,1,143,327
35072,"Oakville/Oakville"," 164","Oakville",13,71,55,2,12,3,156,428
35072,"Oakville/Oakville"," 165","Oakville",14,52,39,5,6,2,118,344
35072,"Oakville/Oakville"," 166","Oakville",11,70,72,2,5,1,161,371
35072,"Oakville/Oakville"," 167","Oakville",11,54,58,3,3,1,130,330
35072,"Oakville/Oakville"," 168","Oakville",11,61,90,10,7,0,179,390
35072,"Oakville/Oakville"," 169","Oakville",14,49,61,4,6,1,135,376
35072,"Oakville/Oakville"," 170","Oakville",19,75,68,2,8,0,172,446
35072,"Oakville/Oakville"," 171","Oakville",20,68,74,4,5,0,171,411
35072,"Oakville/Oakville"," 172","Oakville",7,55,60,2,0,0,124,384
35072,"Oakville/Oakville"," 173","Oakville",8,58,56,1,1,0,124,434
35072,"Oakville/Oakville"," 174","Oakville",8,64,71,4,5,0,152,407
35072,"Oakville/Oakville"," 175","Oakville",11,64,95,3,8,0,181,414
35072,"Oakville/Oakville"," 176","Oakville",20,53,81,5,13,0,172,480
35072,"Oakville/Oakville"," 177","Oakville",17,84,58,2,10,0,171,431
35072,"Oakville/Oakville"," 178","Oakville",16,79,47,2,7,0,151,447
35072,"Oakville/Oakville"," 179","Oakville",11,81,48,2,2,0,144,414
35072,"Oakville/Oakville"," 180","Oakville",24,59,84,1,16,2,186,535
35072,"Oakville/Oakville"," 181","Oakville",14,80,54,2,4,0,154,357
35072,"Oakville/Oakville"," 182","Oakville",11,106,56,2,10,0,185,436
35072,"Oakville/Oakville"," 183","Oakville",21,49,58,8,7,0,143,334
35072,"Oakville/Oakville"," 184","Oakville",7,52,49,5,8,0,121,367
35072,"Oakville/Oakville"," 185","Oakville",29,143,108,8,15,2,305,600
35072,"Oakville/Oakville"," 186","Oakville",15,60,83,5,10,2,175,406
35072,"Oakville/Oakville"," 187","Oakville",15,100,79,8,5,0,207,468
35072,"Oakville/Oakville"," 188","Oakville",20,64,66,8,2,0,160,457
35072,"Oakville/Oakville"," 189","Oakville",6,20,20,2,5,0,53,159
35072,"Oakville/Oakville"," 190","Oakville",2,29,20,2,3,0,56,159
35072,"Oakville/Oakville"," 191","Oakville",11,107,97,4,8,1,228,456
35072,"Oakville/Oakville"," 192","Oakville",8,111,57,2,0,1,179,358
35072,"Oakville/Oakville"," 193A","Oakville",Merged with No./Fusionné avec le n°133,,,,,,,105
35072,"Oakville/Oakville"," 193B","Mobile poll/Bureau itinérant",18,96,41,2,3,5,165,145
35072,"Oakville/Oakville"," 194","Oakville",19,95,69,0,10,1,194,415
35072,"Oakville/Oakville"," 195","Oakville",15,91,87,2,15,0,210,427
35072,"Oakville/Oakville"," 196","Oakville",12,69,61,5,9,0,156,350
35072,"Oakville/Oakville"," 197","Oakville",20,109,74,5,5,1,214,436
35072,"Oakville/Oakville"," 198","Oakville",13,73,69,4,9,0,168,437
35072,"Oakville/Oakville"," 199","Oakville",24,82,69,5,4,1,185,490
35072,"Oakville/Oakville"," 200","Oakville",6,51,31,2,7,0,97,456
35072,"Oakville/Oakville"," 201","Oakville",13,76,52,4,2,1,148,327
35072,"Oakville/Oakville"," 202","Oakville",10,93,74,3,11,2,193,481
35072,"Oakville/Oakville"," 203","Oakville",21,87,58,6,8,0,180,439
35072,"Oakville/Oakville"," 204","Oakville",13,55,67,0,9,0,144,388
35072,"Oakville/Oakville"," 205","Oakville",13,82,58,4,8,1,166,447
35072,"Oakville/Oakville"," 206","Oakville",17,67,55,1,6,1,147,327
35072,"Oakville/Oakville"," 207","Oakville",22,85,87,3,13,1,211,494
35072,"Oakville/Oakville"," 208","Oakville",24,86,82,3,6,1,202,507
35072,"Oakville/Oakville"," 209","Oakville",0,18,46,3,5,1,73,177
35072,"Oakville/Oakville"," 210","Oakville",17,100,74,3,11,1,206,479
35072,"Oakville/Oakville"," 211","Oakville",22,105,83,4,8,0,222,559
35072,"Oakville/Oakville"," 212","Oakville",25,73,57,7,4,0,166,406
35072,"Oakville/Oakville"," 213","Oakville",14,78,59,7,5,0,163,424
35072,"Oakville/Oakville"," 214","Oakville",30,100,98,3,8,0,239,564
35072,"Oakville/Oakville"," 215","Oakville",19,96,69,4,9,0,197,423
35072,"Oakville/Oakville"," 216","Oakville",10,83,72,3,2,2,172,430
35072,"Oakville/Oakville"," 217","Oakville",8,70,72,1,6,0,157,436
35072,"Oakville/Oakville"," 218","Oakville",18,76,91,7,10,1,203,452
35072,"Oakville/Oakville"," 400","Oakville",18,78,57,4,1,7,165,297
35072,"Oakville/Oakville"," 401","Oakville",16,50,36,1,7,0,110,212
35072,"Oakville/Oakville"," 402","Oakville",29,58,41,3,8,3,142,272
35072,"Oakville/Oakville"," 403","Oakville",7,70,36,4,3,4,124,210
35072,"Oakville/Oakville"," 404","Oakville",0,65,67,0,1,0,133,246
35072,"Oakville/Oakville"," 405","Oakville",1,81,60,0,0,0,142,269
35072,"Oakville/Oakville"," 406","Oakville",13,86,62,4,7,1,173,270
35072,"Oakville/Oakville"," 407","Oakville",5,83,79,1,5,0,173,291
35072,"Oakville/Oakville"," 500","Mobile poll/Bureau itinérant",4,26,11,0,0,1,42,57
35072,"Oakville/Oakville"," 501","Mobile poll/Bureau itinérant",0,5,10,0,0,0,15,26
35072,"Oakville/Oakville"," 502","Mobile poll/Bureau itinérant",2,18,11,1,1,0,33,52
35072,"Oakville/Oakville"," 503","Mobile poll/Bureau itinérant",2,25,16,0,0,3,46,63
35072,"Oakville/Oakville"," 504","Mobile poll/Bureau itinérant",1,10,10,2,0,0,23,35
35072,"Oakville/Oakville"," 505","Mobile poll/Bureau itinérant",3,15,8,2,0,0,28,60
35072,"Oakville/Oakville"," 506","Oakville",Merged with No./Fusionné avec le n°133,,,,,,,15
35072,"Oakville/Oakville"," 507","Mobile poll/Bureau itinérant",1,42,20,1,0,2,66,87
35072,"Oakville/Oakville"," 508","Mobile poll/Bureau itinérant",2,14,10,0,3,1,30,39
35072,"Oakville/Oakville"," 509","Mobile poll/Bureau itinérant",4,47,42,0,0,2,95,135
35072,"Oakville/Oakville"," 600","Oakville",61,595,526,13,18,2,1215,
35072,"Oakville/Oakville"," 601","Oakville",58,558,483,14,20,4,1137,
35072,"Oakville/Oakville"," 602","Oakville",70,723,847,13,31,8,1692,
35072,"Oakville/Oakville"," 603","Oakville",108,702,614,20,31,6,1481,
35072,"Oakville/Oakville"," 604","Oakville",40,468,739,13,19,2,1281,
35072,"Oakville/Oakville"," 605","Oakville",171,656,479,33,49,10,1398,
35072,"Oakville/Oakville"," 606","Oakville",124,604,436,24,65,10,1263,
35072,"Oakville/Oakville"," 607","Oakville",50,560,689,19,20,3,1341,
35072,"Oakville/Oakville"," 608","Oakville",81,475,326,22,46,6,956,
35072,"Oakville/Oakville"," 609","Oakville",94,770,602,23,34,2,1525,
35072,"Oakville/Oakville"," 610","Oakville",88,655,688,17,37,14,1499,
35072,"Oakville/Oakville"," 611","Oakville",73,764,696,22,53,8,1616,
35072,"Oakville/Oakville"," 612","Oakville",113,819,649,17,31,2,1631,
35072,"Oakville/Oakville"," 613","Oakville",65,546,536,13,35,6,1201,
35072,"Oakville/Oakville"," 614","Oakville",74,475,396,11,54,6,1016,
35072,"Oakville/Oakville"," 615","Oakville",68,582,486,25,51,1,1213,
35072,"Oakville/Oakville"," 616","Oakville",43,569,577,21,29,2,1241,
35072,"Oakville/Oakville",,Group 1/Groupe 1, 107,405,251,26,17,21,827,432
35072,"Oakville/Oakville",,Group 2/Groupe 2, 282,1860,1050,22,41,40,3295,
