Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Omar Alghabra,Elie Diab,Craig Laferriere,Teneshia Samuel,Kathy-Ying Zhao,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35058,"Mississauga Centre/Mississauga-Centre"," 36","Mississauga",141,10,8,33,55,2,249,327
35058,"Mississauga Centre/Mississauga-Centre"," 37","Mississauga",90,8,6,26,62,1,193,552
35058,"Mississauga Centre/Mississauga-Centre"," 38","Mississauga",69,5,1,22,29,1,127,448
35058,"Mississauga Centre/Mississauga-Centre"," 39","Mississauga",85,7,2,21,53,0,168,476
35058,"Mississauga Centre/Mississauga-Centre"," 40","Mississauga",109,5,5,22,28,2,171,442
35058,"Mississauga Centre/Mississauga-Centre"," 41A","Mississauga",58,5,2,5,47,3,120,197
35058,"Mississauga Centre/Mississauga-Centre"," 41B","Mississauga",46,4,0,2,17,4,73,96
35058,"Mississauga Centre/Mississauga-Centre"," 42","Mississauga",53,5,1,21,18,0,98,315
35058,"Mississauga Centre/Mississauga-Centre"," 43","Mississauga",72,3,1,9,40,0,125,373
35058,"Mississauga Centre/Mississauga-Centre"," 44","Mississauga",76,10,1,16,31,0,134,338
35058,"Mississauga Centre/Mississauga-Centre"," 45","Mississauga",58,10,1,16,35,1,121,328
35058,"Mississauga Centre/Mississauga-Centre"," 46","Mississauga",99,10,3,20,58,2,192,438
35058,"Mississauga Centre/Mississauga-Centre"," 47","Mississauga",96,10,6,13,61,1,187,516
35058,"Mississauga Centre/Mississauga-Centre"," 48","Mississauga ",Void/Supprimé,,,,,,,
35058,"Mississauga Centre/Mississauga-Centre"," 49","Mississauga",63,3,0,9,24,0,99,357
35058,"Mississauga Centre/Mississauga-Centre"," 50A","Mississauga",57,8,0,16,23,0,104,348
35058,"Mississauga Centre/Mississauga-Centre"," 50B","Mississauga",42,2,1,12,31,3,91,338
35058,"Mississauga Centre/Mississauga-Centre"," 51","Mississauga",78,4,2,14,49,3,150,480
35058,"Mississauga Centre/Mississauga-Centre"," 52","Mississauga",107,6,1,26,44,3,187,559
35058,"Mississauga Centre/Mississauga-Centre"," 53","Mississauga",67,8,2,15,44,2,138,481
35058,"Mississauga Centre/Mississauga-Centre"," 54","Mississauga",96,3,3,11,16,3,132,418
35058,"Mississauga Centre/Mississauga-Centre"," 55","Mississauga",77,5,6,21,40,0,149,518
35058,"Mississauga Centre/Mississauga-Centre"," 56A","Mississauga",87,2,4,23,31,1,148,334
35058,"Mississauga Centre/Mississauga-Centre"," 56B","Mississauga",32,3,1,14,19,0,69,145
35058,"Mississauga Centre/Mississauga-Centre"," 56C","Mississauga",47,4,2,20,21,1,95,193
35058,"Mississauga Centre/Mississauga-Centre"," 57","Mississauga",111,7,7,34,89,0,248,565
35058,"Mississauga Centre/Mississauga-Centre"," 58","Mississauga",99,10,2,21,50,1,183,417
35058,"Mississauga Centre/Mississauga-Centre"," 59","Mississauga",93,5,2,9,41,1,151,378
35058,"Mississauga Centre/Mississauga-Centre"," 60","Mississauga",82,4,1,22,64,3,176,469
35058,"Mississauga Centre/Mississauga-Centre"," 61","Mississauga",99,5,3,10,47,2,166,393
35058,"Mississauga Centre/Mississauga-Centre"," 62","Mississauga",114,8,2,32,54,3,213,417
35058,"Mississauga Centre/Mississauga-Centre"," 63","Mississauga",111,5,6,22,78,1,223,493
35058,"Mississauga Centre/Mississauga-Centre"," 64","Mississauga",94,3,6,28,66,3,200,546
35058,"Mississauga Centre/Mississauga-Centre"," 65","Mississauga",86,6,8,21,65,3,189,561
35058,"Mississauga Centre/Mississauga-Centre"," 66","Mississauga",168,3,0,35,78,2,286,549
35058,"Mississauga Centre/Mississauga-Centre"," 67","Mississauga",113,3,3,17,56,1,193,505
35058,"Mississauga Centre/Mississauga-Centre"," 68","Mississauga",115,7,2,13,53,1,191,447
35058,"Mississauga Centre/Mississauga-Centre"," 69","Mississauga",149,3,7,16,75,4,254,570
35058,"Mississauga Centre/Mississauga-Centre"," 70","Mississauga",109,10,2,14,53,0,188,385
35058,"Mississauga Centre/Mississauga-Centre"," 71","Mississauga",131,11,7,26,86,1,262,582
35058,"Mississauga Centre/Mississauga-Centre"," 72","Mississauga",91,6,6,16,103,3,225,436
35058,"Mississauga Centre/Mississauga-Centre"," 73","Mississauga",139,12,3,20,61,4,239,517
35058,"Mississauga Centre/Mississauga-Centre"," 74","Mississauga",105,14,4,15,45,0,183,415
35058,"Mississauga Centre/Mississauga-Centre"," 75","Mississauga",72,8,3,17,45,0,145,522
35058,"Mississauga Centre/Mississauga-Centre"," 76","Mississauga",74,3,3,9,12,0,101,336
35058,"Mississauga Centre/Mississauga-Centre"," 77","Mississauga",64,4,1,21,38,2,130,591
35058,"Mississauga Centre/Mississauga-Centre"," 78","Mississauga",19,4,1,13,41,0,78,342
35058,"Mississauga Centre/Mississauga-Centre"," 79","Mississauga",52,4,1,9,52,0,118,489
