Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chylow Hall,David McGuinty,Huda Mukbil,Les Schram,Eli Tannis,Larry Wasslen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35077,"Ottawa South/Ottawa-Sud"," 37","Ottawa",Merged with No./Fusionné avec le n°38,,,,,,,,393
35077,"Ottawa South/Ottawa-Sud"," 38","Ottawa",3,125,36,8,90,1,1,264,416
35077,"Ottawa South/Ottawa-Sud"," 39","Ottawa",11,92,52,3,59,3,0,220,494
35077,"Ottawa South/Ottawa-Sud"," 40","Ottawa",4,81,32,5,32,1,1,156,409
35077,"Ottawa South/Ottawa-Sud"," 41","Ottawa",5,57,25,7,51,0,1,146,407
35077,"Ottawa South/Ottawa-Sud"," 42","Ottawa",3,65,35,2,46,0,2,153,466
35077,"Ottawa South/Ottawa-Sud"," 43","Ottawa",5,86,34,6,38,0,0,169,506
35077,"Ottawa South/Ottawa-Sud"," 44","Ottawa",7,56,35,5,40,0,0,143,375
35077,"Ottawa South/Ottawa-Sud"," 45","Ottawa",7,87,38,1,45,6,2,186,362
35077,"Ottawa South/Ottawa-Sud"," 46","Ottawa",5,54,25,2,40,0,0,126,360
35077,"Ottawa South/Ottawa-Sud"," 47","Ottawa",9,72,28,4,76,0,0,189,518
35077,"Ottawa South/Ottawa-Sud"," 48","Ottawa",7,88,24,1,44,0,1,165,445
35077,"Ottawa South/Ottawa-Sud"," 49","Ottawa",9,89,45,2,24,0,1,170,595
35077,"Ottawa South/Ottawa-Sud"," 50","Ottawa",3,107,31,1,32,1,0,175,491
35077,"Ottawa South/Ottawa-Sud"," 51","Ottawa",7,85,28,3,32,0,2,157,536
35077,"Ottawa South/Ottawa-Sud"," 52","Ottawa",5,57,34,1,39,0,1,137,498
35077,"Ottawa South/Ottawa-Sud"," 53","Ottawa",11,117,32,17,81,2,1,261,423
35077,"Ottawa South/Ottawa-Sud"," 54","Ottawa",Merged with No./Fusionné avec le n°53,,,,,,,,394
35077,"Ottawa South/Ottawa-Sud"," 55","Ottawa",Merged with No./Fusionné avec le n°56,,,,,,,,407
35077,"Ottawa South/Ottawa-Sud"," 56","Ottawa",8,126,48,14,80,0,0,276,441
35077,"Ottawa South/Ottawa-Sud"," 57","Ottawa",4,109,34,10,50,1,1,209,392
35077,"Ottawa South/Ottawa-Sud"," 58","Ottawa",Merged with No./Fusionné avec le n°57,,,,,,,,379
35077,"Ottawa South/Ottawa-Sud"," 59","Ottawa",Merged with No./Fusionné avec le n°60,,,,,,,,341
35077,"Ottawa South/Ottawa-Sud"," 60","Ottawa",10,137,44,9,62,0,2,264,359
35077,"Ottawa South/Ottawa-Sud"," 61","Ottawa",0,76,22,8,35,0,1,142,347
35077,"Ottawa South/Ottawa-Sud"," 62","Ottawa",2,81,14,2,42,0,1,142,509
35077,"Ottawa South/Ottawa-Sud"," 63","Ottawa",5,94,26,10,45,0,0,180,493
35077,"Ottawa South/Ottawa-Sud"," 64","Ottawa",6,112,29,8,46,1,3,205,489
35077,"Ottawa South/Ottawa-Sud"," 65","Ottawa",4,103,20,0,66,2,1,196,486
35077,"Ottawa South/Ottawa-Sud"," 66","Ottawa",10,119,41,4,75,1,2,252,471
35077,"Ottawa South/Ottawa-Sud"," 67","Ottawa",13,94,26,2,83,0,0,218,417
35077,"Ottawa South/Ottawa-Sud"," 68","Ottawa",9,103,20,2,64,0,0,198,428
35077,"Ottawa South/Ottawa-Sud"," 69","Ottawa",6,121,51,2,38,0,0,218,504
35077,"Ottawa South/Ottawa-Sud"," 70","Ottawa",12,96,37,8,73,0,3,229,512
35077,"Ottawa South/Ottawa-Sud"," 71","Ottawa",10,130,45,4,56,0,3,248,578
35077,"Ottawa South/Ottawa-Sud"," 72","Ottawa",14,103,34,1,43,0,2,197,544
35077,"Ottawa South/Ottawa-Sud"," 73","Ottawa",Merged with No./Fusionné avec le n°74,,,,,,,,368
35077,"Ottawa South/Ottawa-Sud"," 74","Ottawa",6,138,57,10,71,0,3,285,444
35077,"Ottawa South/Ottawa-Sud"," 75","Ottawa",Merged with No./Fusionné avec le n°76,,,,,,,,437
35077,"Ottawa South/Ottawa-Sud"," 76","Ottawa",7,139,59,9,89,1,2,306,450
35077,"Ottawa South/Ottawa-Sud"," 77","Ottawa",0,66,27,5,33,0,1,132,370
35077,"Ottawa South/Ottawa-Sud"," 78","Ottawa",10,124,50,5,37,2,21,249,568
35077,"Ottawa South/Ottawa-Sud"," 79","Ottawa",2,68,53,6,41,0,0,170,420
35077,"Ottawa South/Ottawa-Sud"," 80","Ottawa",10,121,93,13,48,0,1,286,622
35077,"Ottawa South/Ottawa-Sud"," 81","Ottawa",9,109,68,7,39,1,0,233,549
35077,"Ottawa South/Ottawa-Sud"," 82","Ottawa",17,78,42,1,33,0,0,171,485
35077,"Ottawa South/Ottawa-Sud"," 83","Ottawa",5,140,22,2,9,0,18,196,476
35077,"Ottawa South/Ottawa-Sud"," 84","Ottawa",5,92,32,2,26,2,0,159,424
35077,"Ottawa South/Ottawa-Sud"," 85","Ottawa",17,100,33,3,36,1,0,190,527
35077,"Ottawa South/Ottawa-Sud"," 86","Ottawa",6,95,52,3,23,0,0,179,441
35077,"Ottawa South/Ottawa-Sud"," 87","Ottawa",4,87,35,4,27,2,1,160,377
35077,"Ottawa South/Ottawa-Sud"," 88","Ottawa",2,58,21,1,18,0,5,105,289
35077,"Ottawa South/Ottawa-Sud"," 89","Ottawa",2,60,22,0,8,0,2,94,335
35077,"Ottawa South/Ottawa-Sud"," 90","Ottawa",4,73,18,1,31,0,5,132,499
35077,"Ottawa South/Ottawa-Sud"," 91","Ottawa",4,75,35,0,38,1,4,157,534
35077,"Ottawa South/Ottawa-Sud"," 92","Ottawa",7,90,49,3,15,0,1,165,500
35077,"Ottawa South/Ottawa-Sud"," 93","Ottawa",7,79,19,2,22,0,1,130,485
35077,"Ottawa South/Ottawa-Sud"," 94","Ottawa",4,47,26,4,17,0,0,98,310
35077,"Ottawa South/Ottawa-Sud"," 95","Ottawa",13,74,72,8,32,0,0,199,417
35077,"Ottawa South/Ottawa-Sud"," 96","Ottawa",6,95,79,5,46,1,1,233,577
35077,"Ottawa South/Ottawa-Sud"," 97","Ottawa",5,64,101,6,68,0,1,245,496
35077,"Ottawa South/Ottawa-Sud"," 98","Ottawa",12,74,64,5,50,0,3,208,415
35077,"Ottawa South/Ottawa-Sud"," 99","Ottawa",18,141,66,7,64,1,1,298,552
35077,"Ottawa South/Ottawa-Sud"," 100","Ottawa",3,78,37,1,41,0,0,160,421
35077,"Ottawa South/Ottawa-Sud"," 101","Ottawa",3,95,19,0,39,0,0,156,403
35077,"Ottawa South/Ottawa-Sud"," 102","Ottawa",1,59,16,3,37,0,0,116,314
35077,"Ottawa South/Ottawa-Sud"," 103","Ottawa",9,77,23,7,49,0,2,167,458
35077,"Ottawa South/Ottawa-Sud"," 104","Ottawa",8,58,32,3,34,0,3,138,409
35077,"Ottawa South/Ottawa-Sud"," 105","Ottawa",9,79,31,5,45,3,0,172,430
35077,"Ottawa South/Ottawa-Sud"," 106","Ottawa",8,82,24,0,10,1,2,127,412
35077,"Ottawa South/Ottawa-Sud"," 107","Ottawa",2,69,35,3,30,0,0,139,475
35077,"Ottawa South/Ottawa-Sud"," 108","Ottawa",2,88,43,4,19,2,0,158,503
35077,"Ottawa South/Ottawa-Sud"," 109","Ottawa",13,48,40,2,25,0,0,128,414
35077,"Ottawa South/Ottawa-Sud"," 110","Ottawa",5,75,20,2,21,0,1,124,372
35077,"Ottawa South/Ottawa-Sud"," 111","Ottawa",8,81,37,5,43,0,5,179,550
35077,"Ottawa South/Ottawa-Sud"," 112","Ottawa",6,76,27,4,34,1,0,148,450
35077,"Ottawa South/Ottawa-Sud"," 113","Ottawa",10,82,22,4,29,0,0,147,476
35077,"Ottawa South/Ottawa-Sud"," 114","Ottawa",3,57,28,2,23,0,0,113,374
35077,"Ottawa South/Ottawa-Sud"," 115","Ottawa",5,83,36,8,30,0,0,162,438
35077,"Ottawa South/Ottawa-Sud"," 116","Ottawa",6,74,45,0,28,1,2,156,501
35077,"Ottawa South/Ottawa-Sud"," 117","Ottawa",9,82,39,0,40,0,0,170,473
35077,"Ottawa South/Ottawa-Sud"," 118","Ottawa",5,78,26,5,20,0,3,137,394
35077,"Ottawa South/Ottawa-Sud"," 119","Ottawa",5,76,46,1,24,1,0,153,422
35077,"Ottawa South/Ottawa-Sud"," 120","Ottawa",4,86,49,4,34,0,0,177,478
35077,"Ottawa South/Ottawa-Sud"," 121","Ottawa",7,100,21,3,40,1,0,172,496
35077,"Ottawa South/Ottawa-Sud"," 122","Ottawa",4,60,29,5,18,0,0,116,424
35077,"Ottawa South/Ottawa-Sud"," 123","Ottawa",4,93,44,5,52,1,1,200,583
35077,"Ottawa South/Ottawa-Sud"," 124","Ottawa",Merged with No./Fusionné avec le n°125,,,,,,,,344
35077,"Ottawa South/Ottawa-Sud"," 125","Ottawa",11,134,69,8,90,0,1,313,381
35077,"Ottawa South/Ottawa-Sud"," 126","Ottawa",2,99,26,3,93,1,0,224,550
35077,"Ottawa South/Ottawa-Sud"," 127","Ottawa",11,97,48,3,90,2,0,251,505
35077,"Ottawa South/Ottawa-Sud"," 128","Ottawa",Merged with No./Fusionné avec le n°129,,,,,,,,372
35077,"Ottawa South/Ottawa-Sud"," 129","Ottawa",3,145,34,1,96,0,1,280,392
35077,"Ottawa South/Ottawa-Sud"," 130","Ottawa",13,110,43,4,58,2,1,231,484
35077,"Ottawa South/Ottawa-Sud"," 131","Ottawa",14,124,39,2,85,0,1,265,532
35077,"Ottawa South/Ottawa-Sud"," 132","Ottawa",Merged with No./Fusionné avec le n°133,,,,,,,,376
35077,"Ottawa South/Ottawa-Sud"," 133","Ottawa",12,135,98,6,72,4,1,328,474
35077,"Ottawa South/Ottawa-Sud"," 134","Ottawa",6,57,50,2,25,0,2,142,471
35077,"Ottawa South/Ottawa-Sud"," 135","Ottawa",5,107,70,7,58,0,3,250,332
35077,"Ottawa South/Ottawa-Sud"," 136","Ottawa",Merged with No./Fusionné avec le n°135,,,,,,,,327
35077,"Ottawa South/Ottawa-Sud"," 137","Ottawa",11,130,48,5,53,2,0,249,343
35077,"Ottawa South/Ottawa-Sud"," 138","Ottawa",Merged with No./Fusionné avec le n°137,,,,,,,,344
35077,"Ottawa South/Ottawa-Sud"," 139","Ottawa",10,90,33,7,72,0,2,214,404
35077,"Ottawa South/Ottawa-Sud"," 140","Ottawa",Merged with No./Fusionné avec le n°139,,,,,,,,334
35077,"Ottawa South/Ottawa-Sud"," 141","Ottawa",Merged with No./Fusionné avec le n°142,,,,,,,,373
35077,"Ottawa South/Ottawa-Sud"," 142","Ottawa",6,89,39,3,42,2,0,181,424
35077,"Ottawa South/Ottawa-Sud"," 143","Ottawa",6,90,47,7,67,0,0,217,399
35077,"Ottawa South/Ottawa-Sud"," 144","Ottawa",Merged with No./Fusionné avec le n°143,,,,,,,,363
35077,"Ottawa South/Ottawa-Sud"," 145","Ottawa",2,40,41,4,33,0,0,120,497
35077,"Ottawa South/Ottawa-Sud"," 146","Ottawa",5,46,24,3,29,0,0,107,381
35077,"Ottawa South/Ottawa-Sud"," 147","Ottawa",Merged with No./Fusionné avec le n°148,,,,,,,,432
35077,"Ottawa South/Ottawa-Sud"," 148","Ottawa",9,156,74,7,90,3,2,341,430
35077,"Ottawa South/Ottawa-Sud"," 149","Ottawa",4,131,55,8,74,1,2,275,463
35077,"Ottawa South/Ottawa-Sud"," 150","Ottawa",Merged with No./Fusionné avec le n°149,,,,,,,,432
35077,"Ottawa South/Ottawa-Sud"," 151","Ottawa",1,51,18,2,46,0,2,120,376
35077,"Ottawa South/Ottawa-Sud"," 152","Ottawa",7,96,45,5,63,0,1,217,398
35077,"Ottawa South/Ottawa-Sud"," 153","Ottawa",Merged with No./Fusionné avec le n°152,,,,,,,,378
35077,"Ottawa South/Ottawa-Sud"," 154","Ottawa",Merged with No./Fusionné avec le n°155,,,,,,,,354
35077,"Ottawa South/Ottawa-Sud"," 155","Ottawa",6,114,44,6,54,0,1,225,498
35077,"Ottawa South/Ottawa-Sud"," 156","Ottawa",7,86,47,3,52,0,1,196,386
35077,"Ottawa South/Ottawa-Sud"," 157","Ottawa",10,81,52,7,51,0,1,202,562
35077,"Ottawa South/Ottawa-Sud"," 158","Ottawa",7,79,34,2,40,0,0,162,441
35077,"Ottawa South/Ottawa-Sud"," 159","Ottawa",6,83,34,3,47,0,4,177,472
35077,"Ottawa South/Ottawa-Sud"," 160","Ottawa",5,64,25,2,35,0,3,134,406
35077,"Ottawa South/Ottawa-Sud"," 161","Ottawa",7,90,24,4,68,0,1,194,498
35077,"Ottawa South/Ottawa-Sud"," 162","Ottawa",6,82,21,5,37,1,0,152,434
35077,"Ottawa South/Ottawa-Sud"," 163","Ottawa",11,91,26,0,23,0,1,152,425
35077,"Ottawa South/Ottawa-Sud"," 164","Ottawa",3,88,33,3,48,1,0,176,540
35077,"Ottawa South/Ottawa-Sud"," 165","Ottawa",9,77,22,5,25,0,0,138,530
35077,"Ottawa South/Ottawa-Sud"," 166","Ottawa",5,109,25,6,18,1,0,164,454
35077,"Ottawa South/Ottawa-Sud"," 167","Ottawa",2,131,32,4,39,0,1,209,355
35077,"Ottawa South/Ottawa-Sud"," 168","Ottawa",6,95,27,2,19,0,3,152,442
35077,"Ottawa South/Ottawa-Sud"," 169","Ottawa",11,82,58,2,38,0,1,192,545
35077,"Ottawa South/Ottawa-Sud"," 170","Ottawa",4,69,40,9,34,0,2,158,405
35077,"Ottawa South/Ottawa-Sud"," 171","Ottawa",13,89,54,8,34,1,0,199,536
35077,"Ottawa South/Ottawa-Sud"," 172","Ottawa",11,83,41,4,35,0,0,174,474
35077,"Ottawa South/Ottawa-Sud"," 173","Ottawa",5,90,36,7,46,2,0,186,461
35077,"Ottawa South/Ottawa-Sud"," 174","Ottawa",7,96,38,3,28,0,1,173,499
35077,"Ottawa South/Ottawa-Sud"," 175","Ottawa",11,97,26,6,74,1,1,216,517
35077,"Ottawa South/Ottawa-Sud"," 176","Ottawa",5,73,40,2,32,1,1,154,471
35077,"Ottawa South/Ottawa-Sud"," 177","Ottawa",4,121,31,4,61,0,3,224,515
35077,"Ottawa South/Ottawa-Sud"," 178","Ottawa",7,95,41,4,49,0,2,198,515
35077,"Ottawa South/Ottawa-Sud"," 179","Ottawa",4,44,20,3,39,0,0,110,418
35077,"Ottawa South/Ottawa-Sud"," 180","Ottawa",8,62,39,3,22,1,1,136,530
35077,"Ottawa South/Ottawa-Sud"," 181","Ottawa",10,54,19,6,23,0,0,112,408
35077,"Ottawa South/Ottawa-Sud"," 182","Ottawa",4,45,42,5,26,0,3,125,387
35077,"Ottawa South/Ottawa-Sud"," 183","Ottawa",8,82,38,6,23,0,2,159,365
35077,"Ottawa South/Ottawa-Sud"," 184","Ottawa",3,109,35,6,47,0,4,204,397
35077,"Ottawa South/Ottawa-Sud"," 185","Ottawa",8,91,12,3,56,0,2,172,430
35077,"Ottawa South/Ottawa-Sud"," 186","Ottawa",6,111,28,2,53,0,1,201,464
35077,"Ottawa South/Ottawa-Sud"," 187","Ottawa",9,102,31,0,52,0,2,196,458
35077,"Ottawa South/Ottawa-Sud"," 188","Ottawa",14,49,42,10,97,3,1,216,682
35077,"Ottawa South/Ottawa-Sud"," 189","Ottawa",10,78,39,9,56,0,2,194,664
35077,"Ottawa South/Ottawa-Sud"," 400","Ottawa",1,121,8,6,75,1,2,214,330
35077,"Ottawa South/Ottawa-Sud"," 401","Ottawa",6,101,15,2,54,0,1,179,327
35077,"Ottawa South/Ottawa-Sud"," 402","Ottawa",1,85,20,4,58,1,1,170,315
35077,"Ottawa South/Ottawa-Sud"," 403","Mobile poll/Bureau itinérant",3,78,13,3,41,0,1,139,191
35077,"Ottawa South/Ottawa-Sud"," 404","Ottawa",2,47,45,4,12,0,0,110,223
35077,"Ottawa South/Ottawa-Sud"," 405","Ottawa",4,33,31,2,23,0,0,93,163
35077,"Ottawa South/Ottawa-Sud"," 406","Ottawa",3,27,30,2,17,0,0,79,181
35077,"Ottawa South/Ottawa-Sud"," 407","Ottawa",3,43,9,2,17,0,2,76,104
35077,"Ottawa South/Ottawa-Sud"," 408","Ottawa",Merged with No./Fusionné avec le n°19,,,,,,,,174
35077,"Ottawa South/Ottawa-Sud"," 409","Ottawa",Merged with No./Fusionné avec le n°36,,,,,,,,171
35077,"Ottawa South/Ottawa-Sud"," 410","Ottawa",Merged with No./Fusionné avec le n°45,,,,,,,,255
35077,"Ottawa South/Ottawa-Sud"," 411","Ottawa",10,89,39,8,33,0,2,181,283
35077,"Ottawa South/Ottawa-Sud"," 412","Ottawa",7,69,46,3,40,0,1,166,252
35077,"Ottawa South/Ottawa-Sud"," 413","Ottawa",Merged with No./Fusionné avec le n°39,,,,,,,,287
35077,"Ottawa South/Ottawa-Sud"," 414","Ottawa",8,70,19,2,6,1,2,108,266
35077,"Ottawa South/Ottawa-Sud"," 415","Ottawa",4,77,13,2,26,2,9,133,224
35077,"Ottawa South/Ottawa-Sud"," 416","Mobile poll/Bureau itinérant",4,38,5,4,19,1,1,72,129
35077,"Ottawa South/Ottawa-Sud"," 417","Ottawa",4,98,37,2,71,1,7,220,195
35077,"Ottawa South/Ottawa-Sud"," 418","Ottawa",Merged with No./Fusionné avec le n°417,,,,,,,,195
35077,"Ottawa South/Ottawa-Sud"," 419","Ottawa",5,27,19,3,19,0,0,73,170
35077,"Ottawa South/Ottawa-Sud"," 420","Ottawa",Merged with No./Fusionné avec le n°167,,,,,,,,237
35077,"Ottawa South/Ottawa-Sud"," 421","Ottawa",6,66,24,1,30,1,0,128,284
35077,"Ottawa South/Ottawa-Sud"," 422","Ottawa",Merged with No./Fusionné avec le n°421,,,,,,,,275
35077,"Ottawa South/Ottawa-Sud"," 423","Ottawa",Merged with No./Fusionné avec le n°424,,,,,,,,226
35077,"Ottawa South/Ottawa-Sud"," 424","Ottawa",0,38,4,0,23,0,2,67,231
35077,"Ottawa South/Ottawa-Sud"," 500","Mobile poll/Bureau itinérant",0,65,9,0,19,0,2,95,113
35077,"Ottawa South/Ottawa-Sud"," 501","Mobile poll/Bureau itinérant",3,26,6,1,16,0,0,52,86
35077,"Ottawa South/Ottawa-Sud"," 502","Mobile poll/Bureau itinérant",0,22,3,1,7,0,1,34,51
35077,"Ottawa South/Ottawa-Sud"," 503","Mobile poll/Bureau itinérant",1,30,2,1,15,0,1,50,82
35077,"Ottawa South/Ottawa-Sud"," 504","Mobile poll/Bureau itinérant",2,15,9,0,5,0,3,34,54
35077,"Ottawa South/Ottawa-Sud"," 505","Mobile poll/Bureau itinérant",0,22,6,0,10,0,0,38,58
35077,"Ottawa South/Ottawa-Sud"," 506","Mobile poll/Bureau itinérant",1,14,3,0,9,0,1,28,50
35077,"Ottawa South/Ottawa-Sud"," 507","Mobile poll/Bureau itinérant",1,28,3,0,30,0,2,64,96
35077,"Ottawa South/Ottawa-Sud"," 508","Mobile poll/Bureau itinérant",0,5,3,1,13,0,0,22,28
35077,"Ottawa South/Ottawa-Sud"," 509","Mobile poll/Bureau itinérant",2,17,5,0,12,0,0,36,55
35077,"Ottawa South/Ottawa-Sud"," 510","Mobile poll/Bureau itinérant",2,25,4,2,21,0,1,55,74
35077,"Ottawa South/Ottawa-Sud"," 600","Ottawa",21,367,142,19,192,1,2,744,
35077,"Ottawa South/Ottawa-Sud"," 601","Ottawa",22,219,91,12,127,1,5,477,
35077,"Ottawa South/Ottawa-Sud"," 602","Ottawa",15,437,90,5,285,1,2,835,
35077,"Ottawa South/Ottawa-Sud"," 603","Ottawa",25,328,122,9,219,3,5,711,
35077,"Ottawa South/Ottawa-Sud"," 604","Ottawa",35,767,247,32,439,3,3,1526,
35077,"Ottawa South/Ottawa-Sud"," 605","Ottawa",20,659,132,34,389,3,6,1243,
35077,"Ottawa South/Ottawa-Sud"," 606","Ottawa",30,954,280,59,418,4,9,1754,
35077,"Ottawa South/Ottawa-Sud"," 607","Ottawa",17,431,229,20,223,1,5,926,
35077,"Ottawa South/Ottawa-Sud"," 608","Ottawa",30,462,202,27,278,2,4,1005,
35077,"Ottawa South/Ottawa-Sud"," 609","Ottawa",39,403,171,22,192,1,7,835,
35077,"Ottawa South/Ottawa-Sud"," 610","Ottawa",17,208,89,9,140,2,3,468,
35077,"Ottawa South/Ottawa-Sud"," 611","Ottawa",21,674,177,25,302,5,10,1214,
35077,"Ottawa South/Ottawa-Sud"," 612","Ottawa",21,623,220,29,321,1,5,1220,
35077,"Ottawa South/Ottawa-Sud"," 613","Ottawa",27,697,295,31,422,3,5,1480,
35077,"Ottawa South/Ottawa-Sud"," 614","Ottawa",25,733,213,43,564,1,10,1589,
35077,"Ottawa South/Ottawa-Sud"," 615","Ottawa",43,629,240,26,383,2,15,1338,
35077,"Ottawa South/Ottawa-Sud"," 616","Ottawa",23,382,136,12,266,2,4,825,
35077,"Ottawa South/Ottawa-Sud"," 617","Ottawa",30,389,136,17,318,1,8,899,
35077,"Ottawa South/Ottawa-Sud"," 618","Ottawa",43,640,207,26,453,4,5,1378,
35077,"Ottawa South/Ottawa-Sud",,Group 1/Groupe 1, 36,530,285,45,336,2,55,1289,485
35077,"Ottawa South/Ottawa-Sud",,Group 2/Groupe 2, 76,2017,762,87,1037,10,125,4114,
