Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Beech,Peter Dolling,Jim Hanson,Brad Nickerson,Kelsey Shein,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 164","Burnaby",53,10,86,6,17,0,172,473
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 165","Burnaby",61,4,81,2,34,2,184,589
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 166","Burnaby",52,3,39,8,33,1,136,500
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 167","Burnaby",36,2,48,3,21,0,110,497
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 168","Burnaby",39,3,39,6,16,0,103,504
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 169","Burnaby",38,2,48,8,17,1,114,538
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 170","Burnaby",38,8,36,3,26,0,111,451
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 400","North Vancouver",60,3,19,1,36,1,120,153
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 401","Burnaby",46,3,27,0,13,2,91,188
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°17,,,,,,,56
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°95,,,,,,,69
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°111,,,,,,,26
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,,53
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 600","North Vancouver",577,26,235,25,642,0,1505,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 601","North Vancouver",538,44,353,37,426,1,1399,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 602","North Vancouver",692,43,299,47,506,2,1589,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 603","North Vancouver",512,35,299,32,331,0,1209,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 604","Burnaby",437,31,417,34,290,11,1220,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 605","Burnaby",396,19,310,38,223,2,988,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 606","Burnaby",494,22,349,43,281,0,1189,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 607","Burnaby",522,17,301,21,283,4,1148,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 608","Burnaby",322,14,243,22,288,2,891,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 609","Burnaby",455,23,288,47,341,1,1155,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 610","Burnaby",462,30,253,45,338,0,1128,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 611","Burnaby",545,22,314,27,349,5,1262,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 612","Burnaby",343,30,322,55,225,0,975,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 613","Burnaby",632,44,576,60,287,8,1607,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour",,Group 1/Groupe 1, 248,26,275,23,187,33,792,347
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour",,Group 2/Groupe 2, 1441,94,1064,48,786,96,3529,
