Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nicole Bellay,Geet Grewal,Tyler Niles,Lynn Perrin,Brad Vis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 14","Walhachin",3,10,11,20,83,1,128,253
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 15","Ashcroft",4,16,10,16,70,0,116,282
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 16","Ashcroft",14,31,11,33,102,1,192,547
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 17","Ashcroft",11,26,10,33,54,1,135,405
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 18","Ashcroft",14,28,13,36,89,0,180,449
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 19","Lytton",1,7,1,26,3,0,38,375
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 20","Lytton",12,9,7,46,20,0,94,612
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 21","Spences Bridge",10,15,4,20,31,0,80,260
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 22","Douglas 8--Sachteen",10,4,0,32,1,3,50,94
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 23","Boston Bar",15,54,12,77,84,1,243,512
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 24","Bear Creek",Merged with No./Fusionné avec le n°26,,,,,,,3
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 25","Harrison Hot Springs",12,39,8,33,97,0,189,498
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 26","Harrison Hot Springs",15,66,15,36,54,0,186,475
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 27","Harrison Hot Springs",8,81,13,79,122,0,303,759
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 28","Chehalis 5",9,26,1,41,18,1,96,332
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 29","Chehalis 5",8,87,11,75,133,0,314,664
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 30","Kent",8,35,9,26,76,1,155,474
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 31","Choate--Yale",14,27,12,39,41,0,133,492
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 32","Mission",12,38,20,52,102,1,225,630
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 33","Mission",5,50,15,75,119,0,264,653
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 34","Mission",4,24,7,50,34,0,119,386
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 35","Mission",12,29,19,47,82,0,189,518
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 36","Mission",8,31,14,53,100,0,206,504
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 37","Mission",19,44,11,30,65,0,169,478
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 38","Mission",25,54,14,46,104,1,244,604
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 39","Durieu",14,36,13,43,98,0,204,408
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 40","Durieu",9,36,17,33,108,1,204,380
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 41","Durieu",6,34,10,24,71,0,145,325
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 42","Mission",17,39,35,43,130,1,265,725
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 43","Mission",9,46,6,46,95,1,203,558
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 44","Mission",9,24,8,32,106,0,179,478
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 45","Mission",10,56,11,48,113,0,238,614
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 46","Mission",7,63,6,37,80,1,194,490
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 47","Mission",4,46,10,41,64,1,166,448
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 48","Mission",14,37,14,47,90,0,202,575
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 49","Mission",10,53,10,37,51,1,162,487
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 50","Mission",6,41,9,48,88,0,192,538
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 51","Mission",7,71,13,63,84,5,243,595
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 52","Mission",9,59,5,43,67,4,187,448
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 53","Mission",4,60,15,34,59,0,172,509
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 54","Mission",10,52,8,50,74,1,195,544
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 55","Mission",10,54,14,47,53,3,181,506
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 56","Mission",9,43,16,46,87,1,202,447
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 57","Mission",6,25,15,35,51,0,132,321
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 58","Mission",6,64,12,45,52,5,184,471
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 59","Mission",8,69,13,54,95,6,245,590
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 60","Mission",6,25,9,40,50,0,130,348
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 61","Mission",8,41,15,32,55,3,154,447
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 62","Mission",6,54,7,45,69,2,183,491
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 63","Mission",9,34,10,55,78,1,187,410
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 64","Mission",8,44,19,38,62,0,171,465
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 65","Mission",8,17,4,39,54,0,122,350
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 66","Mission",14,50,18,47,96,1,226,534
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 67","Mission",6,39,12,47,67,1,172,537
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 68","Mission",12,62,17,49,82,0,222,574
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 69","Mission",2,54,23,49,77,0,205,553
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 70","Abbotsford",9,34,19,28,160,1,251,544
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 71","Abbotsford",7,51,18,32,155,1,264,578
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 72","Abbotsford",7,17,14,24,103,0,165,356
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 73","Mission",8,38,9,49,70,1,175,507
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 74","Mission",6,31,8,54,64,0,163,430
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 75","Mission",11,30,16,49,56,1,163,473
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 76","Mission",11,34,13,54,68,2,182,417
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 77","Mission",6,47,17,31,39,0,140,452
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 78","Mission",4,20,7,20,38,0,89,364
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 79","Mission",9,29,5,21,52,1,117,382
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 80","Mission",13,20,15,69,81,1,199,550
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 81","Mission",3,27,15,49,29,0,123,409
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 82","Mission",3,31,5,42,77,5,163,505
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 83","Mission",5,40,10,33,39,0,127,430
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 84","Mission",5,43,18,34,71,2,173,475
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 85","Mission",11,24,11,50,68,1,165,462
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 86","Mission",4,38,16,21,61,0,140,435
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 87","Mission",8,21,5,58,43,0,135,441
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 88","Mission",9,36,1,36,78,0,160,487
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 89","Mission",7,20,13,35,62,1,138,435
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 90","Mission",7,55,7,34,55,0,158,444
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 91","Mission",16,39,10,65,44,0,174,590
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 92","Mission",10,38,15,56,26,1,146,597
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 93","Mission",10,34,11,44,38,0,137,427
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 94","Mission",3,36,10,48,59,0,156,466
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 95","Mission",16,41,7,44,55,0,163,465
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 96","Mission",6,28,15,65,53,1,168,478
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 97","Mission",10,46,8,47,68,2,181,509
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 98","Mission",15,36,13,49,49,0,162,513
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 99","Mission",9,43,15,41,55,0,163,533
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 100","Deroche",12,45,29,54,60,0,200,490
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 101","Lake Errock",12,51,18,63,75,0,219,539
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 102","Skweahm 10",5,33,6,48,72,1,165,359
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 103","Seabird Island ",11,21,12,42,37,2,125,746
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 104","Kent",10,14,11,14,68,0,117,374
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 105","Harrison Mills",Void/Supprimé,,,,,,,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 106","Kent",7,14,8,25,64,1,119,437
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 107","Kent",9,30,9,33,47,0,128,431
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 108","Kent",4,33,10,39,53,2,141,500
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 109","Kent",14,30,8,57,77,1,187,585
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 110","Kent",7,21,10,51,73,0,162,485
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 111","Kent",5,23,6,12,63,0,109,459
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 112","Kent",9,26,14,32,80,0,161,606
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 113","Hatzic Island",3,32,9,36,61,1,142,443
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 114","Dewdney",7,51,16,30,123,1,228,465
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 115","Nicomen",1,27,7,26,69,0,130,300
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 116","Abbotsford",6,53,26,11,128,1,225,418
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 117","Abbotsford",Merged with No./Fusionné avec le n°116,,,,,,,146
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 118","Abbotsford",5,114,21,68,124,2,334,943
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 119","Abbotsford",4,78,1,13,50,0,146,441
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 120","Abbotsford",1,68,6,17,30,3,125,326
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 121","Abbotsford",3,114,3,30,31,2,183,502
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 122","Abbotsford",0,119,3,37,69,2,230,699
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 123","Abbotsford",5,43,17,19,127,0,211,524
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 124","Abbotsford",5,47,11,24,140,4,231,479
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 125","Abbotsford",1,31,19,16,102,2,171,459
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 126","Abbotsford",5,44,35,28,165,0,277,541
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 127","Abbotsford",1,61,3,11,51,4,131,303
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 128","Abbotsford",2,75,1,13,30,4,125,276
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 129","Abbotsford",0,87,2,21,34,3,147,302
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 130","Abbotsford",2,84,6,35,60,1,188,441
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 131","Abbotsford",3,59,0,28,31,3,124,381
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 132","Abbotsford",2,83,1,36,46,0,168,430
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 133","Abbotsford",3,91,7,43,49,4,197,501
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 134","Abbotsford",7,92,3,26,87,2,217,551
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 135","Abbotsford",4,50,7,23,73,1,158,464
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 136","Abbotsford",3,100,3,23,46,2,177,352
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 137","Abbotsford",2,76,5,19,56,1,159,330
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 138","Abbotsford",1,56,2,22,59,5,145,373
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 139","Abbotsford",2,63,1,17,37,2,122,342
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 140","Abbotsford",1,69,1,17,52,1,141,378
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 141","Abbotsford",3,49,9,34,60,1,156,376
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 142","Abbotsford",0,32,2,17,75,1,127,425
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 143","Abbotsford",1,36,0,15,22,0,74,233
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 144","Abbotsford",0,45,8,28,69,1,151,403
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 145","Abbotsford",1,43,5,39,68,0,156,452
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 146","Abbotsford",3,70,2,24,56,1,156,460
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 147","Abbotsford",0,42,7,20,58,0,127,412
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 148","Abbotsford",1,11,1,6,18,0,37,103
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 149","Abbotsford",3,48,4,33,40,3,131,392
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 150","Abbotsford",10,62,15,47,113,2,249,788
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 151","Abbotsford",13,53,6,26,79,0,177,538
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 152","Abbotsford",8,60,21,62,155,3,309,708
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 153","Abbotsford",10,54,15,39,102,1,221,498
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 154","Abbotsford",20,92,21,98,221,1,453,869
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 155","Abbotsford",12,42,28,46,129,0,257,493
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 500","Mobile poll/Bureau itinérant",0,0,1,2,1,1,5,16
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 501","Mobile poll/Bureau itinérant",1,5,1,1,1,1,10,11
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 502","Mobile poll/Bureau itinérant",1,0,0,3,1,0,5,21
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 503","Mobile poll/Bureau itinérant",5,27,1,13,40,1,87,105
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 504","Mobile poll/Bureau itinérant",2,6,2,4,9,1,24,63
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 505","Mobile poll/Bureau itinérant",3,5,2,11,12,0,33,63
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 506","Mobile poll/Bureau itinérant",4,16,2,20,11,0,53,85
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 507","Mobile poll/Bureau itinérant",6,28,2,13,33,0,82,97
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 508","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,14
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 509","Mobile poll/Bureau itinérant",1,9,1,6,26,0,43,68
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 510","Mobile poll/Bureau itinérant",0,10,1,4,10,1,26,39
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 600","Lillooet",51,104,58,183,350,0,746,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 601","Ashcroft",31,90,61,103,370,3,658,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 602","Lytton--Spences Bridge",17,21,14,36,30,0,118,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 603","Yale Town 1--Boston Bar",15,23,23,40,63,0,164,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 604","Kent",72,422,155,320,1071,6,2046,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 605","Mission",37,146,106,143,507,1,940,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 606","Mission",15,101,85,94,285,2,582,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 607","Mission",43,201,117,151,511,2,1025,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 608","Mission",46,236,122,197,422,6,1029,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 609","Mission",52,275,104,236,587,3,1257,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 610","Mission",82,310,97,237,651,0,1377,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 611","Mission",67,199,136,217,382,0,1001,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 612","Abbotsford",15,355,86,101,543,5,1105,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 613","Abbotsford",12,392,34,83,331,9,861,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 614","Abbotsford",14,300,73,105,592,7,1091,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 615","Abbotsford",22,229,80,116,574,3,1024,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon",,Group 1/Groupe 1, 23,97,29,72,148,24,393,93
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon",,Group 2/Groupe 2, 90,512,73,391,886,74,2026,
