Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Amir Alavi,Ryan Dyck,Phil Hewkin,David Jeffers,Catharine Kendall,Cory Grizz Longley,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 12","Upper Halfway",15,9,0,1,0,11,13,0,49,134
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 13","Wonowon",4,10,0,0,0,5,40,0,59,133
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 14","Prespatou",0,49,0,2,0,1,135,0,187,375
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 15","Mackenzie",9,4,0,2,1,12,50,0,78,297
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 16","Mackenzie",10,9,0,0,3,19,63,0,104,318
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 17","Mackenzie",14,3,0,0,5,13,49,0,84,275
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 18","Mackenzie",13,7,0,0,6,16,39,1,82,320
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 19","Mackenzie",6,7,0,2,1,23,50,1,90,318
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 20","Mackenzie",14,10,0,1,9,32,67,0,133,408
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 21","Mackenzie",15,10,0,1,2,23,65,0,116,381
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 22","Mackenzie",7,6,0,1,7,7,57,1,86,359
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 23","Rose Prairie",14,48,0,43,2,5,156,0,268,614
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 24","Hudson's Hope",11,20,2,7,12,29,155,0,236,417
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 25","Hudson's Hope",25,22,0,2,14,18,102,0,183,324
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 26","Charlie Lake",4,21,0,22,1,7,114,0,169,465
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 27","Charlie Lake",11,38,0,15,4,8,174,0,250,708
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 28","Charlie Lake",5,16,0,20,2,10,162,0,215,275
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 29","Charlie Lake",6,16,0,7,1,5,109,0,144,377
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 30","Charlie Lake",8,10,0,9,3,16,122,0,168,406
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 31","Charlie Lake",Merged with No./Fusionné avec le n°28,,,,,,,,,303
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 32","Clairmont",6,20,0,17,4,7,126,0,180,594
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 33","Charlie Lake",9,29,0,14,3,6,155,0,216,682
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 34","Fort St. John",4,15,0,15,3,5,146,1,189,791
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 35","Cecil Lake",3,25,0,12,1,8,112,2,163,317
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 36","Fort St. John",22,22,0,9,4,37,172,0,266,894
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 37","Fort St. John",5,12,0,6,1,14,110,0,148,431
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 38","Fort St. John",12,11,0,4,3,20,100,2,152,495
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 39","Fort St. John",10,11,0,5,1,11,63,0,101,422
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 40","Fort St. John",6,7,0,1,5,13,97,0,129,439
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 41","Fort St. John",6,4,0,3,3,24,68,0,108,445
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 42","Fort St. John",7,18,0,10,7,25,103,2,172,387
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 43","Fort St. John",8,15,0,6,4,22,95,1,151,495
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 44","Fort St. John",4,9,0,5,4,9,87,0,118,411
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 45","Fort St. John",Merged with No./Fusionné avec le n°42,,,,,,,,,351
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 46","Fort St. John",12,14,0,2,5,28,103,1,165,659
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 47","Fort St. John",9,4,0,5,1,9,71,0,99,406
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 48","Fort St. John",8,9,0,5,4,9,120,0,155,476
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 49","Fort St. John",3,3,0,4,4,5,63,0,82,409
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 50","Fort St. John",3,7,0,4,3,15,56,0,88,409
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 51","Fort St. John",6,7,0,1,2,6,44,2,68,403
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 52","Fort St. John",12,12,0,1,2,12,54,0,93,440
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 53","Fort St. John",3,12,0,5,3,13,59,0,95,406
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 54","Fort St. John",9,13,0,5,8,22,95,1,153,402
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 55","Fort St. John",6,4,0,6,2,14,51,2,85,438
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 56","Fort St. John",6,10,0,4,2,19,53,1,95,416
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 57","Fort St. John",Merged with No./Fusionné avec le n°62,,,,,,,,,295
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 58","Fort St. John",9,7,0,3,4,12,73,0,108,426
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 59","Fort St. John",Merged with No./Fusionné avec le n°54,,,,,,,,,382
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 60","Fort St. John",4,11,0,1,1,12,72,2,103,352
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 61","Fort St. John",2,8,0,2,0,9,72,0,93,361
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 62","Fort St. John",14,11,2,6,4,21,90,0,148,337
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 63","Fort St. John",11,12,0,2,1,6,72,0,104,404
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 64","Fort St. John",13,11,0,4,3,21,104,0,156,643
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 65","Fort St. John",8,10,0,4,0,21,97,0,140,467
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 66","Fort St. John",5,8,0,2,2,20,47,1,85,394
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 67","Fort St. John",6,24,0,4,2,26,117,2,181,550
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 68","Moberly Lake",21,22,1,5,9,42,79,0,179,467
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 69","Baldonnel",7,19,0,13,2,11,144,1,197,579
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 70","Flatrock",0,55,1,12,1,5,112,0,186,301
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 71","Fort St. John",2,8,0,10,0,8,67,2,97,364
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 72","Taylor",Merged with No./Fusionné avec le n°75,,,,,,,,,329
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 73","Taylor",Merged with No./Fusionné avec le n°74,,,,,,,,,357
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 74","Taylor",4,17,0,9,4,9,155,0,198,365
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 75","Tower Lake",3,17,0,21,6,14,147,1,209,335
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 76","Peace River ",Void/Supprimé,,,,,,,,,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 77","Peace River ",Void/Supprimé,,,,,,,,,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 78","Progress",10,33,0,13,5,20,173,0,254,472
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 79","Farmington",5,20,0,6,5,16,122,0,174,323
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 80","Doe River",6,3,0,2,2,9,70,0,92,167
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 81","Bessborough",4,11,0,5,4,14,119,0,157,320
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 82","Rolla",9,15,0,5,7,8,90,0,134,267
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 83","McLeod Lake",6,4,0,1,8,16,17,0,52,118
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 84","Dawson Creek",6,7,0,8,5,13,140,2,181,616
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 85","Dawson Creek",16,9,0,2,10,30,138,1,206,758
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 86","Dawson Creek",8,6,0,2,3,23,89,1,132,396
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 87","Dawson Creek",11,11,1,4,0,18,96,1,142,425
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 88","Dawson Creek",3,16,0,2,0,13,76,1,111,348
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 89","Dawson Creek",8,9,0,0,1,21,67,3,109,418
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 90","Dawson Creek",7,12,0,1,3,16,68,2,109,443
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 91","Dawson Creek",9,10,0,4,5,22,63,3,116,411
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 92","Dawson Creek",11,18,0,8,4,19,83,0,143,501
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 93","Dawson Creek",5,5,0,5,1,14,42,0,72,373
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 94","Dawson Creek",7,1,0,0,2,14,34,0,58,325
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 95","Dawson Creek",3,8,0,8,1,10,70,0,100,343
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 96","Dawson Creek",6,4,0,3,0,19,55,0,87,372
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 97","Dawson Creek",6,16,0,2,1,9,53,0,87,393
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 98","Dawson Creek",10,9,0,1,1,31,86,0,138,462
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 99","Dawson Creek",4,7,0,3,1,14,71,1,101,356
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 100","Dawson Creek",6,8,0,3,0,11,48,0,76,364
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 101","Dawson Creek",6,2,0,4,3,25,43,2,85,334
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 102","Dawson Creek",10,10,0,5,4,20,76,2,127,379
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 103","Dawson Creek",7,10,0,3,1,13,43,0,77,335
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 104","Dawson Creek",6,12,0,3,4,16,42,1,84,367
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 105","Dawson Creek",12,7,0,4,3,18,121,0,165,565
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 106","Peace River D",10,16,0,5,6,18,88,0,143,504
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 107","Chetwynd",1,9,0,0,0,5,51,0,66,260
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 108","Chetwynd",2,17,1,5,4,9,122,0,160,603
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 109","Chetwynd",15,12,1,4,3,19,102,0,156,513
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 110","Chetwynd",2,5,0,0,5,20,96,0,128,410
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 111","Chetwynd",4,9,0,4,3,11,74,1,106,334
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 112","Chetwynd",11,12,0,1,4,8,117,0,153,519
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 113","Chetwynd",10,7,0,2,1,9,80,0,109,389
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 114","Tumbler Ridge",5,6,0,5,0,1,28,0,45,129
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 115","Arras",9,12,0,11,1,12,58,0,103,269
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 116","Fellers Heights",4,9,0,11,0,8,107,0,139,240
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 117","Pouce Coupe",10,9,0,2,1,6,68,0,96,363
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 118","Pouce Coupe",4,13,0,6,2,8,75,1,109,328
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 119","Pouce Coupe",3,7,0,8,0,7,71,0,96,301
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 120","Tomslake",4,3,0,6,1,9,50,0,73,136
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 121","Tupper",4,9,1,3,2,6,66,0,91,191
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 122","Tumbler Ridge",8,24,1,0,0,20,74,0,127,410
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 123","Tumbler Ridge",5,6,0,0,3,7,30,0,51,184
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 124","Tumbler Ridge",6,8,0,0,2,9,61,1,87,344
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 125","Tumbler Ridge",2,8,0,2,0,9,74,0,95,342
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 126","Tumbler Ridge",4,7,0,3,5,15,88,1,123,402
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 127","Bear Lake",15,17,0,1,3,17,30,0,83,171
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 128","Nukko Lake",24,16,0,0,6,28,69,0,143,462
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 129","Ness Lake",34,19,1,5,12,38,109,0,218,454
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 130","Reid Lake",7,17,0,2,6,30,99,0,161,492
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 131","Salmon Valley",22,9,0,5,6,26,108,0,176,441
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 132","Kelly Lake",5,3,0,1,0,10,2,0,21,42
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 133","Prince George",17,14,0,0,9,26,97,0,163,487
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 134","Prince George",13,12,0,0,11,25,67,0,128,480
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 135","Prince George",21,14,1,1,4,27,58,0,126,436
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 136","Prince George",12,5,0,4,15,18,89,0,143,426
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 137","Prince George",22,2,0,0,3,21,39,0,87,411
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 138","Prince George",10,10,0,0,3,27,51,1,102,434
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 139","Prince George",26,8,0,2,4,39,68,0,147,458
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 140","Prince George",28,1,0,1,7,35,76,0,148,383
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 141","Prince George",20,10,0,1,14,45,52,0,142,504
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 142","Prince George",22,12,0,1,5,27,66,0,133,376
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 143","Prince George",20,17,1,0,5,29,73,1,146,518
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 144","Prince George",24,10,0,0,8,58,73,2,175,448
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 145","Prince George",18,9,0,0,5,35,115,0,182,599
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 146","Fraser-Fort George A",11,12,0,1,9,36,87,1,157,434
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 147","Prince George",8,13,0,0,5,27,63,0,116,504
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 148","Prince George",15,8,0,0,5,17,37,0,82,378
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 149","Prince George",14,9,1,1,3,27,37,0,92,370
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 150","Prince George",11,13,0,0,7,33,72,0,136,449
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 151","Prince George",11,14,0,0,8,34,48,0,115,316
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 152","Prince George",33,15,0,1,10,62,121,4,246,571
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 153","Prince George",16,16,0,1,11,39,62,0,145,568
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 154","Prince George",24,8,0,2,10,33,81,1,159,505
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 155","Prince George",20,11,0,0,8,24,58,2,123,403
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 156","Prince George",21,10,0,0,11,39,66,0,147,465
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 157","Prince George",20,8,0,1,4,23,79,0,135,507
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 158","Prince George",41,9,0,1,23,25,95,0,194,480
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 159","Prince George",26,13,0,2,5,46,88,0,180,500
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 160","Prince George",29,6,0,0,11,36,94,3,179,497
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 161","Prince George",26,7,0,1,7,38,113,0,192,491
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 162","Prince George",22,16,0,0,5,34,63,0,140,542
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 163","Prince George",26,21,1,2,12,42,81,0,185,482
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 164","Prince George",26,14,0,2,7,42,45,0,136,407
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 165","Prince George",24,18,0,1,8,48,43,0,142,428
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 166","Prince George",13,8,1,1,13,42,44,1,123,395
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 167","Prince George",19,11,0,2,11,39,36,1,119,448
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 168","Prince George",25,6,0,1,16,48,46,0,142,467
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 169","Prince George",19,9,0,0,9,61,22,0,120,427
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 170","Prince George",37,8,0,2,15,41,49,2,154,454
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 171","Prince George",19,10,0,0,13,43,43,0,128,481
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 172","Prince George",16,11,0,0,8,37,34,2,108,448
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 173","Prince George",39,11,0,0,12,50,42,0,154,441
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 174","Prince George",21,12,0,0,6,35,45,1,120,370
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 175","Prince George",25,4,0,0,6,44,31,0,110,422
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 176","Prince George",13,6,0,0,8,34,43,0,104,358
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 177","Prince George",18,3,0,1,8,27,24,1,82,547
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 178","Shelley",20,25,0,2,8,23,98,3,179,429
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 179","Prince George",20,12,0,0,4,28,75,0,139,349
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 180","Prince George",18,7,0,1,8,37,118,0,189,355
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 181","Prince George",31,18,1,0,8,24,104,0,186,436
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 182","Prince George",8,5,0,0,7,11,68,0,99,276
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 183","Prince George",23,18,0,0,17,21,83,0,162,395
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 184","Prince George",15,6,0,1,4,18,46,0,90,298
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 185","Pineview",16,14,0,0,4,21,59,0,114,319
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 186","Fraser-Fort George D",19,18,0,1,14,19,87,1,159,419
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 187","Pineview",10,11,1,1,5,20,63,0,111,312
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 188","Pineview",15,12,0,1,16,16,52,1,113,361
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 189","Ferndale",30,12,0,0,13,26,76,1,158,324
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 190","Willow River",18,35,1,4,10,31,59,1,159,295
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 191","Buckhorn",29,20,0,0,6,32,80,0,167,465
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 192","Buckhorn",18,17,0,2,9,21,78,0,145,418
