Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nataël Bureau,Marjolaine Delisle,Alexandre Desmarais,Nadine Fougeron,Alain Rayes,Louis Richard,Diego Scalzo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 120","Notre-Dame-de-Ham",8,0,25,12,83,7,49,3,187,346
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 121","Ham-Nord",5,1,16,5,64,5,39,1,136,317
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 122","Ham-Nord",8,2,17,9,82,7,39,3,167,344
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 123","Warwick",5,1,16,5,96,2,53,1,179,385
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 124","Warwick",7,2,15,6,102,6,35,2,175,378
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 125","Warwick",8,0,10,8,73,1,49,2,151,364
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 126","Warwick",13,2,18,11,102,2,50,8,206,394
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 127","Warwick",6,0,17,17,63,1,42,2,148,382
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 128","Warwick",9,1,7,5,62,5,37,2,128,318
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 129","Warwick",7,1,12,6,50,2,42,2,122,377
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 130","Warwick",7,0,11,10,55,1,41,1,126,351
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 131","Warwick",14,0,18,10,110,2,46,2,202,422
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 132","Warwick",8,0,19,14,67,1,48,0,157,299
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 133","Saints-Martyrs-Canadiens",3,0,23,1,40,4,29,1,101,231
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 134","Sainte-Clotilde-de-Horton",12,7,42,5,102,2,48,5,223,393
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 135","Sainte-Clotilde-de-Horton",22,2,21,5,109,5,61,7,232,399
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 136","Sainte-Clotilde-de-Horton",8,6,32,10,84,4,69,5,218,423
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 137","Sainte-Élisabeth-de-Warwick",8,0,16,8,146,1,50,4,233,417
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 138","Saint-Rémi-de-Tingwick",6,0,12,12,100,3,89,2,224,388
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 139","Tingwick",6,0,19,6,72,3,60,4,170,337
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 140","Tingwick",6,1,16,10,96,0,51,8,188,349
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 141","Tingwick",3,0,23,15,72,0,49,0,162,325
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 142","Saint-Adrien",22,10,22,13,103,14,75,5,264,414
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 143","Sainte-Séraphine",9,1,18,12,100,2,57,3,202,307
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 144","Ham-Sud",32,8,27,10,40,1,50,7,175,274
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 145","Kingsey Falls",6,2,20,8,90,2,39,5,172,313
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 146A","Kingsey Falls",11,1,18,0,78,0,44,0,152,276
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 146B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°513,,,,,,,,,12
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 147","Kingsey Falls",13,1,34,9,76,1,54,0,188,314
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 148","Kingsey Falls",12,2,34,3,77,0,56,2,186,310
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 149","Kingsey Falls",3,3,16,5,68,4,45,1,145,282
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 150","Asbestos",3,1,21,7,51,9,43,5,140,299
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 151","Asbestos",5,1,15,4,63,3,32,2,125,296
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 152","Wotton",8,1,26,7,79,2,44,7,174,342
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 153","Wotton",6,1,31,16,78,7,43,2,184,413
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 154","Wotton",7,4,25,9,92,3,40,1,181,372
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 155","Asbestos",5,1,31,21,71,2,50,2,183,498
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 156","Asbestos",5,1,29,6,54,0,29,3,127,340
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 157","Asbestos",4,1,31,15,32,4,35,4,126,366
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 158","Asbestos",5,3,17,2,43,3,20,4,97,363
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 159","Asbestos",7,0,30,9,72,0,39,6,163,497
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 160","Asbestos",9,0,18,10,60,3,40,2,142,416
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 161","Danville",6,0,19,16,57,6,44,6,154,364
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 162","Danville",5,21,26,14,50,3,33,1,153,301
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 163","Danville",6,0,21,7,52,2,36,3,127,254
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 164","Danville",11,3,38,12,48,2,41,3,158,311
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 165","Danville",7,1,22,6,62,2,40,4,144,298
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 166","Danville",1,1,31,3,76,7,33,2,154,294
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 167","Danville",8,1,35,3,59,4,30,2,142,285
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 168","Shipton",5,2,21,5,58,1,24,1,117,286
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 169","Asbestos",2,0,25,5,44,4,30,7,117,360
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 170","Asbestos",6,1,29,8,63,3,34,6,150,529
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 171","Asbestos",1,2,23,8,64,3,23,5,129,419
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 172","Asbestos",9,3,29,10,56,3,47,4,161,483
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 173","Asbestos",4,1,18,10,55,0,17,0,105,407
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 174","Asbestos",5,0,13,10,45,3,29,2,107,373
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 175","Asbestos",3,0,26,4,50,2,39,6,130,374
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 176","Danville",4,0,11,5,56,8,35,2,121,398
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 177","Saint-Camille",25,5,39,3,73,4,63,8,220,326
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 178","Saint-Georges-de-Windsor",8,3,37,3,104,7,55,10,227,384
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 179","Saint-Georges-de-Windsor",14,2,17,7,82,1,43,6,172,337
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 180","Cleveland",14,3,38,7,51,2,47,4,166,395
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 181","Cleveland",11,3,44,5,47,0,33,6,149,386
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 182","Richmond",15,2,26,15,48,3,28,6,143,397
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 183","Richmond",9,2,28,6,33,0,40,2,120,376
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 184","Richmond",14,2,38,7,46,1,29,3,140,407
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 185","Saint-Claude",12,4,14,8,51,2,37,1,129,258
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 186","Saint-Claude",11,3,19,10,52,0,50,4,149,287
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 187","Cleveland",6,1,7,2,13,1,15,0,45,134
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 188","Ulverton",9,2,55,6,49,2,70,4,197,370
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 189","Richmond",19,2,20,4,32,0,21,6,104,306
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 190","Melbourne",16,4,43,12,37,0,21,4,137,294
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 191","Val-Joli",7,0,16,10,64,0,66,1,164,338
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 192","Windsor",13,4,32,10,44,0,71,2,176,366
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 193","Windsor",19,1,22,10,56,3,45,8,164,413
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 194","Windsor",13,0,33,9,40,0,46,5,146,424
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 195","Windsor",12,4,25,9,47,3,56,6,162,475
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 196","Windsor",8,0,10,8,25,3,23,1,78,321
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 197","Windsor",6,1,7,2,13,1,15,0,45,361
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 198","Cleveland",10,2,30,5,52,1,20,3,123,272
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 199","Richmond",8,2,30,8,47,0,24,3,122,327
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 200","Richmond",18,1,20,9,17,4,25,5,99,394
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 201","Richmond",9,1,8,14,21,1,23,0,77,303
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 202","Melbourne",10,5,35,14,37,2,26,0,129,309
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 203","Saint-Claude",8,1,28,7,50,0,43,2,139,349
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 204","Val-Joli",4,2,14,3,34,0,20,1,78,231
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 205","Saint-Claude",5,0,14,5,29,1,23,2,79,216
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 206","Windsor",15,1,24,2,52,1,48,5,148,380
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 207","Windsor",11,1,25,10,51,4,50,1,153,417
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 208","Windsor",9,5,36,16,74,6,48,6,200,478
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 209","Windsor",10,2,27,4,52,5,33,5,138,352
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 210","Val-Joli",5,4,19,12,57,1,49,7,154,398
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 211","Saint-François-Xavier-de-Brompton",13,1,24,19,53,2,42,9,163,368
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 212","Melbourne",12,0,23,5,35,0,25,1,101,206
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 213","Melbourne",19,0,26,5,27,3,38,2,120,247
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 214","Saint-François-Xavier-de-Brompton",13,1,19,5,52,0,39,0,129,298
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 215","Saint-François-Xavier-de-Brompton",8,0,26,7,61,1,26,1,130,306
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 216","Saint-François-Xavier-de-Brompton",16,5,17,10,52,0,57,3,160,338
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 217","Saint-François-Xavier-de-Brompton",16,4,31,14,62,2,65,5,199,448
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 218","Saint-François-Xavier-de-Brompton",9,1,31,15,64,1,61,1,183,374
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 219","Saint-Denis-de-Brompton",13,0,41,13,37,3,41,2,150,431
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 220A","Saint-Denis-de-Brompton",14,2,24,15,39,3,42,2,141,356
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 220B","Saint-Denis-de-Brompton",11,1,27,8,45,2,41,1,136,353
