Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Faiz Kamal,Aylwin T. Mathew,Malcolm Ponnayan,Petru Rozoveanu,Salma Zahid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Scarborough Centre/Scarborough-Centre"," 426","Toronto",20,5,35,2,58,0,120,183
35094,"Scarborough Centre/Scarborough-Centre"," 427","Toronto",26,1,46,15,201,2,291,513
35094,"Scarborough Centre/Scarborough-Centre"," 428","Toronto",20,1,12,7,104,1,145,308
35094,"Scarborough Centre/Scarborough-Centre"," 429","Mobile poll/Bureau itinérant",7,0,20,2,99,0,128,217
35094,"Scarborough Centre/Scarborough-Centre"," 500","Mobile poll/Bureau itinérant",2,3,5,0,12,3,25,123
35094,"Scarborough Centre/Scarborough-Centre"," 501","Mobile poll/Bureau itinérant",5,1,7,4,16,1,34,37
35094,"Scarborough Centre/Scarborough-Centre"," 600","Toronto",141,8,436,71,734,1,1391,
35094,"Scarborough Centre/Scarborough-Centre"," 601","Toronto",104,3,200,35,555,4,901,
35094,"Scarborough Centre/Scarborough-Centre"," 602","Toronto",91,3,270,45,492,5,906,
35094,"Scarborough Centre/Scarborough-Centre"," 603","Toronto",191,14,408,49,1199,19,1880,
35094,"Scarborough Centre/Scarborough-Centre"," 604","Toronto",117,3,301,31,510,9,971,
35094,"Scarborough Centre/Scarborough-Centre"," 605","Toronto",182,5,378,52,772,8,1397,
35094,"Scarborough Centre/Scarborough-Centre"," 606","Toronto",126,5,342,66,609,7,1155,
35094,"Scarborough Centre/Scarborough-Centre"," 607","Toronto",121,8,258,39,679,0,1105,
35094,"Scarborough Centre/Scarborough-Centre"," 608","Toronto",160,11,264,27,900,13,1375,
35094,"Scarborough Centre/Scarborough-Centre"," 609","Toronto",152,13,327,40,852,9,1393,
35094,"Scarborough Centre/Scarborough-Centre"," 610","Toronto",151,7,341,49,845,12,1405,
35094,"Scarborough Centre/Scarborough-Centre",,Group 1/Groupe 1, 51,0,57,7,123,18,256,154
35094,"Scarborough Centre/Scarborough-Centre",,Group 2/Groupe 2, 316,3,438,42,1083,112,1994,
