Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carson Binda,Virginia Bremner,Kimball Cariou,Farrukh Chishtie,Don Davies,Jeremy MacKenzie,Donna Petersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59038,"Vancouver Kingsway/Vancouver Kingsway"," 18","Vancouver",17,54,0,5,69,5,0,0,150,407
59038,"Vancouver Kingsway/Vancouver Kingsway"," 19","Vancouver",15,40,0,5,84,2,0,1,147,452
59038,"Vancouver Kingsway/Vancouver Kingsway"," 20","Vancouver",Merged with No./Fusionné avec le n°21,,,,,,,,,400
59038,"Vancouver Kingsway/Vancouver Kingsway"," 21","Vancouver",40,69,1,10,133,7,0,2,262,438
59038,"Vancouver Kingsway/Vancouver Kingsway"," 22","Vancouver",11,41,2,5,89,3,0,0,151,446
59038,"Vancouver Kingsway/Vancouver Kingsway"," 23","Vancouver",25,30,0,8,94,2,0,1,160,547
59038,"Vancouver Kingsway/Vancouver Kingsway"," 24","Vancouver",15,20,1,7,74,6,1,0,124,445
59038,"Vancouver Kingsway/Vancouver Kingsway"," 25","Vancouver",21,31,1,6,75,1,0,0,135,495
59038,"Vancouver Kingsway/Vancouver Kingsway"," 26","Vancouver",9,27,0,9,74,2,0,0,121,348
59038,"Vancouver Kingsway/Vancouver Kingsway"," 27","Vancouver",20,50,1,18,180,4,0,0,273,764
59038,"Vancouver Kingsway/Vancouver Kingsway"," 28","Vancouver",Merged with No./Fusionné avec le n°29,,,,,,,,,358
59038,"Vancouver Kingsway/Vancouver Kingsway"," 29","Vancouver",23,51,5,22,134,5,2,2,244,379
59038,"Vancouver Kingsway/Vancouver Kingsway"," 30","Vancouver",17,38,2,17,147,4,0,2,227,435
59038,"Vancouver Kingsway/Vancouver Kingsway"," 31","Vancouver",26,51,0,10,103,1,0,2,193,475
59038,"Vancouver Kingsway/Vancouver Kingsway"," 32","Vancouver",12,38,0,2,79,4,0,0,135,348
59038,"Vancouver Kingsway/Vancouver Kingsway"," 33","Vancouver",23,37,0,6,84,2,0,1,153,469
59038,"Vancouver Kingsway/Vancouver Kingsway"," 34","Vancouver",12,42,0,7,72,0,0,2,135,364
59038,"Vancouver Kingsway/Vancouver Kingsway"," 35","Vancouver",26,58,2,3,89,1,0,0,179,415
59038,"Vancouver Kingsway/Vancouver Kingsway"," 36","Vancouver",26,37,0,6,77,4,0,1,151,476
59038,"Vancouver Kingsway/Vancouver Kingsway"," 37","Vancouver",19,45,0,4,104,3,0,1,176,476
59038,"Vancouver Kingsway/Vancouver Kingsway"," 38","Vancouver",24,46,1,5,90,4,0,4,174,393
59038,"Vancouver Kingsway/Vancouver Kingsway"," 39","Vancouver",18,52,1,8,98,5,0,0,182,478
59038,"Vancouver Kingsway/Vancouver Kingsway"," 40","Vancouver",20,45,0,8,88,7,0,1,169,478
59038,"Vancouver Kingsway/Vancouver Kingsway"," 41","Vancouver",34,51,1,17,129,8,0,3,243,408
59038,"Vancouver Kingsway/Vancouver Kingsway"," 42","Vancouver",Merged with No./Fusionné avec le n°41,,,,,,,,,362
59038,"Vancouver Kingsway/Vancouver Kingsway"," 43","Vancouver",25,35,0,9,70,1,0,0,140,415
59038,"Vancouver Kingsway/Vancouver Kingsway"," 44","Vancouver",20,38,0,2,86,2,0,0,148,412
59038,"Vancouver Kingsway/Vancouver Kingsway"," 45","Vancouver",21,22,0,8,55,2,0,1,109,469
59038,"Vancouver Kingsway/Vancouver Kingsway"," 46","Vancouver",30,38,0,2,62,3,0,0,135,376
59038,"Vancouver Kingsway/Vancouver Kingsway"," 47","Vancouver",11,35,0,6,84,4,0,0,140,452
59038,"Vancouver Kingsway/Vancouver Kingsway"," 48","Vancouver",19,30,0,10,53,1,0,1,114,450
59038,"Vancouver Kingsway/Vancouver Kingsway"," 49","Vancouver",16,22,1,7,66,1,1,1,115,463
59038,"Vancouver Kingsway/Vancouver Kingsway"," 50","Vancouver",14,36,0,8,77,1,0,0,136,416
59038,"Vancouver Kingsway/Vancouver Kingsway"," 51","Vancouver",6,48,0,7,69,3,0,1,134,442
59038,"Vancouver Kingsway/Vancouver Kingsway"," 52","Vancouver",21,46,2,10,82,0,0,1,162,367
59038,"Vancouver Kingsway/Vancouver Kingsway"," 53","Vancouver",16,49,1,9,73,1,0,0,149,429
59038,"Vancouver Kingsway/Vancouver Kingsway"," 54","Vancouver",32,39,0,9,63,2,0,1,146,509
59038,"Vancouver Kingsway/Vancouver Kingsway"," 55","Vancouver",Merged with No./Fusionné avec le n°60,,,,,,,,,391
59038,"Vancouver Kingsway/Vancouver Kingsway"," 56","Vancouver",24,43,1,3,70,0,0,0,141,484
59038,"Vancouver Kingsway/Vancouver Kingsway"," 57","Vancouver",16,29,0,1,73,5,0,0,124,450
59038,"Vancouver Kingsway/Vancouver Kingsway"," 58","Vancouver",38,50,1,8,93,2,0,0,192,469
59038,"Vancouver Kingsway/Vancouver Kingsway"," 59","Vancouver",20,34,2,3,55,1,1,0,116,412
59038,"Vancouver Kingsway/Vancouver Kingsway"," 60","Vancouver",31,81,0,13,126,7,2,2,262,423
59038,"Vancouver Kingsway/Vancouver Kingsway"," 61","Vancouver",25,47,0,8,79,0,0,1,160,514
59038,"Vancouver Kingsway/Vancouver Kingsway"," 62","Vancouver",25,56,2,10,76,5,0,2,176,498
59038,"Vancouver Kingsway/Vancouver Kingsway"," 63","Vancouver",27,58,0,9,154,8,0,0,256,472
59038,"Vancouver Kingsway/Vancouver Kingsway"," 64","Vancouver",33,64,1,11,102,2,1,1,215,565
59038,"Vancouver Kingsway/Vancouver Kingsway"," 65","Vancouver",18,51,1,3,68,2,0,0,143,352
59038,"Vancouver Kingsway/Vancouver Kingsway"," 66","Vancouver",27,81,5,3,90,3,0,2,211,450
59038,"Vancouver Kingsway/Vancouver Kingsway"," 67","Vancouver",30,50,1,4,50,5,0,0,140,367
59038,"Vancouver Kingsway/Vancouver Kingsway"," 68","Vancouver",23,51,0,4,78,4,0,0,160,468
59038,"Vancouver Kingsway/Vancouver Kingsway"," 69","Vancouver",25,37,0,7,66,4,0,2,141,476
59038,"Vancouver Kingsway/Vancouver Kingsway"," 70","Vancouver",30,50,0,7,68,6,0,2,163,446
59038,"Vancouver Kingsway/Vancouver Kingsway"," 71","Vancouver",24,47,0,3,98,8,1,0,181,444
59038,"Vancouver Kingsway/Vancouver Kingsway"," 72","Vancouver",21,22,1,11,44,3,0,0,102,344
59038,"Vancouver Kingsway/Vancouver Kingsway"," 73","Vancouver",25,41,0,6,46,3,0,0,121,357
59038,"Vancouver Kingsway/Vancouver Kingsway"," 74","Vancouver",15,52,0,3,87,5,0,1,163,516
59038,"Vancouver Kingsway/Vancouver Kingsway"," 75","Vancouver",23,36,0,6,92,2,0,0,159,384
59038,"Vancouver Kingsway/Vancouver Kingsway"," 76","Vancouver",8,33,4,5,72,2,0,1,125,446
59038,"Vancouver Kingsway/Vancouver Kingsway"," 77","Vancouver",Merged with No./Fusionné avec le n°63,,,,,,,,,415
59038,"Vancouver Kingsway/Vancouver Kingsway"," 78","Vancouver",43,77,0,14,123,4,0,2,263,865
59038,"Vancouver Kingsway/Vancouver Kingsway"," 79","Vancouver",30,70,1,9,108,9,0,3,230,453
59038,"Vancouver Kingsway/Vancouver Kingsway"," 80","Vancouver",Merged with No./Fusionné avec le n°79,,,,,,,,,380
59038,"Vancouver Kingsway/Vancouver Kingsway"," 81","Vancouver",12,47,1,1,65,6,1,1,134,446
59038,"Vancouver Kingsway/Vancouver Kingsway"," 82","Vancouver",35,47,0,2,76,4,1,1,166,476
59038,"Vancouver Kingsway/Vancouver Kingsway"," 83","Vancouver",26,59,1,7,68,2,0,0,163,459
59038,"Vancouver Kingsway/Vancouver Kingsway"," 84","Vancouver",42,61,0,2,67,2,0,1,175,428
59038,"Vancouver Kingsway/Vancouver Kingsway"," 85","Vancouver",49,92,1,6,90,8,0,2,248,427
59038,"Vancouver Kingsway/Vancouver Kingsway"," 86","Vancouver",38,77,1,4,94,2,2,3,221,520
59038,"Vancouver Kingsway/Vancouver Kingsway"," 87","Vancouver",17,53,1,5,110,4,0,3,193,423
59038,"Vancouver Kingsway/Vancouver Kingsway"," 88","Vancouver",Merged with No./Fusionné avec le n°90,,,,,,,,,348
59038,"Vancouver Kingsway/Vancouver Kingsway"," 89","Vancouver",10,44,1,6,90,1,0,1,153,387
59038,"Vancouver Kingsway/Vancouver Kingsway"," 90","Vancouver",41,77,1,7,142,3,0,0,271,426
59038,"Vancouver Kingsway/Vancouver Kingsway"," 91","Vancouver",34,65,1,6,100,5,0,2,213,458
59038,"Vancouver Kingsway/Vancouver Kingsway"," 92","Vancouver",33,54,0,4,59,5,0,0,155,409
59038,"Vancouver Kingsway/Vancouver Kingsway"," 93","Vancouver",27,57,0,5,97,4,1,0,191,384
59038,"Vancouver Kingsway/Vancouver Kingsway"," 94","Vancouver",28,48,1,3,96,4,1,1,182,485
59038,"Vancouver Kingsway/Vancouver Kingsway"," 95","Vancouver",28,63,1,5,82,0,0,1,180,472
59038,"Vancouver Kingsway/Vancouver Kingsway"," 96","Vancouver",28,54,2,8,67,3,1,1,164,408
59038,"Vancouver Kingsway/Vancouver Kingsway"," 97","Vancouver",22,42,2,6,70,8,1,1,152,370
59038,"Vancouver Kingsway/Vancouver Kingsway"," 98","Vancouver",32,45,3,3,66,8,0,1,158,438
59038,"Vancouver Kingsway/Vancouver Kingsway"," 99","Vancouver",27,67,2,5,76,3,0,4,184,471
59038,"Vancouver Kingsway/Vancouver Kingsway"," 100","Vancouver",24,38,0,3,57,1,0,1,124,439
59038,"Vancouver Kingsway/Vancouver Kingsway"," 101","Vancouver",24,60,1,8,105,5,0,2,205,515
59038,"Vancouver Kingsway/Vancouver Kingsway"," 102","Vancouver",22,47,1,4,57,3,1,1,136,463
59038,"Vancouver Kingsway/Vancouver Kingsway"," 103","Vancouver",Merged with No./Fusionné avec le n°106,,,,,,,,,411
59038,"Vancouver Kingsway/Vancouver Kingsway"," 104","Vancouver",28,62,0,5,90,7,0,0,192,477
59038,"Vancouver Kingsway/Vancouver Kingsway"," 105","Vancouver",25,52,0,9,83,1,0,3,173,491
59038,"Vancouver Kingsway/Vancouver Kingsway"," 106","Vancouver",39,80,1,7,102,4,1,2,236,436
59038,"Vancouver Kingsway/Vancouver Kingsway"," 107","Vancouver",30,59,0,5,98,2,0,3,197,517
59038,"Vancouver Kingsway/Vancouver Kingsway"," 108","Vancouver",36,94,1,4,118,8,0,3,264,466
59038,"Vancouver Kingsway/Vancouver Kingsway"," 109","Vancouver",11,46,1,7,60,3,0,1,129,532
59038,"Vancouver Kingsway/Vancouver Kingsway"," 110","Vancouver",Merged with No./Fusionné avec le n°116,,,,,,,,,185
59038,"Vancouver Kingsway/Vancouver Kingsway"," 111","Vancouver",17,57,0,8,75,5,0,1,163,603
59038,"Vancouver Kingsway/Vancouver Kingsway"," 112","Vancouver",25,75,3,5,88,4,0,0,200,490
59038,"Vancouver Kingsway/Vancouver Kingsway"," 113","Vancouver",20,50,0,4,79,1,1,0,155,472
59038,"Vancouver Kingsway/Vancouver Kingsway"," 114","Vancouver",23,45,0,2,53,2,0,4,129,374
59038,"Vancouver Kingsway/Vancouver Kingsway"," 115","Vancouver",29,78,1,11,82,3,0,1,205,547
59038,"Vancouver Kingsway/Vancouver Kingsway"," 116","Vancouver",35,70,2,7,88,3,0,1,206,395
59038,"Vancouver Kingsway/Vancouver Kingsway"," 117","Vancouver",21,53,1,4,58,4,1,3,145,455
59038,"Vancouver Kingsway/Vancouver Kingsway"," 118","Vancouver",15,38,2,0,37,4,0,2,98,391
59038,"Vancouver Kingsway/Vancouver Kingsway"," 119","Vancouver",Merged with No./Fusionné avec le n°85,,,,,,,,,394
59038,"Vancouver Kingsway/Vancouver Kingsway"," 120","Vancouver",14,43,0,2,45,9,0,0,113,482
59038,"Vancouver Kingsway/Vancouver Kingsway"," 121","Vancouver",22,41,1,0,63,1,0,1,129,461
59038,"Vancouver Kingsway/Vancouver Kingsway"," 122","Vancouver",15,36,0,2,48,4,1,1,107,427
59038,"Vancouver Kingsway/Vancouver Kingsway"," 123","Vancouver",4,34,0,3,51,0,0,0,92,468
59038,"Vancouver Kingsway/Vancouver Kingsway"," 124","Vancouver",20,38,1,9,74,6,0,0,148,453
59038,"Vancouver Kingsway/Vancouver Kingsway"," 125","Vancouver",Merged with No./Fusionné avec le n°127,,,,,,,,,371
59038,"Vancouver Kingsway/Vancouver Kingsway"," 126","Vancouver",18,35,1,2,53,3,0,0,112,439
59038,"Vancouver Kingsway/Vancouver Kingsway"," 127","Vancouver",44,66,0,6,143,4,0,2,265,397
59038,"Vancouver Kingsway/Vancouver Kingsway"," 128","Vancouver",Merged with No./Fusionné avec le n°141,,,,,,,,,367
59038,"Vancouver Kingsway/Vancouver Kingsway"," 129","Vancouver",Merged with No./Fusionné avec le n°148,,,,,,,,,408
59038,"Vancouver Kingsway/Vancouver Kingsway"," 130","Vancouver",49,94,0,9,151,13,1,2,319,480
59038,"Vancouver Kingsway/Vancouver Kingsway"," 131","Vancouver",30,74,1,10,86,9,0,0,210,377
59038,"Vancouver Kingsway/Vancouver Kingsway"," 132","Vancouver",Merged with No./Fusionné avec le n°131,,,,,,,,,344
59038,"Vancouver Kingsway/Vancouver Kingsway"," 133","Vancouver",11,52,0,5,76,0,0,0,144,421
59038,"Vancouver Kingsway/Vancouver Kingsway"," 134","Vancouver",24,110,1,3,64,2,0,5,209,500
59038,"Vancouver Kingsway/Vancouver Kingsway"," 135","Vancouver",20,43,1,1,60,3,0,1,129,428
59038,"Vancouver Kingsway/Vancouver Kingsway"," 136","Vancouver",Merged with No./Fusionné avec le n°108,,,,,,,,,388
59038,"Vancouver Kingsway/Vancouver Kingsway"," 137","Vancouver",30,55,1,1,37,1,0,0,125,407
59038,"Vancouver Kingsway/Vancouver Kingsway"," 138","Vancouver",34,58,0,1,69,3,2,1,168,463
59038,"Vancouver Kingsway/Vancouver Kingsway"," 139","Vancouver",Merged with No./Fusionné avec le n°130,,,,,,,,,480
59038,"Vancouver Kingsway/Vancouver Kingsway"," 140","Vancouver",24,28,1,1,93,5,0,0,152,467
59038,"Vancouver Kingsway/Vancouver Kingsway"," 141","Vancouver",27,47,1,10,109,1,0,1,196,405
59038,"Vancouver Kingsway/Vancouver Kingsway"," 142","Vancouver",19,42,0,5,63,4,1,0,134,442
59038,"Vancouver Kingsway/Vancouver Kingsway"," 143","Vancouver",12,30,0,2,76,1,0,1,122,450
59038,"Vancouver Kingsway/Vancouver Kingsway"," 144","Vancouver",18,44,0,3,37,2,0,1,105,458
59038,"Vancouver Kingsway/Vancouver Kingsway"," 145","Vancouver",13,45,2,6,58,3,0,2,129,393
59038,"Vancouver Kingsway/Vancouver Kingsway"," 146","Vancouver",19,35,1,3,61,1,0,4,124,392
59038,"Vancouver Kingsway/Vancouver Kingsway"," 147","Vancouver",20,51,2,5,75,2,0,1,156,439
59038,"Vancouver Kingsway/Vancouver Kingsway"," 148","Vancouver",50,63,0,7,124,5,1,0,250,407
59038,"Vancouver Kingsway/Vancouver Kingsway"," 149","Vancouver",Merged with No./Fusionné avec le n°150,,,,,,,,,420
59038,"Vancouver Kingsway/Vancouver Kingsway"," 150","Vancouver",28,69,1,3,149,7,0,1,258,422
59038,"Vancouver Kingsway/Vancouver Kingsway"," 151","Vancouver",22,67,0,9,102,4,0,0,204,475
59038,"Vancouver Kingsway/Vancouver Kingsway"," 152","Vancouver",Merged with No./Fusionné avec le n°151,,,,,,,,,434
59038,"Vancouver Kingsway/Vancouver Kingsway"," 153","Vancouver",Merged with No./Fusionné avec le n°154,,,,,,,,,378
59038,"Vancouver Kingsway/Vancouver Kingsway"," 154","Vancouver",33,59,1,11,107,11,0,2,224,405
59038,"Vancouver Kingsway/Vancouver Kingsway"," 155","Vancouver",18,75,0,11,53,3,0,0,160,526
59038,"Vancouver Kingsway/Vancouver Kingsway"," 156","Vancouver",12,41,0,1,82,2,0,3,141,486
59038,"Vancouver Kingsway/Vancouver Kingsway"," 157","Vancouver",15,42,4,2,61,4,0,2,130,437
59038,"Vancouver Kingsway/Vancouver Kingsway"," 158","Vancouver",17,45,3,4,58,3,0,3,133,514
59038,"Vancouver Kingsway/Vancouver Kingsway"," 159","Vancouver",Merged with No./Fusionné avec le n°162,,,,,,,,,277
59038,"Vancouver Kingsway/Vancouver Kingsway"," 160","Vancouver",23,34,0,3,96,8,1,1,166,452
59038,"Vancouver Kingsway/Vancouver Kingsway"," 161","Vancouver",12,31,0,4,37,5,0,0,89,453
59038,"Vancouver Kingsway/Vancouver Kingsway"," 162","Vancouver",36,54,0,8,109,10,1,1,219,338
59038,"Vancouver Kingsway/Vancouver Kingsway"," 163","Vancouver",10,32,1,2,66,3,0,0,114,585
59038,"Vancouver Kingsway/Vancouver Kingsway"," 164","Vancouver",20,46,2,3,57,4,0,0,132,534
59038,"Vancouver Kingsway/Vancouver Kingsway"," 165","Vancouver",Merged with No./Fusionné avec le n°162,,,,,,,,,154
59038,"Vancouver Kingsway/Vancouver Kingsway"," 166","Vancouver",34,41,0,5,78,4,0,1,163,590
59038,"Vancouver Kingsway/Vancouver Kingsway"," 167","Vancouver",45,46,2,7,95,3,0,2,200,779
59038,"Vancouver Kingsway/Vancouver Kingsway"," 400","Vancouver",Merged with No./Fusionné avec le n°401,,,,,,,,,199
59038,"Vancouver Kingsway/Vancouver Kingsway"," 401","Vancouver",22,28,0,3,43,1,0,0,97,299
59038,"Vancouver Kingsway/Vancouver Kingsway"," 500","Mobile poll/Bureau itinérant",7,29,0,7,44,1,1,6,95,13
59038,"Vancouver Kingsway/Vancouver Kingsway"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,18
59038,"Vancouver Kingsway/Vancouver Kingsway"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,49
59038,"Vancouver Kingsway/Vancouver Kingsway"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,103
59038,"Vancouver Kingsway/Vancouver Kingsway"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,56
59038,"Vancouver Kingsway/Vancouver Kingsway"," 600","Vancouver",231,358,6,92,900,26,4,8,1625,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 601","Vancouver",132,263,4,70,681,24,0,4,1178,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 602","Vancouver",76,148,2,26,375,18,2,2,649,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 603","Vancouver",93,161,3,18,365,15,2,3,660,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 604","Vancouver",105,203,0,26,399,23,2,4,762,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 605","Vancouver",79,182,5,50,597,25,0,4,942,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 606","Vancouver",91,137,6,33,413,1,15,6,702,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 607","Vancouver",61,85,0,16,182,21,0,1,366,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 608","Vancouver",78,95,1,16,226,11,0,2,429,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 609","Vancouver",90,144,3,16,291,18,1,5,568,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 610","Vancouver",83,123,4,19,258,17,0,2,506,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 611","Vancouver",79,226,2,12,301,23,2,4,649,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 612","Vancouver",82,148,0,22,428,15,2,9,706,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 613","Vancouver",90,155,3,10,390,10,0,3,661,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 614","Vancouver",186,359,4,35,604,37,0,6,1231,
59038,"Vancouver Kingsway/Vancouver Kingsway",,Group 1/Groupe 1, 53,82,3,23,197,17,0,19,394,253
59038,"Vancouver Kingsway/Vancouver Kingsway",,Group 2/Groupe 2, 408,892,12,132,2056,26,2,87,3615,
