Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Juan Estevez Moreno,Sabrina Grover,Greg McLean,Austin Mullins,Dawid Pawlowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Centre/Calgary-Centre"," 191","Calgary",Merged with No./Fusionné avec le n°190,,,,,,,350
48004,"Calgary Centre/Calgary-Centre"," 192A","Calgary",37,50,61,2,5,2,157,533
48004,"Calgary Centre/Calgary-Centre"," 192B","Mobile poll/Bureau itinérant",2,3,10,0,1,1,17,58
48004,"Calgary Centre/Calgary-Centre"," 400","Calgary",11,23,40,2,4,1,81,158
48004,"Calgary Centre/Calgary-Centre"," 401","Mobile poll/Bureau itinérant",3,28,99,1,0,1,132,141
48004,"Calgary Centre/Calgary-Centre"," 402","Mobile poll/Bureau itinérant",2,12,46,0,0,4,64,90
48004,"Calgary Centre/Calgary-Centre"," 403","Mobile poll/Bureau itinérant",1,7,10,2,1,1,22,87
48004,"Calgary Centre/Calgary-Centre"," 500","Mobile poll/Bureau itinérant",5,7,15,2,0,0,29,62
48004,"Calgary Centre/Calgary-Centre"," 501","Mobile poll/Bureau itinérant",5,13,69,2,2,1,92,129
48004,"Calgary Centre/Calgary-Centre"," 502","Mobile poll/Bureau itinérant",1,21,29,2,0,0,53,103
48004,"Calgary Centre/Calgary-Centre"," 503","Mobile poll/Bureau itinérant",8,27,38,1,1,1,76,142
48004,"Calgary Centre/Calgary-Centre"," 504","Mobile poll/Bureau itinérant",2,15,41,1,0,1,60,104
48004,"Calgary Centre/Calgary-Centre"," 505","Mobile poll/Bureau itinérant",4,24,24,1,4,3,60,114
48004,"Calgary Centre/Calgary-Centre"," 506","Mobile poll/Bureau itinérant",1,0,4,0,0,0,5,20
48004,"Calgary Centre/Calgary-Centre"," 507","Mobile poll/Bureau itinérant",3,10,23,0,0,0,36,51
48004,"Calgary Centre/Calgary-Centre"," 508","Mobile poll/Bureau itinérant",11,11,30,2,0,2,56,105
48004,"Calgary Centre/Calgary-Centre"," 509","Mobile poll/Bureau itinérant",8,10,20,0,0,0,38,71
48004,"Calgary Centre/Calgary-Centre"," 510","Mobile poll/Bureau itinérant",2,6,12,0,0,0,20,46
48004,"Calgary Centre/Calgary-Centre"," 511","Mobile poll/Bureau itinérant",5,8,8,0,3,1,25,62
48004,"Calgary Centre/Calgary-Centre"," 512","Mobile poll/Bureau itinérant",4,5,10,1,0,0,20,55
48004,"Calgary Centre/Calgary-Centre"," 513","Mobile poll/Bureau itinérant",1,11,18,1,2,0,33,54
48004,"Calgary Centre/Calgary-Centre"," 514","Mobile poll/Bureau itinérant",1,10,13,3,1,0,28,53
48004,"Calgary Centre/Calgary-Centre"," 515","Mobile poll/Bureau itinérant",5,6,13,1,0,0,25,59
48004,"Calgary Centre/Calgary-Centre"," 516","Mobile poll/Bureau itinérant",1,8,20,1,0,1,31,39
48004,"Calgary Centre/Calgary-Centre"," 517","Mobile poll/Bureau itinérant",4,5,23,0,0,2,34,66
48004,"Calgary Centre/Calgary-Centre"," 518","Mobile poll/Bureau itinérant",5,15,48,0,0,3,71,98
48004,"Calgary Centre/Calgary-Centre"," 519","Mobile poll/Bureau itinérant",8,13,22,2,1,1,47,111
48004,"Calgary Centre/Calgary-Centre"," 520","Mobile poll/Bureau itinérant",4,13,45,0,1,1,64,95
