Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vance Badawey,Michael Kimmons,Kurtis McCartney,Melissa McGlashan,Graham Speck,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35066,"Niagara Centre/Niagara-Centre"," 146","Welland",59,23,8,61,54,0,205,591
35066,"Niagara Centre/Niagara-Centre"," 147","Welland",55,23,4,53,68,2,205,554
35066,"Niagara Centre/Niagara-Centre"," 148","Welland",66,20,2,80,70,1,239,591
35066,"Niagara Centre/Niagara-Centre"," 149","Welland",56,27,3,63,78,3,230,569
35066,"Niagara Centre/Niagara-Centre"," 150","Welland",90,21,10,58,82,3,264,509
35066,"Niagara Centre/Niagara-Centre"," 151","Welland",100,32,8,53,84,1,278,510
35066,"Niagara Centre/Niagara-Centre"," 152","Port Colborne",62,11,5,46,116,0,240,443
35066,"Niagara Centre/Niagara-Centre"," 153","Port Colborne",58,15,8,49,120,0,250,450
35066,"Niagara Centre/Niagara-Centre"," 154","Port Colborne",34,13,4,30,54,1,136,478
35066,"Niagara Centre/Niagara-Centre"," 155","Port Colborne",56,13,0,44,47,0,160,437
35066,"Niagara Centre/Niagara-Centre"," 156","Port Colborne",32,23,2,33,53,0,143,371
35066,"Niagara Centre/Niagara-Centre"," 157","Port Colborne",54,21,5,39,86,0,205,468
35066,"Niagara Centre/Niagara-Centre"," 158","Port Colborne",47,20,3,33,74,0,177,416
35066,"Niagara Centre/Niagara-Centre"," 159","Port Colborne",53,18,6,47,71,0,195,522
35066,"Niagara Centre/Niagara-Centre"," 160","Port Colborne",44,16,3,39,60,0,162,453
35066,"Niagara Centre/Niagara-Centre"," 161","Port Colborne",40,18,3,52,60,0,173,470
35066,"Niagara Centre/Niagara-Centre"," 162","Port Colborne",51,27,1,38,50,0,167,436
35066,"Niagara Centre/Niagara-Centre"," 163","Port Colborne",54,17,11,68,73,0,223,430
35066,"Niagara Centre/Niagara-Centre"," 164","Port Colborne",68,29,4,74,40,2,217,483
35066,"Niagara Centre/Niagara-Centre"," 165","Port Colborne",51,14,4,63,64,1,197,433
35066,"Niagara Centre/Niagara-Centre"," 166","Port Colborne",49,11,3,22,32,0,117,382
35066,"Niagara Centre/Niagara-Centre"," 167","Port Colborne",62,13,3,38,63,1,180,501
35066,"Niagara Centre/Niagara-Centre"," 168","Port Colborne",81,21,5,37,40,2,186,546
35066,"Niagara Centre/Niagara-Centre"," 169","Port Colborne",67,26,10,46,59,0,208,541
35066,"Niagara Centre/Niagara-Centre"," 170","Port Colborne",98,6,2,38,71,0,215,495
35066,"Niagara Centre/Niagara-Centre"," 171","Port Colborne",58,11,4,48,84,0,205,404
35066,"Niagara Centre/Niagara-Centre"," 172","Port Colborne",94,14,8,45,87,0,248,476
35066,"Niagara Centre/Niagara-Centre"," 173","Port Colborne",118,11,6,50,124,2,311,585
35066,"Niagara Centre/Niagara-Centre"," 174","Port Colborne",82,21,6,23,66,1,199,426
35066,"Niagara Centre/Niagara-Centre"," 175","Port Colborne",98,27,5,55,127,0,312,631
35066,"Niagara Centre/Niagara-Centre"," 176","Port Colborne",87,26,4,57,140,2,316,587
35066,"Niagara Centre/Niagara-Centre"," 177","Port Colborne",54,31,5,41,86,3,220,641
35066,"Niagara Centre/Niagara-Centre"," 178","Port Colborne",56,20,1,60,83,0,220,537
35066,"Niagara Centre/Niagara-Centre"," 179","Port Colborne",52,20,5,46,67,2,192,545
35066,"Niagara Centre/Niagara-Centre"," 180","Port Colborne",46,21,6,43,58,1,175,488
35066,"Niagara Centre/Niagara-Centre"," 181","Port Colborne",42,8,7,59,42,2,160,531
35066,"Niagara Centre/Niagara-Centre"," 182","Port Colborne",29,17,2,47,23,3,121,439
35066,"Niagara Centre/Niagara-Centre"," 183","Port Colborne",55,16,8,39,100,0,218,546
35066,"Niagara Centre/Niagara-Centre"," 500","Mobile poll/Bureau itinérant",9,1,2,11,6,1,30,59
35066,"Niagara Centre/Niagara-Centre"," 501","Mobile poll/Bureau itinérant",17,1,1,7,8,5,39,56
35066,"Niagara Centre/Niagara-Centre"," 502","Mobile poll/Bureau itinérant",20,1,1,3,8,3,36,51
35066,"Niagara Centre/Niagara-Centre"," 503","Mobile poll/Bureau itinérant",9,3,0,3,2,0,17,34
35066,"Niagara Centre/Niagara-Centre"," 504","Mobile poll/Bureau itinérant",20,3,0,19,8,0,50,69
35066,"Niagara Centre/Niagara-Centre"," 505","Mobile poll/Bureau itinérant",13,0,1,5,7,4,30,66
35066,"Niagara Centre/Niagara-Centre"," 506","Mobile poll/Bureau itinérant",28,1,3,9,22,0,63,97
35066,"Niagara Centre/Niagara-Centre"," 507","Mobile poll/Bureau itinérant",61,1,1,11,13,3,90,116
35066,"Niagara Centre/Niagara-Centre"," 508","Mobile poll/Bureau itinérant",17,1,0,5,3,1,27,48
35066,"Niagara Centre/Niagara-Centre"," 509","Mobile poll/Bureau itinérant",35,1,0,3,4,1,44,56
35066,"Niagara Centre/Niagara-Centre"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°112,,,,,,,65
35066,"Niagara Centre/Niagara-Centre"," 511","Mobile poll/Bureau itinérant",0,2,5,1,0,0,8,18
35066,"Niagara Centre/Niagara-Centre"," 512","Mobile poll/Bureau itinérant",23,1,0,4,5,4,37,82
35066,"Niagara Centre/Niagara-Centre"," 513","Mobile poll/Bureau itinérant",46,2,0,5,10,5,68,96
35066,"Niagara Centre/Niagara-Centre"," 514","Mobile poll/Bureau itinérant",33,0,1,6,6,2,48,60
35066,"Niagara Centre/Niagara-Centre"," 515","Mobile poll/Bureau itinérant",16,2,2,8,5,1,34,70
35066,"Niagara Centre/Niagara-Centre"," 516","Mobile poll/Bureau itinérant",24,2,1,6,8,1,42,85
35066,"Niagara Centre/Niagara-Centre"," 517","Mobile poll/Bureau itinérant",18,4,1,8,14,0,45,51
35066,"Niagara Centre/Niagara-Centre"," 518","Mobile poll/Bureau itinérant",26,4,0,4,22,4,60,100
35066,"Niagara Centre/Niagara-Centre"," 519","Mobile poll/Bureau itinérant",12,3,1,11,12,0,39,73
35066,"Niagara Centre/Niagara-Centre"," 600","St. Catharines",294,97,23,212,303,5,934,
35066,"Niagara Centre/Niagara-Centre"," 601","St. Catharines",530,78,17,184,506,6,1321,
35066,"Niagara Centre/Niagara-Centre"," 602","St. Catharines",598,85,20,257,445,7,1412,
35066,"Niagara Centre/Niagara-Centre"," 603","Thorold",417,101,18,258,305,8,1107,
35066,"Niagara Centre/Niagara-Centre"," 604","Thorold",549,75,22,266,454,3,1369,
35066,"Niagara Centre/Niagara-Centre"," 605","Thorold",42,45,3,44,96,0,230,
35066,"Niagara Centre/Niagara-Centre"," 606","Thorold",575,112,8,263,551,5,1514,
35066,"Niagara Centre/Niagara-Centre"," 607","Welland",399,60,14,198,404,8,1083,
35066,"Niagara Centre/Niagara-Centre"," 608","Welland",507,74,21,177,505,6,1290,
35066,"Niagara Centre/Niagara-Centre"," 609","Welland",509,85,13,283,370,7,1267,
35066,"Niagara Centre/Niagara-Centre"," 610","Welland",441,82,13,183,352,6,1077,
35066,"Niagara Centre/Niagara-Centre"," 611","Welland",231,100,12,180,188,5,716,
35066,"Niagara Centre/Niagara-Centre"," 612","Welland",406,96,15,224,271,7,1019,
35066,"Niagara Centre/Niagara-Centre"," 613","Welland",259,70,10,214,263,8,824,
35066,"Niagara Centre/Niagara-Centre"," 614","Welland",510,111,13,241,424,17,1316,
35066,"Niagara Centre/Niagara-Centre"," 615","Port Colborne",418,130,23,209,446,16,1242,
35066,"Niagara Centre/Niagara-Centre"," 616","Port Colborne",557,72,20,202,376,8,1235,
35066,"Niagara Centre/Niagara-Centre"," 617","Port Colborne",340,127,23,213,358,6,1067,
35066,"Niagara Centre/Niagara-Centre",,Group 1/Groupe 1, 149,28,8,97,93,38,413,159
35066,"Niagara Centre/Niagara-Centre",,Group 2/Groupe 2, 1026,82,33,480,569,55,2245,
