Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joel E. Bernard,Sébastien Grenier,Rachid Jemmah,Luc Lavoie,Steven MacKinnon,Geneviève Nadeau,Fernanda Rengel,Mathieu Saint-Jean,Pierre Soublière,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24027,"Gatineau/Gatineau"," 33","Gatineau",13,0,3,1,51,23,16,14,0,0,121,340
24027,"Gatineau/Gatineau"," 34","Gatineau",19,1,1,2,59,38,20,14,0,1,155,415
24027,"Gatineau/Gatineau"," 35","Gatineau",30,0,4,1,83,36,18,12,0,2,186,450
24027,"Gatineau/Gatineau"," 36","Gatineau",12,1,2,0,71,44,15,15,0,2,162,376
24027,"Gatineau/Gatineau"," 37","Gatineau",21,1,2,1,103,38,19,18,0,9,212,610
24027,"Gatineau/Gatineau"," 38","Gatineau",12,0,4,2,65,27,17,18,0,3,148,438
24027,"Gatineau/Gatineau"," 39","Gatineau",30,0,4,4,89,55,15,15,0,4,216,378
24027,"Gatineau/Gatineau"," 40","Gatineau",Merged with No./Fusionné avec le n°39,,,,,,,,,,,335
24027,"Gatineau/Gatineau"," 41","Gatineau",16,2,2,2,98,48,32,6,0,8,214,501
24027,"Gatineau/Gatineau"," 42","Gatineau",15,1,0,2,112,46,14,6,0,3,199,501
24027,"Gatineau/Gatineau"," 43","Gatineau",22,1,0,1,86,43,18,7,0,3,181,465
24027,"Gatineau/Gatineau"," 44","Gatineau",12,1,1,1,94,48,21,4,0,3,185,491
24027,"Gatineau/Gatineau"," 45","Gatineau",10,1,3,4,61,44,22,11,0,2,158,422
24027,"Gatineau/Gatineau"," 46","Gatineau",21,0,1,0,75,25,15,7,0,1,145,421
24027,"Gatineau/Gatineau"," 47","Gatineau",12,1,4,0,49,29,21,5,1,3,125,365
24027,"Gatineau/Gatineau"," 48","Gatineau",10,1,4,3,71,49,13,11,0,1,163,417
24027,"Gatineau/Gatineau"," 49","Gatineau",10,0,2,1,66,37,22,12,0,3,153,423
24027,"Gatineau/Gatineau"," 50","Gatineau",16,2,2,5,42,27,10,8,0,4,116,382
24027,"Gatineau/Gatineau"," 51","Gatineau",7,2,3,2,56,25,13,10,0,1,119,365
24027,"Gatineau/Gatineau"," 52","Gatineau",17,2,5,1,58,32,20,9,0,4,148,421
24027,"Gatineau/Gatineau"," 53","Gatineau",18,0,3,2,50,34,15,11,1,1,135,370
24027,"Gatineau/Gatineau"," 54","Gatineau",12,1,1,1,65,38,23,13,0,3,157,474
24027,"Gatineau/Gatineau"," 55","Gatineau",26,1,3,3,108,68,23,13,0,4,249,342
24027,"Gatineau/Gatineau"," 56","Gatineau",Merged with No./Fusionné avec le n°55,,,,,,,,,,,309
24027,"Gatineau/Gatineau"," 57","Gatineau",26,0,7,3,129,79,24,15,0,3,286,363
24027,"Gatineau/Gatineau"," 58","Gatineau",Merged with No./Fusionné avec le n°57,,,,,,,,,,,349
24027,"Gatineau/Gatineau"," 59","Gatineau",23,2,3,1,45,35,17,9,0,1,136,361
24027,"Gatineau/Gatineau"," 60","Gatineau",26,1,7,2,118,76,19,12,0,1,262,353
24027,"Gatineau/Gatineau"," 61","Gatineau",Merged with No./Fusionné avec le n°60,,,,,,,,,,,320
24027,"Gatineau/Gatineau"," 62","Gatineau",15,0,4,2,66,44,13,4,1,0,149,352
24027,"Gatineau/Gatineau"," 63","Gatineau",15,1,1,0,49,36,7,9,0,3,121,367
24027,"Gatineau/Gatineau"," 64","Gatineau",10,2,4,2,68,27,22,11,0,2,148,502
24027,"Gatineau/Gatineau"," 65","Gatineau",16,0,2,1,69,28,19,15,0,4,154,446
24027,"Gatineau/Gatineau"," 66","Gatineau",13,1,2,0,62,24,25,16,0,0,143,479
24027,"Gatineau/Gatineau"," 67","Gatineau",14,1,5,3,115,47,18,10,0,2,215,419
24027,"Gatineau/Gatineau"," 68","Gatineau",19,0,1,0,66,29,15,8,0,5,143,433
24027,"Gatineau/Gatineau"," 69","Gatineau",31,1,2,1,113,47,19,6,1,4,225,468
24027,"Gatineau/Gatineau"," 70","Gatineau",29,0,3,1,107,36,26,9,0,0,211,407
24027,"Gatineau/Gatineau"," 71","Gatineau",20,4,2,1,123,50,25,1,0,1,227,357
24027,"Gatineau/Gatineau"," 72","Gatineau",15,0,2,0,76,30,21,9,0,1,154,273
24027,"Gatineau/Gatineau"," 73","Gatineau",15,1,2,1,56,33,10,8,0,1,127,319
24027,"Gatineau/Gatineau"," 74","Gatineau",21,2,5,1,137,51,32,7,0,0,256,470
24027,"Gatineau/Gatineau"," 75","Gatineau",17,0,2,2,106,43,25,10,0,2,207,448
24027,"Gatineau/Gatineau"," 76","Gatineau",11,0,2,1,44,41,15,11,1,0,126,405
24027,"Gatineau/Gatineau"," 77","Gatineau",21,2,2,1,72,29,15,4,0,1,147,410
24027,"Gatineau/Gatineau"," 78","Gatineau",16,0,1,1,51,18,18,4,0,2,111,354
24027,"Gatineau/Gatineau"," 79","Gatineau",22,0,3,1,58,24,11,11,0,4,134,368
24027,"Gatineau/Gatineau"," 80","Gatineau",10,1,7,2,44,12,13,6,0,1,96,345
24027,"Gatineau/Gatineau"," 81","Gatineau",13,2,6,1,95,50,26,11,0,5,209,503
24027,"Gatineau/Gatineau"," 82","Gatineau",20,0,2,1,71,25,18,6,0,2,145,357
24027,"Gatineau/Gatineau"," 83","Gatineau",12,1,1,4,67,37,7,3,0,9,141,325
24027,"Gatineau/Gatineau"," 84","Gatineau",21,1,3,3,104,55,8,16,2,7,220,473
24027,"Gatineau/Gatineau"," 85","Gatineau",12,2,7,3,70,36,23,8,2,2,165,456
24027,"Gatineau/Gatineau"," 86","Gatineau",10,0,4,3,80,43,23,14,0,2,179,355
24027,"Gatineau/Gatineau"," 87","Gatineau",19,0,3,2,96,46,27,7,0,5,205,472
24027,"Gatineau/Gatineau"," 88","Gatineau",37,3,6,2,186,67,32,16,1,4,354,431
24027,"Gatineau/Gatineau"," 89","Gatineau",Merged with No./Fusionné avec le n°88,,,,,,,,,,,381
24027,"Gatineau/Gatineau"," 90","Gatineau",16,2,0,0,82,33,21,5,0,7,166,449
24027,"Gatineau/Gatineau"," 91","Gatineau",8,0,0,1,81,25,14,0,1,0,130,344
24027,"Gatineau/Gatineau"," 92","Gatineau",12,2,3,1,67,22,19,9,0,6,141,353
24027,"Gatineau/Gatineau"," 93","Gatineau",14,1,2,1,69,25,8,9,0,4,133,327
24027,"Gatineau/Gatineau"," 94","Gatineau",16,0,1,0,71,23,14,7,0,1,133,377
24027,"Gatineau/Gatineau"," 95","Gatineau",11,0,1,0,59,21,9,4,0,1,106,358
24027,"Gatineau/Gatineau"," 96","Gatineau",20,1,3,0,42,27,20,10,0,1,124,372
24027,"Gatineau/Gatineau"," 97","Gatineau",20,0,0,1,62,32,8,15,0,1,139,397
24027,"Gatineau/Gatineau"," 98","Gatineau",16,0,2,1,65,32,16,11,0,7,150,319
24027,"Gatineau/Gatineau"," 99","Gatineau",13,1,3,0,93,46,9,5,0,4,174,460
24027,"Gatineau/Gatineau"," 100","Gatineau",35,1,1,2,78,18,17,8,0,3,163,382
24027,"Gatineau/Gatineau"," 101","Gatineau",10,1,3,0,78,24,14,4,1,1,136,334
24027,"Gatineau/Gatineau"," 102","Gatineau",20,0,6,0,93,38,20,2,0,0,179,421
24027,"Gatineau/Gatineau"," 103","Gatineau",17,1,0,0,72,36,16,3,1,4,150,430
24027,"Gatineau/Gatineau"," 104","Gatineau",9,0,4,1,102,38,24,12,0,2,192,498
24027,"Gatineau/Gatineau"," 105","Gatineau",15,0,13,1,102,34,20,2,0,4,191,457
24027,"Gatineau/Gatineau"," 106","Gatineau",13,0,1,1,75,38,20,5,0,2,155,440
24027,"Gatineau/Gatineau"," 107","Gatineau",27,2,2,3,82,49,22,14,0,4,205,592
24027,"Gatineau/Gatineau"," 108","Gatineau",24,0,5,4,97,52,10,3,1,2,198,579
24027,"Gatineau/Gatineau"," 109","Gatineau",15,0,6,0,80,36,17,16,0,2,172,445
24027,"Gatineau/Gatineau"," 110","Gatineau",5,1,2,2,54,20,21,8,1,2,116,390
24027,"Gatineau/Gatineau"," 111","Gatineau",12,0,2,0,46,17,17,4,1,1,100,372
24027,"Gatineau/Gatineau"," 112","Gatineau",3,0,0,1,36,24,9,6,0,3,82,325
24027,"Gatineau/Gatineau"," 113","Gatineau",14,1,4,0,21,20,12,4,0,1,77,445
24027,"Gatineau/Gatineau"," 114","Gatineau",18,0,5,2,39,34,12,10,0,3,123,399
24027,"Gatineau/Gatineau"," 115","Gatineau",29,0,4,2,105,62,24,23,0,5,254,388
24027,"Gatineau/Gatineau"," 116","Gatineau",Merged with No./Fusionné avec le n°115,,,,,,,,,,,503
24027,"Gatineau/Gatineau"," 117","Gatineau",9,0,0,0,28,14,6,11,0,1,69,183
24027,"Gatineau/Gatineau"," 118","Gatineau",10,0,2,3,26,11,8,6,0,2,68,302
24027,"Gatineau/Gatineau"," 119","Gatineau",Merged with No./Fusionné avec le n°118,,,,,,,,,,,332
24027,"Gatineau/Gatineau"," 120","Gatineau",15,1,3,0,77,35,17,5,0,2,155,426
24027,"Gatineau/Gatineau"," 121","Gatineau",18,0,1,0,74,29,13,10,0,8,153,375
24027,"Gatineau/Gatineau"," 122","Gatineau",14,0,6,2,30,17,11,1,0,3,84,300
24027,"Gatineau/Gatineau"," 123","Gatineau",13,0,1,1,38,20,6,8,0,2,89,276
24027,"Gatineau/Gatineau"," 124","Gatineau",11,0,3,1,42,21,14,10,0,2,104,331
24027,"Gatineau/Gatineau"," 125","Gatineau",7,1,0,1,48,11,9,8,0,2,87,301
24027,"Gatineau/Gatineau"," 126","Gatineau",13,0,2,1,57,21,15,4,1,4,118,356
24027,"Gatineau/Gatineau"," 127","Gatineau",16,1,1,3,47,22,13,6,0,4,113,324
24027,"Gatineau/Gatineau"," 128","Gatineau",22,3,5,1,95,48,13,13,1,4,205,283
24027,"Gatineau/Gatineau"," 129","Gatineau",Merged with No./Fusionné avec le n°128,,,,,,,,,,,334
24027,"Gatineau/Gatineau"," 130","Gatineau",12,0,6,1,30,8,1,1,0,1,60,260
24027,"Gatineau/Gatineau"," 131","Gatineau",10,0,0,0,35,18,18,4,0,1,86,312
24027,"Gatineau/Gatineau"," 132","Gatineau",6,1,3,2,65,26,7,12,0,2,124,346
24027,"Gatineau/Gatineau"," 133","Gatineau",15,0,2,3,62,31,11,7,0,1,132,305
24027,"Gatineau/Gatineau"," 134","Gatineau",7,1,3,1,64,12,8,8,0,2,106,395
24027,"Gatineau/Gatineau"," 135","Gatineau",7,0,0,1,54,18,7,0,0,4,91,407
24027,"Gatineau/Gatineau"," 136","Gatineau",2,1,0,1,39,4,1,0,0,2,50,245
24027,"Gatineau/Gatineau"," 137","Gatineau",13,0,1,0,49,21,9,8,0,1,102,319
24027,"Gatineau/Gatineau"," 138","Gatineau",10,0,0,4,69,25,18,14,0,3,143,403
24027,"Gatineau/Gatineau"," 139","Gatineau",4,0,1,5,36,33,11,10,0,5,105,374
24027,"Gatineau/Gatineau"," 140","Gatineau",15,0,0,4,57,40,9,13,0,3,141,401
24027,"Gatineau/Gatineau"," 141","Gatineau",17,0,0,3,139,29,1,0,1,6,196,312
24027,"Gatineau/Gatineau"," 142","Gatineau",16,0,3,1,83,52,13,9,0,1,178,405
24027,"Gatineau/Gatineau"," 143","Gatineau",9,1,4,0,53,19,9,3,0,0,98,361
24027,"Gatineau/Gatineau"," 144","Gatineau",13,0,4,1,86,26,14,6,0,3,153,378
24027,"Gatineau/Gatineau"," 145","Gatineau",10,0,1,1,73,23,7,4,0,0,119,510
24027,"Gatineau/Gatineau"," 146","Gatineau",13,1,0,0,72,25,17,5,1,3,137,359
24027,"Gatineau/Gatineau"," 147","Gatineau",18,1,4,0,79,47,12,6,0,1,168,394
24027,"Gatineau/Gatineau"," 148","Gatineau",29,1,3,0,59,29,14,4,0,1,140,366
24027,"Gatineau/Gatineau"," 149","Gatineau",13,0,1,1,42,25,14,12,0,3,111,457
24027,"Gatineau/Gatineau"," 150","Gatineau",17,2,3,0,54,24,7,2,0,0,109,308
24027,"Gatineau/Gatineau"," 151","Gatineau",9,1,5,2,49,33,12,4,0,4,119,314
24027,"Gatineau/Gatineau"," 152","Gatineau",9,1,1,1,74,41,24,3,0,1,155,334
24027,"Gatineau/Gatineau"," 153","Gatineau",13,1,0,0,116,43,8,10,0,0,191,478
24027,"Gatineau/Gatineau"," 154","Gatineau",25,0,8,3,97,46,20,5,1,2,207,454
24027,"Gatineau/Gatineau"," 155","Gatineau",27,0,4,0,75,37,8,0,0,2,153,446
24027,"Gatineau/Gatineau"," 156","Gatineau",17,1,5,0,91,37,20,5,0,1,177,441
24027,"Gatineau/Gatineau"," 157","Gatineau",25,2,2,1,101,47,20,0,0,4,202,494
24027,"Gatineau/Gatineau"," 158","Gatineau",8,0,0,0,41,18,13,2,0,3,85,316
24027,"Gatineau/Gatineau"," 159","Gatineau",57,1,3,0,161,51,35,4,0,3,315,498
24027,"Gatineau/Gatineau"," 160","Gatineau",Merged with No./Fusionné avec le n°159,,,,,,,,,,,384
24027,"Gatineau/Gatineau"," 161","Gatineau",8,0,3,0,57,12,11,1,0,0,92,255
24027,"Gatineau/Gatineau"," 162","Gatineau",9,1,0,0,91,22,14,2,0,3,142,351
24027,"Gatineau/Gatineau"," 163","Gatineau",29,1,5,0,97,35,19,3,0,0,189,452
24027,"Gatineau/Gatineau"," 164","Gatineau",19,0,5,3,87,28,14,13,0,2,171,462
24027,"Gatineau/Gatineau"," 165","Gatineau",12,0,7,5,75,41,18,17,0,4,179,459
24027,"Gatineau/Gatineau"," 166","Gatineau",21,0,3,1,107,45,30,11,0,5,223,386
24027,"Gatineau/Gatineau"," 167","Gatineau",Merged with No./Fusionné avec le n°166,,,,,,,,,,,340
24027,"Gatineau/Gatineau"," 168","Gatineau",27,1,5,4,133,62,37,11,0,9,289,370
24027,"Gatineau/Gatineau"," 169","Gatineau",Merged with No./Fusionné avec le n°168,,,,,,,,,,,394
24027,"Gatineau/Gatineau"," 170","Gatineau",8,0,1,1,60,34,11,17,0,2,134,336
24027,"Gatineau/Gatineau"," 171","Gatineau",15,0,0,4,57,40,9,13,0,3,141,407
24027,"Gatineau/Gatineau"," 172","Gatineau",13,1,4,1,56,29,21,2,0,1,128,393
24027,"Gatineau/Gatineau"," 173","Gatineau",18,0,1,0,68,18,17,5,0,1,128,354
24027,"Gatineau/Gatineau"," 174","Gatineau",18,1,4,2,50,31,20,5,0,0,131,342
24027,"Gatineau/Gatineau"," 175","Gatineau",15,0,6,1,65,34,14,5,0,1,141,333
24027,"Gatineau/Gatineau"," 176","Gatineau",35,0,0,5,142,28,16,9,0,0,235,565
24027,"Gatineau/Gatineau"," 177","Gatineau",11,1,2,2,69,29,25,14,0,3,156,456
24027,"Gatineau/Gatineau"," 178","Gatineau",11,1,3,2,49,28,9,1,0,2,106,340
24027,"Gatineau/Gatineau"," 179","Gatineau",21,0,2,1,66,30,15,3,1,4,143,398
24027,"Gatineau/Gatineau"," 180","Gatineau",10,1,5,0,50,24,14,6,0,2,112,323
24027,"Gatineau/Gatineau"," 181","Gatineau",13,0,2,0,67,30,13,7,0,4,136,420
24027,"Gatineau/Gatineau"," 182","Gatineau",10,0,1,1,62,27,7,4,0,1,113,340
24027,"Gatineau/Gatineau"," 183","Gatineau",18,0,2,1,67,45,13,11,0,0,157,404
24027,"Gatineau/Gatineau"," 184","Gatineau",15,0,4,0,55,36,11,9,0,1,131,369
24027,"Gatineau/Gatineau"," 185","Gatineau",16,0,2,0,84,45,13,6,0,1,167,432
24027,"Gatineau/Gatineau"," 186","Gatineau",11,1,4,0,42,25,12,4,2,6,107,359
24027,"Gatineau/Gatineau"," 187","Gatineau",17,0,5,2,61,30,17,12,0,3,147,401
24027,"Gatineau/Gatineau"," 188","Gatineau",10,0,1,0,44,28,14,9,0,1,107,338
24027,"Gatineau/Gatineau"," 189","Gatineau",14,1,2,0,68,35,8,4,0,3,135,342
24027,"Gatineau/Gatineau"," 190","Gatineau",22,0,0,2,70,17,8,12,0,7,138,348
24027,"Gatineau/Gatineau"," 191","Gatineau",28,1,3,1,130,36,7,5,0,4,215,412
24027,"Gatineau/Gatineau"," 192","Gatineau",13,0,4,3,84,20,4,5,1,2,136,470
24027,"Gatineau/Gatineau"," 193","Gatineau",13,0,4,3,95,26,19,13,2,4,179,312
24027,"Gatineau/Gatineau"," 194","Gatineau",Merged with No./Fusionné avec le n°193,,,,,,,,,,,421
24027,"Gatineau/Gatineau"," 195","Gatineau",16,1,5,1,58,34,11,8,1,2,137,460
24027,"Gatineau/Gatineau"," 196","Gatineau",12,0,0,0,44,15,12,7,0,2,92,335
24027,"Gatineau/Gatineau"," 197","Gatineau",21,0,7,4,79,26,24,15,2,9,187,334
24027,"Gatineau/Gatineau"," 198","Gatineau",Merged with No./Fusionné avec le n°197,,,,,,,,,,,352
24027,"Gatineau/Gatineau"," 199","Gatineau",10,2,3,4,81,50,27,15,1,3,196,283
24027,"Gatineau/Gatineau"," 200","Gatineau",Merged with No./Fusionné avec le n°199,,,,,,,,,,,330
24027,"Gatineau/Gatineau"," 201","Gatineau",8,2,3,2,42,27,1,8,0,2,95,344
24027,"Gatineau/Gatineau"," 202","Gatineau",5,0,1,0,26,6,4,1,0,0,43,174
24027,"Gatineau/Gatineau"," 203","Gatineau",5,1,1,4,81,32,25,5,0,3,157,346
24027,"Gatineau/Gatineau"," 204","Gatineau",12,0,1,1,52,20,4,3,0,2,95,341
24027,"Gatineau/Gatineau"," 205","Gatineau",13,1,2,0,60,27,15,13,0,6,137,402
24027,"Gatineau/Gatineau"," 206","Gatineau",17,0,3,1,90,24,15,10,0,5,165,345
24027,"Gatineau/Gatineau"," 207","Gatineau",3,0,2,2,28,22,9,2,0,4,72,213
24027,"Gatineau/Gatineau"," 400","Gatineau",16,0,2,0,177,30,4,0,0,24,253,434
24027,"Gatineau/Gatineau"," 500","Mobile poll/Bureau itinérant",0,0,1,0,8,0,0,0,0,0,9,27
24027,"Gatineau/Gatineau"," 501","Mobile poll/Bureau itinérant",2,1,1,0,1,0,0,18,1,0,24,52
24027,"Gatineau/Gatineau"," 502","Mobile poll/Bureau itinérant",4,0,0,3,37,5,0,0,0,4,53,85
24027,"Gatineau/Gatineau"," 503","Mobile poll/Bureau itinérant",4,0,0,0,19,3,0,0,0,0,26,56
24027,"Gatineau/Gatineau"," 504","Mobile poll/Bureau itinérant",1,0,0,0,15,4,0,0,0,3,23,41
24027,"Gatineau/Gatineau"," 505","Mobile poll/Bureau itinérant",2,0,0,0,10,2,0,0,0,1,15,49
24027,"Gatineau/Gatineau"," 506","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,,
24027,"Gatineau/Gatineau"," 507","Gatineau",Merged with No./Fusionné avec le n°106,,,,,,,,,,,1
24027,"Gatineau/Gatineau"," 508","Mobile poll/Bureau itinérant",1,0,0,0,18,3,1,0,0,3,26,84
24027,"Gatineau/Gatineau"," 509","Mobile poll/Bureau itinérant",4,0,2,1,54,16,1,1,1,4,84,138
24027,"Gatineau/Gatineau"," 510","Mobile poll/Bureau itinérant",2,0,0,0,0,4,0,20,3,1,30,63
24027,"Gatineau/Gatineau"," 511","Mobile poll/Bureau itinérant",2,0,0,0,0,1,0,4,2,0,9,24
24027,"Gatineau/Gatineau"," 600","Gatineau",121,4,7,3,536,282,84,28,0,12,1077,
24027,"Gatineau/Gatineau"," 601","Gatineau",153,6,15,4,600,326,99,74,0,12,1289,
24027,"Gatineau/Gatineau"," 602","Gatineau",128,2,16,6,582,354,60,40,1,11,1200,
24027,"Gatineau/Gatineau"," 603","Gatineau",170,2,17,6,756,435,115,34,0,17,1552,
24027,"Gatineau/Gatineau"," 604","Gatineau",146,1,11,6,668,336,65,26,0,10,1269,
24027,"Gatineau/Gatineau"," 605","Gatineau",132,7,15,9,670,357,80,44,2,9,1325,
24027,"Gatineau/Gatineau"," 606","Gatineau",132,3,9,15,522,279,43,36,0,18,1057,
24027,"Gatineau/Gatineau"," 607","Gatineau",123,5,7,7,594,267,58,24,3,10,1098,
24027,"Gatineau/Gatineau"," 608","Gatineau",82,0,7,9,364,209,35,20,0,5,731,
24027,"Gatineau/Gatineau"," 609","Gatineau",116,1,17,4,568,283,70,30,1,6,1096,
24027,"Gatineau/Gatineau"," 610","Gatineau",134,4,17,12,627,283,85,30,0,21,1213,
24027,"Gatineau/Gatineau"," 611","Gatineau",108,1,10,4,621,249,50,17,2,11,1073,
24027,"Gatineau/Gatineau"," 612","Gatineau",74,2,16,8,383,174,43,38,1,12,751,
24027,"Gatineau/Gatineau"," 613","Gatineau",96,2,12,10,537,187,52,34,1,12,943,
24027,"Gatineau/Gatineau"," 614","Gatineau",104,3,12,11,522,217,65,29,1,10,974,
24027,"Gatineau/Gatineau"," 615","Gatineau",159,1,25,6,699,326,81,55,2,5,1359,
24027,"Gatineau/Gatineau"," 616","Gatineau",128,1,13,5,751,314,67,19,1,10,1309,
24027,"Gatineau/Gatineau",,Group 1/Groupe 1, 88,0,10,4,238,91,66,8,0,22,527,115
24027,"Gatineau/Gatineau",,Group 2/Groupe 2, 247,7,17,12,1385,543,150,56,0,71,2488,
