Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura Gillanders,James Hinton,Wilson Miao,Sandra Nixon,Alice Wong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Richmond Centre/Richmond-Centre"," 89B","Mobile poll/Bureau itinérant",4,1,12,9,7,3,36,182
59025,"Richmond Centre/Richmond-Centre"," 90","Richmond",4,0,29,14,18,1,66,517
59025,"Richmond Centre/Richmond-Centre"," 91","Richmond",Void/Supprimé,,,,,,,
59025,"Richmond Centre/Richmond-Centre"," 92","Richmond",9,5,102,36,69,1,222,907
59025,"Richmond Centre/Richmond-Centre"," 93","Richmond",1,2,32,14,21,2,72,351
59025,"Richmond Centre/Richmond-Centre"," 94","Richmond",3,0,39,5,29,0,76,312
59025,"Richmond Centre/Richmond-Centre"," 95","Richmond",2,3,39,6,44,0,94,440
59025,"Richmond Centre/Richmond-Centre"," 96","Richmond",1,3,48,16,48,2,118,510
59025,"Richmond Centre/Richmond-Centre"," 97","Richmond",4,0,37,12,32,1,86,326
59025,"Richmond Centre/Richmond-Centre"," 98","Richmond",2,11,23,30,26,0,92,328
59025,"Richmond Centre/Richmond-Centre"," 99","Richmond",6,2,89,23,64,3,187,415
59025,"Richmond Centre/Richmond-Centre"," 100","Richmond",17,10,128,70,93,0,318,805
59025,"Richmond Centre/Richmond-Centre"," 101","Richmond",7,5,52,22,65,1,152,459
59025,"Richmond Centre/Richmond-Centre"," 102","Richmond",2,1,13,8,12,1,37,148
59025,"Richmond Centre/Richmond-Centre"," 103","Richmond",2,2,50,33,33,1,121,395
59025,"Richmond Centre/Richmond-Centre"," 104","Richmond",6,3,39,25,34,2,109,455
59025,"Richmond Centre/Richmond-Centre"," 105","Richmond",15,7,82,56,43,1,204,395
59025,"Richmond Centre/Richmond-Centre"," 106","Richmond",5,3,38,16,37,1,100,280
59025,"Richmond Centre/Richmond-Centre"," 107","Richmond",5,1,40,31,44,0,121,330
59025,"Richmond Centre/Richmond-Centre"," 108","Richmond",7,1,74,25,67,0,174,441
59025,"Richmond Centre/Richmond-Centre"," 109","Richmond",5,3,52,18,37,0,115,324
59025,"Richmond Centre/Richmond-Centre"," 110","Richmond",8,4,57,13,47,0,129,518
59025,"Richmond Centre/Richmond-Centre"," 111","Richmond",1,6,60,23,43,0,133,494
59025,"Richmond Centre/Richmond-Centre"," 112","Richmond",3,6,37,28,57,2,133,478
59025,"Richmond Centre/Richmond-Centre"," 113","Richmond",1,4,41,19,22,0,87,345
59025,"Richmond Centre/Richmond-Centre"," 114","Richmond",6,3,37,11,33,0,90,437
59025,"Richmond Centre/Richmond-Centre"," 115","Richmond",1,1,48,20,41,0,111,382
59025,"Richmond Centre/Richmond-Centre"," 116","Richmond",5,1,74,28,54,1,163,473
59025,"Richmond Centre/Richmond-Centre"," 117","Richmond",8,2,85,22,52,2,171,686
59025,"Richmond Centre/Richmond-Centre"," 118","Richmond",4,10,65,24,53,3,159,577
59025,"Richmond Centre/Richmond-Centre"," 119","Richmond",3,0,32,11,33,0,79,288
59025,"Richmond Centre/Richmond-Centre"," 120","Richmond",2,2,45,21,33,1,104,451
59025,"Richmond Centre/Richmond-Centre"," 121","Richmond",10,2,56,27,33,0,128,459
59025,"Richmond Centre/Richmond-Centre"," 122","Richmond",6,11,60,12,51,1,141,506
59025,"Richmond Centre/Richmond-Centre"," 123","Richmond",2,2,49,15,54,0,122,555
59025,"Richmond Centre/Richmond-Centre"," 124","Richmond",0,1,33,10,33,1,78,324
59025,"Richmond Centre/Richmond-Centre"," 125","Richmond",5,2,42,13,55,0,117,593
59025,"Richmond Centre/Richmond-Centre"," 126","Richmond",5,5,47,30,37,0,124,418
59025,"Richmond Centre/Richmond-Centre"," 127","Richmond",1,0,34,13,41,0,89,279
59025,"Richmond Centre/Richmond-Centre"," 128","Richmond",2,0,43,24,48,0,117,381
59025,"Richmond Centre/Richmond-Centre"," 129","Richmond",4,1,41,17,51,2,116,450
59025,"Richmond Centre/Richmond-Centre"," 130","Richmond",6,2,46,30,73,1,158,508
59025,"Richmond Centre/Richmond-Centre"," 131","Richmond",0,0,54,18,41,0,113,388
59025,"Richmond Centre/Richmond-Centre"," 132","Richmond",2,3,50,21,42,1,119,447
59025,"Richmond Centre/Richmond-Centre"," 133","Richmond",1,3,36,15,26,0,81,303
59025,"Richmond Centre/Richmond-Centre"," 134","Richmond",4,2,24,17,46,0,93,428
59025,"Richmond Centre/Richmond-Centre"," 135","Richmond",2,3,35,24,56,1,121,441
59025,"Richmond Centre/Richmond-Centre"," 136","Richmond",1,5,87,56,68,1,218,547
59025,"Richmond Centre/Richmond-Centre"," 137","Richmond",7,0,65,20,66,0,158,384
59025,"Richmond Centre/Richmond-Centre"," 138","Richmond",12,1,52,32,52,1,150,339
59025,"Richmond Centre/Richmond-Centre"," 139","Richmond",3,0,31,25,37,0,96,291
59025,"Richmond Centre/Richmond-Centre"," 140","Richmond",1,5,41,21,49,1,118,276
59025,"Richmond Centre/Richmond-Centre"," 141","Richmond",0,0,42,18,30,3,93,401
59025,"Richmond Centre/Richmond-Centre"," 142","Richmond",9,2,30,15,25,0,81,339
59025,"Richmond Centre/Richmond-Centre"," 143","Richmond",3,1,40,15,33,1,93,440
59025,"Richmond Centre/Richmond-Centre"," 144","Richmond",1,0,37,21,36,0,95,495
59025,"Richmond Centre/Richmond-Centre"," 145","Richmond",4,0,50,14,40,1,109,446
59025,"Richmond Centre/Richmond-Centre"," 146","Richmond",4,0,38,25,29,0,96,443
59025,"Richmond Centre/Richmond-Centre"," 147","Richmond",2,3,38,18,37,0,98,392
59025,"Richmond Centre/Richmond-Centre"," 148","Richmond",2,5,54,26,35,0,122,533
59025,"Richmond Centre/Richmond-Centre"," 149","Richmond",1,3,56,16,30,0,106,486
59025,"Richmond Centre/Richmond-Centre"," 150","Richmond",2,2,53,6,29,0,92,334
59025,"Richmond Centre/Richmond-Centre"," 151","Richmond",3,1,45,20,24,0,93,356
59025,"Richmond Centre/Richmond-Centre"," 152","Richmond",4,5,42,11,58,0,120,361
59025,"Richmond Centre/Richmond-Centre"," 153","Richmond",5,1,70,19,59,0,154,541
59025,"Richmond Centre/Richmond-Centre"," 154","Richmond",4,4,59,15,46,2,130,437
59025,"Richmond Centre/Richmond-Centre"," 155","Richmond",5,1,57,24,61,1,149,410
59025,"Richmond Centre/Richmond-Centre"," 156","Richmond",5,2,42,28,59,2,138,430
59025,"Richmond Centre/Richmond-Centre"," 157","Richmond",3,1,58,35,71,0,168,451
59025,"Richmond Centre/Richmond-Centre"," 158","Richmond",4,0,39,8,24,1,76,291
59025,"Richmond Centre/Richmond-Centre"," 159","Richmond",3,3,45,25,53,2,131,481
59025,"Richmond Centre/Richmond-Centre"," 160","Richmond",5,2,67,40,55,1,170,586
59025,"Richmond Centre/Richmond-Centre"," 161","Richmond",4,2,54,34,73,1,168,487
59025,"Richmond Centre/Richmond-Centre"," 162","Richmond",3,0,38,7,33,0,81,310
59025,"Richmond Centre/Richmond-Centre"," 400","Richmond",Merged with No./Fusionné avec le n°38,,,,,,,111
59025,"Richmond Centre/Richmond-Centre"," 401","Richmond",Merged with No./Fusionné avec le n°38,,,,,,,119
59025,"Richmond Centre/Richmond-Centre"," 402","Richmond",Void/Supprimé,,,,,,,
59025,"Richmond Centre/Richmond-Centre"," 403","Richmond",Merged with No./Fusionné avec le n°38,,,,,,,69
59025,"Richmond Centre/Richmond-Centre"," 404","Richmond",0,1,14,8,13,0,36,138
59025,"Richmond Centre/Richmond-Centre"," 405","Richmond",Merged with No./Fusionné avec le n°35,,,,,,,113
59025,"Richmond Centre/Richmond-Centre"," 406","Richmond",Merged with No./Fusionné avec le n°38,,,,,,,51
59025,"Richmond Centre/Richmond-Centre"," 407","Richmond",Merged with No./Fusionné avec le n°41,,,,,,,92
59025,"Richmond Centre/Richmond-Centre"," 408","Richmond",0,1,10,2,8,0,21,104
59025,"Richmond Centre/Richmond-Centre"," 409","Richmond",Merged with No./Fusionné avec le n°41,,,,,,,72
59025,"Richmond Centre/Richmond-Centre"," 410","Richmond",Merged with No./Fusionné avec le n°41,,,,,,,95
59025,"Richmond Centre/Richmond-Centre"," 411","Richmond",0,1,15,14,19,0,49,272
59025,"Richmond Centre/Richmond-Centre"," 412","Richmond",Merged with No./Fusionné avec le n°41,,,,,,,4
59025,"Richmond Centre/Richmond-Centre"," 413","Richmond",Merged with No./Fusionné avec le n°66,,,,,,,71
59025,"Richmond Centre/Richmond-Centre"," 500","Mobile poll/Bureau itinérant",0,1,6,1,1,1,10,69
59025,"Richmond Centre/Richmond-Centre"," 501","Mobile poll/Bureau itinérant",1,2,15,3,3,4,28,72
59025,"Richmond Centre/Richmond-Centre"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°89B,,,,,,,33
59025,"Richmond Centre/Richmond-Centre"," 503","Mobile poll/Bureau itinérant",3,1,21,6,19,3,53,144
59025,"Richmond Centre/Richmond-Centre"," 504","Mobile poll/Bureau itinérant",0,3,3,0,0,0,6,41
59025,"Richmond Centre/Richmond-Centre"," 505","Mobile poll/Bureau itinérant",1,0,14,7,11,0,33,147
59025,"Richmond Centre/Richmond-Centre"," 506","Mobile poll/Bureau itinérant",0,1,24,5,28,0,58,117
59025,"Richmond Centre/Richmond-Centre"," 600","Richmond",23,16,238,97,190,4,568,
59025,"Richmond Centre/Richmond-Centre"," 601","Richmond",31,15,288,124,264,5,727,
59025,"Richmond Centre/Richmond-Centre"," 602","Richmond",17,21,359,116,409,2,924,
59025,"Richmond Centre/Richmond-Centre"," 603","Richmond",17,8,212,112,271,1,621,
59025,"Richmond Centre/Richmond-Centre"," 604","Richmond",22,21,277,118,361,1,800,
59025,"Richmond Centre/Richmond-Centre"," 605","Richmond",16,24,346,150,391,6,933,
59025,"Richmond Centre/Richmond-Centre"," 606","Richmond",15,16,198,72,203,3,507,
59025,"Richmond Centre/Richmond-Centre"," 607","Richmond",25,15,304,131,357,7,839,
59025,"Richmond Centre/Richmond-Centre"," 608","Richmond",23,20,294,172,332,5,846,
59025,"Richmond Centre/Richmond-Centre"," 609","Richmond",34,14,352,198,354,5,957,
59025,"Richmond Centre/Richmond-Centre"," 610","Richmond",18,19,305,118,392,3,855,
59025,"Richmond Centre/Richmond-Centre"," 611","Richmond",13,24,297,136,395,4,869,
59025,"Richmond Centre/Richmond-Centre",,Group 1/Groupe 1, 14,4,119,71,124,15,347,307
59025,"Richmond Centre/Richmond-Centre",,Group 2/Groupe 2, 134,72,1740,886,1666,122,4620,
