Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Anderson,Laura Anne Frost,Randall Garrison,Harley Gordon,Doug Kobayashi,Tyson Riel Strandlund,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 43","Saanich",2,31,54,9,44,1,1,142,329
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 44","Saanich",8,40,63,10,42,2,1,166,389
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 45","Saanich",7,46,92,19,42,1,1,208,463
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 46","Saanich",6,67,77,10,55,1,0,216,469
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 47","Saanich",4,35,99,18,56,0,1,213,504
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 48","Saanich",10,39,61,8,38,0,0,156,378
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 49","Saanich",4,28,70,11,31,0,0,144,320
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 50","Saanich",4,39,96,14,62,0,2,217,472
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 51","Saanich",6,44,60,12,31,0,2,155,447
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 52","Saanich",10,37,53,14,31,0,0,145,369
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 53","Saanich",9,22,71,14,28,0,0,144,345
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 54","Saanich",5,40,82,21,32,0,0,180,398
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 55","Saanich",3,40,84,17,54,0,2,200,464
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 56","Saanich",4,35,52,9,66,1,0,167,376
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 57","Saanich",3,44,78,15,41,1,0,182,391
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 58","Saanich",3,26,85,14,51,0,0,179,389
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 59","Saanich",10,46,56,19,48,0,1,180,401
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 60","View Royal",8,22,39,10,21,0,1,101,415
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 61","View Royal",1,31,63,12,55,0,0,162,460
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 62","View Royal",8,35,98,13,32,0,2,188,530
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 63","View Royal",7,45,80,23,44,0,0,199,469
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 64","View Royal",4,26,71,12,38,0,0,151,410
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 65","View Royal",6,27,58,11,40,1,1,144,434
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 66","View Royal",9,29,94,10,28,0,1,171,450
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 67","View Royal",1,23,55,14,49,0,1,143,380
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 68","View Royal",10,25,126,18,30,1,0,210,646
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 69","View Royal",9,60,103,25,65,0,0,262,805
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 70","View Royal",7,44,99,12,47,2,0,211,692
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 71","View Royal",8,30,71,16,42,0,0,167,553
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 72","Colwood",7,19,50,7,23,1,0,107,383
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 73","Colwood",10,36,60,8,34,0,1,149,542
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 74","Colwood",13,86,98,26,31,1,2,257,890
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 75","Saanich",5,29,78,20,28,0,0,160,398
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 76","Saanich",7,34,83,10,31,0,0,165,418
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 77","Saanich",6,43,94,6,33,2,0,184,386
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 78","Saanich",5,45,83,13,38,0,0,184,402
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 79","Saanich",5,36,92,20,41,3,1,198,495
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 80","Saanich",13,40,95,24,45,0,0,217,590
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 81","Saanich",6,32,83,13,21,0,0,155,395
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 82","Saanich",7,27,66,23,28,1,0,152,424
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 83","Saanich",8,20,53,17,21,0,0,119,409
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 84","Saanich",3,25,59,12,27,2,0,128,394
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 85","Saanich",1,19,57,16,26,0,0,119,382
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 86","Saanich",6,32,64,19,33,1,0,155,404
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 87","Saanich",12,25,73,11,33,0,0,154,457
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 88","Saanich",5,32,58,11,26,0,1,133,426
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 89","Saanich",21,75,110,24,75,2,3,310,769
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 90","Saanich",7,37,70,19,35,0,0,168,573
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 91","Saanich",8,30,63,6,29,0,0,136,393
