Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric-Abel Baland,Richard Evanko,Marie-Hélène Gaudreau,Kathy Laframboise,Michel Le Comte,Michel Leclerc,Antoine Menassa,Jean-Noël Sorel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laurentides--Labelle/Laurentides--Labelle"," 80","Kiamika",6,0,74,13,3,3,30,1,1,131,341
24038,"Laurentides--Labelle/Laurentides--Labelle"," 81","Kiamika",11,3,92,17,0,5,43,0,4,175,328
24038,"Laurentides--Labelle/Laurentides--Labelle"," 82","Saint-Aimé-du-Lac-des-Îles",14,10,83,14,3,2,28,0,7,161,368
24038,"Laurentides--Labelle/Laurentides--Labelle"," 83","Saint-Aimé-du-Lac-des-Îles",5,2,100,23,1,0,32,1,6,170,346
24038,"Laurentides--Labelle/Laurentides--Labelle"," 84","Labelle",7,10,65,12,8,0,30,0,7,139,398
24038,"Laurentides--Labelle/Laurentides--Labelle"," 85","Labelle",20,4,85,21,2,1,30,0,2,165,488
24038,"Laurentides--Labelle/Laurentides--Labelle"," 86","Labelle",17,9,66,16,4,1,23,0,3,139,449
24038,"Laurentides--Labelle/Laurentides--Labelle"," 87","Labelle",5,12,58,14,2,4,17,1,1,114,371
24038,"Laurentides--Labelle/Laurentides--Labelle"," 88","Labelle",10,6,82,16,3,2,33,0,0,152,471
24038,"Laurentides--Labelle/Laurentides--Labelle"," 89","Lac-Tremblant-Nord",16,4,64,29,11,5,70,0,4,203,477
24038,"Laurentides--Labelle/Laurentides--Labelle"," 90A","Mont-Tremblant",9,5,55,22,5,1,63,0,1,161,388
24038,"Laurentides--Labelle/Laurentides--Labelle"," 90B","Mont-Tremblant",12,5,50,16,5,3,58,0,0,149,387
24038,"Laurentides--Labelle/Laurentides--Labelle"," 91","Lac-Supérieur",9,3,86,16,6,5,38,0,4,167,416
24038,"Laurentides--Labelle/Laurentides--Labelle"," 92","Lac-Supérieur",10,5,99,8,11,2,36,0,4,175,412
24038,"Laurentides--Labelle/Laurentides--Labelle"," 93","Lac-Supérieur",13,9,88,14,6,2,29,1,7,169,404
24038,"Laurentides--Labelle/Laurentides--Labelle"," 94","Lac-Supérieur",17,14,68,14,5,2,44,0,8,172,391
24038,"Laurentides--Labelle/Laurentides--Labelle"," 95","Sainte-Agathe-des-Monts",20,6,57,12,6,4,22,1,2,130,530
24038,"Laurentides--Labelle/Laurentides--Labelle"," 96","Sainte-Agathe-des-Monts",8,4,101,27,4,4,25,1,4,178,593
24038,"Laurentides--Labelle/Laurentides--Labelle"," 97","Sainte-Agathe-des-Monts",5,6,57,8,3,3,33,0,0,115,560
24038,"Laurentides--Labelle/Laurentides--Labelle"," 98","Sainte-Agathe-des-Monts",15,8,69,12,5,1,22,2,0,134,467
24038,"Laurentides--Labelle/Laurentides--Labelle"," 99","Sainte-Agathe-des-Monts",8,3,68,15,4,1,44,0,1,144,579
24038,"Laurentides--Labelle/Laurentides--Labelle"," 100","Sainte-Agathe-des-Monts",16,11,81,12,4,3,29,1,0,157,554
24038,"Laurentides--Labelle/Laurentides--Labelle"," 101","Sainte-Agathe-des-Monts",18,6,67,6,5,1,32,0,1,136,556
24038,"Laurentides--Labelle/Laurentides--Labelle"," 102","Sainte-Marguerite-du-Lac-Masson",13,10,99,9,5,8,38,0,8,190,549
24038,"Laurentides--Labelle/Laurentides--Labelle"," 103","Sainte-Marguerite-du-Lac-Masson",9,4,67,15,4,4,37,1,3,144,389
24038,"Laurentides--Labelle/Laurentides--Labelle"," 104","Sainte-Marguerite-du-Lac-Masson",16,17,66,21,8,3,19,0,3,153,503
