Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arjun Balasingham,Mark Johnson,Larisa Julius,Eric Muraven,Jean Yip,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 421","Toronto",Merged with No./Fusionné avec le n°18,,,,,,,289
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 422","Toronto",Merged with No./Fusionné avec le n°40,,,,,,,304
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 423","Toronto",5,38,8,6,97,4,158,254
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 424","Toronto",6,146,54,24,223,8,461,302
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 425","Toronto",Merged with No./Fusionné avec le n°424,,,,,,,281
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 426","Toronto",Merged with No./Fusionné avec le n°424,,,,,,,287
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 427","Toronto",0,27,18,2,56,0,103,251
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 428","Toronto",Merged with No./Fusionné avec le n°427,,,,,,,243
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 429","Toronto",Merged with No./Fusionné avec le n°430,,,,,,,215
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 430","Toronto",0,16,18,3,59,0,96,246
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 431","Toronto",Merged with No./Fusionné avec le n°69,,,,,,,201
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 432","Toronto",Merged with No./Fusionné avec le n°74,,,,,,,261
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 433","Toronto",Merged with No./Fusionné avec le n°434,,,,,,,201
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 434","Toronto",0,21,25,7,86,2,141,247
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 435","Toronto",3,55,26,4,121,2,211,366
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 436","Toronto",6,91,29,5,201,2,334,497
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 437","Toronto",Merged with No./Fusionné avec le n°81,,,,,,,351
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 438","Toronto",5,52,20,4,105,1,187,343
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 439","Toronto",Merged with No./Fusionné avec le n°438,,,,,,,185
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 440","Toronto",4,85,6,6,95,1,197,293
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 441","Toronto",1,46,5,0,38,2,92,129
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 442","Toronto",4,43,3,7,82,20,159,280
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 443","Toronto",Merged with No./Fusionné avec le n°88,,,,,,,327
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 444","Toronto",6,95,50,14,211,6,382,432
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 445","Toronto",Merged with No./Fusionné avec le n°444,,,,,,,392
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 446","Toronto",5,67,18,6,141,0,237,259
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 447","Toronto",Merged with No./Fusionné avec le n°446,,,,,,,251
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 448","Toronto",Merged with No./Fusionné avec le n°113,,,,,,,265
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 500","Mobile poll/Bureau itinérant",3,8,2,2,19,1,35,90
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 501","Mobile poll/Bureau itinérant",1,7,0,1,84,0,93,160
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 502","Mobile poll/Bureau itinérant",2,22,2,1,28,0,55,113
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 503","Mobile poll/Bureau itinérant",1,15,1,0,22,1,40,77
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 600","Toronto",10,180,26,9,311,5,541,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 601","Toronto",18,295,71,31,558,4,977,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 602","Toronto",9,171,41,18,464,3,706,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 603","Toronto",7,230,40,10,404,0,691,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 604","Toronto",17,212,61,26,434,7,757,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 605","Toronto",7,234,91,38,537,2,909,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 606","Toronto",15,425,60,41,745,16,1302,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 607","Toronto",16,323,102,30,637,4,1112,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 608","Toronto",11,297,74,19,434,1,836,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 609","Toronto",19,375,117,20,663,4,1198,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 610","Toronto",12,281,82,32,556,3,966,
35093,"Scarborough--Agincourt/Scarborough--Agincourt",,Group 1/Groupe 1, 3,88,57,9,163,13,333,259
35093,"Scarborough--Agincourt/Scarborough--Agincourt",,Group 2/Groupe 2, 30,616,235,26,1392,60,2359,
