Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ginette Boutet,Nathan Devereaux,Emmanuella Lambropoulos,Florence Racicot,Richard Serour,Gregory Yablunovsky,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Laurent/Saint-Laurent"," 35","Montréal",0,25,140,29,13,5,3,215,513
24068,"Saint-Laurent/Saint-Laurent"," 36","Montréal",3,37,96,25,27,4,4,196,463
24068,"Saint-Laurent/Saint-Laurent"," 37","Montréal",2,26,130,32,35,8,4,237,525
24068,"Saint-Laurent/Saint-Laurent"," 38","Montréal",0,19,78,6,12,1,2,118,373
24068,"Saint-Laurent/Saint-Laurent"," 39","Montréal",0,34,116,17,7,3,4,181,426
24068,"Saint-Laurent/Saint-Laurent"," 40","Montréal",2,38,94,19,17,13,1,184,413
24068,"Saint-Laurent/Saint-Laurent"," 41","Montréal",0,19,95,12,14,7,0,147,460
24068,"Saint-Laurent/Saint-Laurent"," 42","Montréal",3,12,101,6,20,5,0,147,491
24068,"Saint-Laurent/Saint-Laurent"," 43","Montréal",0,23,104,8,11,3,4,153,376
24068,"Saint-Laurent/Saint-Laurent"," 44A","Montréal",1,9,109,7,28,8,6,168,498
24068,"Saint-Laurent/Saint-Laurent"," 44B","Mobile poll/Bureau itinérant",0,0,99,9,5,1,4,118,162
24068,"Saint-Laurent/Saint-Laurent"," 45","Montréal",1,22,105,5,8,9,0,150,466
24068,"Saint-Laurent/Saint-Laurent"," 46","Montréal",1,25,80,13,9,7,0,135,374
24068,"Saint-Laurent/Saint-Laurent"," 47","Montréal",3,25,126,11,16,6,4,191,544
24068,"Saint-Laurent/Saint-Laurent"," 48","Montréal",0,30,83,13,26,5,1,158,535
24068,"Saint-Laurent/Saint-Laurent"," 49","Montréal",2,21,125,8,39,8,4,207,467
24068,"Saint-Laurent/Saint-Laurent"," 50","Montréal",1,35,152,20,38,6,5,257,485
24068,"Saint-Laurent/Saint-Laurent"," 51A","Montréal",0,23,39,16,24,3,0,105,191
24068,"Saint-Laurent/Saint-Laurent"," 51B","Montréal",Merged with No./Fusionné avec le n°74,,,,,,,,230
24068,"Saint-Laurent/Saint-Laurent"," 52","Montréal",1,40,98,4,16,7,5,171,478
24068,"Saint-Laurent/Saint-Laurent"," 53","Montréal",1,37,98,10,17,2,3,168,464
24068,"Saint-Laurent/Saint-Laurent"," 54","Montréal",1,14,129,9,11,2,2,168,458
24068,"Saint-Laurent/Saint-Laurent"," 55","Montréal",0,9,132,3,14,3,4,165,522
24068,"Saint-Laurent/Saint-Laurent"," 56","Montréal",1,26,112,13,23,8,2,185,484
24068,"Saint-Laurent/Saint-Laurent"," 57","Montréal",0,10,83,15,20,3,3,134,401
24068,"Saint-Laurent/Saint-Laurent"," 58","Montréal",0,16,76,6,31,3,6,138,369
24068,"Saint-Laurent/Saint-Laurent"," 59","Montréal",1,39,120,18,38,9,1,226,457
24068,"Saint-Laurent/Saint-Laurent"," 60","Montréal",0,17,115,34,38,5,4,213,446
24068,"Saint-Laurent/Saint-Laurent"," 61","Montréal",0,14,110,10,19,3,1,157,422
24068,"Saint-Laurent/Saint-Laurent"," 62","Montréal",2,10,87,4,22,9,3,137,362
24068,"Saint-Laurent/Saint-Laurent"," 63","Montréal",0,15,89,9,13,7,3,136,408
24068,"Saint-Laurent/Saint-Laurent"," 64","Montréal",0,21,129,16,26,6,1,199,421
24068,"Saint-Laurent/Saint-Laurent"," 65","Montréal",2,20,121,16,19,17,3,198,460
24068,"Saint-Laurent/Saint-Laurent"," 66","Montréal",3,36,70,19,22,2,5,157,425
24068,"Saint-Laurent/Saint-Laurent"," 67","Montréal",2,25,100,24,16,3,2,172,451
24068,"Saint-Laurent/Saint-Laurent"," 68","Montréal",6,53,102,37,14,5,4,221,441
24068,"Saint-Laurent/Saint-Laurent"," 69","Montréal",0,44,79,50,33,5,1,212,451
24068,"Saint-Laurent/Saint-Laurent"," 70","Montréal",1,36,111,31,21,5,3,208,442
24068,"Saint-Laurent/Saint-Laurent"," 71","Montréal",2,35,59,28,11,5,7,147,448
24068,"Saint-Laurent/Saint-Laurent"," 72","Montréal",1,27,87,37,24,8,2,186,478
24068,"Saint-Laurent/Saint-Laurent"," 73","Montréal",0,47,23,90,34,9,6,209,435
24068,"Saint-Laurent/Saint-Laurent"," 74","Montréal",0,26,144,9,25,6,2,212,317
24068,"Saint-Laurent/Saint-Laurent"," 75","Montréal",2,26,98,9,21,10,2,168,365
24068,"Saint-Laurent/Saint-Laurent"," 76","Montréal",0,11,92,7,34,7,4,155,402
24068,"Saint-Laurent/Saint-Laurent"," 77A","Montréal",0,19,131,19,52,3,4,228,578
24068,"Saint-Laurent/Saint-Laurent"," 77B","Montréal",0,23,126,19,49,3,3,223,519
24068,"Saint-Laurent/Saint-Laurent"," 78","Montréal",1,16,72,9,38,0,0,136,436
24068,"Saint-Laurent/Saint-Laurent"," 79","Montréal",0,19,70,15,41,6,4,155,291
24068,"Saint-Laurent/Saint-Laurent"," 80","Montréal",0,30,121,18,43,9,3,224,577
24068,"Saint-Laurent/Saint-Laurent"," 81","Montréal",0,16,161,14,51,10,1,253,655
24068,"Saint-Laurent/Saint-Laurent"," 82","Montréal",1,22,96,32,50,2,1,204,446
24068,"Saint-Laurent/Saint-Laurent"," 83","Montréal",2,28,103,26,52,4,0,215,448
24068,"Saint-Laurent/Saint-Laurent"," 84","Montréal",1,10,120,24,45,5,2,207,458
24068,"Saint-Laurent/Saint-Laurent"," 85","Montréal",1,26,112,6,32,7,2,186,446
24068,"Saint-Laurent/Saint-Laurent"," 86","Montréal",0,13,81,5,14,2,0,115,288
24068,"Saint-Laurent/Saint-Laurent"," 87","Montréal",1,34,95,20,34,10,3,197,425
24068,"Saint-Laurent/Saint-Laurent"," 88","Montréal",0,25,119,18,34,4,3,203,475
24068,"Saint-Laurent/Saint-Laurent"," 89","Montréal",0,23,97,7,36,6,2,171,466
24068,"Saint-Laurent/Saint-Laurent"," 90","Montréal",3,16,81,16,38,1,0,155,419
24068,"Saint-Laurent/Saint-Laurent"," 91","Montréal",1,19,87,16,33,11,2,169,471
24068,"Saint-Laurent/Saint-Laurent"," 92","Montréal",1,21,112,15,50,6,1,206,554
24068,"Saint-Laurent/Saint-Laurent"," 93","Montréal",0,13,92,8,21,1,1,136,441
24068,"Saint-Laurent/Saint-Laurent"," 94A","Montréal",0,13,86,3,46,7,0,155,488
24068,"Saint-Laurent/Saint-Laurent"," 94B","Montréal",1,4,87,10,3,2,1,108,134
24068,"Saint-Laurent/Saint-Laurent"," 95","Montréal",1,9,81,1,12,10,3,117,447
24068,"Saint-Laurent/Saint-Laurent"," 96","Montréal",0,21,96,5,26,11,5,164,432
24068,"Saint-Laurent/Saint-Laurent"," 97","Montréal",0,7,69,5,27,6,1,115,373
24068,"Saint-Laurent/Saint-Laurent"," 98","Montréal",0,9,71,17,12,4,4,117,322
24068,"Saint-Laurent/Saint-Laurent"," 99","Montréal",1,21,109,7,15,5,1,159,304
24068,"Saint-Laurent/Saint-Laurent"," 100","Montréal",0,32,141,17,30,15,4,239,446
24068,"Saint-Laurent/Saint-Laurent"," 101","Montréal",0,22,176,7,19,10,8,242,484
24068,"Saint-Laurent/Saint-Laurent"," 102","Montréal",3,28,96,17,42,8,3,197,456
24068,"Saint-Laurent/Saint-Laurent"," 103","Montréal",1,33,95,6,39,10,0,184,468
24068,"Saint-Laurent/Saint-Laurent"," 104","Montréal",1,17,81,8,30,11,3,151,519
24068,"Saint-Laurent/Saint-Laurent"," 105","Montréal",0,8,115,3,25,10,0,161,428
24068,"Saint-Laurent/Saint-Laurent"," 106","Montréal",1,10,116,10,15,5,3,160,451
24068,"Saint-Laurent/Saint-Laurent"," 107","Montréal",0,27,118,2,25,6,1,179,463
24068,"Saint-Laurent/Saint-Laurent"," 108","Montréal",2,16,91,1,16,5,1,132,320
24068,"Saint-Laurent/Saint-Laurent"," 109","Montréal",0,11,80,2,13,1,2,109,236
24068,"Saint-Laurent/Saint-Laurent"," 110","Montréal",0,15,126,5,31,5,1,183,449
24068,"Saint-Laurent/Saint-Laurent"," 111","Montréal",0,10,102,1,22,2,2,139,366
24068,"Saint-Laurent/Saint-Laurent"," 112","Montréal",0,17,88,7,43,11,3,169,452
24068,"Saint-Laurent/Saint-Laurent"," 113","Montréal",1,30,122,1,91,9,0,254,481
24068,"Saint-Laurent/Saint-Laurent"," 114","Montréal",1,21,80,7,86,3,0,198,480
24068,"Saint-Laurent/Saint-Laurent"," 115","Montréal",2,13,81,4,87,7,0,194,391
24068,"Saint-Laurent/Saint-Laurent"," 116","Montréal",0,16,68,1,78,5,3,171,446
24068,"Saint-Laurent/Saint-Laurent"," 117A","Montréal",0,22,129,10,91,4,2,258,525
24068,"Saint-Laurent/Saint-Laurent"," 117B","Montréal",0,29,99,8,68,2,2,208,447
24068,"Saint-Laurent/Saint-Laurent"," 118","Montréal",0,18,141,20,74,13,2,268,710
