Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mary-Jane Bennett,Emily Clark,Raquel Dancho,Sean Howe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 33","East St. Paul",31,30,83,9,1,154,348
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 34","East St. Paul",50,44,105,5,1,205,485
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 35","East St. Paul",26,16,112,0,1,155,424
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 36","East St. Paul",29,11,48,7,1,96,256
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 37","East St. Paul",57,34,95,7,3,196,530
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 38","Winnipeg",54,34,56,11,0,155,416
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 39","Winnipeg",52,42,37,10,2,143,469
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 40","Winnipeg",36,32,66,8,1,143,461
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 41","Winnipeg",30,34,45,7,0,116,432
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 42","Winnipeg",44,43,53,7,0,147,459
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 43","Winnipeg",41,32,39,7,0,119,483
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 44","Winnipeg",30,36,66,6,0,138,549
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 45","Winnipeg",20,24,35,4,0,83,327
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 46","Winnipeg",47,73,49,7,0,176,534
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 47","Winnipeg",44,28,70,6,0,148,487
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 48","Winnipeg",51,43,72,6,1,173,530
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 49","Winnipeg",52,38,55,8,0,153,458
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 50","Winnipeg",51,39,79,12,0,181,548
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 51","Winnipeg",67,48,87,7,1,210,599
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 52","Winnipeg",50,36,48,2,0,136,400
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 53","Winnipeg",73,50,67,0,1,191,487
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 54","Winnipeg",51,47,52,3,1,154,348
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 55","Winnipeg",64,55,62,11,0,192,457
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 56","Winnipeg",31,39,42,12,2,126,375
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 57","Winnipeg",62,48,61,12,0,183,321
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 58","Winnipeg",53,35,60,6,0,154,416
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 59","Winnipeg",30,41,40,9,0,120,409
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 60","Winnipeg",63,38,52,6,0,159,508
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 61","Winnipeg",42,31,47,9,0,129,436
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 62","Winnipeg",55,21,41,8,0,125,426
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 63","Winnipeg",56,34,47,10,2,149,372
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 64","Winnipeg",50,43,46,5,1,145,364
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 65","Winnipeg",43,22,38,2,1,106,358
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 66","Winnipeg",42,45,34,12,2,135,371
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 67","Winnipeg",37,33,42,14,0,126,548
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 68","Winnipeg",30,18,63,11,0,122,336
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 69","Winnipeg",36,41,73,2,2,154,405
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 70","Winnipeg",52,41,87,6,1,187,521
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 71","Winnipeg",22,29,21,12,1,85,263
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 72","Winnipeg",34,34,50,9,0,127,352
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 73","Winnipeg",53,39,62,10,0,164,386
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 74","Winnipeg",35,36,55,8,1,135,351
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 75","Winnipeg",51,42,77,20,0,190,397
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 76","Winnipeg",29,40,26,12,1,108,320
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 77","Winnipeg",28,32,42,11,4,117,347
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 78","Winnipeg",48,45,80,9,1,183,393
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 79A","Winnipeg",Merged with No./Fusionné avec le n°57,,,,,,333
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 79B","Mobile poll/Bureau itinérant",20,11,19,3,0,53,55
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 80","Winnipeg",38,46,49,5,0,138,355
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 81","Winnipeg",49,34,38,9,1,131,327
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 82","Winnipeg",51,37,47,8,0,143,388
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 83","Winnipeg",45,30,76,9,0,160,459
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 84","Winnipeg",107,65,118,18,0,308,831
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 85","Winnipeg",38,39,59,9,0,145,310
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 86","Winnipeg",56,34,66,8,1,165,411
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 87","Winnipeg",61,53,60,7,0,181,478
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 88","Winnipeg",60,59,57,5,0,181,511
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 89","Winnipeg",57,38,33,9,3,140,347
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 90","Winnipeg",81,45,40,12,0,178,450
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 91","Winnipeg",37,19,17,8,0,81,333
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 92","Winnipeg",76,63,54,10,4,207,548
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 93","Winnipeg",35,36,29,5,1,106,391
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 94","Winnipeg",26,55,32,10,0,123,466
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 95","Winnipeg",46,44,46,17,0,153,481
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 96","Winnipeg",36,49,45,8,1,139,429
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 97","Winnipeg",48,47,45,11,0,151,536
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 98","Winnipeg",27,49,27,11,1,115,344
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 99","Winnipeg",55,48,29,5,1,138,431
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 100","Winnipeg",44,42,80,6,0,172,326
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 101","Winnipeg",16,35,53,4,2,110,281
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 102","Winnipeg",31,43,23,19,0,116,419
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 103","Winnipeg",39,30,54,8,1,132,360
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 104","Winnipeg",22,34,47,9,0,112,336
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 105","Winnipeg",37,48,49,13,0,147,419
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 106","Winnipeg",50,32,70,4,0,156,326
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 107","Winnipeg",35,50,56,6,0,147,348
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 108","Winnipeg",36,34,50,10,2,132,403
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 109","Winnipeg",19,32,27,7,0,85,336
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 110","Winnipeg",51,27,68,2,0,148,385
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 111","Winnipeg",47,53,62,15,1,178,435
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 112","Winnipeg",46,28,89,9,1,173,443
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 113","Winnipeg",39,42,48,9,3,141,398
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 114","Winnipeg",31,30,47,5,0,113,412
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 115","Winnipeg",43,59,34,11,0,147,405
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 116","Winnipeg",51,45,43,10,1,150,438
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 117","Winnipeg",37,53,27,7,0,124,377
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 118","Winnipeg",99,53,47,5,0,204,517
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 119","Winnipeg",55,45,41,7,0,148,410
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 120","Winnipeg",36,30,53,5,0,124,413
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 121","Winnipeg",74,63,48,12,0,197,477
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 122","Winnipeg",45,42,34,8,3,132,375
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 123","Winnipeg",34,55,47,18,2,156,507
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 124","Winnipeg",21,20,20,5,0,66,205
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 125","Winnipeg",36,42,54,12,0,144,371
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 126","Winnipeg",42,56,61,8,0,167,359
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 127","Winnipeg",53,38,47,14,1,153,409
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 128","Winnipeg",44,35,52,7,2,140,423
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 129","Winnipeg",26,53,36,7,2,124,405
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 130","Winnipeg",30,39,26,6,0,101,371
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 131","Winnipeg",38,65,25,17,2,147,466
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 132","Winnipeg",39,32,49,5,4,129,337
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 133","Winnipeg",34,54,40,4,3,135,392
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 134","Winnipeg",58,44,41,9,2,154,405
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 135","Winnipeg",38,55,41,11,1,146,369
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 136","Winnipeg",43,59,60,23,0,185,582
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 137","Winnipeg",33,51,52,5,0,141,313
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 138A","Winnipeg",42,41,50,5,3,141,337
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 138B","Winnipeg",29,14,41,0,0,84,245
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 139","Winnipeg",24,30,38,9,1,102,293
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 140","Winnipeg",37,46,55,6,0,144,388
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 141","Winnipeg",32,28,67,16,0,143,332
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 142","Winnipeg",24,37,65,6,0,132,344
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 143","Winnipeg",49,63,92,3,0,207,542
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 144","Winnipeg",28,35,42,6,0,111,349
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 145","Winnipeg",46,57,73,11,0,187,406
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 146","Winnipeg",38,29,62,8,0,137,314
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 147","Winnipeg",55,62,55,17,0,189,464
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 148","Winnipeg",58,64,71,17,0,210,378
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 149","Winnipeg",41,42,68,10,0,161,334
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 150","Winnipeg",36,64,74,9,2,185,433
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 151","Winnipeg",53,60,89,3,0,205,503
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 400","Middlechurch",13,10,12,3,1,39,78
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 401","Winnipeg",Merged with No./Fusionné avec le n°22,,,,,,100
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 402","Winnipeg",Merged with No./Fusionné avec le n°94,,,,,,15
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 403","Mobile poll/Bureau itinérant",74,33,63,2,3,175,153
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 404","Winnipeg",55,43,92,9,1,200,390
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 405","Winnipeg",22,15,20,2,0,59,165
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 406","Winnipeg",51,37,89,11,2,190,392
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 407","Winnipeg",45,13,20,3,1,82,106
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 408","Winnipeg",53,33,49,3,3,141,266
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 409","Winnipeg",76,36,58,8,0,178,332
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 410","Winnipeg",36,33,45,3,2,119,214
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 411","Winnipeg",29,26,53,6,2,116,187
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 412","Winnipeg",12,0,26,0,0,38,77
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 413","Winnipeg",19,13,6,4,0,42,114
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 414","Winnipeg",Void/Supprimé,,,,,,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 415","Winnipeg",3,4,4,0,0,11,38
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 416","Winnipeg",27,22,33,9,0,91,170
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 417","Winnipeg",44,32,51,7,1,135,237
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 418","Winnipeg",11,19,11,2,0,43,61
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 419","Winnipeg",Void/Supprimé,,,,,,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 420","Mobile poll/Bureau itinérant",26,15,12,4,0,57,65
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 421","Winnipeg",Merged with No./Fusionné avec le n°77,,,,,,82
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 422","Winnipeg",22,22,14,4,0,62,143
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 500","Mobile poll/Bureau itinérant",Results combined with no. 79B/Résultats combinés au n° 79B,,,,,,37
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 501","Winnipeg",Merged with No./Fusionné avec le n°57,,,,,,55
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°403,,,,,,121
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 503","Mobile poll/Bureau itinérant",Results combined with no. 420/Résultats combinés au n° 420,,,,,,38
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,53
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 505","Mobile poll/Bureau itinérant",Results combined with no. 506/Résultats combinés au n° 506,,,,,,77
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 506","Mobile poll/Bureau itinérant",45,16,57,3,2,123,85
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 507","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 508","Mobile poll/Bureau itinérant",48,15,69,5,0,137,134
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 600","West St. Paul",162,110,363,39,10,684,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 601","West St. Paul",97,75,250,32,2,456,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 602","East St. Paul",113,35,273,12,5,438,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 603","East St. Paul",124,82,361,25,3,595,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 604","East St. Paul",123,70,375,27,0,595,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 605","East St. Paul",142,85,457,23,7,714,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 606","Winnipeg",179,139,522,23,8,871,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 607","Winnipeg",294,199,434,35,5,967,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 608","Winnipeg",310,188,292,46,3,839,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 609","Winnipeg",215,70,138,35,9,467,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 610","Winnipeg",328,220,435,44,6,1033,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 611","Winnipeg",190,120,187,18,4,519,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 612","Winnipeg",150,121,122,35,6,434,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 613","Winnipeg",170,195,178,30,5,578,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 614","Winnipeg",182,206,198,33,2,621,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 615","Winnipeg",296,238,336,47,9,926,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 616","Winnipeg",123,126,243,36,3,531,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 617","Winnipeg",107,65,165,24,1,362,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 618","Winnipeg",200,161,329,48,8,746,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 619","Winnipeg",141,115,396,25,5,682,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 620","Winnipeg",107,107,185,19,0,418,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 621","Winnipeg",141,149,231,58,5,584,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 622","Winnipeg",166,171,321,58,2,718,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 623","Winnipeg",214,135,382,37,2,770,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 624","Winnipeg",225,120,471,42,3,861,
46006,"Kildonan--St. Paul/Kildonan--St. Paul",,Group 1/Groupe 1, 104,62,114,10,24,314,131
46006,"Kildonan--St. Paul/Kildonan--St. Paul",,Group 2/Groupe 2, 780,483,869,75,68,2275,
