Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Chartrand,Luis Henry Gonzalez Venegas,Dany Goulet,Eric Lacroix,William Legault-Lacasse,Sébastien Lemire,Joël Lirette,Bethany Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°30,,,,,,,,,,4
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°31,,,,,,,,,,17
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°46,,,,,,,,,,25
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°45,,,,,,,,,,41
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 506","Mobile poll/Bureau itinérant",0,0,0,0,0,1,0,1,1,3,85
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°65,,,,,,,,,,21
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°65,,,,,,,,,,24
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°70,,,,,,,,,,41
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°23,,,,,,,,,,26
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°67,,,,,,,,,,52
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°22,,,,,,,,,,16
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°84,,,,,,,,,,29
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°166,,,,,,,,,,15
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°129,,,,,,,,,,55
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°123,,,,,,,,,,29
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°119,,,,,,,,,,26
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°144,,,,,,,,,,42
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°143,,,,,,,,,,22
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°143,,,,,,,,,,16
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°149,,,,,,,,,,22
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°149,,,,,,,,,,29
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°151,,,,,,,,,,29
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°151,,,,,,,,,,117
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 525","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°151,,,,,,,,,,19
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 526","Mobile poll/Bureau itinérant",0,4,3,2,13,7,1,2,0,32,162
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 527","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°148,,,,,,,,,,10
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 528","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°180,,,,,,,,,,19
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 529","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°199,,,,,,,,,,31
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 530","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°205,,,,,,,,,,23
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 531","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°211,,,,,,,,,,14
