Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lisa Marie Barron,Michelle Corfield,Tamara Kronis,Paul Manly,Stephen Welton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 55","South Wellington",44,9,52,17,14,0,136,462
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 56","Nanaimo",Merged with No./Fusionné avec le n°29,,,,,,,373
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 57","Nanaimo",50,8,38,25,9,20,150,419
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 58A","Nanaimo",67,27,58,35,6,0,193,490
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 58B","Nanaimo",42,11,29,25,4,0,111,439
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 59","Nanaimo",61,18,24,29,10,1,143,452
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 60","Nanaimo",46,25,37,41,6,0,155,531
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 61","Nanaimo",35,31,26,40,9,0,141,451
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 62","Nanaimo",36,12,18,24,11,0,101,458
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 63","Nanaimo",57,26,40,36,9,0,168,565
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 64","Nanaimo",62,23,32,43,7,0,167,491
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 65","Nanaimo",38,31,32,52,5,1,159,508
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 66","Nanaimo",31,44,57,31,6,0,169,472
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 67","Nanaimo",60,33,48,58,11,0,210,541
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 68","Nanaimo",38,21,48,45,11,0,163,441
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 69","Nanaimo",27,29,44,21,4,0,125,515
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 70","Nanaimo",34,13,57,36,14,1,155,563
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 71","Nanaimo",37,32,57,47,5,1,179,469
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 72","Nanaimo",39,39,61,45,5,2,191,660
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 73","Nanaimo",29,23,37,37,8,0,134,532
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 74","Nanaimo",42,18,53,67,10,0,190,497
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 75","Nanaimo",49,14,58,23,8,0,152,557
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 76","Nanaimo",43,15,25,17,5,1,106,314
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 77","Nanaimo",42,25,46,27,9,0,149,467
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 78","Nanaimo",31,8,25,18,8,3,93,387
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 79A","Nanaimo",30,13,25,32,3,1,104,255
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 79B","Mobile poll/Bureau itinérant",22,18,31,16,0,1,88,121
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 80","Nanaimo",69,26,61,42,15,0,213,643
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 81","Nanaimo",42,17,43,29,9,0,140,384
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 82","Nanaimo",49,23,38,29,12,0,151,490
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 83","Nanaimo",49,19,55,53,2,0,178,505
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 84","Nanaimo",51,25,60,47,7,0,190,466
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 85","Nanaimo",68,35,50,64,4,0,221,495
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 86","Nanaimo",40,16,38,26,9,0,129,456
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 87","Nanaimo",45,22,39,30,3,0,139,385
