Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Des Bissonnette,Kira Brunner,Ann McCormack,Fred Sirett,Shannon Stubbs,John Turvey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Lakeland/Lakeland"," 551","Mobile poll/Bureau itinérant",3,0,3,1,14,0,1,22,26
48025,"Lakeland/Lakeland"," 552","Mobile poll/Bureau itinérant",1,0,0,0,22,5,0,28,13
48025,"Lakeland/Lakeland"," 600","Boyle",66,0,49,10,495,37,0,657,
48025,"Lakeland/Lakeland"," 601","Athabasca",231,22,173,28,1107,87,4,1652,
48025,"Lakeland/Lakeland"," 602","Thorhild",69,7,63,12,409,27,1,588,
48025,"Lakeland/Lakeland"," 603","Smoky Lake",52,3,71,12,470,28,5,641,
48025,"Lakeland/Lakeland"," 604","Vilna",27,2,24,9,207,13,0,282,
48025,"Lakeland/Lakeland"," 605","Saint-Paul--Ashmont",61,8,122,10,712,54,0,967,
48025,"Lakeland/Lakeland"," 606","St. Paul",71,17,98,10,590,52,2,840,
48025,"Lakeland/Lakeland"," 607","Bonnyville",58,8,177,20,1218,50,2,1533,
48025,"Lakeland/Lakeland"," 608","Bonnyville",50,2,78,9,536,29,6,710,
48025,"Lakeland/Lakeland"," 609","Elk Point",53,7,54,13,446,26,0,599,
48025,"Lakeland/Lakeland"," 610","Two Hills--Two Hills County No. 21",32,3,78,8,343,17,0,481,
48025,"Lakeland/Lakeland"," 611","Lamont County",43,4,56,16,301,20,1,441,
48025,"Lakeland/Lakeland"," 612","Lamont County",65,4,56,15,457,40,0,637,
48025,"Lakeland/Lakeland"," 613","Vegreville",109,16,73,14,582,57,4,855,
48025,"Lakeland/Lakeland"," 614","Minburn County No. 27--Vegreville",78,5,54,14,534,38,2,725,
48025,"Lakeland/Lakeland"," 615","Vermilion River County--Vermilion",55,6,86,14,621,28,0,810,
48025,"Lakeland/Lakeland"," 616","Vermilion River County--Kitscoty",36,8,79,53,376,15,0,567,
48025,"Lakeland/Lakeland"," 617","Kitscoty",29,2,95,75,606,8,0,815,
48025,"Lakeland/Lakeland"," 618","Lloydminster",121,12,133,101,1069,60,1,1497,
48025,"Lakeland/Lakeland"," 619","Lloydminster (Part)",69,1,111,78,955,49,2,1265,
48025,"Lakeland/Lakeland"," 620","Lloydminster (Part)",67,2,87,94,1042,31,2,1325,
48025,"Lakeland/Lakeland"," 621","Vermilion",75,2,137,21,563,33,1,832,
48025,"Lakeland/Lakeland",,Group 1/Groupe 1, 78,13,57,11,372,66,34,631,136
48025,"Lakeland/Lakeland",,Group 2/Groupe 2, 170,12,100,57,973,100,20,1432,
