Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aidan Blum,Tariq Elnaga,David Gamble,Caroline O'Driscoll,Blake Richards,Derek Sloan,Ron Voss,Nadine Wellwood,Sarah Zagoda,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Banff--Airdrie/Banff--Airdrie"," 18","Crossfield",Merged with No./Fusionné avec le n°19,,,,,,,,,,,223
48001,"Banff--Airdrie/Banff--Airdrie"," 19","Crossfield",6,6,12,0,167,2,0,28,20,3,244,238
48001,"Banff--Airdrie/Banff--Airdrie"," 20","Crossfield",1,10,9,2,169,3,0,36,20,2,252,259
48001,"Banff--Airdrie/Banff--Airdrie"," 21","Crossfield",Merged with No./Fusionné avec le n°20,,,,,,,,,,,213
48001,"Banff--Airdrie/Banff--Airdrie"," 22","Crossfield",0,8,9,1,144,5,0,23,14,1,205,389
48001,"Banff--Airdrie/Banff--Airdrie"," 23","Crossfield",Merged with No./Fusionné avec le n°27,,,,,,,,,,,204
48001,"Banff--Airdrie/Banff--Airdrie"," 24","Crossfield",3,12,15,2,117,3,0,23,18,0,193,372
48001,"Banff--Airdrie/Banff--Airdrie"," 25A","Crossfield",3,7,10,0,109,9,0,18,31,2,189,373
48001,"Banff--Airdrie/Banff--Airdrie"," 25B","Crossfield",5,3,18,1,113,3,0,21,17,0,181,335
48001,"Banff--Airdrie/Banff--Airdrie"," 26","Crossfield",1,11,9,0,136,6,0,27,29,1,220,386
48001,"Banff--Airdrie/Banff--Airdrie"," 27","Crossfield",1,15,12,1,154,16,0,22,23,1,245,309
48001,"Banff--Airdrie/Banff--Airdrie"," 28","Canmore",Merged with No./Fusionné avec le n°29,,,,,,,,,,,148
48001,"Banff--Airdrie/Banff--Airdrie"," 29","Canmore",9,1,44,2,58,0,0,11,39,2,166,398
48001,"Banff--Airdrie/Banff--Airdrie"," 30","Canmore",16,3,45,0,43,5,0,7,59,0,178,477
48001,"Banff--Airdrie/Banff--Airdrie"," 31","Canmore",10,1,46,1,65,3,0,11,40,0,177,498
48001,"Banff--Airdrie/Banff--Airdrie"," 32","Canmore",14,0,40,1,64,2,0,2,60,2,185,484
48001,"Banff--Airdrie/Banff--Airdrie"," 33","Canmore",12,1,57,4,55,0,1,10,35,0,175,423
48001,"Banff--Airdrie/Banff--Airdrie"," 34","Canmore",12,0,54,3,51,2,0,14,33,3,172,478
48001,"Banff--Airdrie/Banff--Airdrie"," 35","Canmore",6,2,34,3,56,1,0,4,30,1,137,397
48001,"Banff--Airdrie/Banff--Airdrie"," 36","Canmore",8,0,63,1,31,0,0,5,48,0,156,443
48001,"Banff--Airdrie/Banff--Airdrie"," 37","Canmore",13,0,38,3,51,4,1,6,51,1,168,456
48001,"Banff--Airdrie/Banff--Airdrie"," 38","Canmore",9,0,44,2,48,0,0,2,49,1,155,470
48001,"Banff--Airdrie/Banff--Airdrie"," 39","Madden",1,13,9,1,159,11,1,21,8,0,224,376
48001,"Banff--Airdrie/Banff--Airdrie"," 40","Rocky View County",3,15,8,4,222,17,0,30,12,1,312,547
48001,"Banff--Airdrie/Banff--Airdrie"," 41","Airdrie West",Void/Supprimé,,,,,,,,,,,
48001,"Banff--Airdrie/Banff--Airdrie"," 42","Exshaw",5,3,25,2,98,4,0,10,49,0,196,327
48001,"Banff--Airdrie/Banff--Airdrie"," 43","Exshaw",6,2,41,2,70,4,0,13,34,0,172,418
48001,"Banff--Airdrie/Banff--Airdrie"," 44","Canmore",10,0,23,2,35,3,0,7,28,0,108,385
48001,"Banff--Airdrie/Banff--Airdrie"," 45","Canmore",20,1,54,3,53,0,0,5,55,0,191,486
48001,"Banff--Airdrie/Banff--Airdrie"," 46","Canmore",8,0,34,0,39,8,0,6,42,3,140,391
48001,"Banff--Airdrie/Banff--Airdrie"," 47","Kananaskis",8,4,69,3,51,3,0,12,46,0,196,519
48001,"Banff--Airdrie/Banff--Airdrie"," 48","Cochrane",3,6,14,1,70,1,1,22,13,0,131,384
48001,"Banff--Airdrie/Banff--Airdrie"," 49","Cochrane",0,3,5,1,124,2,0,6,11,0,152,360
48001,"Banff--Airdrie/Banff--Airdrie"," 50","Cochrane",0,4,4,3,53,2,1,12,6,0,85,241
48001,"Banff--Airdrie/Banff--Airdrie"," 51A","Morley",2,0,27,1,7,0,0,1,28,1,67,510
48001,"Banff--Airdrie/Banff--Airdrie"," 51B","Morley",0,0,19,5,3,0,0,1,30,0,58,471
48001,"Banff--Airdrie/Banff--Airdrie"," 51C","Morley",0,0,22,5,6,0,0,3,51,0,87,512
48001,"Banff--Airdrie/Banff--Airdrie"," 51D","Morley",0,0,23,1,2,0,0,4,33,0,63,499
48001,"Banff--Airdrie/Banff--Airdrie"," 52","Canmore",20,0,64,5,50,5,0,9,56,0,209,558
48001,"Banff--Airdrie/Banff--Airdrie"," 53","Canmore",10,2,34,1,37,0,0,13,44,0,141,390
48001,"Banff--Airdrie/Banff--Airdrie"," 54","Canmore",7,2,46,4,44,4,0,7,54,0,168,385
48001,"Banff--Airdrie/Banff--Airdrie"," 55","Canmore",13,2,51,2,98,5,0,15,36,4,226,564
48001,"Banff--Airdrie/Banff--Airdrie"," 56","Canmore",14,0,41,0,46,0,0,4,26,0,131,478
48001,"Banff--Airdrie/Banff--Airdrie"," 57","Canmore",22,1,51,1,57,1,0,20,51,2,206,521
48001,"Banff--Airdrie/Banff--Airdrie"," 58","Canmore",5,1,37,4,50,1,0,1,27,0,126,370
48001,"Banff--Airdrie/Banff--Airdrie"," 59A","Canmore",5,0,40,2,46,2,0,8,38,0,141,401
48001,"Banff--Airdrie/Banff--Airdrie"," 59B","Canmore",3,1,46,2,55,0,0,10,31,0,148,402
48001,"Banff--Airdrie/Banff--Airdrie"," 60A","Canmore",8,2,28,2,26,0,0,5,30,0,101,301
48001,"Banff--Airdrie/Banff--Airdrie"," 60B","Canmore",7,0,23,0,25,3,0,4,37,0,99,304
48001,"Banff--Airdrie/Banff--Airdrie"," 61","Canmore",5,4,50,4,88,3,0,8,48,2,212,626
48001,"Banff--Airdrie/Banff--Airdrie"," 62","Cochrane",2,9,22,3,136,3,0,15,33,0,223,278
48001,"Banff--Airdrie/Banff--Airdrie"," 63","Cochrane",3,2,23,1,106,5,0,11,27,1,179,401
48001,"Banff--Airdrie/Banff--Airdrie"," 64","Cochrane",0,3,13,1,88,2,1,23,33,0,164,361
48001,"Banff--Airdrie/Banff--Airdrie"," 65","Cochrane",4,3,19,2,88,6,0,13,42,0,177,484
48001,"Banff--Airdrie/Banff--Airdrie"," 66A","Cochrane",5,3,21,2,127,2,0,18,55,0,233,437
48001,"Banff--Airdrie/Banff--Airdrie"," 66B","Cochrane",2,2,27,4,122,0,1,21,42,1,222,459
48001,"Banff--Airdrie/Banff--Airdrie"," 66C","Cochrane",4,3,20,0,110,5,0,28,41,0,211,483
48001,"Banff--Airdrie/Banff--Airdrie"," 67A","Cochrane",2,0,8,1,95,2,0,16,17,0,141,399
48001,"Banff--Airdrie/Banff--Airdrie"," 67B","Cochrane",3,1,13,0,102,3,0,17,20,1,160,388
48001,"Banff--Airdrie/Banff--Airdrie"," 68","Cochrane",3,7,14,2,129,6,0,20,44,2,227,481
48001,"Banff--Airdrie/Banff--Airdrie"," 69A","Cochrane",1,1,21,2,72,0,0,13,13,2,125,302
48001,"Banff--Airdrie/Banff--Airdrie"," 69B","Cochrane",0,2,26,2,66,4,0,8,13,0,121,316
48001,"Banff--Airdrie/Banff--Airdrie"," 70","Cochrane",1,6,19,0,110,6,0,17,28,0,187,398
48001,"Banff--Airdrie/Banff--Airdrie"," 71","Cochrane",0,2,16,0,110,2,1,12,21,0,164,446
48001,"Banff--Airdrie/Banff--Airdrie"," 72A","Airdrie",5,3,12,0,69,4,0,18,24,0,135,338
48001,"Banff--Airdrie/Banff--Airdrie"," 72B","Airdrie",1,1,9,0,59,3,0,19,30,0,122,339
48001,"Banff--Airdrie/Banff--Airdrie"," 73","Airdrie",3,0,20,0,120,8,1,16,42,1,211,556
48001,"Banff--Airdrie/Banff--Airdrie"," 74","Airdrie",5,4,15,0,127,2,0,17,25,3,198,523
48001,"Banff--Airdrie/Banff--Airdrie"," 75","Airdrie",3,6,23,0,129,12,0,13,28,1,215,476
48001,"Banff--Airdrie/Banff--Airdrie"," 76A","Airdrie",3,1,13,0,94,2,0,15,32,1,161,318
48001,"Banff--Airdrie/Banff--Airdrie"," 76B","Airdrie",1,3,13,0,91,2,0,13,27,0,150,296
48001,"Banff--Airdrie/Banff--Airdrie"," 77","Airdrie",5,3,12,1,136,7,0,24,34,0,222,480
48001,"Banff--Airdrie/Banff--Airdrie"," 78","Airdrie",5,3,6,0,86,2,0,22,32,2,158,452
48001,"Banff--Airdrie/Banff--Airdrie"," 79","Airdrie",4,5,21,2,114,2,0,19,39,0,206,509
48001,"Banff--Airdrie/Banff--Airdrie"," 80","Airdrie",2,1,5,0,94,1,0,5,23,0,131,463
48001,"Banff--Airdrie/Banff--Airdrie"," 81","Airdrie",0,2,11,1,40,4,0,11,25,0,94,302
48001,"Banff--Airdrie/Banff--Airdrie"," 82","Airdrie",3,2,20,1,62,2,0,16,17,1,124,388
48001,"Banff--Airdrie/Banff--Airdrie"," 83","Airdrie",5,0,8,0,75,8,0,10,21,0,127,363
48001,"Banff--Airdrie/Banff--Airdrie"," 84","Airdrie",1,1,11,0,66,4,0,8,25,0,116,430
48001,"Banff--Airdrie/Banff--Airdrie"," 85","Airdrie",1,3,13,1,58,1,0,18,22,0,117,252
48001,"Banff--Airdrie/Banff--Airdrie"," 86","Airdrie",3,1,7,1,104,7,0,22,33,0,178,520
48001,"Banff--Airdrie/Banff--Airdrie"," 87","Airdrie",7,7,10,0,88,10,0,20,30,0,172,504
48001,"Banff--Airdrie/Banff--Airdrie"," 88","Airdrie",3,0,8,1,47,4,0,6,13,0,82,325
48001,"Banff--Airdrie/Banff--Airdrie"," 89","Airdrie",1,3,14,0,64,4,0,13,24,0,123,382
48001,"Banff--Airdrie/Banff--Airdrie"," 90","Airdrie",2,1,6,0,44,2,0,10,11,0,76,353
48001,"Banff--Airdrie/Banff--Airdrie"," 91","Airdrie",0,1,8,2,56,4,0,15,18,0,104,374
48001,"Banff--Airdrie/Banff--Airdrie"," 92","Airdrie",0,3,8,0,64,0,0,5,12,0,92,358
48001,"Banff--Airdrie/Banff--Airdrie"," 93","Airdrie",3,2,13,1,102,2,0,7,26,0,156,484
48001,"Banff--Airdrie/Banff--Airdrie"," 94","Cochrane",5,1,19,0,90,7,0,18,23,1,164,399
48001,"Banff--Airdrie/Banff--Airdrie"," 95","Cochrane",2,1,25,4,104,6,0,11,28,0,181,449
48001,"Banff--Airdrie/Banff--Airdrie"," 96","Cochrane",3,0,12,0,68,3,0,10,28,0,124,375
48001,"Banff--Airdrie/Banff--Airdrie"," 97","Cochrane",7,0,19,1,48,5,0,14,17,0,111,350
48001,"Banff--Airdrie/Banff--Airdrie"," 98","Cochrane",4,3,16,0,78,4,0,26,28,1,160,437
48001,"Banff--Airdrie/Banff--Airdrie"," 99A","Cochrane",5,0,12,1,55,9,0,25,33,1,141,380
48001,"Banff--Airdrie/Banff--Airdrie"," 99B","Cochrane",2,2,20,1,71,8,0,20,33,1,158,409
48001,"Banff--Airdrie/Banff--Airdrie"," 100A","Cochrane",1,3,12,0,80,2,0,13,29,0,140,318
48001,"Banff--Airdrie/Banff--Airdrie"," 100B","Cochrane",3,3,10,1,77,3,0,12,31,0,140,348
48001,"Banff--Airdrie/Banff--Airdrie"," 101","Cochrane",2,6,10,0,104,6,0,13,37,1,179,526
48001,"Banff--Airdrie/Banff--Airdrie"," 102","Cochrane",3,1,9,1,52,2,0,8,28,1,105,293
48001,"Banff--Airdrie/Banff--Airdrie"," 103","Cochrane",3,8,19,6,71,1,1,19,26,0,154,526
48001,"Banff--Airdrie/Banff--Airdrie"," 104","Cochrane",3,4,10,0,93,5,0,16,26,0,157,410
48001,"Banff--Airdrie/Banff--Airdrie"," 105","Cochrane",3,0,18,3,106,3,0,12,28,1,174,423
48001,"Banff--Airdrie/Banff--Airdrie"," 106","Cochrane",Merged with No./Fusionné avec le n°62,,,,,,,,,,,422
48001,"Banff--Airdrie/Banff--Airdrie"," 107","Cochrane",5,2,13,3,81,2,0,6,23,0,135,363
48001,"Banff--Airdrie/Banff--Airdrie"," 108","Cochrane",1,0,12,5,99,5,0,24,23,0,169,522
48001,"Banff--Airdrie/Banff--Airdrie"," 109","Cochrane",6,7,10,2,107,5,0,22,35,0,194,537
48001,"Banff--Airdrie/Banff--Airdrie"," 110","Cochrane",1,1,23,4,73,8,1,10,18,1,140,322
48001,"Banff--Airdrie/Banff--Airdrie"," 111","Cochrane",4,5,16,9,66,2,1,13,27,1,144,409
48001,"Banff--Airdrie/Banff--Airdrie"," 112","Cochrane",5,5,15,1,79,0,1,6,22,1,135,379
48001,"Banff--Airdrie/Banff--Airdrie"," 113A","Cochrane",1,1,20,0,70,6,0,5,16,0,119,332
48001,"Banff--Airdrie/Banff--Airdrie"," 113B","Cochrane",1,1,14,0,77,1,0,13,10,0,117,364
48001,"Banff--Airdrie/Banff--Airdrie"," 114A","Cochrane",2,2,19,1,51,3,0,16,24,0,118,408
48001,"Banff--Airdrie/Banff--Airdrie"," 114B","Cochrane",1,4,23,3,56,4,0,20,19,0,130,437
48001,"Banff--Airdrie/Banff--Airdrie"," 115","Cochrane",3,3,24,1,102,2,0,19,25,1,180,376
48001,"Banff--Airdrie/Banff--Airdrie"," 116","Cochrane",3,4,22,1,104,4,0,17,25,2,182,504
48001,"Banff--Airdrie/Banff--Airdrie"," 117","Cochrane",Merged with No./Fusionné avec le n°115,,,,,,,,,,,68
48001,"Banff--Airdrie/Banff--Airdrie"," 118A","Airdrie",3,1,13,4,63,2,0,12,17,0,115,311
48001,"Banff--Airdrie/Banff--Airdrie"," 118B","Airdrie",2,3,11,1,83,4,0,13,28,0,145,325
48001,"Banff--Airdrie/Banff--Airdrie"," 119","Airdrie",6,3,10,1,100,8,0,26,32,0,186,471
48001,"Banff--Airdrie/Banff--Airdrie"," 120","Airdrie",1,4,12,1,93,4,0,12,38,1,166,391
48001,"Banff--Airdrie/Banff--Airdrie"," 121","Airdrie",1,2,21,1,104,8,0,15,37,5,194,451
48001,"Banff--Airdrie/Banff--Airdrie"," 122","Airdrie",4,1,21,2,76,7,0,28,31,0,170,410
48001,"Banff--Airdrie/Banff--Airdrie"," 123A","Airdrie",4,0,16,3,80,5,1,9,36,0,154,314
48001,"Banff--Airdrie/Banff--Airdrie"," 123B","Airdrie",1,0,12,0,77,2,0,11,28,0,131,312
48001,"Banff--Airdrie/Banff--Airdrie"," 124","Airdrie",2,4,30,2,96,9,2,7,41,4,197,426
48001,"Banff--Airdrie/Banff--Airdrie"," 125","Airdrie",6,2,15,1,59,4,0,2,4,3,96,171
48001,"Banff--Airdrie/Banff--Airdrie"," 126","Airdrie",1,4,33,2,71,1,1,14,30,0,157,542
48001,"Banff--Airdrie/Banff--Airdrie"," 127","Airdrie",3,2,7,0,66,4,0,15,15,1,113,376
48001,"Banff--Airdrie/Banff--Airdrie"," 128","Airdrie",1,4,7,0,100,8,0,15,36,0,171,444
48001,"Banff--Airdrie/Banff--Airdrie"," 129","Airdrie",3,6,6,1,84,9,0,4,30,0,143,432
48001,"Banff--Airdrie/Banff--Airdrie"," 130","Airdrie",3,5,14,0,117,2,0,21,31,0,193,509
48001,"Banff--Airdrie/Banff--Airdrie"," 131","Airdrie",3,2,14,0,109,2,0,19,27,0,176,486
48001,"Banff--Airdrie/Banff--Airdrie"," 132","Cochrane",0,0,21,1,84,0,0,9,13,2,130,379
48001,"Banff--Airdrie/Banff--Airdrie"," 133","Cochrane",2,3,7,0,45,0,0,5,13,1,76,247
48001,"Banff--Airdrie/Banff--Airdrie"," 134","Cochrane",0,0,13,0,82,1,0,5,16,0,117,326
48001,"Banff--Airdrie/Banff--Airdrie"," 135A","Cochrane",0,3,6,2,99,2,0,5,17,2,136,342
48001,"Banff--Airdrie/Banff--Airdrie"," 135B","Cochrane",2,4,16,1,114,2,0,9,29,1,178,394
48001,"Banff--Airdrie/Banff--Airdrie"," 136","Cochrane",4,2,11,0,101,2,0,8,17,0,145,368
48001,"Banff--Airdrie/Banff--Airdrie"," 137A","Airdrie",4,1,62,1,62,4,0,14,29,1,178,406
48001,"Banff--Airdrie/Banff--Airdrie"," 137B","Airdrie",3,2,33,2,63,8,0,10,24,0,145,407
48001,"Banff--Airdrie/Banff--Airdrie"," 138","Airdrie",0,3,13,0,123,3,0,30,30,3,205,492
48001,"Banff--Airdrie/Banff--Airdrie"," 139A","Airdrie",0,1,24,0,96,3,0,14,23,2,163,452
48001,"Banff--Airdrie/Banff--Airdrie"," 139B","Airdrie",3,6,29,1,108,5,0,15,45,1,213,463
48001,"Banff--Airdrie/Banff--Airdrie"," 140","Airdrie",Void/Supprimé,,,,,,,,,,,
48001,"Banff--Airdrie/Banff--Airdrie"," 141","Airdrie",2,3,22,0,120,5,0,23,33,1,209,541
48001,"Banff--Airdrie/Banff--Airdrie"," 142","Airdrie",2,3,15,2,143,3,0,11,30,0,209,561
48001,"Banff--Airdrie/Banff--Airdrie"," 143","Airdrie",3,1,27,2,112,3,1,27,43,1,220,565
48001,"Banff--Airdrie/Banff--Airdrie"," 144A","Airdrie",0,1,7,1,83,4,0,13,15,1,125,319
48001,"Banff--Airdrie/Banff--Airdrie"," 144B","Airdrie",1,2,14,1,81,2,0,6,42,1,150,335
48001,"Banff--Airdrie/Banff--Airdrie"," 145","Airdrie",2,4,8,0,131,2,0,9,22,1,179,371
48001,"Banff--Airdrie/Banff--Airdrie"," 146","Airdrie",2,0,24,0,125,4,0,10,27,0,192,456
48001,"Banff--Airdrie/Banff--Airdrie"," 147","Airdrie",0,3,17,1,105,4,0,9,21,0,160,323
48001,"Banff--Airdrie/Banff--Airdrie"," 148","Airdrie",2,0,22,0,124,5,0,17,18,0,188,418
48001,"Banff--Airdrie/Banff--Airdrie"," 149","Airdrie",2,1,14,0,127,1,0,19,19,0,183,392
48001,"Banff--Airdrie/Banff--Airdrie"," 150","Airdrie",3,2,9,0,84,7,1,7,18,0,131,344
48001,"Banff--Airdrie/Banff--Airdrie"," 151","Airdrie",4,2,20,0,147,6,0,14,30,0,223,556
48001,"Banff--Airdrie/Banff--Airdrie"," 152","Cochrane",2,3,10,2,131,3,0,23,27,2,203,498
48001,"Banff--Airdrie/Banff--Airdrie"," 153","Cochrane",4,8,15,3,145,1,0,7,21,0,204,520
48001,"Banff--Airdrie/Banff--Airdrie"," 154","Rocky View County",3,3,8,1,98,2,0,12,11,0,138,300
48001,"Banff--Airdrie/Banff--Airdrie"," 155","Rocky View County",2,4,32,0,127,12,0,17,24,1,219,475
48001,"Banff--Airdrie/Banff--Airdrie"," 156","Glendon",6,8,23,0,176,4,0,21,20,2,260,362
48001,"Banff--Airdrie/Banff--Airdrie"," 157","Bearspaw",2,0,29,1,113,3,0,4,13,0,165,356
48001,"Banff--Airdrie/Banff--Airdrie"," 158","Bearspaw",Merged with No./Fusionné avec le n°156,,,,,,,,,,,259
48001,"Banff--Airdrie/Banff--Airdrie"," 159A","Bearspaw",3,1,37,2,133,2,0,6,21,1,206,474
48001,"Banff--Airdrie/Banff--Airdrie"," 159B","Bearspaw",1,2,33,0,135,2,0,3,23,0,199,443
48001,"Banff--Airdrie/Banff--Airdrie"," 160","Airdrie",2,0,20,0,45,1,1,7,16,0,92,251
48001,"Banff--Airdrie/Banff--Airdrie"," 161","Airdrie",0,1,11,0,107,9,0,15,47,1,191,449
48001,"Banff--Airdrie/Banff--Airdrie"," 162A","Airdrie",3,2,23,1,100,7,0,14,31,1,182,407
48001,"Banff--Airdrie/Banff--Airdrie"," 162B","Airdrie",2,4,23,0,91,9,0,12,50,1,192,457
48001,"Banff--Airdrie/Banff--Airdrie"," 163","Airdrie",5,9,14,2,110,13,0,13,21,0,187,511
48001,"Banff--Airdrie/Banff--Airdrie"," 164","Airdrie",3,4,22,1,75,9,0,15,33,1,163,389
48001,"Banff--Airdrie/Banff--Airdrie"," 165","Airdrie",2,4,17,0,51,6,1,16,24,0,121,341
48001,"Banff--Airdrie/Banff--Airdrie"," 166","Airdrie",1,1,24,1,101,5,0,12,32,0,177,480
48001,"Banff--Airdrie/Banff--Airdrie"," 167","Airdrie",Merged with No./Fusionné avec le n°168,,,,,,,,,,,210
48001,"Banff--Airdrie/Banff--Airdrie"," 168","Airdrie",3,3,26,0,140,6,0,28,26,0,232,386
48001,"Banff--Airdrie/Banff--Airdrie"," 169","Balzac",0,4,0,0,91,9,0,11,15,0,130,337
48001,"Banff--Airdrie/Banff--Airdrie"," 170","Airdrie",3,4,15,0,87,6,0,23,43,1,182,426
48001,"Banff--Airdrie/Banff--Airdrie"," 171","Airdrie",2,1,9,0,65,4,0,14,32,0,127,336
48001,"Banff--Airdrie/Banff--Airdrie"," 172","Airdrie",1,2,9,1,77,6,0,24,29,1,150,463
48001,"Banff--Airdrie/Banff--Airdrie"," 173","Airdrie",3,4,13,3,132,12,0,16,44,0,227,537
48001,"Banff--Airdrie/Banff--Airdrie"," 174","Airdrie",4,3,10,0,65,5,0,12,17,0,116,350
48001,"Banff--Airdrie/Banff--Airdrie"," 175A","Cochrane",2,2,15,0,91,3,0,13,30,0,156,308
48001,"Banff--Airdrie/Banff--Airdrie"," 175B","Cochrane",9,0,29,3,100,0,0,11,35,1,188,333
48001,"Banff--Airdrie/Banff--Airdrie"," 176A","Cochrane",3,5,28,1,126,5,0,10,22,1,201,467
48001,"Banff--Airdrie/Banff--Airdrie"," 176B","Cochrane",2,1,24,2,87,0,0,14,30,0,160,398
48001,"Banff--Airdrie/Banff--Airdrie"," 176C","Cochrane",0,3,23,1,85,1,0,10,22,0,145,390
48001,"Banff--Airdrie/Banff--Airdrie"," 177A","Cochrane",2,8,31,2,147,4,0,28,43,2,267,578
48001,"Banff--Airdrie/Banff--Airdrie"," 177B","Cochrane",2,3,31,1,164,1,0,34,32,3,271,620
48001,"Banff--Airdrie/Banff--Airdrie"," 178A","Cochrane",1,3,15,2,125,5,0,10,36,0,197,430
48001,"Banff--Airdrie/Banff--Airdrie"," 178B","Cochrane",1,6,23,2,96,2,0,11,25,1,167,392
48001,"Banff--Airdrie/Banff--Airdrie"," 179","Cochrane",2,7,40,1,159,10,0,32,38,0,289,593
48001,"Banff--Airdrie/Banff--Airdrie"," 180","Cochrane",2,6,25,1,117,5,0,20,47,0,223,442
48001,"Banff--Airdrie/Banff--Airdrie"," 181","Rocky View County",2,2,12,5,101,5,0,12,17,1,157,353
48001,"Banff--Airdrie/Banff--Airdrie"," 182","Balzac",1,8,11,1,143,4,0,20,4,1,193,383
48001,"Banff--Airdrie/Banff--Airdrie"," 183","Balzac",5,1,14,2,153,3,1,20,25,1,225,525
48001,"Banff--Airdrie/Banff--Airdrie"," 184","Airdrie",5,2,5,0,93,5,0,18,27,0,155,461
48001,"Banff--Airdrie/Banff--Airdrie"," 185","Airdrie",3,3,17,1,94,7,0,16,23,1,165,396
48001,"Banff--Airdrie/Banff--Airdrie"," 186","Airdrie",2,3,19,0,159,10,0,14,30,0,237,595
48001,"Banff--Airdrie/Banff--Airdrie"," 187","Airdrie",2,4,15,1,78,6,0,17,18,2,143,377
48001,"Banff--Airdrie/Banff--Airdrie"," 188","Airdrie",2,4,9,1,70,8,0,14,32,19,159,441
48001,"Banff--Airdrie/Banff--Airdrie"," 189","Airdrie",1,3,17,0,105,5,0,12,24,0,167,432
48001,"Banff--Airdrie/Banff--Airdrie"," 190","Airdrie",3,1,4,0,76,5,0,10,18,2,119,402
48001,"Banff--Airdrie/Banff--Airdrie"," 191","Airdrie",7,3,6,3,73,2,0,14,31,0,139,414
48001,"Banff--Airdrie/Banff--Airdrie"," 192","Airdrie",1,2,17,2,109,4,0,16,24,0,175,404
48001,"Banff--Airdrie/Banff--Airdrie"," 193","Airdrie",5,4,14,0,78,2,0,17,18,2,140,419
48001,"Banff--Airdrie/Banff--Airdrie"," 194","Airdrie",1,4,10,0,69,4,0,11,32,0,131,402
48001,"Banff--Airdrie/Banff--Airdrie"," 195","Airdrie",7,4,11,0,76,2,0,19,34,1,154,415
48001,"Banff--Airdrie/Banff--Airdrie"," 196","Airdrie",5,2,13,2,70,8,0,12,25,0,137,393
48001,"Banff--Airdrie/Banff--Airdrie"," 197","Airdrie",5,2,20,0,110,4,0,19,20,0,180,500
48001,"Banff--Airdrie/Banff--Airdrie"," 198","Airdrie",Void/Supprimé,,,,,,,,,,,
48001,"Banff--Airdrie/Banff--Airdrie"," 199","Airdrie",Void/Supprimé,,,,,,,,,,,
48001,"Banff--Airdrie/Banff--Airdrie"," 200A","Airdrie",7,0,20,2,100,5,2,6,28,1,171,362
48001,"Banff--Airdrie/Banff--Airdrie"," 200B","Airdrie",0,4,20,1,74,6,0,9,21,0,135,312
48001,"Banff--Airdrie/Banff--Airdrie"," 201","Airdrie",0,1,21,1,114,8,0,17,21,2,185,440
48001,"Banff--Airdrie/Banff--Airdrie"," 202A","Airdrie",2,1,19,1,78,2,0,18,27,2,150,339
