Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sophie Chatel,Gabrielle Desjardins,Michel Gauthier,Denise Giroux,David Bruce Gottfred,Geneviève Labonté-Chartrand,Shaughn McArthur,James McNair,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac/Pontiac"," 53","Otter Lake",72,10,66,15,17,0,4,1,0,185,393
24057,"Pontiac/Pontiac"," 54","Otter Lake",62,11,78,18,22,1,1,1,1,195,375
24057,"Pontiac/Pontiac"," 55","Sheen-Esher-Aberdeen-et-Malakoff",51,0,43,25,7,0,2,0,0,128,352
24057,"Pontiac/Pontiac"," 56","L'Isle-aux-Allumettes",33,1,41,15,3,0,1,0,1,95,290
24057,"Pontiac/Pontiac"," 57","L'Isle-aux-Allumettes",48,4,54,16,7,2,4,0,0,135,372
24057,"Pontiac/Pontiac"," 58","L'Isle-aux-Allumettes",35,1,39,19,18,0,3,0,1,116,326
24057,"Pontiac/Pontiac"," 59","Mansfield-et-Pontefract",30,13,35,14,11,2,2,0,4,111,337
24057,"Pontiac/Pontiac"," 60","Mansfield-et-Pontefract",41,7,54,18,16,0,1,1,1,139,373
24057,"Pontiac/Pontiac"," 61","Mansfield-et-Pontefract",Merged with No./Fusionné avec le n°62,,,,,,,,,,244
24057,"Pontiac/Pontiac"," 62","Mansfield-et-Pontefract",52,11,76,9,28,0,2,0,1,179,273
24057,"Pontiac/Pontiac"," 63","Mansfield-et-Pontefract",56,8,34,4,10,1,1,0,1,115,324
24057,"Pontiac/Pontiac"," 64","Mansfield-et-Pontefract",37,6,26,9,10,0,1,0,3,92,308
24057,"Pontiac/Pontiac"," 65","Alleyn-et-Cawood",23,7,51,13,1,0,3,0,0,98,172
24057,"Pontiac/Pontiac"," 66","Denholm",58,31,26,21,7,1,8,0,4,156,356
24057,"Pontiac/Pontiac"," 67","Low",54,19,46,18,15,0,6,0,1,159,277
24057,"Pontiac/Pontiac"," 68","Low",Merged with No./Fusionné avec le n°67,,,,,,,,,,231
24057,"Pontiac/Pontiac"," 69","Low",28,13,30,18,12,1,6,0,0,108,320
24057,"Pontiac/Pontiac"," 70","Val-des-Monts",Merged with No./Fusionné avec le n°72,,,,,,,,,,243
24057,"Pontiac/Pontiac"," 71","Val-des-Monts",54,13,29,8,8,1,5,1,3,122,320
24057,"Pontiac/Pontiac"," 72","Val-des-Monts",76,26,52,26,5,2,3,0,1,191,251
24057,"Pontiac/Pontiac"," 73","Val-des-Monts",Merged with No./Fusionné avec le n°77,,,,,,,,,,254
24057,"Pontiac/Pontiac"," 74","Val-des-Monts",68,40,21,14,23,3,4,0,3,176,394
24057,"Pontiac/Pontiac"," 75","Val-des-Monts",89,39,38,20,25,3,6,0,1,221,360
24057,"Pontiac/Pontiac"," 76","Val-des-Monts",79,38,26,23,11,6,6,0,3,192,504
24057,"Pontiac/Pontiac"," 77","Val-des-Monts",85,38,36,14,15,1,6,0,4,199,275
24057,"Pontiac/Pontiac"," 78","Val-des-Monts",59,34,23,15,14,3,1,1,0,150,412
24057,"Pontiac/Pontiac"," 79","Val-des-Monts",Merged with No./Fusionné avec le n°75,,,,,,,,,,221
24057,"Pontiac/Pontiac"," 80","Val-des-Monts",52,24,21,14,10,2,4,1,6,134,434
