Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Cormier,Richer Doiron,Mélissa Hébert,Rachel Johns,Kenneth Edward Langford,Jean-Paul Lanteigne,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 126","Beresford",64,0,13,1,3,14,0,95,340
13001,"Acadie--Bathurst/Acadie--Bathurst"," 127","Beresford",65,2,12,0,10,12,1,102,281
13001,"Acadie--Bathurst/Acadie--Bathurst"," 128","Beresford",67,2,17,6,4,24,0,120,432
13001,"Acadie--Bathurst/Acadie--Bathurst"," 129","Saint-Pons",69,0,8,3,8,9,4,101,359
13001,"Acadie--Bathurst/Acadie--Bathurst"," 130","Saint-Pons--Upper Sheila",68,2,11,0,16,9,1,107,353
13001,"Acadie--Bathurst/Acadie--Bathurst"," 131","Val-Comeau",114,5,18,2,9,25,0,173,386
13001,"Acadie--Bathurst/Acadie--Bathurst"," 132","Tracadie Beach",121,5,3,2,6,10,1,148,397
13001,"Acadie--Bathurst/Acadie--Bathurst"," 133","Upper Sheila",73,5,4,4,9,8,3,106,378
13001,"Acadie--Bathurst/Acadie--Bathurst"," 134","Leech",54,0,11,3,7,13,0,88,325
13001,"Acadie--Bathurst/Acadie--Bathurst"," 135","Leech",53,0,5,0,11,8,0,77,206
13001,"Acadie--Bathurst/Acadie--Bathurst"," 136","Jacquet River",24,0,11,2,2,21,0,60,235
13001,"Acadie--Bathurst/Acadie--Bathurst"," 137","Belledune",18,2,8,2,4,12,1,47,222
13001,"Acadie--Bathurst/Acadie--Bathurst"," 138","Archibald Settlement",19,0,13,0,9,15,0,56,204
13001,"Acadie--Bathurst/Acadie--Bathurst"," 139","Bathurst",113,0,10,2,12,40,1,178,605
13001,"Acadie--Bathurst/Acadie--Bathurst"," 140","Bathurst",63,1,33,2,11,23,1,134,498
13001,"Acadie--Bathurst/Acadie--Bathurst"," 141","Bathurst",79,1,24,4,9,19,0,136,490
13001,"Acadie--Bathurst/Acadie--Bathurst"," 142","Bathurst",55,1,18,3,2,21,1,101,375
13001,"Acadie--Bathurst/Acadie--Bathurst"," 143","Bathurst",54,1,15,1,3,15,0,89,465
13001,"Acadie--Bathurst/Acadie--Bathurst"," 144","Bathurst",54,3,14,0,4,12,0,87,424
13001,"Acadie--Bathurst/Acadie--Bathurst"," 145","Bathurst",37,0,7,3,9,10,0,66,416
13001,"Acadie--Bathurst/Acadie--Bathurst"," 146","Bathurst",36,0,19,1,13,27,0,96,360
13001,"Acadie--Bathurst/Acadie--Bathurst"," 147","Bathurst",46,0,30,0,16,19,2,113,381
13001,"Acadie--Bathurst/Acadie--Bathurst"," 148","Bathurst",34,1,14,4,16,15,0,84,393
13001,"Acadie--Bathurst/Acadie--Bathurst"," 149","Bathurst",72,2,18,1,4,22,0,119,453
13001,"Acadie--Bathurst/Acadie--Bathurst"," 150","Bathurst",63,3,32,1,11,16,2,128,394
13001,"Acadie--Bathurst/Acadie--Bathurst"," 151","Pont-Lafrance",131,5,11,4,10,23,3,187,356
13001,"Acadie--Bathurst/Acadie--Bathurst"," 152","Pont-Lafrance",58,2,17,2,13,8,4,104,266
13001,"Acadie--Bathurst/Acadie--Bathurst"," 153","Saint-Sauveur",89,2,27,2,15,14,4,153,251
13001,"Acadie--Bathurst/Acadie--Bathurst"," 154","Saint-Sauveur",83,4,19,6,17,12,0,141,247
13001,"Acadie--Bathurst/Acadie--Bathurst"," 155","Bathurst",40,0,20,2,5,21,0,88,328
13001,"Acadie--Bathurst/Acadie--Bathurst"," 156","Bathurst",45,1,36,1,8,14,0,105,395
13001,"Acadie--Bathurst/Acadie--Bathurst"," 157","Bathurst",45,1,17,6,15,14,0,98,325
13001,"Acadie--Bathurst/Acadie--Bathurst"," 158","North Tetagouche",42,0,18,2,7,24,1,94,239
13001,"Acadie--Bathurst/Acadie--Bathurst"," 159","North Tetagouche",79,1,24,3,11,23,1,142,252
13001,"Acadie--Bathurst/Acadie--Bathurst"," 160","North Tetagouche",68,0,32,4,5,31,1,141,250
13001,"Acadie--Bathurst/Acadie--Bathurst"," 161","Bathurst",42,0,31,6,14,30,1,124,321
13001,"Acadie--Bathurst/Acadie--Bathurst"," 162","Bathurst",48,1,22,1,12,40,1,125,375
13001,"Acadie--Bathurst/Acadie--Bathurst"," 163","Bathurst",47,0,16,1,17,19,0,100,367
13001,"Acadie--Bathurst/Acadie--Bathurst"," 164","Bathurst",55,0,27,6,21,30,0,139,464
13001,"Acadie--Bathurst/Acadie--Bathurst"," 165","Bathurst",60,0,22,7,17,19,1,126,396
13001,"Acadie--Bathurst/Acadie--Bathurst"," 166","Bathurst",35,3,8,5,16,19,0,86,289
13001,"Acadie--Bathurst/Acadie--Bathurst"," 167","St-Laurent",49,3,14,9,20,14,1,110,450
13001,"Acadie--Bathurst/Acadie--Bathurst"," 168","Free Grant",36,3,11,4,9,19,0,82,344
13001,"Acadie--Bathurst/Acadie--Bathurst"," 169","Robertville",72,4,23,9,17,20,0,145,424
13001,"Acadie--Bathurst/Acadie--Bathurst"," 170","Robertville",55,2,20,8,17,10,3,115,396
13001,"Acadie--Bathurst/Acadie--Bathurst"," 171","Dunlop",33,1,21,9,14,16,2,96,361
13001,"Acadie--Bathurst/Acadie--Bathurst"," 172","Robertville",36,1,22,3,13,9,0,84,276
13001,"Acadie--Bathurst/Acadie--Bathurst"," 173","Sainte-Louise",37,2,12,4,3,4,0,62,265
13001,"Acadie--Bathurst/Acadie--Bathurst"," 174","Nicholas Denys",45,1,16,9,15,9,0,95,358
13001,"Acadie--Bathurst/Acadie--Bathurst"," 175","Saint-Irénée",112,6,18,6,14,14,1,171,341
13001,"Acadie--Bathurst/Acadie--Bathurst"," 176","Saint-Irénée",97,3,14,1,10,12,1,138,297
13001,"Acadie--Bathurst/Acadie--Bathurst"," 177","Bathurst",46,1,25,5,5,24,0,106,349
13001,"Acadie--Bathurst/Acadie--Bathurst"," 178","Bathurst",35,0,14,5,6,12,0,72,352
13001,"Acadie--Bathurst/Acadie--Bathurst"," 179","Bathurst",59,0,14,2,6,16,1,98,396
13001,"Acadie--Bathurst/Acadie--Bathurst"," 180","Big River",26,1,24,3,20,28,0,102,299
13001,"Acadie--Bathurst/Acadie--Bathurst"," 181","Pabineau 11",32,2,31,5,13,29,0,112,263
13001,"Acadie--Bathurst/Acadie--Bathurst"," 182","Allardville",89,3,21,2,36,17,4,172,446
13001,"Acadie--Bathurst/Acadie--Bathurst"," 183","Allardville East",78,3,20,3,27,15,3,149,388
13001,"Acadie--Bathurst/Acadie--Bathurst"," 184","Jeanne-Mance",67,2,29,2,22,11,5,138,392
13001,"Acadie--Bathurst/Acadie--Bathurst"," 185","Bathurst",48,0,20,3,6,16,0,93,381
13001,"Acadie--Bathurst/Acadie--Bathurst"," 186","Sainte-Anne",36,0,12,5,9,12,0,74,257
13001,"Acadie--Bathurst/Acadie--Bathurst"," 187","Sainte-Anne",49,1,21,7,12,36,0,126,366
13001,"Acadie--Bathurst/Acadie--Bathurst"," 188","South Tetagouche",31,1,10,3,10,16,0,71,302
13001,"Acadie--Bathurst/Acadie--Bathurst"," 189","South Tetagouche--Rio Grande",36,1,17,3,6,33,1,97,320
13001,"Acadie--Bathurst/Acadie--Bathurst"," 190","Bathurst Mines",27,1,12,3,16,13,0,72,292
13001,"Acadie--Bathurst/Acadie--Bathurst"," 191","Chamberlain Settlement",70,0,38,8,12,34,1,163,428
13001,"Acadie--Bathurst/Acadie--Bathurst"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°13,,,,,,,,21
13001,"Acadie--Bathurst/Acadie--Bathurst"," 501","Lamèque",Merged with No./Fusionné avec le n°15,,,,,,,,10
13001,"Acadie--Bathurst/Acadie--Bathurst"," 502","Lamèque",Merged with No./Fusionné avec le n°15,,,,,,,,1
13001,"Acadie--Bathurst/Acadie--Bathurst"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°15,,,,,,,,17
13001,"Acadie--Bathurst/Acadie--Bathurst"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°22,,,,,,,,28
13001,"Acadie--Bathurst/Acadie--Bathurst"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°22,,,,,,,,24
13001,"Acadie--Bathurst/Acadie--Bathurst"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°22,,,,,,,,14
13001,"Acadie--Bathurst/Acadie--Bathurst"," 507","Pointe-Brûlé ",Merged with No./Fusionné avec le n°22,,,,,,,,36
13001,"Acadie--Bathurst/Acadie--Bathurst"," 508","Pointe-Brûlé",Merged with No./Fusionné avec le n°22,,,,,,,,8
13001,"Acadie--Bathurst/Acadie--Bathurst"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°22,,,,,,,,49
13001,"Acadie--Bathurst/Acadie--Bathurst"," 510","Maisonnette ",Merged with No./Fusionné avec le n°35,,,,,,,,9
13001,"Acadie--Bathurst/Acadie--Bathurst"," 511","Grande-Anse",Merged with No./Fusionné avec le n°41,,,,,,,,10
13001,"Acadie--Bathurst/Acadie--Bathurst"," 512","Grande-Anse ",Merged with No./Fusionné avec le n°41,,,,,,,,8
13001,"Acadie--Bathurst/Acadie--Bathurst"," 513","Saint-Léolin ",Merged with No./Fusionné avec le n°59,,,,,,,,9
13001,"Acadie--Bathurst/Acadie--Bathurst"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°46,,,,,,,,52
13001,"Acadie--Bathurst/Acadie--Bathurst"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°49,,,,,,,,29
13001,"Acadie--Bathurst/Acadie--Bathurst"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°46,,,,,,,,44
13001,"Acadie--Bathurst/Acadie--Bathurst"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°44,,,,,,,,13
13001,"Acadie--Bathurst/Acadie--Bathurst"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°50,,,,,,,,29
13001,"Acadie--Bathurst/Acadie--Bathurst"," 519","Bertrand ",Merged with No./Fusionné avec le n°55,,,,,,,,10
13001,"Acadie--Bathurst/Acadie--Bathurst"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°66,,,,,,,,9
13001,"Acadie--Bathurst/Acadie--Bathurst"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°70,,,,,,,,29
13001,"Acadie--Bathurst/Acadie--Bathurst"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°61,,,,,,,,26
13001,"Acadie--Bathurst/Acadie--Bathurst"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°62,,,,,,,,9
13001,"Acadie--Bathurst/Acadie--Bathurst"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°62,,,,,,,,7
13001,"Acadie--Bathurst/Acadie--Bathurst"," 525","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°62,,,,,,,,37
13001,"Acadie--Bathurst/Acadie--Bathurst"," 526","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°62,,,,,,,,13
13001,"Acadie--Bathurst/Acadie--Bathurst"," 527","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°72,,,,,,,,22
13001,"Acadie--Bathurst/Acadie--Bathurst"," 528","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°76,,,,,,,,8
13001,"Acadie--Bathurst/Acadie--Bathurst"," 529","Saint-Isidore",Merged with No./Fusionné avec le n°100,,,,,,,,30
13001,"Acadie--Bathurst/Acadie--Bathurst"," 530","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°83,,,,,,,,24
13001,"Acadie--Bathurst/Acadie--Bathurst"," 531","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°84,,,,,,,,36
13001,"Acadie--Bathurst/Acadie--Bathurst"," 532","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°85,,,,,,,,17
13001,"Acadie--Bathurst/Acadie--Bathurst"," 533","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°89,,,,,,,,29
13001,"Acadie--Bathurst/Acadie--Bathurst"," 534","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°89,,,,,,,,10
13001,"Acadie--Bathurst/Acadie--Bathurst"," 535","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°87,,,,,,,,22
13001,"Acadie--Bathurst/Acadie--Bathurst"," 536","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°89,,,,,,,,46
13001,"Acadie--Bathurst/Acadie--Bathurst"," 537","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°90,,,,,,,,19
13001,"Acadie--Bathurst/Acadie--Bathurst"," 538","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°115,,,,,,,,8
13001,"Acadie--Bathurst/Acadie--Bathurst"," 539","Janeville",Merged with No./Fusionné avec le n°118,,,,,,,,9
13001,"Acadie--Bathurst/Acadie--Bathurst"," 540","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°182,,,,,,,,13
13001,"Acadie--Bathurst/Acadie--Bathurst"," 541","Allardville",Merged with No./Fusionné avec le n°182,,,,,,,,10
