Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suresh Arangath,Elaine Baetz,Melissa Baumgaertner,Valerie Bradford,Tyler Calver,Stephen Davis,C.A. Morrison,Gabe Rose,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 70","Kitchener",25,0,9,30,20,0,0,1,0,85,340
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 71","Kitchener",15,0,7,39,48,0,0,6,3,118,341
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 72","Kitchener",45,3,21,78,63,2,3,18,1,234,347
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 73","Kitchener",29,2,10,63,21,0,0,9,0,134,443
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 74","Kitchener",31,0,6,39,36,0,2,10,1,125,341
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 75","Kitchener",10,0,6,22,18,0,0,4,0,60,314
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 76","Kitchener",37,0,6,82,62,0,0,7,1,195,560
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 77","Kitchener",19,0,8,89,64,2,1,8,0,191,532
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 78","Kitchener",17,1,17,44,38,0,2,8,5,132,364
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 79","Kitchener",41,0,10,56,52,1,1,8,2,171,375
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 80","Kitchener",37,3,16,62,70,0,1,14,2,205,438
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 81","Kitchener",34,0,9,77,51,0,0,10,2,183,430
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 82","Kitchener",45,1,15,49,36,1,2,8,0,157,423
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 83","Kitchener",41,0,8,65,46,0,2,13,2,177,504
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 84","Kitchener",22,0,10,58,30,0,1,9,0,130,443
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 85","Kitchener",17,0,7,59,92,0,1,1,0,177,382
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 86","Kitchener",32,1,10,65,45,1,0,16,1,171,398
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 87","Kitchener",38,1,13,56,30,0,1,6,2,147,399
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 88","Kitchener",64,0,14,102,50,2,1,8,1,242,498
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 89","Kitchener",48,0,13,62,19,0,3,5,3,153,410
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 90","Kitchener",53,0,16,52,52,0,0,12,0,185,441
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 91","Kitchener",49,1,18,70,43,0,0,9,0,190,423
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 92","Kitchener",37,0,7,43,53,0,0,7,0,147,367
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 93","Kitchener",29,0,11,41,59,2,0,12,0,154,371
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 94","Kitchener",12,0,3,54,39,0,0,4,2,114,349
