Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sani Diallo,Charles Fiset,David-Roger Gagnon,Joël Godin,Christian Hébert,Nash Mathieu,Tommy Pelletier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 18","Sainte-Brigitte-de-Laval",13,3,24,80,31,8,2,1,162,387
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 19","Sainte-Brigitte-de-Laval",19,6,11,59,26,7,1,3,132,377
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 20","Sainte-Brigitte-de-Laval",17,7,12,68,13,10,3,0,130,426
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 21","Sainte-Brigitte-de-Laval",16,0,14,61,22,4,1,1,119,366
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 22","Sainte-Brigitte-de-Laval",35,0,16,106,39,4,0,1,201,435
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 23","Sainte-Brigitte-de-Laval",19,1,17,118,36,3,0,2,196,454
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 24","Sainte-Brigitte-de-Laval",26,2,19,101,46,9,0,6,209,569
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 25","Sainte-Brigitte-de-Laval",38,1,23,133,46,8,1,5,255,469
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 26","Sainte-Brigitte-de-Laval",19,0,12,56,35,4,1,7,134,337
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 27","Sainte-Brigitte-de-Laval",19,2,12,67,42,6,0,3,151,348
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 28","Sainte-Brigitte-de-Laval",19,3,6,71,22,3,1,3,128,335
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 29","Rivière-à-Pierre",26,2,5,85,29,2,0,5,154,285
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 30","Rivière-à-Pierre",14,1,2,62,20,1,2,2,104,219
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 31","Lac-Beauport",51,6,14,111,63,3,1,5,254,584
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 32","Lac-Beauport",58,3,21,96,50,2,1,5,236,479
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 33","Lac-Beauport",33,0,18,51,50,7,2,2,163,358
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 34","Lac-Beauport",43,5,22,95,48,8,1,6,228,494
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 35","Lac-Beauport",33,1,10,81,60,8,4,3,200,441
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 36","Lac-Beauport",21,0,5,57,23,4,1,2,113,277
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 37","Lac-Beauport",23,0,10,25,31,3,0,5,97,210
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 38","Saint-Gabriel-de-Valcartier",34,11,24,139,44,18,1,4,275,651
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 39","Saint-Gabriel-de-Valcartier",35,0,17,100,34,18,0,5,209,472
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 40","Saint-Gabriel-de-Valcartier",30,2,6,93,49,4,3,3,190,424
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 41","Saint-Gabriel-de-Valcartier",20,0,6,67,11,3,2,4,113,279
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 42","Saint-Gabriel-de-Valcartier",23,0,5,94,26,7,3,3,161,390
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 43","Lac-Beauport",18,0,6,59,14,0,0,2,99,248
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 44","Lac-Beauport",21,3,2,60,33,2,0,0,121,299
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 45","Lac-Beauport",16,1,16,63,25,0,0,0,121,280
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 46","Lac-Beauport",27,1,9,55,28,1,1,0,122,233
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 47","Lac-Beauport",27,1,16,44,30,1,1,6,126,291
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 48","Lac-Beauport",21,1,10,49,23,0,0,4,108,257
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 49","Lac-Beauport",57,1,22,112,53,2,0,1,248,499
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 50","Lac-Beauport",38,2,8,61,26,4,1,6,146,319
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 51","Lac-Beauport",45,2,14,89,50,3,3,3,209,449
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 52","Lac-Beauport",36,0,13,76,52,2,0,3,182,424
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 53","Stoneham-et-Tewkesbury",19,2,4,57,34,6,3,1,126,439
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 54","Lac-Delage",59,4,33,112,103,10,2,4,327,555
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 55","Stoneham-et-Tewkesbury",26,5,12,112,46,9,2,4,216,502
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 56","Stoneham-et-Tewkesbury",13,2,5,68,29,2,1,1,121,331
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 57","Saint-Raymond",11,1,3,62,20,1,0,2,100,290
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 58","Saint-Raymond",15,2,4,55,30,2,0,1,109,351
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 59","Saint-Raymond",27,2,5,119,25,6,0,2,186,475
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 60","Saint-Raymond",33,2,7,95,39,4,2,3,185,504
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 61","Saint-Raymond",12,1,14,81,23,1,0,2,134,309
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 62","Saint-Raymond",19,1,5,123,36,3,0,4,191,483
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 63","Saint-Raymond",31,1,6,151,38,4,2,2,235,512
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 64","Saint-Raymond",15,1,0,49,15,1,0,2,83,288
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 65","Saint-Raymond",22,1,7,90,30,4,0,4,158,434
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 66","Saint-Raymond",9,1,3,92,22,4,0,1,132,479
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 67","Saint-Léonard-de-Portneuf",18,1,3,91,40,2,3,7,165,341
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 68","Saint-Raymond",19,0,4,57,25,1,0,3,109,330
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 69","Saint-Raymond",12,1,3,48,12,1,2,3,82,291
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 70","Saint-Léonard-de-Portneuf",17,3,3,101,21,6,1,0,152,285
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 71A","Saint-Raymond",32,4,6,88,41,9,2,2,184,565
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 71B","Mobile poll/Bureau itinérant",Results combined with no. 71A/Résultats combinés au n° 71A,,,,,,,,,9
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 72","Saint-Léonard-de-Portneuf",10,1,10,96,26,6,0,6,155,281
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 73","Shannon",15,0,4,93,20,5,1,2,140,292
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 74","Shannon",13,0,6,141,29,9,0,1,199,357
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 75","Shannon",23,2,13,101,22,2,0,3,166,301
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 76","Shannon",24,1,20,129,27,10,1,3,215,522
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 77","Shannon",8,0,6,87,15,9,0,2,127,485
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 78","Shannon",16,0,12,104,34,7,0,5,178,454
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 79","Shannon",31,1,20,135,33,8,0,3,231,436
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 80","Shannon",32,0,10,141,24,10,0,0,217,448
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 81","Shannon",45,3,9,135,41,13,3,6,255,506
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 82","Shannon",50,3,24,166,48,11,1,1,304,631
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 83","Shannon",31,1,16,144,35,8,1,2,238,474
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 84","Lac-Saint-Joseph",29,1,2,72,29,3,1,1,138,387
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 85","Fossambault-sur-le-Lac",15,1,7,81,37,8,0,3,152,373
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 86","Fossambault-sur-le-Lac",26,1,7,125,62,8,3,4,236,485
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 87","Fossambault-sur-le-Lac",19,0,10,66,60,2,1,0,158,337
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 88","Sainte-Catherine-de-la-Jacques-Cartier",24,0,23,120,42,11,4,1,225,529
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 89","Fossambault-sur-le-Lac",29,2,9,106,41,3,1,3,194,435
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 90","Sainte-Catherine-de-la-Jacques-Cartier",27,2,6,92,36,11,1,3,178,481
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 91","Sainte-Catherine-de-la-Jacques-Cartier",16,2,13,93,56,5,1,2,188,454
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 92","Sainte-Catherine-de-la-Jacques-Cartier",15,3,6,76,28,3,0,2,133,384
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 93","Sainte-Catherine-de-la-Jacques-Cartier",41,3,10,150,51,16,3,4,278,714
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 94","Sainte-Catherine-de-la-Jacques-Cartier",23,0,16,175,47,12,3,0,276,704
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 95","Sainte-Catherine-de-la-Jacques-Cartier",23,2,13,99,28,7,1,1,174,495
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 96","Sainte-Catherine-de-la-Jacques-Cartier",30,1,18,146,65,11,2,5,278,621
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 97","Sainte-Catherine-de-la-Jacques-Cartier",23,0,12,104,31,6,1,3,180,380
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 98","Sainte-Catherine-de-la-Jacques-Cartier",13,3,16,100,36,11,2,4,185,393
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 99","Sainte-Catherine-de-la-Jacques-Cartier",23,4,17,127,42,6,1,2,222,571
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 100","Sainte-Catherine-de-la-Jacques-Cartier",20,1,6,134,40,10,2,5,218,515
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 101","Lac-Sergent",21,0,8,140,52,10,0,3,234,504
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 102","Saint-Raymond",23,1,5,101,52,3,2,2,189,414
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 103","Saint-Raymond",19,1,4,86,32,0,2,4,148,430
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 104","Saint-Raymond",20,5,5,150,25,8,0,0,213,519
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 105","Saint-Raymond",18,4,10,124,55,7,3,5,226,533
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 106A","Saint-Raymond",Merged with No./Fusionné avec le n°107,,,,,,,,,63
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 106B","Saint-Raymond",17,0,13,135,42,6,0,4,217,539
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 107","Saint-Raymond",11,2,6,116,37,8,5,3,188,415
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 108","Saint-Raymond",16,0,9,126,31,10,3,4,199,555
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 109","Saint-Augustin-de-Desmaures",42,1,13,81,51,5,0,2,195,445
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 110","Saint-Augustin-de-Desmaures",44,0,11,90,42,1,2,0,190,408
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 111","Saint-Augustin-de-Desmaures",57,2,24,62,62,1,2,6,216,442
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 112","Saint-Augustin-de-Desmaures",50,0,17,64,40,1,3,0,175,373
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 113","Saint-Augustin-de-Desmaures",28,0,15,75,34,5,1,2,160,435
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 114","Saint-Augustin-de-Desmaures",47,1,15,64,40,2,1,3,173,393
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 115","Saint-Augustin-de-Desmaures",50,0,10,51,57,4,1,1,174,371
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 116","Saint-Augustin-de-Desmaures",66,2,5,36,33,0,0,4,146,525
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 117A","Saint-Augustin-de-Desmaures",48,0,15,51,65,0,1,5,185,387
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 117B","Saint-Augustin-de-Desmaures",50,2,7,68,45,1,0,1,174,441
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 118","Saint-Augustin-de-Desmaures",70,1,17,81,49,1,1,2,222,522
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 119","Saint-Augustin-de-Desmaures",51,3,5,64,29,2,1,1,156,371
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 120A","Saint-Augustin-de-Desmaures",Merged with No./Fusionné avec le n°121,,,,,,,,,156
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 120B","Saint-Augustin-de-Desmaures",55,1,7,83,83,1,2,0,232,544
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 121","Saint-Augustin-de-Desmaures",58,0,16,117,60,3,0,2,256,391
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 122","Saint-Augustin-de-Desmaures",34,0,7,70,25,2,0,3,141,345
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 123","Saint-Augustin-de-Desmaures",49,2,17,67,47,3,0,5,190,469
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 124A","Saint-Augustin-de-Desmaures",37,0,2,51,46,0,1,1,138,504
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 124B","Saint-Augustin-de-Desmaures",42,0,6,47,42,1,0,1,139,386
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 125","Saint-Augustin-de-Desmaures",46,1,14,50,46,4,0,1,162,344
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 126","Saint-Augustin-de-Desmaures",14,3,5,79,37,3,0,3,144,403
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 127","Saint-Augustin-de-Desmaures",24,0,11,48,30,2,2,4,121,322
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 128","Saint-Augustin-de-Desmaures",17,2,8,61,28,1,3,2,122,357
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 129","Saint-Augustin-de-Desmaures",21,3,8,74,37,12,2,3,160,438
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 130A","Saint-Augustin-de-Desmaures",Merged with No./Fusionné avec le n°127,,,,,,,,,63
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 130B","Saint-Augustin-de-Desmaures",46,3,14,86,56,5,2,0,212,552
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 131","Saint-Augustin-de-Desmaures",53,0,23,93,57,2,1,5,234,526
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 132","Saint-Augustin-de-Desmaures",31,1,13,63,42,1,1,1,153,428
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 133","Saint-Augustin-de-Desmaures",63,1,19,141,66,3,1,0,294,538
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 134","Saint-Augustin-de-Desmaures",26,1,9,64,31,0,1,3,135,399
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 135","Saint-Augustin-de-Desmaures",10,2,5,45,33,1,1,1,98,347
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 136","Saint-Augustin-de-Desmaures",30,0,13,60,34,2,0,3,142,437
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 137","Saint-Augustin-de-Desmaures",47,0,12,43,44,1,1,1,149,415
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 138","Saint-Augustin-de-Desmaures",26,0,18,57,52,1,0,4,158,415
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 139","Saint-Augustin-de-Desmaures",22,0,13,64,43,1,0,1,144,351
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 140","Saint-Augustin-de-Desmaures",29,2,16,78,34,1,0,5,165,388
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 141","Saint-Augustin-de-Desmaures",35,1,13,112,69,3,2,3,238,532
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 142","Saint-Augustin-de-Desmaures",27,1,15,91,31,2,0,1,168,433
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 143","Pont-Rouge",7,1,10,62,17,5,3,2,107,414
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 144","Pont-Rouge",19,4,5,103,47,2,1,4,185,503
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 145","Pont-Rouge",18,1,12,85,24,3,1,2,146,376
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 146A","Pont-Rouge",Merged with No./Fusionné avec le n°151,,,,,,,,,90
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 146B","Pont-Rouge",8,2,15,115,32,6,1,5,184,547
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 147","Pont-Rouge",9,3,10,119,37,7,0,0,185,496
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 148A","Pont-Rouge",Merged with No./Fusionné avec le n°145,,,,,,,,,176
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 148B","Pont-Rouge",28,5,15,131,53,7,0,5,244,559
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 149","Pont-Rouge",16,1,4,109,35,3,4,0,172,455
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 150","Pont-Rouge",10,0,7,126,31,2,3,5,184,506
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 151","Pont-Rouge",16,3,11,95,24,10,0,0,159,419
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 152","Pont-Rouge",11,1,7,79,30,1,0,1,130,431
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 153","Pont-Rouge",18,0,12,117,37,13,0,4,201,556
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 154","Pont-Rouge",21,1,4,95,35,10,1,1,168,471
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 155","Pont-Rouge",17,2,7,92,18,0,2,4,142,415
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 156","Pont-Rouge",9,2,17,117,28,9,0,6,188,573
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 157","Pont-Rouge",18,0,9,59,20,1,6,1,114,394
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 158","Pont-Rouge",11,0,15,93,35,5,1,0,160,431
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 159","Sainte-Christine",22,1,12,159,51,12,4,2,263,541
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 160","Saint-Basile",10,4,7,134,54,9,0,4,222,455
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 161","Saint-Basile",25,0,5,120,50,1,0,1,202,338
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 162","Saint-Basile",15,1,1,55,20,8,0,4,104,208
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 163","Saint-Basile",11,0,6,100,26,11,2,0,156,270
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 164","Saint-Basile",32,2,6,63,28,2,1,1,135,265
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 165","Saint-Basile",29,0,6,149,37,4,3,3,231,382
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 166","Saint-Basile",25,1,3,85,41,6,0,2,163,292
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 167","Neuville",19,5,12,128,40,1,1,6,212,400
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 168","Neuville",45,1,17,80,64,2,1,0,210,425
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 169","Neuville",34,0,19,102,62,5,2,3,227,359
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 170","Neuville",47,2,8,140,90,5,3,6,301,533
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 171","Neuville",16,2,10,85,43,3,4,5,168,418
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 172","Neuville",36,1,8,97,71,3,0,3,219,408
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 173","Neuville",31,1,17,83,46,2,2,2,184,330
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 174","Neuville",7,0,10,92,22,7,1,7,146,318
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 175","Neuville",41,0,9,78,70,2,1,4,205,406
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 176","Portneuf",21,1,16,74,45,8,2,7,174,395
