Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kathy Borrelli,Laura Chesnik,Victor Green,Cheryl Hardcastle,Irek Kusmierczyk,Henry Oulevey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 49","Windsor",74,1,20,73,91,1,1,261,392
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 50","Windsor",55,0,15,30,46,2,2,150,427
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 51","Windsor",54,2,17,29,37,1,1,141,336
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 52","Windsor",41,1,5,44,69,0,0,160,435
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 53","Windsor",68,0,26,64,113,4,0,275,774
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 54","Windsor",37,1,22,50,38,2,5,155,484
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 55","Windsor",18,0,7,38,33,3,1,100,362
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 56","Windsor",17,0,21,71,26,4,0,139,383
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 57","Windsor",70,0,11,62,71,2,1,217,693
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 58","Windsor",35,1,13,57,29,0,0,135,460
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 59","Windsor",33,0,18,45,42,1,4,143,502
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 60","Windsor",45,1,18,44,57,2,0,167,490
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 61","Windsor",92,0,21,58,123,5,3,302,420
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 62","Windsor",40,0,13,45,71,2,2,173,449
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 63","Windsor",Merged with No./Fusionné avec le n°61,,,,,,,,390
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 64","Windsor",47,3,7,37,58,2,3,157,404
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 65","Windsor",46,0,8,30,35,0,0,119,373
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 66","Windsor",62,1,12,37,42,1,0,155,468
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 67","Tecumseh",44,1,15,44,44,1,3,152,385
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 68","Tecumseh",44,0,6,57,40,1,0,148,420
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 69","Tecumseh",42,0,12,57,43,1,0,155,358
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 70","Tecumseh",54,0,8,60,39,1,0,162,382
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 71","Tecumseh",30,0,12,30,20,1,1,94,368
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 72","Tecumseh",39,0,20,55,38,0,2,154,425
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 73","Tecumseh",Merged with No./Fusionné avec le n°49,,,,,,,,330
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 74","Windsor",68,0,12,70,93,2,0,245,366
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 75","Windsor",40,0,13,38,55,0,0,146,411
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 76","Windsor",Merged with No./Fusionné avec le n°74,,,,,,,,354
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 77","Windsor",26,0,11,48,26,1,0,112,382
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 78","Windsor",25,0,17,70,44,3,0,159,484
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 79","Windsor",39,0,16,87,30,3,1,176,398
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 80","Windsor",47,0,10,56,44,4,1,162,363
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 81","Windsor",52,2,17,65,49,2,1,188,436
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 82","Windsor",31,0,15,61,28,3,0,138,434
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 83","Windsor",40,0,19,45,45,1,1,151,382
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 84","Windsor",47,2,23,72,60,2,1,207,492
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 85","Windsor",45,1,17,59,60,1,0,183,345
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 86","Windsor",27,1,10,36,40,3,0,117,403
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 87","Windsor",32,0,16,85,59,4,0,196,376
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 88","Windsor",39,1,22,68,48,1,0,179,379
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 89","Windsor",46,0,12,109,50,3,0,220,480
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 90","Windsor",19,0,23,67,48,1,1,159,410
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 91","Windsor",48,0,16,64,73,1,0,202,448
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 92","Tecumseh",59,1,3,41,47,2,0,153,427
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 93","Tecumseh",38,0,12,26,40,2,0,118,369
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 94","Tecumseh",41,1,7,33,47,3,0,132,351
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 95","Tecumseh",48,0,12,30,50,4,1,145,363
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 96","Windsor",23,0,13,42,34,2,2,116,392
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 97","Windsor",47,0,3,44,65,3,5,167,365
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 98","Windsor",16,0,11,40,24,4,1,96,415
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 99","Windsor",12,0,6,31,25,1,0,75,353
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 100","Windsor",Merged with No./Fusionné avec le n°97,,,,,,,,240
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 101","Windsor",30,0,21,67,29,2,0,149,529
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 102","Windsor",23,2,18,72,44,1,0,160,436
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 103","Windsor",27,0,13,51,40,1,0,132,415
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 104","Windsor",13,0,12,48,44,1,0,118,415
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 105","Windsor",25,2,12,46,40,3,2,130,469
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 106","Windsor",24,1,12,37,34,2,4,114,480
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 107","Tecumseh",27,0,11,34,45,3,3,123,430
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 108","Tecumseh",59,0,28,63,51,3,4,208,427
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 109","Tecumseh",36,0,16,38,52,2,2,146,400
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 110","Tecumseh",60,0,21,47,51,3,0,182,413
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 111","Tecumseh",50,0,31,72,40,2,0,195,449
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 112","Tecumseh",26,0,8,43,35,2,1,115,329
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 113","Tecumseh",29,0,22,31,30,1,0,113,378
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 114","Windsor",33,0,15,75,32,1,1,157,458
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 115","Windsor",49,0,24,82,54,6,2,217,512
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 116","Windsor",29,2,13,64,33,0,2,143,468
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 117","Windsor",47,0,25,69,37,3,1,182,448
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 118","Windsor",41,0,16,70,18,2,0,147,507
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 119","Windsor",49,2,26,101,37,2,0,217,506
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 120","Windsor",26,1,13,54,74,3,0,171,467
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 121","Windsor",13,1,17,60,55,3,0,149,427
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 122","Windsor",36,0,5,57,52,5,0,155,442
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 123","Windsor",23,1,18,55,42,4,0,143,396
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 124","Windsor",22,0,15,56,50,0,7,150,487
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 125","Windsor",21,1,27,42,32,1,0,124,389
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 126","Windsor",37,0,17,27,47,3,0,131,488
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 127","Windsor",Merged with No./Fusionné avec le n°130,,,,,,,,325
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 128","Windsor",27,2,11,65,39,1,1,146,395
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 129","Windsor",40,0,16,47,57,1,3,164,404
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 130","Windsor",59,1,26,56,105,3,3,253,361
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 131","Windsor",28,1,21,37,49,3,1,140,405
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 132","Windsor",25,0,20,55,29,0,1,130,399
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 133","Windsor",38,0,21,63,21,1,3,147,430
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 134","Windsor",29,1,21,56,32,1,3,143,435
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 135","Windsor",26,0,20,64,36,2,0,148,443
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 136","Windsor",49,0,12,64,34,3,0,162,445
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 137","Windsor",29,0,11,83,33,4,0,160,410
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 138","Windsor",32,1,21,71,19,1,0,145,367
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 139","Windsor",37,0,18,48,51,0,0,154,502
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 140","Windsor",48,0,28,33,45,0,0,154,468
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 141","Windsor",39,0,14,38,45,2,3,141,410
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 142","Windsor",70,0,12,32,52,1,1,168,532
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 143","Windsor",58,0,16,48,54,0,2,178,443
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 144","Windsor",25,0,9,41,39,1,3,118,455
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 145","Windsor",38,0,9,45,15,4,4,115,491
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 146","Windsor",14,0,12,24,23,3,2,78,435
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 147","Windsor",26,0,18,21,38,4,1,108,382
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 148","Windsor",32,1,14,47,29,1,1,125,448
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 149","Windsor",28,1,17,34,32,1,3,116,498
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 150","Windsor",28,1,13,46,25,2,0,115,387
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 151","Windsor",35,1,26,72,36,1,0,171,519
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 152","Windsor",52,1,22,91,34,0,0,200,466
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 153","Windsor",39,1,17,61,38,1,2,159,382
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 154","Windsor",40,0,22,67,22,2,1,154,455
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 155","Windsor",34,0,25,102,28,6,0,195,474
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 156","Windsor",34,0,18,70,41,3,0,166,510
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 157","Windsor",50,0,19,72,43,4,0,188,500
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 158","Windsor",28,0,21,76,40,1,0,166,461
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 159","Windsor",22,1,15,61,31,2,1,133,474
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 160","Windsor",53,0,15,68,21,1,0,158,492
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 161","Windsor",29,0,23,64,34,1,0,151,434
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 162","Windsor",35,0,12,74,22,2,0,145,413
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 163","Windsor",66,0,32,87,43,1,2,231,498
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 164","Windsor",44,0,28,76,39,2,1,190,482
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 165","Windsor",42,2,29,76,28,0,2,179,543
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 166","Windsor",35,0,14,36,29,0,0,114,430
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 167","Windsor",24,0,14,44,47,1,0,130,432
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 168","Windsor",44,1,18,41,74,2,0,180,509
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 169","Windsor",54,1,15,47,48,4,0,169,459
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 170","Windsor",38,0,13,38,49,0,3,141,463
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 171","Windsor",21,0,7,43,51,0,1,123,400
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 172","Windsor",52,1,11,64,55,3,0,186,508
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 173","Windsor",33,1,8,53,54,0,3,152,401
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 174","Windsor",19,0,18,26,39,0,1,103,379
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 175","Windsor",47,0,30,57,45,4,1,184,484
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 176","Windsor",50,8,27,86,56,2,1,230,629
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 177","Windsor",30,0,4,37,25,2,2,100,366
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 178","Windsor",32,0,14,60,35,2,0,143,454
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 179","Windsor",26,1,13,58,29,0,4,131,427
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 180","Windsor",38,0,21,52,26,3,1,141,411
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 181","Windsor",33,1,21,49,44,1,1,150,422
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 182","Windsor",46,0,32,49,44,2,4,177,515
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 183","Windsor",49,0,19,63,65,3,4,203,493
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 184","Windsor",24,0,26,48,24,3,1,126,383
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 185","Windsor",52,2,10,60,48,1,0,173,483
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 186","Windsor",40,0,17,42,66,0,2,167,393
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 187","Windsor",37,0,16,52,40,3,1,149,410
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 188","Windsor",41,1,20,44,34,0,3,143,392
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 189","Windsor",31,0,15,53,22,3,1,125,398
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 190","Tecumseh",104,1,31,77,101,4,6,324,394
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 191","Tecumseh",59,0,20,52,52,1,2,186,439
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 192","Tecumseh",Merged with No./Fusionné avec le n°190,,,,,,,,359
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 193","Tecumseh",51,0,18,50,44,1,3,167,457
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 194","Tecumseh",70,1,22,63,51,4,1,212,440
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 195","Tecumseh",47,0,21,46,66,1,1,182,443
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 196","Windsor",30,0,19,62,50,3,1,165,489
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 197","Windsor",16,0,15,60,42,2,1,136,432
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 198","Windsor",14,0,4,44,19,5,1,87,352
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 199","Windsor",43,0,18,64,27,2,0,154,423
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 200","Windsor",45,0,19,79,47,4,2,196,433
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 201","Windsor",31,0,18,65,41,4,0,159,447
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 202","Windsor",42,0,27,87,39,3,0,198,504
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 203","Windsor",66,2,23,91,64,4,3,253,364
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 204","Windsor",24,1,6,34,31,1,3,100,433
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 205","Windsor",Merged with No./Fusionné avec le n°203,,,,,,,,344
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 206","Windsor",49,0,20,68,35,0,2,174,466
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 207","Windsor",47,0,11,56,47,0,2,163,403
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 208","Tecumseh",59,0,28,74,64,2,1,228,408
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 209","Tecumseh",74,0,29,62,64,5,0,234,481
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 210","Tecumseh",51,2,31,86,77,2,2,251,478
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 211","Windsor",67,1,20,47,57,2,4,198,470
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 212","Tecumseh",51,1,19,23,33,1,0,128,308
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 213","Tecumseh",69,1,19,39,46,0,3,177,347
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 214","Tecumseh",59,0,29,47,67,4,2,208,403
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 215","Tecumseh",93,3,27,54,42,7,1,227,365
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 400","Windsor",16,1,7,26,28,3,0,81,153
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 401","Windsor",32,1,7,29,38,3,10,120,191
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 402","Windsor",29,1,13,19,27,2,1,92,162
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 403","Windsor",15,1,10,37,47,3,1,114,196
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 404","Windsor",27,1,3,27,29,2,0,89,139
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 405","Windsor",34,0,17,102,118,1,0,272,428
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 406","Windsor",61,1,15,42,105,1,2,227,374
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 407","Tecumseh",15,0,2,11,45,0,1,74,100
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 408","Windsor",21,1,1,21,61,2,4,111,147
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 409","Windsor",20,1,10,32,50,0,0,113,173
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 410","Windsor",9,0,6,5,6,2,0,28,131
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 411","Windsor",34,3,16,50,74,4,8,189,361
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 500","Mobile poll/Bureau itinérant",6,0,2,6,13,1,0,28,50
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 501","Mobile poll/Bureau itinérant",5,1,2,15,11,2,1,37,73
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 502","Mobile poll/Bureau itinérant",7,0,0,5,9,0,0,21,54
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 503","Mobile poll/Bureau itinérant",8,0,1,4,9,0,1,23,42
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 504","Mobile poll/Bureau itinérant",6,1,3,15,14,1,0,40,80
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 505","Mobile poll/Bureau itinérant",5,0,0,7,4,1,0,17,58
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 506","Mobile poll/Bureau itinérant",2,0,1,3,3,0,1,10,36
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 507","Mobile poll/Bureau itinérant",4,1,0,11,22,0,2,40,74
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,,,26
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,,,19
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 510","Mobile poll/Bureau itinérant",18,0,5,40,38,0,1,102,159
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 600","Windsor",198,1,56,219,307,6,5,792,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 601","Windsor",321,1,144,214,456,6,3,1145,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 602","Tecumseh",422,1,137,392,521,22,3,1498,
