Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nadeem Akbar,Shibli Haddad,Chris Kowalchuk,Muhammad Riaz Sahi,Adam van Koeverden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35057,"Milton/Milton"," 64","Milton",57,8,6,27,84,0,182,444
35057,"Milton/Milton"," 65","Milton",77,4,4,11,89,0,185,511
35057,"Milton/Milton"," 66","Milton",70,14,7,19,117,3,230,552
35057,"Milton/Milton"," 67","Milton",78,12,4,27,99,0,220,557
35057,"Milton/Milton"," 68","Milton",56,7,1,12,103,4,183,519
35057,"Milton/Milton"," 69","Milton",92,2,2,22,101,0,219,531
35057,"Milton/Milton"," 70","Milton",55,7,13,22,72,1,170,496
35057,"Milton/Milton"," 71","Milton",75,12,7,25,68,2,189,443
35057,"Milton/Milton"," 72","Milton",84,13,8,35,122,2,264,467
35057,"Milton/Milton"," 73","Milton",61,2,2,26,93,0,184,578
35057,"Milton/Milton"," 74","Milton",65,13,7,14,47,0,146,407
35057,"Milton/Milton"," 75","Milton",62,17,8,21,89,0,197,503
35057,"Milton/Milton"," 76","Milton",76,7,6,15,104,1,209,491
35057,"Milton/Milton"," 77","Milton",53,5,5,12,55,1,131,396
35057,"Milton/Milton"," 78","Milton",38,10,5,14,64,0,131,352
35057,"Milton/Milton"," 79","Milton",36,1,3,4,47,0,91,372
35057,"Milton/Milton"," 80","Milton",45,10,4,13,44,2,118,362
35057,"Milton/Milton"," 81","Milton",40,6,8,17,42,0,113,380
35057,"Milton/Milton"," 82","Milton",54,2,2,16,117,1,192,484
35057,"Milton/Milton"," 83","Milton",46,6,3,29,96,0,180,605
35057,"Milton/Milton"," 84","Milton",71,6,1,23,120,0,221,574
35057,"Milton/Milton"," 85","Milton",65,2,10,18,126,0,221,613
35057,"Milton/Milton"," 86","Milton",75,9,2,14,119,0,219,611
35057,"Milton/Milton"," 87","Milton",59,7,4,26,110,1,207,570
35057,"Milton/Milton"," 88","Milton",83,11,1,22,65,0,182,513
35057,"Milton/Milton"," 89","Milton",91,11,7,26,76,1,212,618
35057,"Milton/Milton"," 90","Milton",97,13,6,17,82,1,216,567
35057,"Milton/Milton"," 91","Milton",84,17,8,14,71,0,194,533
35057,"Milton/Milton"," 92","Milton",115,11,11,22,68,0,227,574
35057,"Milton/Milton"," 93","Milton",75,7,6,18,61,0,167,449
35057,"Milton/Milton"," 94","Milton",66,5,7,16,74,0,168,458
35057,"Milton/Milton"," 95","Milton",27,3,2,19,51,1,103,396
35057,"Milton/Milton"," 96","Milton",55,1,4,16,115,0,191,478
35057,"Milton/Milton"," 97","Milton",71,8,3,21,127,1,231,597
35057,"Milton/Milton"," 98","Milton",55,5,5,21,83,0,169,444
35057,"Milton/Milton"," 99","Milton",45,7,4,21,103,1,181,611
35057,"Milton/Milton"," 100A","Milton",49,2,5,18,115,3,192,533
35057,"Milton/Milton"," 100B","Milton",75,7,3,26,123,2,236,575
35057,"Milton/Milton"," 100C","Milton",56,5,3,16,123,1,204,538
35057,"Milton/Milton"," 101","Milton",68,5,4,23,74,1,175,392
35057,"Milton/Milton"," 102","Milton",47,10,5,16,41,1,120,364
35057,"Milton/Milton"," 103","Milton",74,9,8,20,58,2,171,417
35057,"Milton/Milton"," 104","Milton",66,9,6,19,64,0,164,441
35057,"Milton/Milton"," 105","Milton",34,16,4,33,43,0,130,358
35057,"Milton/Milton"," 106","Milton",50,14,6,31,115,1,217,597
35057,"Milton/Milton"," 107","Milton",103,9,5,30,96,2,245,543
35057,"Milton/Milton"," 108","Milton",76,5,2,16,94,0,193,518
35057,"Milton/Milton"," 109","Milton",63,8,8,22,93,1,195,475
35057,"Milton/Milton"," 110","Milton",62,7,7,23,102,0,201,585
35057,"Milton/Milton"," 111","Milton",61,11,2,13,97,1,185,612
35057,"Milton/Milton"," 112","Milton",45,5,2,11,108,1,172,538
35057,"Milton/Milton"," 113","Milton",42,2,0,19,100,0,163,557
35057,"Milton/Milton"," 114","Milton",56,8,1,24,125,2,216,608
35057,"Milton/Milton"," 115","Milton",56,8,4,20,109,0,197,623
35057,"Milton/Milton"," 116","Milton",68,4,4,23,99,0,198,536
35057,"Milton/Milton"," 117","Milton",54,9,2,21,169,1,256,628
35057,"Milton/Milton"," 118","Milton",86,21,3,24,141,1,276,824
35057,"Milton/Milton"," 119","Milton",37,13,6,19,81,0,156,565
35057,"Milton/Milton"," 120A","Milton",40,4,2,13,106,1,166,422
35057,"Milton/Milton"," 120B","Milton",62,3,0,13,95,1,174,434
35057,"Milton/Milton"," 121","Milton",63,8,9,31,161,0,272,813
35057,"Milton/Milton"," 122","Milton",Void/Supprimé,,,,,,,
35057,"Milton/Milton"," 123A","Milton",36,4,6,11,74,2,133,425
35057,"Milton/Milton"," 123B","Milton",22,6,4,13,83,2,130,397
35057,"Milton/Milton"," 124","Milton",64,7,1,25,130,0,227,625
35057,"Milton/Milton"," 125","Milton",50,3,3,17,91,0,164,530
35057,"Milton/Milton"," 126","Milton",41,5,3,13,128,1,191,492
35057,"Milton/Milton"," 127A","Milton",31,8,1,16,83,0,139,424
35057,"Milton/Milton"," 127B","Milton",35,5,0,16,76,2,134,408
35057,"Milton/Milton"," 128","Milton",83,4,6,14,134,0,241,613
35057,"Milton/Milton"," 129","Milton",67,5,3,15,139,1,230,539
35057,"Milton/Milton"," 130","Milton",73,2,4,13,152,5,249,627
35057,"Milton/Milton"," 131","Milton",87,4,3,17,162,4,277,642
35057,"Milton/Milton"," 132","Milton",81,1,4,20,153,0,259,650
35057,"Milton/Milton"," 133","Milton",42,14,7,23,128,0,214,506
35057,"Milton/Milton"," 134","Milton",65,8,1,12,123,0,209,568
35057,"Milton/Milton"," 135","Milton",64,11,3,35,168,1,282,665
35057,"Milton/Milton"," 136","Milton",66,2,1,15,121,0,205,606
35057,"Milton/Milton"," 137","Milton",57,15,1,23,113,0,209,643
35057,"Milton/Milton"," 138","Milton",61,10,1,20,125,1,218,640
35057,"Milton/Milton"," 139","Milton",78,2,5,12,109,0,206,595
35057,"Milton/Milton"," 140","Milton",50,7,3,17,103,1,181,548
35057,"Milton/Milton"," 141","Milton",73,11,4,16,121,0,225,635
35057,"Milton/Milton"," 142A","Milton",42,11,4,15,126,2,200,498
35057,"Milton/Milton"," 142B","Milton",40,4,4,12,99,0,159,468
35057,"Milton/Milton"," 143","Milton",45,4,3,20,150,0,222,518
35057,"Milton/Milton"," 144A","Milton",42,9,6,16,127,1,201,528
35057,"Milton/Milton"," 144B","Milton",42,4,2,15,112,0,175,473
35057,"Milton/Milton"," 145A","Milton",59,3,2,25,109,1,199,462
35057,"Milton/Milton"," 145B","Milton",61,8,0,16,110,1,196,446
35057,"Milton/Milton"," 146","Milton",81,14,9,19,90,0,213,467
35057,"Milton/Milton"," 147","Milton",53,11,3,22,92,1,182,598
35057,"Milton/Milton"," 148","Milton",68,5,3,17,108,1,202,609
35057,"Milton/Milton"," 149","Milton",42,5,1,21,103,1,173,568
35057,"Milton/Milton"," 150A","Milton",32,3,4,18,95,2,154,456
35057,"Milton/Milton"," 150B","Milton",36,3,3,8,82,1,133,434
35057,"Milton/Milton"," 151A","Milton",41,3,3,20,83,0,150,468
35057,"Milton/Milton"," 151B","Milton",40,6,3,13,92,0,154,450
35057,"Milton/Milton"," 152","Milton",43,6,2,4,45,4,104,247
35057,"Milton/Milton"," 153","Milton",99,14,5,17,66,2,203,475
35057,"Milton/Milton"," 154","Milton",112,18,6,17,93,2,248,541
35057,"Milton/Milton"," 155","Milton ",Void/Supprimé,,,,,,,
35057,"Milton/Milton"," 156","Milton",49,9,5,19,62,1,145,374
35057,"Milton/Milton"," 157","Milton",Merged with No./Fusionné avec le n°158,,,,,,,267
35057,"Milton/Milton"," 158","Burlington",118,31,9,28,76,4,266,437
35057,"Milton/Milton"," 159","Burlington",83,18,11,27,70,0,209,514
35057,"Milton/Milton"," 160","Milton",93,11,5,9,62,2,182,409
35057,"Milton/Milton"," 161","Burlington",85,11,10,19,52,1,178,479
35057,"Milton/Milton"," 162","Burlington",98,22,6,11,66,0,203,506
35057,"Milton/Milton"," 163","Burlington",160,19,9,34,96,0,318,449
35057,"Milton/Milton"," 164","Burlington",103,9,6,34,72,0,224,609
35057,"Milton/Milton"," 165","Burlington",Merged with No./Fusionné avec le n°163,,,,,,,395
35057,"Milton/Milton"," 400","Milton",Merged with No./Fusionné avec le n°72,,,,,,,196
35057,"Milton/Milton"," 500","Mobile poll/Bureau itinérant",19,2,1,1,27,4,54,189
35057,"Milton/Milton"," 501","Mobile poll/Bureau itinérant",12,0,3,0,15,1,31,53
35057,"Milton/Milton"," 502","Mobile poll/Bureau itinérant",17,2,2,1,38,3,63,80
35057,"Milton/Milton"," 503","Mobile poll/Bureau itinérant",42,2,2,4,35,2,87,121
35057,"Milton/Milton"," 504","Mobile poll/Bureau itinérant",8,1,2,4,13,0,28,60
35057,"Milton/Milton"," 600","Milton",494,45,24,95,639,3,1300,
35057,"Milton/Milton"," 601","Milton",390,57,31,78,675,1,1232,
35057,"Milton/Milton"," 602","Milton",419,78,17,87,760,4,1365,
35057,"Milton/Milton"," 603","Milton",376,72,11,97,724,5,1285,
35057,"Milton/Milton"," 604","Milton",408,52,44,74,594,8,1180,
35057,"Milton/Milton"," 605","Milton",404,41,38,85,587,7,1162,
35057,"Milton/Milton"," 606","Milton",520,43,43,109,669,9,1393,
35057,"Milton/Milton"," 607","Milton",327,56,12,72,708,22,1197,
35057,"Milton/Milton"," 608","Milton",291,46,25,75,560,11,1008,
35057,"Milton/Milton"," 609","Milton",257,47,31,62,369,3,769,
35057,"Milton/Milton"," 610","Milton",237,41,10,56,494,5,843,
35057,"Milton/Milton"," 611","Milton",314,53,14,91,786,7,1265,
35057,"Milton/Milton"," 612","Milton",337,60,26,74,687,5,1189,
35057,"Milton/Milton"," 613","Milton",272,31,13,64,475,4,859,
35057,"Milton/Milton"," 614","Milton",300,52,21,66,593,5,1037,
35057,"Milton/Milton"," 615","Milton",388,44,33,61,467,1,994,
35057,"Milton/Milton"," 616","Milton",650,61,38,57,483,6,1295,
35057,"Milton/Milton"," 617","Milton",580,57,26,58,409,3,1133,
35057,"Milton/Milton",,Group 1/Groupe 1, 124,19,11,40,210,15,419,180
35057,"Milton/Milton",,Group 2/Groupe 2, 545,50,26,161,1248,51,2081,
