Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gilles Brodeur,Martin Francoeur,Andrew Holman,Jean Landry,Yves Levesque,Adis Simidzija,René Villemure,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Trois-Rivières/Trois-Rivières"," 56","Trois-Rivières",0,26,4,4,46,9,56,7,152,360
24076,"Trois-Rivières/Trois-Rivières"," 57","Trois-Rivières",2,29,3,4,47,9,53,3,150,406
24076,"Trois-Rivières/Trois-Rivières"," 58","Trois-Rivières",1,29,5,5,27,13,36,1,117,366
24076,"Trois-Rivières/Trois-Rivières"," 59","Trois-Rivières",2,25,1,5,31,14,37,4,119,338
24076,"Trois-Rivières/Trois-Rivières"," 60","Trois-Rivières",4,25,2,4,43,13,37,2,130,379
24076,"Trois-Rivières/Trois-Rivières"," 61","Trois-Rivières",2,30,0,4,21,4,30,5,96,326
24076,"Trois-Rivières/Trois-Rivières"," 62","Trois-Rivières",1,16,2,4,26,7,29,3,88,322
24076,"Trois-Rivières/Trois-Rivières"," 63","Trois-Rivières",1,28,0,7,25,16,23,4,104,351
24076,"Trois-Rivières/Trois-Rivières"," 64","Trois-Rivières",0,20,2,0,11,4,23,0,60,343
24076,"Trois-Rivières/Trois-Rivières"," 65","Trois-Rivières",0,22,2,3,23,20,29,3,102,346
24076,"Trois-Rivières/Trois-Rivières"," 66","Trois-Rivières",2,31,2,7,29,11,40,2,124,417
24076,"Trois-Rivières/Trois-Rivières"," 67","Trois-Rivières",0,27,3,10,26,10,34,5,115,405
24076,"Trois-Rivières/Trois-Rivières"," 68","Trois-Rivières",0,33,1,6,33,11,27,2,113,370
24076,"Trois-Rivières/Trois-Rivières"," 69","Trois-Rivières",2,57,0,3,36,9,39,0,146,389
24076,"Trois-Rivières/Trois-Rivières"," 70","Trois-Rivières",0,45,5,0,38,17,42,4,151,350
24076,"Trois-Rivières/Trois-Rivières"," 71","Trois-Rivières",4,26,2,5,20,12,27,2,98,421
24076,"Trois-Rivières/Trois-Rivières"," 72","Trois-Rivières",2,18,0,1,28,7,27,1,84,375
24076,"Trois-Rivières/Trois-Rivières"," 73","Trois-Rivières",2,54,3,4,25,16,35,6,145,420
24076,"Trois-Rivières/Trois-Rivières"," 74","Trois-Rivières",1,20,0,4,22,13,21,2,83,363
24076,"Trois-Rivières/Trois-Rivières"," 75","Trois-Rivières",1,28,3,6,12,18,28,4,100,368
24076,"Trois-Rivières/Trois-Rivières"," 76","Trois-Rivières",2,43,3,3,56,17,48,1,173,524
24076,"Trois-Rivières/Trois-Rivières"," 77","Trois-Rivières",0,26,4,5,40,15,31,2,123,333
24076,"Trois-Rivières/Trois-Rivières"," 78","Trois-Rivières",1,19,4,3,38,9,32,2,108,394
24076,"Trois-Rivières/Trois-Rivières"," 79","Trois-Rivières",1,51,5,10,61,29,56,9,222,354
24076,"Trois-Rivières/Trois-Rivières"," 80","Trois-Rivières",0,29,1,4,43,9,36,5,127,456
24076,"Trois-Rivières/Trois-Rivières"," 81","Trois-Rivières",Merged with No./Fusionné avec le n°79,,,,,,,,,335
24076,"Trois-Rivières/Trois-Rivières"," 82","Trois-Rivières",0,66,3,3,46,12,28,3,161,358
24076,"Trois-Rivières/Trois-Rivières"," 83","Trois-Rivières",1,51,4,1,48,20,31,3,159,465
24076,"Trois-Rivières/Trois-Rivières"," 84","Trois-Rivières",3,46,2,4,62,17,51,0,185,541
24076,"Trois-Rivières/Trois-Rivières"," 85","Trois-Rivières",1,38,3,0,44,14,30,3,133,351
24076,"Trois-Rivières/Trois-Rivières"," 86","Trois-Rivières",3,55,3,1,48,11,50,0,171,377
24076,"Trois-Rivières/Trois-Rivières"," 87","Trois-Rivières",2,50,0,0,35,12,38,5,142,381
24076,"Trois-Rivières/Trois-Rivières"," 88","Trois-Rivières",1,62,2,4,39,20,45,3,176,440
24076,"Trois-Rivières/Trois-Rivières"," 89","Trois-Rivières",2,41,5,4,35,16,45,0,148,345
24076,"Trois-Rivières/Trois-Rivières"," 90","Trois-Rivières",0,57,2,2,31,30,40,5,167,393
24076,"Trois-Rivières/Trois-Rivières"," 91","Trois-Rivières",1,52,1,2,26,30,32,5,149,407
24076,"Trois-Rivières/Trois-Rivières"," 92","Trois-Rivières",1,34,6,2,19,24,24,2,112,319
24076,"Trois-Rivières/Trois-Rivières"," 93","Trois-Rivières",3,71,3,6,67,20,58,5,233,805
24076,"Trois-Rivières/Trois-Rivières"," 94","Trois-Rivières",2,52,5,9,45,46,56,3,218,377
24076,"Trois-Rivières/Trois-Rivières"," 95","Trois-Rivières",Merged with No./Fusionné avec le n°94,,,,,,,,,346
24076,"Trois-Rivières/Trois-Rivières"," 96","Trois-Rivières",3,56,4,4,44,34,67,9,221,391
24076,"Trois-Rivières/Trois-Rivières"," 97","Trois-Rivières",Merged with No./Fusionné avec le n°96,,,,,,,,,384
24076,"Trois-Rivières/Trois-Rivières"," 98","Trois-Rivières",1,38,4,0,29,16,42,2,132,361
24076,"Trois-Rivières/Trois-Rivières"," 99","Trois-Rivières",2,50,5,1,30,19,64,1,172,414
24076,"Trois-Rivières/Trois-Rivières"," 100","Trois-Rivières",2,51,0,1,26,18,38,1,137,404
24076,"Trois-Rivières/Trois-Rivières"," 101","Trois-Rivières",Merged with No./Fusionné avec le n°103,,,,,,,,,388
24076,"Trois-Rivières/Trois-Rivières"," 102","Trois-Rivières",3,41,5,5,45,50,53,3,205,464
24076,"Trois-Rivières/Trois-Rivières"," 103","Trois-Rivières",0,56,3,9,32,41,50,8,199,434
24076,"Trois-Rivières/Trois-Rivières"," 104","Trois-Rivières",Merged with No./Fusionné avec le n°102,,,,,,,,,331
24076,"Trois-Rivières/Trois-Rivières"," 105","Trois-Rivières",2,38,1,4,39,13,45,5,147,411
24076,"Trois-Rivières/Trois-Rivières"," 106","Trois-Rivières",0,37,0,4,40,21,38,6,146,383
24076,"Trois-Rivières/Trois-Rivières"," 107","Trois-Rivières",1,45,7,5,75,21,63,6,223,352
24076,"Trois-Rivières/Trois-Rivières"," 108","Trois-Rivières",2,54,2,2,43,24,51,5,183,489
24076,"Trois-Rivières/Trois-Rivières"," 109","Trois-Rivières",Merged with No./Fusionné avec le n°107,,,,,,,,,319
24076,"Trois-Rivières/Trois-Rivières"," 110","Trois-Rivières",1,47,1,5,35,17,43,1,150,403
24076,"Trois-Rivières/Trois-Rivières"," 111","Trois-Rivières",Merged with No./Fusionné avec le n°112,,,,,,,,,306
24076,"Trois-Rivières/Trois-Rivières"," 112","Trois-Rivières",5,45,3,5,40,14,54,0,166,357
24076,"Trois-Rivières/Trois-Rivières"," 113","Trois-Rivières",2,39,4,7,64,16,64,3,199,468
24076,"Trois-Rivières/Trois-Rivières"," 114","Trois-Rivières",0,45,2,4,58,8,42,3,162,348
24076,"Trois-Rivières/Trois-Rivières"," 115","Trois-Rivières",2,54,5,8,69,16,47,9,210,464
24076,"Trois-Rivières/Trois-Rivières"," 116","Trois-Rivières",0,54,2,2,60,10,73,3,204,523
24076,"Trois-Rivières/Trois-Rivières"," 117","Trois-Rivières",0,35,7,9,78,10,41,3,183,428
24076,"Trois-Rivières/Trois-Rivières"," 118","Trois-Rivières",2,40,1,3,60,17,55,6,184,460
24076,"Trois-Rivières/Trois-Rivières"," 119","Trois-Rivières",0,23,0,2,29,12,39,3,108,317
24076,"Trois-Rivières/Trois-Rivières"," 120","Trois-Rivières",1,39,3,3,50,17,56,4,173,450
24076,"Trois-Rivières/Trois-Rivières"," 121","Trois-Rivières",2,53,4,2,62,19,55,1,198,552
24076,"Trois-Rivières/Trois-Rivières"," 122","Trois-Rivières",0,45,3,1,32,14,33,2,130,364
24076,"Trois-Rivières/Trois-Rivières"," 123","Trois-Rivières",4,38,0,3,40,15,31,2,133,335
24076,"Trois-Rivières/Trois-Rivières"," 124","Trois-Rivières",1,49,2,3,62,20,45,2,184,445
24076,"Trois-Rivières/Trois-Rivières"," 125","Trois-Rivières",0,57,4,1,89,22,48,2,223,708
24076,"Trois-Rivières/Trois-Rivières"," 126","Trois-Rivières",2,20,0,7,53,6,38,3,129,400
24076,"Trois-Rivières/Trois-Rivières"," 127","Trois-Rivières",3,43,5,5,33,12,24,5,130,450
24076,"Trois-Rivières/Trois-Rivières"," 128","Trois-Rivières",2,40,6,4,41,16,47,6,162,427
24076,"Trois-Rivières/Trois-Rivières"," 129","Trois-Rivières",0,41,1,2,35,7,35,1,122,351
24076,"Trois-Rivières/Trois-Rivières"," 130","Trois-Rivières",4,42,1,5,33,11,35,3,134,418
24076,"Trois-Rivières/Trois-Rivières"," 131","Trois-Rivières",0,27,2,4,29,17,25,2,106,366
24076,"Trois-Rivières/Trois-Rivières"," 132","Trois-Rivières",1,35,4,1,36,26,34,1,138,461
24076,"Trois-Rivières/Trois-Rivières"," 133","Trois-Rivières",2,78,2,3,19,58,66,10,238,420
24076,"Trois-Rivières/Trois-Rivières"," 134","Trois-Rivières",Merged with No./Fusionné avec le n°133,,,,,,,,,332
24076,"Trois-Rivières/Trois-Rivières"," 135","Trois-Rivières",2,29,1,2,21,23,46,2,126,298
24076,"Trois-Rivières/Trois-Rivières"," 136","Trois-Rivières",0,22,4,2,25,23,27,1,104,304
24076,"Trois-Rivières/Trois-Rivières"," 137","Trois-Rivières",2,40,6,7,36,44,58,3,196,409
24076,"Trois-Rivières/Trois-Rivières"," 138","Trois-Rivières",Merged with No./Fusionné avec le n°137,,,,,,,,,320
24076,"Trois-Rivières/Trois-Rivières"," 139","Trois-Rivières",Merged with No./Fusionné avec le n°140A,,,,,,,,,234
24076,"Trois-Rivières/Trois-Rivières"," 140A","Trois-Rivières",2,63,6,4,33,25,55,1,189,265
24076,"Trois-Rivières/Trois-Rivières"," 140B","Trois-Rivières",Merged with No./Fusionné avec le n°401,,,,,,,,,65
24076,"Trois-Rivières/Trois-Rivières"," 141","Trois-Rivières",6,51,2,2,54,54,85,5,259,341
24076,"Trois-Rivières/Trois-Rivières"," 142","Trois-Rivières",Merged with No./Fusionné avec le n°141,,,,,,,,,532
24076,"Trois-Rivières/Trois-Rivières"," 143","Trois-Rivières",2,21,4,1,42,16,25,4,115,390
24076,"Trois-Rivières/Trois-Rivières"," 144","Trois-Rivières",3,36,3,3,24,10,18,7,104,454
24076,"Trois-Rivières/Trois-Rivières"," 145","Trois-Rivières",2,48,4,6,49,8,52,6,175,458
24076,"Trois-Rivières/Trois-Rivières"," 146","Trois-Rivières",1,42,1,7,51,9,44,2,157,449
24076,"Trois-Rivières/Trois-Rivières"," 147","Trois-Rivières",2,34,3,1,40,4,28,2,114,375
24076,"Trois-Rivières/Trois-Rivières"," 148","Trois-Rivières",2,36,4,1,30,21,40,3,137,427
24076,"Trois-Rivières/Trois-Rivières"," 149A","Trois-Rivières",0,22,0,1,22,3,24,2,74,255
24076,"Trois-Rivières/Trois-Rivières"," 149B","Trois-Rivières",Merged with No./Fusionné avec le n°402,,,,,,,,,183
24076,"Trois-Rivières/Trois-Rivières"," 150","Trois-Rivières",0,50,6,2,74,16,39,4,191,429
24076,"Trois-Rivières/Trois-Rivières"," 151","Trois-Rivières",2,48,3,1,78,11,62,3,208,576
24076,"Trois-Rivières/Trois-Rivières"," 152","Trois-Rivières",2,32,3,4,24,20,25,1,111,371
24076,"Trois-Rivières/Trois-Rivières"," 153","Trois-Rivières",2,32,0,1,33,11,31,1,111,327
24076,"Trois-Rivières/Trois-Rivières"," 154","Trois-Rivières",1,27,6,2,35,9,17,4,101,364
24076,"Trois-Rivières/Trois-Rivières"," 155","Trois-Rivières",2,30,2,6,27,19,30,5,121,374
24076,"Trois-Rivières/Trois-Rivières"," 156","Trois-Rivières",3,34,5,6,32,14,42,3,139,346
24076,"Trois-Rivières/Trois-Rivières"," 157","Trois-Rivières",0,22,6,2,23,25,42,2,122,331
24076,"Trois-Rivières/Trois-Rivières"," 158","Trois-Rivières",3,29,2,1,32,22,24,1,114,344
24076,"Trois-Rivières/Trois-Rivières"," 159","Trois-Rivières",0,14,2,2,36,12,20,2,88,316
24076,"Trois-Rivières/Trois-Rivières"," 160","Trois-Rivières",1,39,3,4,23,21,28,2,121,374
24076,"Trois-Rivières/Trois-Rivières"," 161","Trois-Rivières",2,32,3,2,49,16,38,1,143,354
24076,"Trois-Rivières/Trois-Rivières"," 162","Trois-Rivières",3,34,3,1,65,14,47,1,168,411
24076,"Trois-Rivières/Trois-Rivières"," 163","Trois-Rivières",0,29,1,2,49,12,35,2,130,380
24076,"Trois-Rivières/Trois-Rivières"," 164","Trois-Rivières",2,26,4,8,55,10,42,2,149,404
24076,"Trois-Rivières/Trois-Rivières"," 165","Trois-Rivières",Merged with No./Fusionné avec le n°166,,,,,,,,,307
24076,"Trois-Rivières/Trois-Rivières"," 166","Trois-Rivières",2,41,4,6,34,40,50,6,183,326
24076,"Trois-Rivières/Trois-Rivières"," 167","Trois-Rivières",Merged with No./Fusionné avec le n°168,,,,,,,,,350
24076,"Trois-Rivières/Trois-Rivières"," 168","Trois-Rivières",7,43,6,4,33,52,61,2,208,449
24076,"Trois-Rivières/Trois-Rivières"," 169","Trois-Rivières",3,31,5,4,20,14,20,1,98,366
24076,"Trois-Rivières/Trois-Rivières"," 170","Trois-Rivières",1,34,4,3,20,12,28,3,105,400
24076,"Trois-Rivières/Trois-Rivières"," 171","Trois-Rivières",1,29,2,4,29,8,28,2,103,408
24076,"Trois-Rivières/Trois-Rivières"," 172","Trois-Rivières",2,39,1,9,27,20,28,0,126,406
24076,"Trois-Rivières/Trois-Rivières"," 173","Trois-Rivières",7,32,4,6,41,14,35,5,144,377
24076,"Trois-Rivières/Trois-Rivières"," 174","Trois-Rivières",3,26,1,3,23,7,39,1,103,361
24076,"Trois-Rivières/Trois-Rivières"," 175","Trois-Rivières",0,30,1,5,31,24,34,2,127,354
24076,"Trois-Rivières/Trois-Rivières"," 176","Trois-Rivières",1,38,1,1,53,12,35,2,143,317
24076,"Trois-Rivières/Trois-Rivières"," 177","Trois-Rivières",2,27,3,6,30,28,51,1,148,460
24076,"Trois-Rivières/Trois-Rivières"," 178","Trois-Rivières",2,40,0,0,48,9,37,5,141,349
24076,"Trois-Rivières/Trois-Rivières"," 179","Trois-Rivières",1,38,2,0,45,14,54,3,157,392
24076,"Trois-Rivières/Trois-Rivières"," 180","Trois-Rivières",1,33,0,2,28,10,46,2,122,353
24076,"Trois-Rivières/Trois-Rivières"," 181","Trois-Rivières",1,43,1,5,75,10,45,2,182,406
24076,"Trois-Rivières/Trois-Rivières"," 182","Trois-Rivières",0,47,4,2,56,8,42,4,163,404
24076,"Trois-Rivières/Trois-Rivières"," 183","Trois-Rivières",1,52,4,1,48,21,44,7,178,438
24076,"Trois-Rivières/Trois-Rivières"," 184","Trois-Rivières",3,45,1,2,42,14,49,4,160,478
24076,"Trois-Rivières/Trois-Rivières"," 185","Trois-Rivières",1,27,4,3,31,22,29,0,117,347
24076,"Trois-Rivières/Trois-Rivières"," 186","Trois-Rivières",0,43,0,2,43,12,41,1,142,403
24076,"Trois-Rivières/Trois-Rivières"," 187","Trois-Rivières",1,28,4,1,40,16,39,2,131,433
24076,"Trois-Rivières/Trois-Rivières"," 188","Trois-Rivières",2,9,1,3,29,7,18,1,70,361
24076,"Trois-Rivières/Trois-Rivières"," 189","Trois-Rivières",3,19,0,8,20,10,16,0,76,356
24076,"Trois-Rivières/Trois-Rivières"," 190","Trois-Rivières",2,25,0,6,39,12,26,2,112,375
24076,"Trois-Rivières/Trois-Rivières"," 191","Trois-Rivières",1,22,4,2,23,4,17,2,75,312
24076,"Trois-Rivières/Trois-Rivières"," 192","Trois-Rivières",2,40,0,4,29,8,43,2,128,363
24076,"Trois-Rivières/Trois-Rivières"," 193","Trois-Rivières",1,46,3,4,49,15,41,3,162,404
24076,"Trois-Rivières/Trois-Rivières"," 194","Trois-Rivières",2,40,3,4,41,10,41,4,145,369
24076,"Trois-Rivières/Trois-Rivières"," 195","Trois-Rivières",1,21,1,5,37,11,34,3,113,387
24076,"Trois-Rivières/Trois-Rivières"," 196","Trois-Rivières",7,26,1,9,28,15,37,1,124,362
24076,"Trois-Rivières/Trois-Rivières"," 197","Trois-Rivières",2,50,5,3,38,11,53,5,167,573
24076,"Trois-Rivières/Trois-Rivières"," 198","Trois-Rivières",2,38,0,3,47,17,36,2,145,437
24076,"Trois-Rivières/Trois-Rivières"," 199","Trois-Rivières",1,56,1,2,40,18,45,0,163,497
24076,"Trois-Rivières/Trois-Rivières"," 200","Trois-Rivières",0,35,2,5,57,21,32,0,152,422
24076,"Trois-Rivières/Trois-Rivières"," 201","Trois-Rivières",1,36,2,1,47,14,40,2,143,368
24076,"Trois-Rivières/Trois-Rivières"," 202","Trois-Rivières",2,30,0,1,38,19,45,3,138,377
24076,"Trois-Rivières/Trois-Rivières"," 203","Trois-Rivières",1,30,0,4,35,15,35,4,124,362
24076,"Trois-Rivières/Trois-Rivières"," 204","Trois-Rivières",0,43,0,1,63,13,31,4,155,330
24076,"Trois-Rivières/Trois-Rivières"," 205","Trois-Rivières",0,44,2,1,74,11,53,1,186,367
24076,"Trois-Rivières/Trois-Rivières"," 206","Trois-Rivières",5,19,0,6,23,9,36,0,98,324
24076,"Trois-Rivières/Trois-Rivières"," 207","Trois-Rivières",0,28,2,1,42,8,39,1,121,336
24076,"Trois-Rivières/Trois-Rivières"," 208","Trois-Rivières",1,62,2,0,75,19,28,2,189,463
24076,"Trois-Rivières/Trois-Rivières"," 209","Trois-Rivières",0,51,2,3,86,25,72,7,246,678
24076,"Trois-Rivières/Trois-Rivières"," 210","Trois-Rivières",2,52,2,4,46,18,37,1,162,559
24076,"Trois-Rivières/Trois-Rivières"," 211","Trois-Rivières",2,85,4,2,100,19,76,3,291,790
24076,"Trois-Rivières/Trois-Rivières"," 212","Trois-Rivières",Merged with No./Fusionné avec le n°215,,,,,,,,,276
24076,"Trois-Rivières/Trois-Rivières"," 213","Trois-Rivières",4,50,1,6,81,21,45,3,211,622
24076,"Trois-Rivières/Trois-Rivières"," 214","Trois-Rivières",0,38,1,0,45,12,45,4,145,428
24076,"Trois-Rivières/Trois-Rivières"," 215","Trois-Rivières",2,48,3,11,77,20,44,1,206,321
24076,"Trois-Rivières/Trois-Rivières"," 216","Trois-Rivières",0,42,1,4,40,12,26,1,126,338
24076,"Trois-Rivières/Trois-Rivières"," 217","Trois-Rivières",3,30,6,1,41,13,44,2,140,334
24076,"Trois-Rivières/Trois-Rivières"," 218","Trois-Rivières",0,33,2,7,46,12,44,5,149,339
24076,"Trois-Rivières/Trois-Rivières"," 219","Trois-Rivières",1,42,3,2,53,7,37,5,150,373
24076,"Trois-Rivières/Trois-Rivières"," 220","Trois-Rivières",4,29,3,2,69,21,41,2,171,471
24076,"Trois-Rivières/Trois-Rivières"," 221","Trois-Rivières",2,25,1,7,38,20,41,5,139,426
24076,"Trois-Rivières/Trois-Rivières"," 400","Trois-Rivières",1,60,0,0,24,4,38,4,131,174
24076,"Trois-Rivières/Trois-Rivières"," 401","Trois-Rivières",3,165,0,0,85,5,86,9,353,434
24076,"Trois-Rivières/Trois-Rivières"," 402","Trois-Rivières",3,137,2,5,62,1,45,10,265,196
24076,"Trois-Rivières/Trois-Rivières"," 403","Trois-Rivières",3,76,2,2,46,0,15,2,146,173
24076,"Trois-Rivières/Trois-Rivières"," 500","Mobile poll/Bureau itinérant",1,32,0,2,13,3,14,2,67,73
24076,"Trois-Rivières/Trois-Rivières"," 501","Mobile poll/Bureau itinérant",6,32,3,1,11,0,13,1,67,93
24076,"Trois-Rivières/Trois-Rivières"," 502","Mobile poll/Bureau itinérant",1,21,0,0,6,0,1,2,31,54
24076,"Trois-Rivières/Trois-Rivières"," 503","Mobile poll/Bureau itinérant",5,96,4,3,43,0,26,7,184,245
24076,"Trois-Rivières/Trois-Rivières"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°57,,,,,,,,,17
24076,"Trois-Rivières/Trois-Rivières"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24076,"Trois-Rivières/Trois-Rivières"," 506","Mobile poll/Bureau itinérant",2,33,1,1,11,2,5,1,56,93
24076,"Trois-Rivières/Trois-Rivières"," 507","Mobile poll/Bureau itinérant",1,54,0,0,12,0,15,2,84,131
24076,"Trois-Rivières/Trois-Rivières"," 508","Mobile poll/Bureau itinérant",4,18,1,1,16,0,6,6,52,79
24076,"Trois-Rivières/Trois-Rivières"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°55,,,,,,,,,12
24076,"Trois-Rivières/Trois-Rivières"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°44,,,,,,,,,36
24076,"Trois-Rivières/Trois-Rivières"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°42,,,,,,,,,148
24076,"Trois-Rivières/Trois-Rivières"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°44,,,,,,,,,35
