Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Anna Girouard,Evelyne Godfrey,Dominic LeBlanc,Jack Minor,Shelly Mitchell,Isabelle Sauriol Chiasson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 49","Murray Corner",4,17,52,5,39,0,2,119,235
13002,"Beauséjour/Beauséjour"," 50","Cap-Pele",5,13,65,10,11,2,2,108,390
13002,"Beauséjour/Beauséjour"," 51","Cap Pelé",5,8,50,11,11,3,0,88,328
13002,"Beauséjour/Beauséjour"," 52","Trois-Ruisseaux",6,12,68,17,12,1,1,117,437
13002,"Beauséjour/Beauséjour"," 53","Cap-Pelé",8,9,71,10,11,0,1,110,344
13002,"Beauséjour/Beauséjour"," 54","Cap-Pelé",5,4,41,10,4,0,0,64,220
13002,"Beauséjour/Beauséjour"," 55","Cap-Pelé",8,7,43,10,11,4,0,83,321
13002,"Beauséjour/Beauséjour"," 56","Dupuis Corner",5,6,53,3,24,0,1,92,267
13002,"Beauséjour/Beauséjour"," 57","Sainte-Marie-de-Kent",3,7,48,22,17,0,1,98,322
13002,"Beauséjour/Beauséjour"," 58","Sainte-Marie-de-Kent",10,6,63,12,18,0,1,110,362
13002,"Beauséjour/Beauséjour"," 59","Saint-Cyrille",13,9,39,16,18,1,1,97,348
13002,"Beauséjour/Beauséjour"," 60","Sainte-Marie-de-Kent",6,17,65,15,19,0,0,122,330
13002,"Beauséjour/Beauséjour"," 61","Cap-de-Cocagne",9,18,84,20,26,1,0,158,504
13002,"Beauséjour/Beauséjour"," 62","Cap-des-Caissie",4,15,87,11,21,1,0,139,465
13002,"Beauséjour/Beauséjour"," 63","Grande-Digue",6,7,75,5,18,0,0,111,428
13002,"Beauséjour/Beauséjour"," 64","Grande-Digue",9,12,102,18,29,1,3,174,479
13002,"Beauséjour/Beauséjour"," 65","Grande-Digue",7,13,36,6,24,2,1,89,286
13002,"Beauséjour/Beauséjour"," 66","Shediac Bridge",2,9,47,7,23,1,1,90,250
13002,"Beauséjour/Beauséjour"," 67","Shediac Bridge",4,5,55,3,11,0,1,79,306
13002,"Beauséjour/Beauséjour"," 68","Saint-Antoine",9,14,62,19,26,3,1,134,452
13002,"Beauséjour/Beauséjour"," 69","Saint-Antoine",8,18,66,13,33,1,1,140,425
13002,"Beauséjour/Beauséjour"," 70","Saint-Antoine",11,18,58,14,23,0,1,125,404
13002,"Beauséjour/Beauséjour"," 71","Saint-Antoine",5,10,36,10,13,1,0,75,321
13002,"Beauséjour/Beauséjour"," 72","Haut-St-Antoine",4,19,57,21,20,0,2,123,305
13002,"Beauséjour/Beauséjour"," 73","Grand-Barachois",8,14,77,11,21,0,2,133,470
13002,"Beauséjour/Beauséjour"," 74","Grand-Barachois",4,10,68,6,26,0,0,114,497
13002,"Beauséjour/Beauséjour"," 75","Grand-Barachois",8,10,79,9,18,0,0,124,389
13002,"Beauséjour/Beauséjour"," 76","Grand-Barachois",3,14,56,7,25,0,0,105,334
13002,"Beauséjour/Beauséjour"," 77","Grand-Barachois",9,11,65,5,34,3,1,128,437
13002,"Beauséjour/Beauséjour"," 78","Trois-Ruisseaux",5,17,87,26,23,5,0,163,459
13002,"Beauséjour/Beauséjour"," 79","Shemogue",11,18,69,21,37,3,1,160,319
13002,"Beauséjour/Beauséjour"," 80","Saint-André-de-Shédiac--LeBlanc",17,14,52,10,7,1,0,101,244
13002,"Beauséjour/Beauséjour"," 81","Saint-André-de-Shédiac--LeBlanc",8,11,69,15,17,2,0,122,230
13002,"Beauséjour/Beauséjour"," 82","Woodside",4,12,28,7,29,0,1,81,316
13002,"Beauséjour/Beauséjour"," 83","Bayside",7,18,30,8,33,0,1,97,292
13002,"Beauséjour/Beauséjour"," 84","Notre-Dame",9,19,68,27,44,4,2,173,422
13002,"Beauséjour/Beauséjour"," 85","Notre-Dame",14,38,68,21,20,3,2,166,405
13002,"Beauséjour/Beauséjour"," 86","Notre-Dame",11,33,88,31,18,2,0,183,448
13002,"Beauséjour/Beauséjour"," 87","Shediac River",8,15,76,11,14,1,0,125,350
13002,"Beauséjour/Beauséjour"," 88","Shediac River",7,15,79,11,37,1,3,153,350
13002,"Beauséjour/Beauséjour"," 89","Gallant Settlement",8,11,56,6,8,0,0,89,291
13002,"Beauséjour/Beauséjour"," 90","Cormier-Village",13,10,47,4,6,1,0,81,232
13002,"Beauséjour/Beauséjour"," 91","Boudreau West",4,15,81,11,27,0,0,138,361
13002,"Beauséjour/Beauséjour"," 92","Pointe-du-Chêne",5,32,117,6,32,1,0,193,428
13002,"Beauséjour/Beauséjour"," 93","Shediac",4,14,71,10,29,1,0,129,496
13002,"Beauséjour/Beauséjour"," 94","Boudreau West",13,14,64,20,25,1,0,137,464
13002,"Beauséjour/Beauséjour"," 95","Shediac",10,14,81,7,45,1,2,160,532
13002,"Beauséjour/Beauséjour"," 96","Shediac",5,12,58,10,10,0,0,95,370
13002,"Beauséjour/Beauséjour"," 97","Shediac",4,13,50,14,13,0,1,95,395
13002,"Beauséjour/Beauséjour"," 98","Shediac",4,16,62,4,30,1,0,117,408
13002,"Beauséjour/Beauséjour"," 99","Shediac",7,22,126,20,37,1,1,214,824
13002,"Beauséjour/Beauséjour"," 100","Shediac",4,13,50,9,13,0,0,89,332
13002,"Beauséjour/Beauséjour"," 101","Shediac",7,18,96,10,17,1,0,149,525
13002,"Beauséjour/Beauséjour"," 102","Shediac",8,19,100,10,50,1,0,188,574
13002,"Beauséjour/Beauséjour"," 103","Shediac",11,16,95,4,18,0,0,144,374
13002,"Beauséjour/Beauséjour"," 104","Shediac",2,12,83,6,17,0,0,120,414
13002,"Beauséjour/Beauséjour"," 105","Shediac Cape",7,20,62,18,54,0,0,161,348
13002,"Beauséjour/Beauséjour"," 106","Chapman Corner",4,15,33,5,15,2,0,74,299
13002,"Beauséjour/Beauséjour"," 107","Shediac",8,15,92,21,25,2,1,164,419
13002,"Beauséjour/Beauséjour"," 108","Batemans Mills",8,23,68,26,43,2,0,170,350
13002,"Beauséjour/Beauséjour"," 109","Saint-Philippe",7,28,62,13,32,1,0,143,319
13002,"Beauséjour/Beauséjour"," 110","Saint-Philippe",5,23,36,11,20,0,0,95,234
13002,"Beauséjour/Beauséjour"," 111","Saint-Paul",3,28,70,38,43,2,2,186,381
13002,"Beauséjour/Beauséjour"," 112","Saint-Paul",6,23,87,20,43,3,0,182,365
13002,"Beauséjour/Beauséjour"," 113","Haute-Aboujagane",14,18,130,19,31,4,3,219,430
13002,"Beauséjour/Beauséjour"," 114","Basse-Aboujagane",15,16,93,12,29,2,1,168,441
13002,"Beauséjour/Beauséjour"," 115","Baie-Verte",11,24,49,9,52,1,3,149,312
13002,"Beauséjour/Beauséjour"," 116","Dundas",3,22,34,15,45,2,0,121,384
13002,"Beauséjour/Beauséjour"," 117","LeBlancville",7,21,41,23,34,0,0,126,365
13002,"Beauséjour/Beauséjour"," 118","LeBlancville",11,28,41,16,29,0,1,126,357
13002,"Beauséjour/Beauséjour"," 119","Irishtown",20,15,94,10,44,1,1,185,451
13002,"Beauséjour/Beauséjour"," 120","Irishtown--Cape Breton",11,40,61,9,63,2,1,187,446
13002,"Beauséjour/Beauséjour"," 121","Shaw Brook",7,14,39,15,37,1,0,113,371
13002,"Beauséjour/Beauséjour"," 122","Ammon",2,12,43,10,51,3,1,122,313
13002,"Beauséjour/Beauséjour"," 123","Ammon",4,16,42,21,63,0,0,146,397
13002,"Beauséjour/Beauséjour"," 124","Scoudouc",8,12,80,10,30,0,0,140,300
13002,"Beauséjour/Beauséjour"," 125","Scoudouc",18,17,114,19,35,2,0,205,441
13002,"Beauséjour/Beauséjour"," 126","Malakoff",13,21,121,29,41,3,0,228,443
13002,"Beauséjour/Beauséjour"," 127","Moncton Road",2,13,20,11,11,0,1,58,235
13002,"Beauséjour/Beauséjour"," 128","Lakeville",2,15,17,7,19,1,0,61,240
13002,"Beauséjour/Beauséjour"," 129","Lakeville",4,26,35,13,24,1,0,103,354
13002,"Beauséjour/Beauséjour"," 130","Lakeville",1,17,17,9,19,3,1,67,290
13002,"Beauséjour/Beauséjour"," 131","Lakeville",6,20,33,12,34,2,1,108,365
13002,"Beauséjour/Beauséjour"," 132","Midgic",12,39,55,18,53,1,2,180,377
13002,"Beauséjour/Beauséjour"," 133","New Scotland",7,31,32,35,53,2,1,161,363
13002,"Beauséjour/Beauséjour"," 134","Indian Mountain",16,38,67,32,105,0,2,260,476
13002,"Beauséjour/Beauséjour"," 135","Dieppe",Merged with No./Fusionné avec le n°136,,,,,,,,477
13002,"Beauséjour/Beauséjour"," 136","Dieppe",7,47,115,24,50,3,2,248,642
13002,"Beauséjour/Beauséjour"," 137","Dieppe",8,50,121,11,37,2,1,230,543
13002,"Beauséjour/Beauséjour"," 138","Dieppe",7,48,134,10,35,0,3,237,599
13002,"Beauséjour/Beauséjour"," 139","Dieppe",10,38,144,14,41,2,1,250,615
13002,"Beauséjour/Beauséjour"," 140","Dieppe",7,40,171,22,39,1,1,281,493
13002,"Beauséjour/Beauséjour"," 141","Dieppe",Merged with No./Fusionné avec le n°139,,,,,,,,448
13002,"Beauséjour/Beauséjour"," 142","Dieppe",Merged with No./Fusionné avec le n°140,,,,,,,,474
13002,"Beauséjour/Beauséjour"," 143","Dieppe",Merged with No./Fusionné avec le n°137,,,,,,,,415
13002,"Beauséjour/Beauséjour"," 144","Dieppe",Merged with No./Fusionné avec le n°138,,,,,,,,417
13002,"Beauséjour/Beauséjour"," 145","Dieppe",4,16,93,3,24,0,1,141,696
13002,"Beauséjour/Beauséjour"," 146","Dieppe",Merged with No./Fusionné avec le n°147,,,,,,,,488
13002,"Beauséjour/Beauséjour"," 147","Dieppe",8,32,137,17,62,1,2,259,562
13002,"Beauséjour/Beauséjour"," 148","Dieppe",12,40,176,18,35,1,1,283,575
13002,"Beauséjour/Beauséjour"," 149","Dieppe",Merged with No./Fusionné avec le n°148,,,,,,,,557
13002,"Beauséjour/Beauséjour"," 150","Dieppe",Merged with No./Fusionné avec le n°151,,,,,,,,514
13002,"Beauséjour/Beauséjour"," 151","Dieppe",10,27,176,10,36,1,0,260,523
13002,"Beauséjour/Beauséjour"," 152","Dieppe",8,28,92,20,29,1,0,178,677
13002,"Beauséjour/Beauséjour"," 153","Painsec",Merged with No./Fusionné avec le n°154,,,,,,,,446
13002,"Beauséjour/Beauséjour"," 154","Dieppe",8,32,149,11,56,1,1,258,545
13002,"Beauséjour/Beauséjour"," 155","Dieppe",Merged with No./Fusionné avec le n°156,,,,,,,,511
13002,"Beauséjour/Beauséjour"," 156","Dieppe",8,27,125,13,25,4,1,203,555
13002,"Beauséjour/Beauséjour"," 157","Dieppe",Merged with No./Fusionné avec le n°158,,,,,,,,511
13002,"Beauséjour/Beauséjour"," 158","Dieppe",12,41,127,18,53,3,3,257,532
13002,"Beauséjour/Beauséjour"," 159","Memramcook West",5,13,62,4,13,0,1,98,311
13002,"Beauséjour/Beauséjour"," 160","Memramcook",11,9,51,16,11,1,1,100,325
13002,"Beauséjour/Beauséjour"," 161","Memramcook East",6,3,46,8,9,1,0,73,246
13002,"Beauséjour/Beauséjour"," 162","College Bridge",5,20,42,10,7,1,0,85,258
13002,"Beauséjour/Beauséjour"," 163","Point de Bute",9,19,19,15,31,0,4,97,164
13002,"Beauséjour/Beauséjour"," 164","Point de Bute",4,36,48,12,56,1,3,160,287
13002,"Beauséjour/Beauséjour"," 165","Sackville",13,26,38,9,30,0,2,118,447
13002,"Beauséjour/Beauséjour"," 166","Sackville",20,27,45,7,41,0,0,140,393
13002,"Beauséjour/Beauséjour"," 167","Memramcook West",2,7,58,16,11,1,0,95,369
13002,"Beauséjour/Beauséjour"," 168","La Hêtrière",5,6,69,9,19,1,1,110,346
13002,"Beauséjour/Beauséjour"," 169","College Bridge",3,10,57,11,12,2,0,95,308
13002,"Beauséjour/Beauséjour"," 170","McGinleys Corner",5,9,50,5,15,0,0,84,323
13002,"Beauséjour/Beauséjour"," 171","McGinleys Corner",5,14,60,7,17,1,0,104,332
13002,"Beauséjour/Beauséjour"," 172","Memramcook",10,4,73,9,16,2,0,114,388
13002,"Beauséjour/Beauséjour"," 173","Cormier Cove",5,11,39,10,13,1,0,79,279
13002,"Beauséjour/Beauséjour"," 174","Sackville",8,40,43,6,35,0,0,132,399
13002,"Beauséjour/Beauséjour"," 175","Sackville",8,35,49,7,38,0,1,138,348
13002,"Beauséjour/Beauséjour"," 176","Sackville",12,63,63,13,48,2,0,201,559
13002,"Beauséjour/Beauséjour"," 177","Sackville",20,101,73,12,31,0,2,239,607
13002,"Beauséjour/Beauséjour"," 178","Sackville",8,108,56,5,32,0,0,209,523
13002,"Beauséjour/Beauséjour"," 179","Sackville",10,53,48,13,29,0,2,155,477
13002,"Beauséjour/Beauséjour"," 180","Sackville",14,48,47,8,33,0,0,150,493
13002,"Beauséjour/Beauséjour"," 181","Sackville",7,31,36,18,38,0,1,131,454
13002,"Beauséjour/Beauséjour"," 182","Sackville",7,48,41,4,31,0,0,131,399
13002,"Beauséjour/Beauséjour"," 183","Pré-d'en-Haut",16,16,102,20,27,1,2,184,429
13002,"Beauséjour/Beauséjour"," 184","Pré-d'en-Haut",2,11,103,12,11,2,1,142,325
13002,"Beauséjour/Beauséjour"," 185","Upper Dorchester",6,40,49,26,44,0,0,165,332
13002,"Beauséjour/Beauséjour"," 186","Dorchester",9,41,58,27,55,5,0,195,368
13002,"Beauséjour/Beauséjour"," 187","British Settlement",7,25,33,13,58,2,0,138,273
13002,"Beauséjour/Beauséjour"," 188","British Settlement",10,19,34,9,56,0,0,128,270
13002,"Beauséjour/Beauséjour"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°7,,,,,,,,61
13002,"Beauséjour/Beauséjour"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°5,,,,,,,,18
13002,"Beauséjour/Beauséjour"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°7,,,,,,,,59
13002,"Beauséjour/Beauséjour"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°16,,,,,,,,22
13002,"Beauséjour/Beauséjour"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°17,,,,,,,,23
13002,"Beauséjour/Beauséjour"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°26,,,,,,,,1
13002,"Beauséjour/Beauséjour"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°29,,,,,,,,49
13002,"Beauséjour/Beauséjour"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°31,,,,,,,,20
13002,"Beauséjour/Beauséjour"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°29,,,,,,,,16
13002,"Beauséjour/Beauséjour"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°30,,,,,,,,33
13002,"Beauséjour/Beauséjour"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°31,,,,,,,,28
13002,"Beauséjour/Beauséjour"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°30,,,,,,,,1
13002,"Beauséjour/Beauséjour"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°30,,,,,,,,22
13002,"Beauséjour/Beauséjour"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°57,,,,,,,,13
13002,"Beauséjour/Beauséjour"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°71,,,,,,,,17
13002,"Beauséjour/Beauséjour"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°71,,,,,,,,57
13002,"Beauséjour/Beauséjour"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°45,,,,,,,,21
13002,"Beauséjour/Beauséjour"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°65,,,,,,,,20
13002,"Beauséjour/Beauséjour"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°103,,,,,,,,25
13002,"Beauséjour/Beauséjour"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°103,,,,,,,,154
13002,"Beauséjour/Beauséjour"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°96,,,,,,,,139
13002,"Beauséjour/Beauséjour"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°96,,,,,,,,37
13002,"Beauséjour/Beauséjour"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°54,,,,,,,,73
13002,"Beauséjour/Beauséjour"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°50,,,,,,,,1
13002,"Beauséjour/Beauséjour"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°79,,,,,,,,14
13002,"Beauséjour/Beauséjour"," 525","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°82,,,,,,,,27
13002,"Beauséjour/Beauséjour"," 526","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°82,,,,,,,,10
13002,"Beauséjour/Beauséjour"," 527","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°177,,,,,,,,140
13002,"Beauséjour/Beauséjour"," 528","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°180,,,,,,,,14
13002,"Beauséjour/Beauséjour"," 529","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°173,,,,,,,,29
13002,"Beauséjour/Beauséjour"," 530","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°173,,,,,,,,20
13002,"Beauséjour/Beauséjour"," 531","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°158,,,,,,,,58
13002,"Beauséjour/Beauséjour"," 532","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°148,,,,,,,,113
13002,"Beauséjour/Beauséjour"," 600","Saint-Louis",101,54,555,59,107,11,8,895,
13002,"Beauséjour/Beauséjour"," 601","Richibucto",65,42,422,30,84,4,3,650,
13002,"Beauséjour/Beauséjour"," 602","Rexton",52,64,390,46,166,3,4,725,
13002,"Beauséjour/Beauséjour"," 603","Bouctouche",35,37,476,65,92,6,2,713,
13002,"Beauséjour/Beauséjour"," 604","Bouctouche",45,51,576,58,166,4,0,900,
13002,"Beauséjour/Beauséjour"," 605","Cocagne-Nord",39,51,586,51,140,8,9,884,
13002,"Beauséjour/Beauséjour"," 606","Grande-Digue",59,66,710,54,183,6,5,1083,
13002,"Beauséjour/Beauséjour"," 607","Shediac",53,81,677,48,252,10,6,1127,
13002,"Beauséjour/Beauséjour"," 608","Shediac",61,131,1150,66,280,13,15,1716,
13002,"Beauséjour/Beauséjour"," 609","Robichaud",63,102,845,65,205,9,7,1296,
13002,"Beauséjour/Beauséjour"," 610","Cap-Pele",87,70,875,77,171,7,0,1287,
13002,"Beauséjour/Beauséjour"," 611","Cape Tormentine",23,24,120,21,137,1,1,327,
13002,"Beauséjour/Beauséjour"," 612","Sackville",68,167,442,36,295,5,1,1014,
13002,"Beauséjour/Beauséjour"," 613","Sackville",45,93,226,28,136,0,3,531,
13002,"Beauséjour/Beauséjour"," 614","Memramcook",46,42,478,30,109,8,0,713,
13002,"Beauséjour/Beauséjour"," 615","Memramcook",38,45,684,50,109,10,1,937,
13002,"Beauséjour/Beauséjour"," 616","Dieppe",58,151,804,59,186,4,3,1265,
13002,"Beauséjour/Beauséjour"," 617","Dieppe",41,126,1086,36,233,10,0,1532,
13002,"Beauséjour/Beauséjour"," 618","Dieppe",43,150,987,50,189,12,5,1436,
13002,"Beauséjour/Beauséjour"," 619","Lakeville",33,88,268,84,211,2,5,691,
13002,"Beauséjour/Beauséjour"," 620","Irishtown",48,117,486,93,512,5,2,1263,
13002,"Beauséjour/Beauséjour"," 621","Saint-Antoine",60,82,644,91,221,2,3,1103,
13002,"Beauséjour/Beauséjour"," 622","Saint Mary",44,47,451,51,146,5,5,749,
13002,"Beauséjour/Beauséjour",,Group 1/Groupe 1, 19,53,180,14,79,1,19,365,72
13002,"Beauséjour/Beauséjour",,Group 2/Groupe 2, 96,138,1557,65,367,16,55,2294,
