Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Theodora Bajkin,Marie-Eve Damour,Rhéal Fortin,Patricia Morrissette,Mary-Helen Paspaliaris,Keeyan Ravanshid,Jean-François René,Nicolas Riqueur-Lainé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-du-Nord/Rivière-du-Nord"," 65","Sainte-Sophie",25,4,84,19,18,7,1,1,11,170,463
24063,"Rivière-du-Nord/Rivière-du-Nord"," 66","Sainte-Sophie",16,2,76,25,13,4,3,1,3,143,326
24063,"Rivière-du-Nord/Rivière-du-Nord"," 67","Sainte-Sophie",22,1,65,25,11,5,0,0,2,131,321
24063,"Rivière-du-Nord/Rivière-du-Nord"," 68","Sainte-Sophie",20,1,55,17,5,5,2,0,6,111,359
24063,"Rivière-du-Nord/Rivière-du-Nord"," 69","Sainte-Sophie",8,1,44,8,4,5,2,2,3,77,306
24063,"Rivière-du-Nord/Rivière-du-Nord"," 70","Sainte-Sophie",25,1,55,20,7,10,2,2,4,126,338
24063,"Rivière-du-Nord/Rivière-du-Nord"," 71","Sainte-Sophie",14,2,71,18,11,7,0,1,4,128,410
24063,"Rivière-du-Nord/Rivière-du-Nord"," 72","Sainte-Sophie",21,1,85,9,17,10,1,1,1,146,395
24063,"Rivière-du-Nord/Rivière-du-Nord"," 73","Prévost",50,2,130,20,30,10,0,2,1,245,576
24063,"Rivière-du-Nord/Rivière-du-Nord"," 74","Prévost",49,2,115,15,24,8,1,0,5,219,455
24063,"Rivière-du-Nord/Rivière-du-Nord"," 75","Prévost",33,1,75,22,12,3,2,1,0,149,453
24063,"Rivière-du-Nord/Rivière-du-Nord"," 76","Prévost",28,7,91,20,5,11,1,1,7,171,464
24063,"Rivière-du-Nord/Rivière-du-Nord"," 77","Prévost",31,0,81,24,8,14,0,2,7,167,399
24063,"Rivière-du-Nord/Rivière-du-Nord"," 78","Prévost",36,2,60,29,9,5,0,1,1,143,422
24063,"Rivière-du-Nord/Rivière-du-Nord"," 79","Saint-Jérôme",33,1,67,13,6,4,2,0,2,128,407
24063,"Rivière-du-Nord/Rivière-du-Nord"," 80","Saint-Jérôme",27,3,61,18,14,3,1,1,5,133,371
24063,"Rivière-du-Nord/Rivière-du-Nord"," 81","Saint-Jérôme",45,6,94,22,34,14,1,2,4,222,364
24063,"Rivière-du-Nord/Rivière-du-Nord"," 82","Saint-Jérôme",25,4,109,18,19,3,0,2,4,184,254
24063,"Rivière-du-Nord/Rivière-du-Nord"," 83","Saint-Jérôme",32,4,56,15,21,10,0,1,1,140,554
24063,"Rivière-du-Nord/Rivière-du-Nord"," 84","Saint-Jérôme",45,3,91,14,12,7,0,0,2,174,525
24063,"Rivière-du-Nord/Rivière-du-Nord"," 85","Saint-Jérôme",19,1,37,11,13,7,1,0,2,91,384
24063,"Rivière-du-Nord/Rivière-du-Nord"," 86","Saint-Jérôme",42,1,47,18,11,3,1,0,2,125,417
24063,"Rivière-du-Nord/Rivière-du-Nord"," 87","Saint-Jérôme",Merged with No./Fusionné avec le n°82,,,,,,,,,,306
24063,"Rivière-du-Nord/Rivière-du-Nord"," 88","Saint-Jérôme",22,3,63,19,25,8,1,3,2,146,436
24063,"Rivière-du-Nord/Rivière-du-Nord"," 89","Saint-Jérôme",Merged with No./Fusionné avec le n°81,,,,,,,,,,368
24063,"Rivière-du-Nord/Rivière-du-Nord"," 90","Saint-Jérôme",70,6,135,37,43,19,5,2,11,328,946
24063,"Rivière-du-Nord/Rivière-du-Nord"," 91","Saint-Jérôme",30,6,68,12,13,5,1,0,6,141,438
24063,"Rivière-du-Nord/Rivière-du-Nord"," 92","Saint-Jérôme",78,3,80,36,14,5,0,0,0,216,625
24063,"Rivière-du-Nord/Rivière-du-Nord"," 93","Saint-Jérôme",19,4,45,9,9,5,0,1,1,93,466
24063,"Rivière-du-Nord/Rivière-du-Nord"," 94","Saint-Jérôme",31,1,72,25,10,12,0,0,4,155,404
24063,"Rivière-du-Nord/Rivière-du-Nord"," 95","Saint-Jérôme",49,2,68,10,13,13,2,0,1,158,381
24063,"Rivière-du-Nord/Rivière-du-Nord"," 96","Saint-Jérôme",40,4,83,21,10,13,2,0,9,182,451
24063,"Rivière-du-Nord/Rivière-du-Nord"," 97","Saint-Jérôme",43,4,117,25,25,6,1,0,2,223,541
24063,"Rivière-du-Nord/Rivière-du-Nord"," 98","Saint-Jérôme",41,3,69,19,21,6,0,0,7,166,467
24063,"Rivière-du-Nord/Rivière-du-Nord"," 99","Saint-Jérôme",32,1,58,15,18,2,1,0,0,127,325
24063,"Rivière-du-Nord/Rivière-du-Nord"," 100","Saint-Jérôme",35,11,119,13,19,12,2,3,4,218,515
24063,"Rivière-du-Nord/Rivière-du-Nord"," 101","Saint-Jérôme",50,5,137,24,26,9,3,0,7,261,613
24063,"Rivière-du-Nord/Rivière-du-Nord"," 102","Saint-Jérôme",31,3,74,16,14,9,1,0,5,153,367
24063,"Rivière-du-Nord/Rivière-du-Nord"," 103","Saint-Jérôme",Merged with No./Fusionné avec le n°102,,,,,,,,,,373
24063,"Rivière-du-Nord/Rivière-du-Nord"," 104","Saint-Jérôme",23,5,46,10,9,2,0,1,5,101,469
24063,"Rivière-du-Nord/Rivière-du-Nord"," 105","Saint-Jérôme",40,6,77,17,15,6,1,0,7,169,300
24063,"Rivière-du-Nord/Rivière-du-Nord"," 106","Saint-Jérôme",27,4,25,7,5,4,2,1,5,80,413
24063,"Rivière-du-Nord/Rivière-du-Nord"," 107","Saint-Jérôme",27,4,44,11,8,6,1,2,0,103,369
24063,"Rivière-du-Nord/Rivière-du-Nord"," 108","Saint-Jérôme",Merged with No./Fusionné avec le n°105,,,,,,,,,,351
24063,"Rivière-du-Nord/Rivière-du-Nord"," 109","Saint-Jérôme",37,5,66,12,17,8,0,0,1,146,428
24063,"Rivière-du-Nord/Rivière-du-Nord"," 110","Saint-Jérôme",21,6,66,16,4,1,2,0,4,120,338
24063,"Rivière-du-Nord/Rivière-du-Nord"," 111","Saint-Jérôme",23,4,52,15,5,6,0,2,4,111,396
24063,"Rivière-du-Nord/Rivière-du-Nord"," 112","Saint-Jérôme",26,1,45,4,5,2,0,0,5,88,332
24063,"Rivière-du-Nord/Rivière-du-Nord"," 113","Saint-Jérôme",46,5,47,9,6,3,3,1,6,126,382
24063,"Rivière-du-Nord/Rivière-du-Nord"," 114","Saint-Jérôme",18,2,47,14,11,5,2,0,3,102,352
24063,"Rivière-du-Nord/Rivière-du-Nord"," 115","Saint-Jérôme",61,8,107,26,21,9,1,3,7,243,530
24063,"Rivière-du-Nord/Rivière-du-Nord"," 116","Saint-Jérôme",55,1,91,13,5,6,0,0,4,175,451
24063,"Rivière-du-Nord/Rivière-du-Nord"," 117","Saint-Jérôme",14,0,77,14,15,13,1,1,6,141,348
24063,"Rivière-du-Nord/Rivière-du-Nord"," 118","Saint-Jérôme",35,1,72,16,13,2,0,1,3,143,367
24063,"Rivière-du-Nord/Rivière-du-Nord"," 119","Saint-Jérôme",74,6,142,39,29,11,2,1,10,314,732
24063,"Rivière-du-Nord/Rivière-du-Nord"," 120","Saint-Jérôme",59,4,104,25,22,8,2,1,1,226,640
24063,"Rivière-du-Nord/Rivière-du-Nord"," 121","Saint-Jérôme",74,8,114,29,27,10,1,0,6,269,604
24063,"Rivière-du-Nord/Rivière-du-Nord"," 122","Saint-Jérôme",35,6,63,18,10,3,0,0,3,138,376
24063,"Rivière-du-Nord/Rivière-du-Nord"," 123","Saint-Jérôme",22,5,73,14,12,2,1,0,4,133,441
24063,"Rivière-du-Nord/Rivière-du-Nord"," 124","Saint-Jérôme",83,9,74,13,3,5,0,4,7,198,305
24063,"Rivière-du-Nord/Rivière-du-Nord"," 125","Saint-Jérôme",26,2,51,10,12,5,0,3,6,115,372
24063,"Rivière-du-Nord/Rivière-du-Nord"," 126","Saint-Jérôme",45,1,51,7,11,6,1,0,1,123,400
24063,"Rivière-du-Nord/Rivière-du-Nord"," 127","Saint-Jérôme",56,4,59,15,18,10,1,0,6,169,518
24063,"Rivière-du-Nord/Rivière-du-Nord"," 128","Saint-Jérôme",32,2,68,10,15,2,0,1,0,130,311
24063,"Rivière-du-Nord/Rivière-du-Nord"," 129","Saint-Jérôme",34,3,63,2,8,7,1,0,1,119,417
24063,"Rivière-du-Nord/Rivière-du-Nord"," 130","Saint-Jérôme",32,1,42,9,13,3,2,1,4,107,391
24063,"Rivière-du-Nord/Rivière-du-Nord"," 131","Saint-Jérôme",44,2,140,39,26,8,4,1,4,268,621
24063,"Rivière-du-Nord/Rivière-du-Nord"," 132","Saint-Jérôme",34,1,55,6,9,1,0,1,2,109,363
24063,"Rivière-du-Nord/Rivière-du-Nord"," 133","Saint-Jérôme",18,0,40,6,4,4,3,2,5,82,356
24063,"Rivière-du-Nord/Rivière-du-Nord"," 134A","Saint-Jérôme",43,4,103,27,37,11,1,2,5,233,692
24063,"Rivière-du-Nord/Rivière-du-Nord"," 134B","Saint-Jérôme",48,3,57,21,0,0,1,0,2,132,172
24063,"Rivière-du-Nord/Rivière-du-Nord"," 134C","Saint-Jérôme",62,5,83,18,3,2,0,1,7,181,264
24063,"Rivière-du-Nord/Rivière-du-Nord"," 135","Saint-Jérôme",14,2,24,7,5,7,0,0,5,64,378
24063,"Rivière-du-Nord/Rivière-du-Nord"," 136","Saint-Jérôme",27,4,84,19,11,5,0,2,6,158,537
24063,"Rivière-du-Nord/Rivière-du-Nord"," 137","Saint-Jérôme",28,3,64,10,7,1,0,0,2,115,346
24063,"Rivière-du-Nord/Rivière-du-Nord"," 138","Saint-Jérôme",66,4,128,31,20,8,5,2,12,276,381
24063,"Rivière-du-Nord/Rivière-du-Nord"," 139","Saint-Jérôme",31,6,39,17,25,16,2,1,4,141,582
24063,"Rivière-du-Nord/Rivière-du-Nord"," 140","Saint-Jérôme",Merged with No./Fusionné avec le n°138,,,,,,,,,,394
24063,"Rivière-du-Nord/Rivière-du-Nord"," 141","Saint-Jérôme",29,3,73,13,27,16,1,2,10,174,683
24063,"Rivière-du-Nord/Rivière-du-Nord"," 142","Saint-Jérôme",39,2,113,18,16,6,3,3,10,210,347
24063,"Rivière-du-Nord/Rivière-du-Nord"," 143","Saint-Jérôme",Merged with No./Fusionné avec le n°142,,,,,,,,,,318
24063,"Rivière-du-Nord/Rivière-du-Nord"," 144","Saint-Jérôme",14,2,33,5,3,3,0,1,3,64,349
24063,"Rivière-du-Nord/Rivière-du-Nord"," 145","Saint-Jérôme",25,1,50,7,11,9,2,0,2,107,449
24063,"Rivière-du-Nord/Rivière-du-Nord"," 146","Saint-Jérôme",11,3,46,11,6,5,0,0,11,93,347
24063,"Rivière-du-Nord/Rivière-du-Nord"," 147","Saint-Jérôme",17,3,46,10,11,11,2,3,2,105,415
24063,"Rivière-du-Nord/Rivière-du-Nord"," 148","Saint-Jérôme",29,4,73,14,7,6,1,1,6,141,471
24063,"Rivière-du-Nord/Rivière-du-Nord"," 149","Saint-Jérôme",29,2,63,11,8,5,1,1,2,122,349
24063,"Rivière-du-Nord/Rivière-du-Nord"," 150","Saint-Jérôme",35,3,66,13,12,8,2,1,5,145,448
24063,"Rivière-du-Nord/Rivière-du-Nord"," 151","Saint-Jérôme",31,2,72,15,19,3,0,0,10,152,451
24063,"Rivière-du-Nord/Rivière-du-Nord"," 152","Saint-Jérôme",33,2,81,15,15,5,0,0,2,153,420
24063,"Rivière-du-Nord/Rivière-du-Nord"," 153","Saint-Jérôme",59,5,134,32,35,11,4,2,3,285,767
24063,"Rivière-du-Nord/Rivière-du-Nord"," 154","Saint-Jérôme",64,2,112,26,19,4,3,0,1,231,649
24063,"Rivière-du-Nord/Rivière-du-Nord"," 155","Saint-Jérôme",41,2,68,7,24,6,0,2,3,153,476
24063,"Rivière-du-Nord/Rivière-du-Nord"," 156","Saint-Jérôme",35,3,73,11,10,1,0,0,3,136,397
24063,"Rivière-du-Nord/Rivière-du-Nord"," 157","Saint-Jérôme",28,3,50,7,8,11,0,3,1,111,425
24063,"Rivière-du-Nord/Rivière-du-Nord"," 158","Saint-Jérôme",19,5,72,11,11,3,1,0,5,127,395
24063,"Rivière-du-Nord/Rivière-du-Nord"," 159","Saint-Jérôme",7,5,16,5,5,4,0,0,0,42,334
24063,"Rivière-du-Nord/Rivière-du-Nord"," 160","Saint-Jérôme",27,3,39,11,9,6,3,2,5,105,339
24063,"Rivière-du-Nord/Rivière-du-Nord"," 161","Saint-Jérôme",28,1,70,28,12,3,0,2,6,150,482
24063,"Rivière-du-Nord/Rivière-du-Nord"," 162","Saint-Jérôme",28,0,26,7,14,7,0,1,4,87,345
24063,"Rivière-du-Nord/Rivière-du-Nord"," 163","Saint-Jérôme",20,2,27,10,7,14,0,0,4,84,328
24063,"Rivière-du-Nord/Rivière-du-Nord"," 164","Saint-Jérôme",41,0,66,12,10,3,0,1,1,134,476
24063,"Rivière-du-Nord/Rivière-du-Nord"," 165","Saint-Jérôme",29,4,50,14,8,4,2,0,4,115,407
24063,"Rivière-du-Nord/Rivière-du-Nord"," 166","Saint-Jérôme",28,5,108,23,10,6,2,1,4,187,430
24063,"Rivière-du-Nord/Rivière-du-Nord"," 167","Saint-Jérôme",26,8,96,14,18,14,3,1,5,185,482
24063,"Rivière-du-Nord/Rivière-du-Nord"," 168","Saint-Jérôme",39,3,60,15,13,3,0,1,5,139,360
24063,"Rivière-du-Nord/Rivière-du-Nord"," 169","Saint-Jérôme",46,2,65,11,14,14,2,0,2,156,384
24063,"Rivière-du-Nord/Rivière-du-Nord"," 170","Saint-Jérôme",20,2,82,23,19,9,1,0,2,158,394
24063,"Rivière-du-Nord/Rivière-du-Nord"," 171","Saint-Jérôme",31,4,78,25,14,8,0,1,3,164,427
24063,"Rivière-du-Nord/Rivière-du-Nord"," 172","Saint-Jérôme",43,2,66,14,23,3,0,2,4,157,402
24063,"Rivière-du-Nord/Rivière-du-Nord"," 173","Saint-Jérôme",24,3,68,11,10,3,1,0,1,121,374
24063,"Rivière-du-Nord/Rivière-du-Nord"," 174","Saint-Jérôme",32,1,45,12,11,8,0,0,2,111,344
24063,"Rivière-du-Nord/Rivière-du-Nord"," 175","Saint-Jérôme",34,3,72,13,19,7,2,0,4,154,424
24063,"Rivière-du-Nord/Rivière-du-Nord"," 176","Saint-Jérôme",16,0,60,15,9,4,4,0,3,111,385
24063,"Rivière-du-Nord/Rivière-du-Nord"," 177","Saint-Jérôme",30,2,101,24,16,5,1,0,6,185,494
24063,"Rivière-du-Nord/Rivière-du-Nord"," 178","Saint-Jérôme",18,4,76,13,13,3,3,0,1,131,448
24063,"Rivière-du-Nord/Rivière-du-Nord"," 179","Saint-Jérôme",27,2,49,12,10,2,0,1,2,105,428
24063,"Rivière-du-Nord/Rivière-du-Nord"," 180","Saint-Jérôme",23,0,48,21,17,9,2,0,4,124,450
24063,"Rivière-du-Nord/Rivière-du-Nord"," 181","Saint-Jérôme",34,1,54,11,11,3,3,2,3,122,394
24063,"Rivière-du-Nord/Rivière-du-Nord"," 182","Saint-Jérôme",18,2,77,16,5,1,1,0,1,121,317
24063,"Rivière-du-Nord/Rivière-du-Nord"," 183","Saint-Jérôme",14,4,65,12,11,6,0,1,4,117,400
24063,"Rivière-du-Nord/Rivière-du-Nord"," 184","Saint-Jérôme",89,2,115,39,18,16,2,1,1,283,935
24063,"Rivière-du-Nord/Rivière-du-Nord"," 185","Saint-Jérôme",18,2,75,20,16,13,1,1,4,150,441
24063,"Rivière-du-Nord/Rivière-du-Nord"," 186","Saint-Jérôme",23,4,80,17,10,4,2,3,1,144,390
24063,"Rivière-du-Nord/Rivière-du-Nord"," 187","Saint-Jérôme",16,4,72,14,10,8,2,1,1,128,329
24063,"Rivière-du-Nord/Rivière-du-Nord"," 188","Saint-Jérôme",26,1,121,34,22,10,3,2,3,222,538
24063,"Rivière-du-Nord/Rivière-du-Nord"," 189","Saint-Jérôme",38,4,74,14,15,9,1,2,9,166,597
24063,"Rivière-du-Nord/Rivière-du-Nord"," 190","Saint-Jérôme",20,7,44,12,12,4,0,1,7,107,370
24063,"Rivière-du-Nord/Rivière-du-Nord"," 191","Saint-Jérôme",13,2,34,5,18,4,1,0,2,79,325
24063,"Rivière-du-Nord/Rivière-du-Nord"," 192","Saint-Jérôme",31,1,82,10,17,9,2,1,2,155,549
24063,"Rivière-du-Nord/Rivière-du-Nord"," 193","Saint-Jérôme",31,3,54,15,16,7,1,1,3,131,461
24063,"Rivière-du-Nord/Rivière-du-Nord"," 194","Saint-Jérôme",20,3,49,16,10,5,3,4,5,115,520
24063,"Rivière-du-Nord/Rivière-du-Nord"," 195","Saint-Jérôme",13,2,27,3,8,4,0,1,3,61,333
24063,"Rivière-du-Nord/Rivière-du-Nord"," 196","Saint-Jérôme",21,1,70,15,7,9,1,4,4,132,403
24063,"Rivière-du-Nord/Rivière-du-Nord"," 197","Saint-Jérôme",35,4,79,28,5,7,1,0,2,161,739
24063,"Rivière-du-Nord/Rivière-du-Nord"," 198","Saint-Jérôme",19,3,56,10,8,2,1,2,0,101,460
24063,"Rivière-du-Nord/Rivière-du-Nord"," 199","Saint-Jérôme",13,2,42,13,9,5,1,0,2,87,373
24063,"Rivière-du-Nord/Rivière-du-Nord"," 200","Saint-Jérôme",41,1,87,24,16,3,1,3,3,179,398
24063,"Rivière-du-Nord/Rivière-du-Nord"," 201","Saint-Jérôme",45,1,88,22,18,4,0,0,1,179,407
24063,"Rivière-du-Nord/Rivière-du-Nord"," 202","Saint-Jérôme",38,2,110,15,18,4,2,0,1,190,441
24063,"Rivière-du-Nord/Rivière-du-Nord"," 203","Saint-Jérôme",50,2,86,6,7,3,1,0,1,156,438
24063,"Rivière-du-Nord/Rivière-du-Nord"," 204","Saint-Jérôme",74,4,128,27,21,13,2,0,5,274,695
24063,"Rivière-du-Nord/Rivière-du-Nord"," 205","Saint-Jérôme",25,5,86,24,16,14,3,0,9,182,530
24063,"Rivière-du-Nord/Rivière-du-Nord"," 206","Saint-Jérôme",46,4,92,30,21,9,2,2,7,213,642
24063,"Rivière-du-Nord/Rivière-du-Nord"," 207","Saint-Jérôme",32,1,81,22,15,2,0,0,5,158,418
24063,"Rivière-du-Nord/Rivière-du-Nord"," 208","Saint-Jérôme",29,2,82,21,10,9,0,0,3,156,415
24063,"Rivière-du-Nord/Rivière-du-Nord"," 209","Saint-Jérôme",45,2,122,28,21,12,1,0,6,237,545
24063,"Rivière-du-Nord/Rivière-du-Nord"," 210","Saint-Jérôme",26,4,65,4,15,3,0,1,1,119,329
24063,"Rivière-du-Nord/Rivière-du-Nord"," 211","Saint-Jérôme",26,1,87,29,22,10,1,1,5,182,441
24063,"Rivière-du-Nord/Rivière-du-Nord"," 212","Saint-Jérôme",74,5,134,35,19,9,1,1,10,288,615
24063,"Rivière-du-Nord/Rivière-du-Nord"," 213","Saint-Jérôme",21,3,61,13,12,6,0,1,2,119,319
24063,"Rivière-du-Nord/Rivière-du-Nord"," 214","Saint-Jérôme",32,2,89,11,7,1,1,2,0,145,378
24063,"Rivière-du-Nord/Rivière-du-Nord"," 215","Saint-Jérôme",23,5,48,13,9,3,0,1,3,105,464
24063,"Rivière-du-Nord/Rivière-du-Nord"," 216","Saint-Jérôme",19,0,64,15,8,7,2,0,1,116,367
24063,"Rivière-du-Nord/Rivière-du-Nord"," 217","Saint-Jérôme",11,4,48,8,12,7,0,0,2,92,345
