Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jane Groenewegen,Kelvin Kotchilea,Roland Laufer,Michael McLeod,Lea Anne Mollison,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
61001,"Northwest Territories/Territoires du Nord-Ouest"," 37","Behchoko",0,24,0,20,0,0,44,129
61001,"Northwest Territories/Territoires du Nord-Ouest"," 38","Behchoko",4,60,3,68,5,1,141,720
61001,"Northwest Territories/Territoires du Nord-Ouest"," 39","Fort Simpson",6,30,3,37,13,0,89,404
61001,"Northwest Territories/Territoires du Nord-Ouest"," 40","Fort Simpson",3,23,1,22,9,0,58,229
61001,"Northwest Territories/Territoires du Nord-Ouest"," 41","Fort Simpson",8,33,1,25,8,0,75,281
61001,"Northwest Territories/Territoires du Nord-Ouest"," 42","Jean Marie River",0,3,0,11,0,0,14,38
61001,"Northwest Territories/Territoires du Nord-Ouest"," 43","Yellowknife",42,73,1,71,30,0,217,422
61001,"Northwest Territories/Territoires du Nord-Ouest"," 44","Yellowknife",12,45,5,46,19,0,127,417
61001,"Northwest Territories/Territoires du Nord-Ouest"," 45","Yellowknife",15,33,1,47,17,0,113,363
61001,"Northwest Territories/Territoires du Nord-Ouest"," 46","Yellowknife",22,30,7,51,24,1,135,369
61001,"Northwest Territories/Territoires du Nord-Ouest"," 47","Yellowknife",10,52,6,44,10,0,122,383
61001,"Northwest Territories/Territoires du Nord-Ouest"," 48","Yellowknife",17,45,5,40,12,1,120,440
61001,"Northwest Territories/Territoires du Nord-Ouest"," 49","Yellowknife",4,22,4,40,7,1,78,364
61001,"Northwest Territories/Territoires du Nord-Ouest"," 50","Yellowknife",7,26,2,26,10,0,71,215
61001,"Northwest Territories/Territoires du Nord-Ouest"," 51","Yellowknife",28,31,1,46,29,0,135,334
61001,"Northwest Territories/Territoires du Nord-Ouest"," 52","Yellowknife",20,71,5,36,23,1,156,440
61001,"Northwest Territories/Territoires du Nord-Ouest"," 53","Yellowknife",21,53,0,31,26,1,132,347
61001,"Northwest Territories/Territoires du Nord-Ouest"," 54","Yellowknife",5,33,1,46,5,2,92,377
61001,"Northwest Territories/Territoires du Nord-Ouest"," 55","Yellowknife",9,52,4,34,7,0,106,513
61001,"Northwest Territories/Territoires du Nord-Ouest"," 56","Yellowknife",4,33,4,36,10,1,88,316
61001,"Northwest Territories/Territoires du Nord-Ouest"," 57","Yellowknife",6,12,2,21,5,0,46,148
61001,"Northwest Territories/Territoires du Nord-Ouest"," 58","Yellowknife",3,18,3,23,3,0,50,300
61001,"Northwest Territories/Territoires du Nord-Ouest"," 59","Yellowknife",20,38,3,38,13,0,112,391
61001,"Northwest Territories/Territoires du Nord-Ouest"," 60","Yellowknife",11,39,3,31,10,0,94,234
61001,"Northwest Territories/Territoires du Nord-Ouest"," 61","Yellowknife",2,42,3,51,5,2,105,284
61001,"Northwest Territories/Territoires du Nord-Ouest"," 62","Yellowknife",32,49,5,57,21,0,164,534
61001,"Northwest Territories/Territoires du Nord-Ouest"," 63","Yellowknife",7,50,3,35,15,1,111,482
61001,"Northwest Territories/Territoires du Nord-Ouest"," 64","Yellowknife",12,52,1,39,12,2,118,395
61001,"Northwest Territories/Territoires du Nord-Ouest"," 65","Yellowknife",5,31,4,23,14,1,78,293
61001,"Northwest Territories/Territoires du Nord-Ouest"," 66","Yellowknife",11,46,0,35,15,2,109,367
61001,"Northwest Territories/Territoires du Nord-Ouest"," 67","Yellowknife",29,73,2,49,30,1,184,506
61001,"Northwest Territories/Territoires du Nord-Ouest"," 68","Yellowknife",20,57,4,33,28,2,144,399
61001,"Northwest Territories/Territoires du Nord-Ouest"," 69","Yellowknife",15,58,0,61,21,2,157,455
61001,"Northwest Territories/Territoires du Nord-Ouest"," 70","Yellowknife",16,44,2,42,22,0,126,490
61001,"Northwest Territories/Territoires du Nord-Ouest"," 71","Yellowknife",25,51,2,44,23,1,146,443
61001,"Northwest Territories/Territoires du Nord-Ouest"," 72","Detah",6,32,1,35,3,2,79,148
61001,"Northwest Territories/Territoires du Nord-Ouest"," 73","Fort Liard",6,44,1,39,14,2,106,387
61001,"Northwest Territories/Territoires du Nord-Ouest"," 74","Fort Providence",11,37,2,177,14,0,241,529
61001,"Northwest Territories/Territoires du Nord-Ouest"," 75","Trout Lake",1,3,0,18,0,0,22,55
61001,"Northwest Territories/Territoires du Nord-Ouest"," 76","Kakisa",1,1,1,13,1,0,17,16
61001,"Northwest Territories/Territoires du Nord-Ouest"," 77","Hay River Dene 1",6,10,1,20,2,0,39,179
61001,"Northwest Territories/Territoires du Nord-Ouest"," 78","Hay River",28,15,2,30,18,3,96,278
61001,"Northwest Territories/Territoires du Nord-Ouest"," 79","Hay River",25,28,5,26,20,0,104,348
61001,"Northwest Territories/Territoires du Nord-Ouest"," 80","Hay River",19,22,6,21,10,0,78,323
61001,"Northwest Territories/Territoires du Nord-Ouest"," 81","Hay River",18,35,1,22,20,1,97,399
61001,"Northwest Territories/Territoires du Nord-Ouest"," 82","Hay River",25,11,2,27,6,0,71,233
61001,"Northwest Territories/Territoires du Nord-Ouest"," 83","Hay River",24,30,1,30,11,2,98,314
61001,"Northwest Territories/Territoires du Nord-Ouest"," 84","Hay River",32,22,1,51,23,2,131,442
61001,"Northwest Territories/Territoires du Nord-Ouest"," 85","Hay River",43,19,3,33,19,1,118,373
61001,"Northwest Territories/Territoires du Nord-Ouest"," 86","Fort Resolution",11,28,1,47,25,1,113,333
61001,"Northwest Territories/Territoires du Nord-Ouest"," 87","Enterprise",8,6,1,11,1,1,28,69
61001,"Northwest Territories/Territoires du Nord-Ouest"," 88","Lutselk'e",2,27,2,28,2,5,66,210
61001,"Northwest Territories/Territoires du Nord-Ouest"," 89","Fort Smith",16,57,4,36,23,0,136,370
61001,"Northwest Territories/Territoires du Nord-Ouest"," 90","Fort Smith",12,34,3,25,6,0,80,263
61001,"Northwest Territories/Territoires du Nord-Ouest"," 91","Fort Smith",4,36,6,29,8,0,83,290
61001,"Northwest Territories/Territoires du Nord-Ouest"," 92","Fort Smith",19,62,4,46,18,0,149,407
61001,"Northwest Territories/Territoires du Nord-Ouest"," 93","Fort Smith",11,69,7,47,13,2,149,488
61001,"Northwest Territories/Territoires du Nord-Ouest"," 600","Inuvik",20,53,6,78,28,4,189,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 601","Norman Wells",Results combined with no. 602/Résultats combinés au n° 602,,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 602","Fort Simpson",6,26,5,41,7,0,85,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 603","Behchokò",2,65,1,44,5,1,118,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 604","Yellowknife",228,339,23,413,170,10,1183,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 605","Yellowknife",142,371,30,468,143,9,1163,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 606","Hay River",174,85,14,161,84,1,519,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 607","Fort Smith",35,91,5,111,25,2,269,
61001,"Northwest Territories/Territoires du Nord-Ouest",,Group 1/Groupe 1, 42,135,15,160,120,12,484,113
61001,"Northwest Territories/Territoires du Nord-Ouest",,Group 2/Groupe 2, 97,209,14,360,118,26,824,
