Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Carey,Julie Dabrusin,Habiba Desai,Clare Hacksel,Elizabeth Rowley,Wayne Simmons,Maryem Tollar,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35109,"Toronto--Danforth/Toronto--Danforth"," 15","Toronto",Merged with No./Fusionné avec le n°11,,,,,,,,,,432
35109,"Toronto--Danforth/Toronto--Danforth"," 16","Toronto",Merged with No./Fusionné avec le n°14,,,,,,,,,,364
35109,"Toronto--Danforth/Toronto--Danforth"," 17","Toronto",Merged with No./Fusionné avec le n°6,,,,,,,,,,440
35109,"Toronto--Danforth/Toronto--Danforth"," 18","Toronto",71,99,1,69,7,13,4,0,3,267,460
35109,"Toronto--Danforth/Toronto--Danforth"," 19","Toronto",Merged with No./Fusionné avec le n°22,,,,,,,,,,326
35109,"Toronto--Danforth/Toronto--Danforth"," 20","Toronto",31,58,0,38,0,2,3,0,1,133,395
35109,"Toronto--Danforth/Toronto--Danforth"," 21","Toronto",Merged with No./Fusionné avec le n°33,,,,,,,,,,377
35109,"Toronto--Danforth/Toronto--Danforth"," 22","Toronto",47,137,0,74,0,6,10,1,1,276,356
35109,"Toronto--Danforth/Toronto--Danforth"," 23","Toronto",16,62,1,49,0,5,1,2,0,136,465
35109,"Toronto--Danforth/Toronto--Danforth"," 24","Toronto",42,116,0,65,1,4,1,0,9,238,498
35109,"Toronto--Danforth/Toronto--Danforth"," 25","Toronto",Merged with No./Fusionné avec le n°26,,,,,,,,,,408
35109,"Toronto--Danforth/Toronto--Danforth"," 26","Toronto",43,79,0,52,4,21,5,0,5,209,431
35109,"Toronto--Danforth/Toronto--Danforth"," 27","Toronto",Merged with No./Fusionné avec le n°32,,,,,,,,,,338
35109,"Toronto--Danforth/Toronto--Danforth"," 28","Toronto",Merged with No./Fusionné avec le n°30,,,,,,,,,,406
35109,"Toronto--Danforth/Toronto--Danforth"," 29","Toronto",39,98,2,56,2,23,4,1,3,228,478
35109,"Toronto--Danforth/Toronto--Danforth"," 30","Toronto",42,100,1,63,1,10,1,1,2,221,549
35109,"Toronto--Danforth/Toronto--Danforth"," 31","Toronto",Merged with No./Fusionné avec le n°29,,,,,,,,,,456
35109,"Toronto--Danforth/Toronto--Danforth"," 32","Toronto",52,78,2,59,0,18,0,0,1,210,527
35109,"Toronto--Danforth/Toronto--Danforth"," 33","Toronto",33,144,0,96,0,3,5,0,1,282,399
35109,"Toronto--Danforth/Toronto--Danforth"," 34","Toronto",42,146,3,103,3,13,12,0,2,324,427
35109,"Toronto--Danforth/Toronto--Danforth"," 35","Toronto",37,130,1,97,1,10,6,0,2,284,407
35109,"Toronto--Danforth/Toronto--Danforth"," 36","Toronto",Merged with No./Fusionné avec le n°39,,,,,,,,,,362
35109,"Toronto--Danforth/Toronto--Danforth"," 37","Toronto",Merged with No./Fusionné avec le n°64,,,,,,,,,,350
35109,"Toronto--Danforth/Toronto--Danforth"," 38","Toronto",Merged with No./Fusionné avec le n°35,,,,,,,,,,376
35109,"Toronto--Danforth/Toronto--Danforth"," 39","Toronto",33,129,0,98,1,6,7,4,2,280,382
35109,"Toronto--Danforth/Toronto--Danforth"," 40","Toronto",59,124,0,89,1,13,7,3,2,298,442
35109,"Toronto--Danforth/Toronto--Danforth"," 41","Toronto",Merged with No./Fusionné avec le n°59,,,,,,,,,,363
35109,"Toronto--Danforth/Toronto--Danforth"," 42","Toronto",44,151,1,100,5,12,7,0,2,322,498
35109,"Toronto--Danforth/Toronto--Danforth"," 43","Toronto",50,113,0,67,0,9,4,1,1,245,587
35109,"Toronto--Danforth/Toronto--Danforth"," 44","Toronto",Merged with No./Fusionné avec le n°40,,,,,,,,,,430
35109,"Toronto--Danforth/Toronto--Danforth"," 45","Toronto",46,168,0,121,1,8,10,1,1,356,413
35109,"Toronto--Danforth/Toronto--Danforth"," 46","Toronto",46,164,4,104,1,8,2,2,0,331,421
35109,"Toronto--Danforth/Toronto--Danforth"," 47","Toronto",42,210,3,121,4,8,11,1,3,403,423
35109,"Toronto--Danforth/Toronto--Danforth"," 48","Toronto",30,125,4,56,1,3,0,3,3,225,463
35109,"Toronto--Danforth/Toronto--Danforth"," 49","Toronto",Merged with No./Fusionné avec le n°47,,,,,,,,,,388
35109,"Toronto--Danforth/Toronto--Danforth"," 50","Toronto",Merged with No./Fusionné avec le n°45,,,,,,,,,,408
35109,"Toronto--Danforth/Toronto--Danforth"," 51","Toronto",Merged with No./Fusionné avec le n°54,,,,,,,,,,390
35109,"Toronto--Danforth/Toronto--Danforth"," 52","Toronto",28,69,0,60,1,8,3,0,0,169,545
35109,"Toronto--Danforth/Toronto--Danforth"," 53","Toronto",Merged with No./Fusionné avec le n°55,,,,,,,,,,317
35109,"Toronto--Danforth/Toronto--Danforth"," 54","Toronto",54,104,0,75,2,8,1,2,1,247,410
35109,"Toronto--Danforth/Toronto--Danforth"," 55","Toronto",36,156,0,65,1,6,8,0,1,273,398
35109,"Toronto--Danforth/Toronto--Danforth"," 56","Toronto",Merged with No./Fusionné avec le n°58,,,,,,,,,,392
35109,"Toronto--Danforth/Toronto--Danforth"," 57","Toronto",Merged with No./Fusionné avec le n°46,,,,,,,,,,351
35109,"Toronto--Danforth/Toronto--Danforth"," 58","Toronto",39,152,1,87,1,10,4,1,0,295,494
35109,"Toronto--Danforth/Toronto--Danforth"," 59","Toronto",38,136,0,80,0,4,3,1,2,264,416
35109,"Toronto--Danforth/Toronto--Danforth"," 60","Toronto",Merged with No./Fusionné avec le n°42,,,,,,,,,,438
35109,"Toronto--Danforth/Toronto--Danforth"," 61","Toronto",Merged with No./Fusionné avec le n°34,,,,,,,,,,393
35109,"Toronto--Danforth/Toronto--Danforth"," 62","Toronto",Merged with No./Fusionné avec le n°63,,,,,,,,,,353
35109,"Toronto--Danforth/Toronto--Danforth"," 63","Toronto",40,174,0,103,1,10,8,3,3,342,366
35109,"Toronto--Danforth/Toronto--Danforth"," 64","Toronto",37,191,0,109,1,8,9,0,1,356,393
35109,"Toronto--Danforth/Toronto--Danforth"," 65","Toronto",22,115,0,66,0,4,3,0,2,212,398
35109,"Toronto--Danforth/Toronto--Danforth"," 66","Toronto",36,189,1,128,1,12,6,0,0,373,432
35109,"Toronto--Danforth/Toronto--Danforth"," 67","Toronto",Merged with No./Fusionné avec le n°66,,,,,,,,,,360
35109,"Toronto--Danforth/Toronto--Danforth"," 68","Toronto",28,142,4,81,2,16,8,1,4,286,569
35109,"Toronto--Danforth/Toronto--Danforth"," 69","Toronto",30,153,2,81,0,8,5,0,2,281,413
35109,"Toronto--Danforth/Toronto--Danforth"," 70","Toronto",Merged with No./Fusionné avec le n°97,,,,,,,,,,344
35109,"Toronto--Danforth/Toronto--Danforth"," 71","Toronto",Merged with No./Fusionné avec le n°69,,,,,,,,,,374
35109,"Toronto--Danforth/Toronto--Danforth"," 72","Toronto",36,168,0,112,0,8,8,0,0,332,580
35109,"Toronto--Danforth/Toronto--Danforth"," 73","Toronto",51,177,0,129,0,15,8,1,0,381,433
35109,"Toronto--Danforth/Toronto--Danforth"," 74","Toronto",46,167,3,98,1,21,4,0,3,343,678
35109,"Toronto--Danforth/Toronto--Danforth"," 75","Toronto",Merged with No./Fusionné avec le n°74,,,,,,,,,,324
35109,"Toronto--Danforth/Toronto--Danforth"," 76","Toronto",Merged with No./Fusionné avec le n°72,,,,,,,,,,349
35109,"Toronto--Danforth/Toronto--Danforth"," 77","Toronto",Merged with No./Fusionné avec le n°73,,,,,,,,,,410
35109,"Toronto--Danforth/Toronto--Danforth"," 78","Toronto",33,177,1,110,2,7,9,2,6,347,490
35109,"Toronto--Danforth/Toronto--Danforth"," 79","Toronto",Merged with No./Fusionné avec le n°78,,,,,,,,,,359
35109,"Toronto--Danforth/Toronto--Danforth"," 80","Toronto",Merged with No./Fusionné avec le n°82,,,,,,,,,,406
35109,"Toronto--Danforth/Toronto--Danforth"," 81","Toronto",Merged with No./Fusionné avec le n°84,,,,,,,,,,325
35109,"Toronto--Danforth/Toronto--Danforth"," 82","Toronto",36,182,0,126,0,7,8,1,0,360,436
35109,"Toronto--Danforth/Toronto--Danforth"," 83","Toronto",Merged with No./Fusionné avec le n°85,,,,,,,,,,339
35109,"Toronto--Danforth/Toronto--Danforth"," 84","Toronto",39,164,0,128,0,8,6,1,1,347,551
35109,"Toronto--Danforth/Toronto--Danforth"," 85","Toronto",62,173,0,111,0,13,11,0,2,372,446
35109,"Toronto--Danforth/Toronto--Danforth"," 86","Toronto",42,157,0,127,0,8,4,0,4,342,488
35109,"Toronto--Danforth/Toronto--Danforth"," 87","Toronto",Merged with No./Fusionné avec le n°86,,,,,,,,,,353
35109,"Toronto--Danforth/Toronto--Danforth"," 88","Toronto",Merged with No./Fusionné avec le n°89,,,,,,,,,,426
35109,"Toronto--Danforth/Toronto--Danforth"," 89","Toronto",38,165,0,140,3,9,8,2,5,370,576
35109,"Toronto--Danforth/Toronto--Danforth"," 90","Toronto",35,96,1,115,1,6,4,0,0,258,438
35109,"Toronto--Danforth/Toronto--Danforth"," 91","Toronto",55,94,1,118,2,9,9,3,0,291,493
35109,"Toronto--Danforth/Toronto--Danforth"," 92","Toronto",Merged with No./Fusionné avec le n°98,,,,,,,,,,375
35109,"Toronto--Danforth/Toronto--Danforth"," 93","Toronto",34,120,0,119,2,7,8,0,1,291,399
35109,"Toronto--Danforth/Toronto--Danforth"," 94","Toronto",Merged with No./Fusionné avec le n°95,,,,,,,,,,348
35109,"Toronto--Danforth/Toronto--Danforth"," 95","Toronto",26,152,0,109,0,8,8,2,1,306,459
35109,"Toronto--Danforth/Toronto--Danforth"," 96","Toronto",Merged with No./Fusionné avec le n°93,,,,,,,,,,397
35109,"Toronto--Danforth/Toronto--Danforth"," 97","Toronto",16,150,3,89,0,9,3,1,2,273,533
35109,"Toronto--Danforth/Toronto--Danforth"," 98","Toronto",35,151,1,117,1,9,5,1,5,325,469
35109,"Toronto--Danforth/Toronto--Danforth"," 99","Toronto",46,160,1,85,2,12,9,4,0,319,433
35109,"Toronto--Danforth/Toronto--Danforth"," 100","Toronto",36,168,1,116,2,14,9,0,2,348,474
35109,"Toronto--Danforth/Toronto--Danforth"," 101","Toronto",36,134,0,58,1,6,7,1,1,244,500
35109,"Toronto--Danforth/Toronto--Danforth"," 102","Toronto",Merged with No./Fusionné avec le n°105,,,,,,,,,,373
35109,"Toronto--Danforth/Toronto--Danforth"," 103","Toronto",Merged with No./Fusionné avec le n°100,,,,,,,,,,264
35109,"Toronto--Danforth/Toronto--Danforth"," 104","Toronto",28,157,0,101,0,5,11,1,3,306,441
35109,"Toronto--Danforth/Toronto--Danforth"," 105","Toronto",40,158,0,110,1,0,11,0,0,320,432
35109,"Toronto--Danforth/Toronto--Danforth"," 106","Toronto",Merged with No./Fusionné avec le n°108,,,,,,,,,,381
35109,"Toronto--Danforth/Toronto--Danforth"," 107","Toronto",44,103,0,90,0,4,13,1,0,255,517
35109,"Toronto--Danforth/Toronto--Danforth"," 108","Toronto",30,131,0,102,0,7,6,4,2,282,469
35109,"Toronto--Danforth/Toronto--Danforth"," 109","Toronto",Merged with No./Fusionné avec le n°143,,,,,,,,,,405
35109,"Toronto--Danforth/Toronto--Danforth"," 110","Toronto",15,99,0,88,0,3,6,1,0,212,325
35109,"Toronto--Danforth/Toronto--Danforth"," 111","Toronto",21,97,1,95,1,2,4,2,0,223,318
35109,"Toronto--Danforth/Toronto--Danforth"," 112","Toronto",20,116,0,90,0,8,8,1,2,245,460
35109,"Toronto--Danforth/Toronto--Danforth"," 113","Toronto",Merged with No./Fusionné avec le n°115,,,,,,,,,,352
35109,"Toronto--Danforth/Toronto--Danforth"," 114","Toronto",22,63,0,66,0,7,0,0,1,159,438
35109,"Toronto--Danforth/Toronto--Danforth"," 115","Toronto",24,131,0,121,2,3,10,0,3,294,392
35109,"Toronto--Danforth/Toronto--Danforth"," 116","Toronto",Merged with No./Fusionné avec le n°112,,,,,,,,,,335
35109,"Toronto--Danforth/Toronto--Danforth"," 117","Toronto",Merged with No./Fusionné avec le n°118,,,,,,,,,,360
35109,"Toronto--Danforth/Toronto--Danforth"," 118","Toronto",22,119,0,106,2,5,9,0,0,263,405
35109,"Toronto--Danforth/Toronto--Danforth"," 119","Toronto",Merged with No./Fusionné avec le n°122,,,,,,,,,,344
35109,"Toronto--Danforth/Toronto--Danforth"," 120","Toronto",11,121,5,48,0,2,6,0,2,195,453
35109,"Toronto--Danforth/Toronto--Danforth"," 121","Toronto",37,157,0,147,0,11,12,2,1,367,548
35109,"Toronto--Danforth/Toronto--Danforth"," 122","Toronto",23,111,1,151,2,7,11,2,0,308,413
35109,"Toronto--Danforth/Toronto--Danforth"," 123","Toronto",35,144,2,99,1,8,8,4,2,303,477
35109,"Toronto--Danforth/Toronto--Danforth"," 124","Toronto",Merged with No./Fusionné avec le n°123,,,,,,,,,,365
35109,"Toronto--Danforth/Toronto--Danforth"," 125","Toronto",32,164,2,157,0,12,10,4,1,382,340
35109,"Toronto--Danforth/Toronto--Danforth"," 126","Toronto",Merged with No./Fusionné avec le n°104,,,,,,,,,,348
35109,"Toronto--Danforth/Toronto--Danforth"," 127","Toronto",Merged with No./Fusionné avec le n°99,,,,,,,,,,442
35109,"Toronto--Danforth/Toronto--Danforth"," 128","Toronto",36,154,0,94,3,5,9,1,0,302,432
35109,"Toronto--Danforth/Toronto--Danforth"," 129","Toronto",38,166,3,100,0,9,4,2,3,325,525
35109,"Toronto--Danforth/Toronto--Danforth"," 130","Toronto",Merged with No./Fusionné avec le n°153,,,,,,,,,,416
35109,"Toronto--Danforth/Toronto--Danforth"," 131","Toronto",36,142,2,107,1,2,8,0,1,299,486
35109,"Toronto--Danforth/Toronto--Danforth"," 132","Toronto",Merged with No./Fusionné avec le n°139,,,,,,,,,,401
35109,"Toronto--Danforth/Toronto--Danforth"," 133","Toronto",Merged with No./Fusionné avec le n°131,,,,,,,,,,360
35109,"Toronto--Danforth/Toronto--Danforth"," 134","Toronto",25,97,1,86,1,8,3,2,1,224,574
35109,"Toronto--Danforth/Toronto--Danforth"," 135","Toronto",Merged with No./Fusionné avec le n°161,,,,,,,,,,349
35109,"Toronto--Danforth/Toronto--Danforth"," 136","Toronto",29,139,0,114,0,6,2,1,1,292,562
35109,"Toronto--Danforth/Toronto--Danforth"," 137","Toronto",37,135,3,63,1,4,8,0,1,252,487
35109,"Toronto--Danforth/Toronto--Danforth"," 138","Toronto",27,88,0,62,1,2,4,0,0,184,478
35109,"Toronto--Danforth/Toronto--Danforth"," 139","Toronto",38,135,2,89,1,4,7,0,2,278,475
35109,"Toronto--Danforth/Toronto--Danforth"," 140","Toronto",Merged with No./Fusionné avec le n°145,,,,,,,,,,452
35109,"Toronto--Danforth/Toronto--Danforth"," 141","Toronto",Merged with No./Fusionné avec le n°91,,,,,,,,,,426
35109,"Toronto--Danforth/Toronto--Danforth"," 142","Toronto",Merged with No./Fusionné avec le n°90,,,,,,,,,,383
35109,"Toronto--Danforth/Toronto--Danforth"," 143","Toronto",39,137,1,114,0,3,6,2,1,303,468
35109,"Toronto--Danforth/Toronto--Danforth"," 144","Toronto",Merged with No./Fusionné avec le n°136,,,,,,,,,,383
35109,"Toronto--Danforth/Toronto--Danforth"," 145","Toronto",39,166,1,130,2,4,4,0,2,348,526
35109,"Toronto--Danforth/Toronto--Danforth"," 146","Toronto",Merged with No./Fusionné avec le n°107,,,,,,,,,,317
35109,"Toronto--Danforth/Toronto--Danforth"," 147","Toronto",Merged with No./Fusionné avec le n°129,,,,,,,,,,478
35109,"Toronto--Danforth/Toronto--Danforth"," 148","Toronto",Merged with No./Fusionné avec le n°128,,,,,,,,,,396
35109,"Toronto--Danforth/Toronto--Danforth"," 149","Toronto",45,117,0,86,2,5,6,0,0,261,418
35109,"Toronto--Danforth/Toronto--Danforth"," 150","Toronto",46,157,3,121,2,6,6,1,0,342,469
35109,"Toronto--Danforth/Toronto--Danforth"," 151","Toronto",Merged with No./Fusionné avec le n°149,,,,,,,,,,407
35109,"Toronto--Danforth/Toronto--Danforth"," 152","Toronto",Merged with No./Fusionné avec le n°121,,,,,,,,,,424
35109,"Toronto--Danforth/Toronto--Danforth"," 153","Toronto",31,136,1,110,2,9,9,2,0,300,438
35109,"Toronto--Danforth/Toronto--Danforth"," 154","Toronto",20,114,4,61,0,6,2,0,3,210,496
35109,"Toronto--Danforth/Toronto--Danforth"," 155","Toronto",29,127,0,58,0,5,5,0,3,227,438
35109,"Toronto--Danforth/Toronto--Danforth"," 156","Toronto",Merged with No./Fusionné avec le n°171,,,,,,,,,,398
35109,"Toronto--Danforth/Toronto--Danforth"," 157","Toronto",Merged with No./Fusionné avec le n°159,,,,,,,,,,535
35109,"Toronto--Danforth/Toronto--Danforth"," 158","Toronto",37,209,0,126,2,5,7,4,3,393,454
35109,"Toronto--Danforth/Toronto--Danforth"," 159","Toronto",48,202,2,144,1,10,8,0,2,417,563
35109,"Toronto--Danforth/Toronto--Danforth"," 160","Toronto",Merged with No./Fusionné avec le n°158,,,,,,,,,,438
35109,"Toronto--Danforth/Toronto--Danforth"," 161","Toronto",24,126,4,103,1,8,3,2,2,273,503
35109,"Toronto--Danforth/Toronto--Danforth"," 162","Toronto",37,115,0,39,0,3,4,1,3,202,516
35109,"Toronto--Danforth/Toronto--Danforth"," 163","Toronto",Merged with No./Fusionné avec le n°165,,,,,,,,,,417
35109,"Toronto--Danforth/Toronto--Danforth"," 164","Toronto",Merged with No./Fusionné avec le n°166,,,,,,,,,,469
35109,"Toronto--Danforth/Toronto--Danforth"," 165","Toronto",48,154,0,123,0,10,9,0,0,344,522
35109,"Toronto--Danforth/Toronto--Danforth"," 166","Toronto",45,160,0,109,0,7,5,3,1,330,486
35109,"Toronto--Danforth/Toronto--Danforth"," 167","Toronto",Merged with No./Fusionné avec le n°170,,,,,,,,,,359
35109,"Toronto--Danforth/Toronto--Danforth"," 168","Toronto",20,115,0,80,1,4,8,1,3,232,702
35109,"Toronto--Danforth/Toronto--Danforth"," 169","Toronto",Merged with No./Fusionné avec le n°150,,,,,,,,,,426
35109,"Toronto--Danforth/Toronto--Danforth"," 170","Toronto",32,134,0,123,1,3,8,3,3,307,539
35109,"Toronto--Danforth/Toronto--Danforth"," 171","Toronto",46,156,1,91,1,1,7,4,1,308,460
35109,"Toronto--Danforth/Toronto--Danforth"," 172","Toronto",12,69,0,68,0,1,3,0,1,154,484
35109,"Toronto--Danforth/Toronto--Danforth"," 173","Toronto",38,150,3,94,0,12,8,1,0,306,515
35109,"Toronto--Danforth/Toronto--Danforth"," 174","Toronto",Merged with No./Fusionné avec le n°173,,,,,,,,,,356
35109,"Toronto--Danforth/Toronto--Danforth"," 175","Toronto",97,167,0,173,0,8,11,0,1,457,1202
35109,"Toronto--Danforth/Toronto--Danforth"," 176","Toronto",Merged with No./Fusionné avec le n°177,,,,,,,,,,427
35109,"Toronto--Danforth/Toronto--Danforth"," 177","Toronto",46,138,0,99,0,1,8,0,0,292,449
35109,"Toronto--Danforth/Toronto--Danforth"," 178","Toronto",52,191,0,121,1,13,8,0,3,389,638
35109,"Toronto--Danforth/Toronto--Danforth"," 179","Toronto",Merged with No./Fusionné avec le n°178,,,,,,,,,,412
35109,"Toronto--Danforth/Toronto--Danforth"," 400","Toronto",22,85,2,30,0,4,2,1,0,146,242
35109,"Toronto--Danforth/Toronto--Danforth"," 401","Toronto",3,13,0,3,0,0,0,0,1,20,63
35109,"Toronto--Danforth/Toronto--Danforth"," 402","Toronto",23,81,1,46,0,5,2,2,0,160,268
35109,"Toronto--Danforth/Toronto--Danforth"," 403","Toronto",Merged with No./Fusionné avec le n°125,,,,,,,,,,319
35109,"Toronto--Danforth/Toronto--Danforth"," 404","Toronto",Merged with No./Fusionné avec le n°125,,,,,,,,,,313
35109,"Toronto--Danforth/Toronto--Danforth"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°54,,,,,,,,,,45
35109,"Toronto--Danforth/Toronto--Danforth"," 501","Toronto",Merged with No./Fusionné avec le n°100,,,,,,,,,,65
35109,"Toronto--Danforth/Toronto--Danforth"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°159,,,,,,,,,,116
35109,"Toronto--Danforth/Toronto--Danforth"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°138,,,,,,,,,,54
35109,"Toronto--Danforth/Toronto--Danforth"," 600","Toronto",218,775,0,389,3,63,21,4,9,1482,
35109,"Toronto--Danforth/Toronto--Danforth"," 601","Toronto",261,707,2,374,73,21,9,9,6,1462,
35109,"Toronto--Danforth/Toronto--Danforth"," 602","Toronto",333,872,3,513,4,67,27,5,6,1830,
35109,"Toronto--Danforth/Toronto--Danforth"," 603","Toronto",127,647,1,380,2,24,21,1,1,1204,
35109,"Toronto--Danforth/Toronto--Danforth"," 604","Toronto",125,633,1,335,3,30,25,2,3,1157,
35109,"Toronto--Danforth/Toronto--Danforth"," 605","Toronto",152,881,2,605,3,23,43,6,4,1719,
35109,"Toronto--Danforth/Toronto--Danforth"," 606","Toronto",145,752,2,550,0,30,23,5,5,1512,
35109,"Toronto--Danforth/Toronto--Danforth"," 607","Toronto",99,518,2,430,2,32,4,18,5,1110,
35109,"Toronto--Danforth/Toronto--Danforth"," 608","Toronto",139,633,0,586,3,24,33,2,7,1427,
35109,"Toronto--Danforth/Toronto--Danforth"," 609","Toronto",125,672,1,577,5,28,28,8,4,1448,
35109,"Toronto--Danforth/Toronto--Danforth"," 610","Toronto",162,774,5,613,1,27,25,3,10,1620,
35109,"Toronto--Danforth/Toronto--Danforth"," 611","Toronto",154,773,4,544,4,36,27,3,5,1550,
35109,"Toronto--Danforth/Toronto--Danforth",,Group 1/Groupe 1, 55,364,0,330,3,11,20,3,26,812,499
35109,"Toronto--Danforth/Toronto--Danforth",,Group 2/Groupe 2, 405,2175,4,1671,11,44,74,5,82,4471,
