Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ali Faour,Micheline Flibotte,Manon D. Lacharité,Louis Léger,Sarah Petrari,Yves Robillard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 50B","Laval",Merged with No./Fusionné avec le n°52,,,,,,,,125
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 50C","Laval",29,3,63,14,39,146,8,302,627
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 51","Laval",23,5,67,7,19,89,2,212,505
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 52","Laval",29,5,62,15,28,113,2,254,464
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 53","Laval",29,4,58,7,32,96,1,227,585
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 54","Laval",20,0,86,7,24,83,5,225,529
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 55","Laval",30,2,70,4,47,117,0,270,575
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 56","Laval",26,1,66,3,33,112,4,245,490
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 57","Laval",20,4,77,1,31,108,3,244,515
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 58","Laval",20,4,97,4,42,128,5,300,594
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 59","Laval",33,9,82,16,42,144,2,328,579
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 60","Laval",17,2,81,6,17,88,2,213,502
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 61","Laval",27,6,76,3,38,151,4,305,590
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 62","Laval",19,3,111,7,15,91,3,249,536
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 63","Laval",27,3,87,10,17,92,3,239,505
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 64","Laval",17,6,57,7,26,97,3,213,543
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 65","Laval",16,9,55,9,35,96,5,225,520
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 66","Laval",22,3,44,18,31,114,7,239,523
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 67","Laval",25,6,49,9,46,130,4,269,525
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 68","Laval",16,7,52,3,21,74,6,179,406
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 69","Laval",17,5,74,7,29,161,7,300,523
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 70","Laval",18,4,31,3,28,96,2,182,388
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 71","Laval",26,12,63,6,25,117,4,253,485
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 72","Laval",21,4,91,5,32,83,5,241,492
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 73","Laval",21,2,47,5,16,94,5,190,504
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 74","Laval",24,4,61,3,26,86,6,210,498
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 75","Laval",24,4,58,11,26,102,5,230,546
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 76","Laval",27,0,44,6,26,106,3,212,551
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 77","Laval",18,4,39,1,16,113,7,198,453
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 78","Laval",26,2,69,3,16,78,6,200,525
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 79","Laval",30,3,60,0,20,99,4,216,456
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 80","Laval",17,3,53,6,26,88,2,195,336
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 81","Laval",28,2,63,7,29,113,6,248,533
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 82","Laval",24,7,33,10,43,183,8,308,515
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 83","Laval",22,0,45,6,13,72,2,160,351
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 84","Laval",34,8,50,8,41,171,5,317,537
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 85","Laval",23,8,39,12,32,184,4,302,573
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 86","Laval",30,4,64,10,24,117,0,249,577
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 87","Laval",21,3,65,3,24,102,1,219,499
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 88","Laval",28,5,65,2,34,91,3,228,492
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 89","Laval",22,4,72,1,29,109,5,242,542
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 90","Laval",17,6,30,13,23,89,3,181,443
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 91","Laval",30,5,78,2,27,80,7,229,533
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 92","Laval",27,3,75,4,28,112,5,254,546
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 93","Laval",26,2,106,5,10,77,4,230,512
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 94","Laval",26,6,69,10,25,81,3,220,512
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 95","Laval",30,4,81,8,55,91,2,271,539
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 96","Laval",17,0,57,8,31,111,6,230,472
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 97","Laval",15,3,61,4,16,97,11,207,545
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 98","Laval",6,2,63,7,36,110,5,229,467
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 99","Laval",14,7,87,8,16,71,1,204,486
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 100","Laval",32,4,75,14,20,111,3,259,616
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 101","Laval",32,5,78,6,46,157,6,330,585
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 102","Laval",18,3,85,10,34,101,6,257,525
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 103","Laval",22,9,81,11,30,117,4,274,544
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 104","Laval",19,7,80,3,45,99,3,256,540
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 105","Laval",16,4,55,11,29,95,2,212,481
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 106","Laval",26,0,68,9,24,90,3,220,476
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 107","Laval",23,3,48,5,24,118,1,222,521
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 108","Laval",21,8,46,12,25,92,4,208,534
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 109","Laval",15,3,73,11,23,118,2,245,487
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 110","Laval",27,8,77,9,22,98,2,243,486
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 111","Laval",16,3,79,10,16,97,3,224,512
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 112","Laval",19,2,77,6,30,84,3,221,497
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 113","Laval",26,2,80,4,28,83,4,227,474
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 114","Laval",35,5,9,6,58,138,2,253,566
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 115","Laval",18,3,19,10,31,78,2,161,431
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 116","Laval",25,5,33,17,51,137,0,268,641
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 117","Laval",13,6,24,4,66,113,1,227,684
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 118","Laval",15,3,47,13,62,112,2,254,770
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 119","Laval",17,4,22,7,36,86,4,176,487
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 120A","Laval",15,3,27,14,45,101,0,205,566
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 120B","Laval",14,8,25,2,37,61,0,147,531
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 120C","Laval",5,2,20,10,32,93,1,163,490
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 121","Laval",29,9,57,5,24,134,7,265,520
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 122","Laval",19,6,73,11,31,133,9,282,536
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 123","Laval",22,3,73,15,30,93,2,238,544
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 124","Laval",20,5,104,9,25,81,0,244,512
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 125","Laval",31,7,64,8,30,83,6,229,490
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 126","Laval",24,5,60,10,28,129,3,259,523
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 127","Laval",25,6,114,7,30,117,3,302,528
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 128","Laval",23,3,74,3,20,103,7,233,504
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 129","Laval",24,5,74,13,28,87,11,242,531
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 130","Laval",17,4,58,10,28,108,3,228,492
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 131","Laval",37,10,123,9,24,95,8,306,556
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 132","Laval",21,13,96,15,23,135,5,308,531
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 133","Laval",20,10,42,6,16,113,9,216,473
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 134","Laval",36,3,93,10,45,106,4,297,536
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 135","Laval",18,5,39,11,14,88,2,177,535
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 136","Laval",14,5,44,4,15,67,5,154,491
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 137","Laval",21,5,37,11,18,91,3,186,527
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 138","Laval",22,4,58,10,12,73,1,180,533
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 139","Laval",13,8,71,14,23,94,2,225,554
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 140","Laval",20,5,53,11,30,116,5,240,594
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 141","Laval",24,3,62,10,35,105,2,241,545
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 142","Laval",18,5,36,10,34,115,7,225,541
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 143","Laval",33,11,35,12,33,156,2,282,576
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 144","Laval",18,7,41,13,34,129,1,243,524
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 145","Laval",22,14,57,6,23,121,5,248,552
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 400","Laval",7,6,71,4,15,141,12,256,247
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 401","Laval",0,6,70,2,7,73,10,168,199
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 402","Laval",2,0,47,0,8,66,7,130,160
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 403","Laval",Void/Supprimé,,,,,,,,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 404","Laval",0,3,1,1,26,14,0,45,140
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 405","Laval",1,0,3,0,1,9,1,15,88
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 406","Laval",0,1,15,1,2,34,1,54,150
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°25,,,,,,,,22
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°48,,,,,,,,23
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°49,,,,,,,,71
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°63,,,,,,,,116
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°117,,,,,,,,71
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°46,,,,,,,,92
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 600","Laval",82,29,494,36,141,481,29,1292,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 601","Laval",78,17,383,21,130,558,15,1202,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 602","Laval",30,6,318,23,111,315,9,812,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 603","Laval",66,16,446,19,107,421,13,1088,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 604","Laval",77,12,496,15,97,365,22,1084,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 605","Laval",78,10,328,24,102,466,12,1020,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 606","Laval",89,25,628,16,152,619,20,1549,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 607","Laval",78,27,451,22,161,491,18,1248,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 608","Laval",48,5,233,16,87,245,8,642,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 609","Laval",68,8,318,38,193,639,10,1274,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 610","Laval",42,14,315,15,84,294,12,776,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 611","Laval",53,21,367,20,114,416,13,1004,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 612","Laval",63,12,451,25,115,379,18,1063,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 613","Laval",51,22,269,14,84,280,12,732,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 614","Laval",35,6,210,15,82,270,10,628,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin",,Group 1/Groupe 1, 21,3,81,9,28,114,16,272,48
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin",,Group 2/Groupe 2, 91,12,482,21,173,653,107,1539,
