Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Bowman,Tristan Dineen,Aisha Jahangir,Joshua Leier,Karen Levenson,Lloyd Longfield,Ashish Sachan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Guelph/Guelph"," 76","Guelph",21,0,63,3,0,116,20,0,223,579
35032,"Guelph/Guelph"," 77","Guelph",15,0,16,9,0,42,19,5,106,309
35032,"Guelph/Guelph"," 78","Guelph",3,0,34,6,2,49,33,1,128,454
35032,"Guelph/Guelph"," 79","Guelph",5,0,41,6,0,37,20,1,110,400
35032,"Guelph/Guelph"," 80","Guelph",16,0,30,8,1,46,50,3,154,439
35032,"Guelph/Guelph"," 81","Guelph",6,0,29,4,1,45,18,0,103,396
35032,"Guelph/Guelph"," 82","Guelph",12,3,31,16,1,71,46,3,183,603
35032,"Guelph/Guelph"," 83","Guelph",6,0,44,9,2,56,36,8,161,508
35032,"Guelph/Guelph"," 84","Guelph",22,1,69,13,2,58,36,0,201,538
35032,"Guelph/Guelph"," 85","Guelph",31,4,91,13,2,77,39,0,257,644
35032,"Guelph/Guelph"," 86","Guelph",19,0,74,7,2,35,15,1,153,361
35032,"Guelph/Guelph"," 87","Guelph",25,1,84,7,2,73,31,0,223,473
35032,"Guelph/Guelph"," 88","Guelph",13,1,63,4,0,66,29,0,176,560
35032,"Guelph/Guelph"," 89","Guelph",34,0,57,7,0,86,32,0,216,472
35032,"Guelph/Guelph"," 90","Guelph",41,1,77,12,1,86,31,0,249,513
35032,"Guelph/Guelph"," 91","Guelph",30,1,75,9,0,84,24,0,223,490
35032,"Guelph/Guelph"," 92","Guelph",30,0,77,11,0,109,27,0,254,563
35032,"Guelph/Guelph"," 93","Guelph",39,1,79,6,0,122,25,2,274,593
35032,"Guelph/Guelph"," 94","Guelph",21,1,78,10,0,81,49,1,241,601
35032,"Guelph/Guelph"," 95","Guelph",31,0,71,15,0,109,35,3,264,590
35032,"Guelph/Guelph"," 96","Guelph",35,0,83,22,0,118,82,2,342,738
35032,"Guelph/Guelph"," 97","Guelph",18,0,65,10,5,60,39,2,199,546
35032,"Guelph/Guelph"," 98","Guelph",26,2,68,6,1,93,45,6,247,598
35032,"Guelph/Guelph"," 99","Guelph",17,0,42,10,2,54,38,1,164,466
35032,"Guelph/Guelph"," 100","Guelph",16,0,47,10,2,61,47,2,185,531
35032,"Guelph/Guelph"," 101","Guelph",26,0,27,1,2,246,108,8,418,690
35032,"Guelph/Guelph"," 102","Guelph",8,0,19,0,0,124,34,2,187,307
35032,"Guelph/Guelph"," 103","Guelph",18,1,34,18,0,92,55,0,218,556
35032,"Guelph/Guelph"," 104","Guelph",4,0,31,6,0,64,41,0,146,437
35032,"Guelph/Guelph"," 105","Guelph",20,1,42,12,0,75,48,1,199,567
35032,"Guelph/Guelph"," 106","Guelph",16,0,26,8,1,67,40,1,159,414
35032,"Guelph/Guelph"," 107","Guelph",7,1,56,19,1,66,56,1,207,741
35032,"Guelph/Guelph"," 108","Guelph",14,0,42,5,0,77,46,1,185,369
35032,"Guelph/Guelph"," 109","Guelph",16,0,47,10,3,74,29,1,180,384
35032,"Guelph/Guelph"," 110","Guelph",2,1,5,1,1,60,31,1,102,325
35032,"Guelph/Guelph"," 111A","Guelph",8,0,22,4,1,99,53,0,187,590
35032,"Guelph/Guelph"," 111B","Guelph",9,1,28,6,0,118,62,0,224,638
35032,"Guelph/Guelph"," 112","Guelph",11,1,29,3,0,102,63,0,209,686
35032,"Guelph/Guelph"," 113","Guelph",5,0,36,10,0,86,49,0,186,524
35032,"Guelph/Guelph"," 114","Guelph",65,2,346,9,1,176,176,2,777,1141
35032,"Guelph/Guelph"," 115","Guelph",26,2,72,8,0,107,53,4,272,643
35032,"Guelph/Guelph"," 116","Guelph",15,0,38,6,1,103,40,2,205,551
35032,"Guelph/Guelph"," 117","Guelph",22,1,63,5,0,80,67,1,239,588
35032,"Guelph/Guelph"," 118","Guelph",29,2,54,5,0,83,56,0,229,677
