Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guled Arale,Mohsin Bhuiyan,Bill Blair,Amanda Cain,Ramona Pache,David Edward-Ooi Poon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 407","Toronto",22,6,83,4,1,2,8,126,269
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 408","Scarborough",Void/Supprimé,,,,,,,,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 409","Scarborough",Void/Supprimé,,,,,,,,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 410","Toronto",Merged with No./Fusionné avec le n°38,,,,,,,,89
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 411","Toronto",Merged with No./Fusionné avec le n°39,,,,,,,,75
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 412","Toronto",46,76,175,4,5,1,1,308,523
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 413","Toronto",40,57,151,8,12,2,5,275,526
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 414","Toronto",11,28,135,6,3,1,0,184,325
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 415","Toronto",28,36,125,4,9,0,1,203,432
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 416","Toronto",Merged with No./Fusionné avec le n°85,,,,,,,,165
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 417","Toronto",Merged with No./Fusionné avec le n°85,,,,,,,,266
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 418","Toronto",Merged with No./Fusionné avec le n°85,,,,,,,,292
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 419","Toronto",7,12,43,2,0,2,0,66,186
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 420","Toronto",4,8,45,6,0,1,0,64,133
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 421","Toronto",Merged with No./Fusionné avec le n°104,,,,,,,,191
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 422","Toronto",Merged with No./Fusionné avec le n°102,,,,,,,,290
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 423","Toronto",Merged with No./Fusionné avec le n°103,,,,,,,,286
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 424","Toronto",Merged with No./Fusionné avec le n°113,,,,,,,,291
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 425","Toronto",Merged with No./Fusionné avec le n°114,,,,,,,,318
