Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abdifatah Abdi,Brian Deheer,Laila Goodridge,Shawn McDonald,Jonathan Meyers,Garnett Robinson,Hughie Shane Whitmore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 193","Cold Lake",4,3,99,15,2,21,0,0,144,421
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 194","Cold Lake",7,3,83,21,1,17,0,0,132,494
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 195","Cold Lake",8,4,83,13,2,18,0,0,128,309
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 196","Cherry Grove",2,1,188,24,3,13,0,1,232,435
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 197","Cherry Grove",5,5,176,25,2,12,0,1,226,365
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 198","Cold Lake 149",22,1,23,1,0,31,0,1,79,417
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 199","Cherry Grove",0,1,18,2,7,0,0,1,29,119
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 500","Mobile poll/Bureau itinérant",1,1,10,1,0,0,0,0,13,32
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 501","Mobile poll/Bureau itinérant",1,0,4,0,0,1,0,0,6,8
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 502","Mobile poll/Bureau itinérant",0,0,4,0,1,1,0,0,6,17
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 503","Mobile poll/Bureau itinérant",7,1,11,1,0,2,2,0,24,30
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 504","Mobile poll/Bureau itinérant",0,0,4,3,0,2,0,0,9,13
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 505","Mobile poll/Bureau itinérant",2,1,3,4,0,0,0,0,10,15
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 506","Mobile poll/Bureau itinérant",10,2,13,1,0,4,2,1,33,51
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°156,,,,,,,,,32
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°170,,,,,,,,,32
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 509","Mobile poll/Bureau itinérant",1,1,8,0,1,1,0,0,12,27
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 510","Mobile poll/Bureau itinérant",1,3,12,0,0,0,0,1,17,24
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 511","Mobile poll/Bureau itinérant",7,0,12,1,0,0,0,4,24,34
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 512","Mobile poll/Bureau itinérant",3,0,2,0,0,0,0,0,5,11
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°155,,,,,,,,,25
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 600","Fort Chipewyan",10,0,12,2,1,16,0,2,43,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 601","Wood Buffalo--Fort Mckay 174",0,0,0,0,0,0,0,0,0,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 602","Fort McMurray",15,1,257,53,6,26,1,1,360,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 603","Wood Buffalo",45,3,509,56,2,38,2,1,656,
