Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aime Calle Cabrera,Christine Dandenault,Marc-André Doucet-Beauchamp,Zachary Lavarenne,Simon Marchand,Soraya Martinez Ferrada,Michelle Paquette,Catheryn Roy-Goyette,Alan Smithee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24028,"Hochelaga/Hochelaga"," 109","Montréal",9,1,5,5,66,37,0,39,1,2,165,343
24028,"Hochelaga/Hochelaga"," 110","Montréal",6,0,7,2,49,40,0,60,2,3,169,372
24028,"Hochelaga/Hochelaga"," 111","Montréal",2,0,5,4,42,32,1,38,0,3,127,323
24028,"Hochelaga/Hochelaga"," 112","Montréal",7,0,3,3,54,58,0,52,3,2,182,379
24028,"Hochelaga/Hochelaga"," 113","Montréal",4,0,2,5,45,36,0,57,1,5,155,408
24028,"Hochelaga/Hochelaga"," 114","Montréal",6,1,0,2,56,49,0,27,1,3,145,377
24028,"Hochelaga/Hochelaga"," 115","Montréal",1,0,8,4,58,59,0,45,1,3,179,396
24028,"Hochelaga/Hochelaga"," 116","Montréal",13,0,4,8,80,97,2,35,2,2,243,560
24028,"Hochelaga/Hochelaga"," 117","Montréal",1,0,2,1,30,64,0,17,1,1,117,283
24028,"Hochelaga/Hochelaga"," 118","Montréal",5,0,3,6,75,78,1,39,2,11,220,440
24028,"Hochelaga/Hochelaga"," 119","Montréal",10,1,4,0,34,82,0,16,1,5,153,461
24028,"Hochelaga/Hochelaga"," 120","Montréal",13,0,6,5,50,94,0,36,0,8,212,479
24028,"Hochelaga/Hochelaga"," 121","Montréal",1,0,5,7,29,50,0,48,0,1,141,422
24028,"Hochelaga/Hochelaga"," 122","Montréal",4,0,4,2,39,45,0,56,0,4,154,352
24028,"Hochelaga/Hochelaga"," 123","Montréal",5,0,5,5,45,29,0,62,2,1,154,381
24028,"Hochelaga/Hochelaga"," 124","Montréal",5,1,0,2,42,46,0,44,2,2,144,383
24028,"Hochelaga/Hochelaga"," 125","Montréal",5,1,3,2,53,20,1,50,2,4,141,359
24028,"Hochelaga/Hochelaga"," 126","Montréal",7,0,4,2,52,27,0,49,0,2,143,445
24028,"Hochelaga/Hochelaga"," 127","Montréal",0,0,5,3,32,22,5,38,2,4,111,385
24028,"Hochelaga/Hochelaga"," 128","Montréal",2,0,1,5,25,34,1,33,1,2,104,322
24028,"Hochelaga/Hochelaga"," 129","Montréal",0,2,6,2,44,41,0,70,0,3,168,409
24028,"Hochelaga/Hochelaga"," 130","Montréal",2,0,2,4,40,34,0,42,2,0,126,364
24028,"Hochelaga/Hochelaga"," 131","Montréal",6,0,1,5,73,54,1,49,0,6,195,432
24028,"Hochelaga/Hochelaga"," 132","Montréal",3,0,2,1,48,62,0,41,0,4,161,375
24028,"Hochelaga/Hochelaga"," 133","Montréal",4,0,6,6,53,50,0,77,1,4,201,444
24028,"Hochelaga/Hochelaga"," 134","Montréal",0,0,4,1,42,22,1,46,1,3,120,332
24028,"Hochelaga/Hochelaga"," 135","Montréal",5,0,3,8,76,66,0,36,2,5,201,513
24028,"Hochelaga/Hochelaga"," 136","Montréal",1,0,6,2,52,41,1,70,2,1,176,449
24028,"Hochelaga/Hochelaga"," 137","Montréal",4,1,2,3,41,38,1,37,0,0,127,308
24028,"Hochelaga/Hochelaga"," 138","Montréal",8,0,5,6,40,58,0,43,0,0,160,434
24028,"Hochelaga/Hochelaga"," 139","Montréal",11,1,4,6,57,64,2,68,1,2,216,420
24028,"Hochelaga/Hochelaga"," 140","Montréal",4,0,3,9,62,64,1,52,1,0,196,446
24028,"Hochelaga/Hochelaga"," 141","Montréal",3,0,6,5,43,49,0,60,0,1,167,447
24028,"Hochelaga/Hochelaga"," 142","Montréal",5,0,1,6,35,36,0,55,1,3,142,338
24028,"Hochelaga/Hochelaga"," 143","Montréal",5,0,1,3,45,36,0,45,2,0,137,304
24028,"Hochelaga/Hochelaga"," 144","Montréal",4,0,7,4,42,33,0,67,2,6,165,424
24028,"Hochelaga/Hochelaga"," 145","Montréal",3,0,0,3,46,36,0,39,5,2,134,306
24028,"Hochelaga/Hochelaga"," 146","Montréal",4,0,6,4,59,43,0,49,3,2,170,448
24028,"Hochelaga/Hochelaga"," 147","Montréal",0,1,6,2,41,31,1,45,1,2,130,337
24028,"Hochelaga/Hochelaga"," 148","Montréal",7,2,2,5,27,50,0,42,2,4,141,420
24028,"Hochelaga/Hochelaga"," 149","Montréal",3,0,2,3,15,57,0,25,0,5,110,383
24028,"Hochelaga/Hochelaga"," 150","Montréal",6,0,4,2,36,33,1,36,0,2,120,271
24028,"Hochelaga/Hochelaga"," 151","Montréal",7,0,1,6,59,44,0,38,3,1,159,364
24028,"Hochelaga/Hochelaga"," 152","Montréal",6,0,6,3,59,51,1,48,2,0,176,489
24028,"Hochelaga/Hochelaga"," 153","Montréal",14,0,4,6,62,63,0,72,1,0,222,492
24028,"Hochelaga/Hochelaga"," 154","Montréal",1,0,1,7,44,24,0,68,2,0,147,378
24028,"Hochelaga/Hochelaga"," 155","Montréal",5,0,2,4,27,37,0,36,1,3,115,333
24028,"Hochelaga/Hochelaga"," 156","Montréal",3,0,1,4,37,45,0,40,1,3,134,365
24028,"Hochelaga/Hochelaga"," 157","Montréal",6,0,2,5,46,61,0,37,0,4,161,427
24028,"Hochelaga/Hochelaga"," 158","Montréal",2,1,4,7,37,41,1,35,0,1,129,398
24028,"Hochelaga/Hochelaga"," 159","Montréal",1,0,2,2,19,24,2,53,0,0,103,285
24028,"Hochelaga/Hochelaga"," 160","Montréal",0,0,3,4,23,30,1,46,1,1,109,454
24028,"Hochelaga/Hochelaga"," 161","Montréal",10,0,8,7,27,56,2,51,0,2,163,446
24028,"Hochelaga/Hochelaga"," 162","Montréal",7,0,3,4,22,40,2,58,2,1,139,328
24028,"Hochelaga/Hochelaga"," 163","Montréal",6,0,15,5,36,55,0,41,0,3,161,378
24028,"Hochelaga/Hochelaga"," 164","Montréal",6,0,6,4,53,57,2,74,0,6,208,426
24028,"Hochelaga/Hochelaga"," 165","Montréal",3,0,6,7,58,41,0,81,0,6,202,424
24028,"Hochelaga/Hochelaga"," 166","Montréal",2,0,3,4,71,53,3,64,0,2,202,428
24028,"Hochelaga/Hochelaga"," 167","Montréal",1,0,3,5,38,26,0,37,0,1,111,256
24028,"Hochelaga/Hochelaga"," 168","Montréal",8,1,5,8,52,49,2,80,2,1,208,451
24028,"Hochelaga/Hochelaga"," 169","Montréal",8,0,5,5,44,47,2,65,1,4,181,335
24028,"Hochelaga/Hochelaga"," 170","Montréal",4,0,3,8,47,35,0,67,0,2,166,349
24028,"Hochelaga/Hochelaga"," 171","Montréal",3,1,6,0,45,29,0,52,2,2,140,357
24028,"Hochelaga/Hochelaga"," 172","Montréal",7,0,3,6,38,40,2,87,1,4,188,387
24028,"Hochelaga/Hochelaga"," 173","Montréal",4,0,2,0,15,24,0,29,1,1,76,318
24028,"Hochelaga/Hochelaga"," 174","Montréal",5,0,3,2,41,44,0,60,1,5,161,397
24028,"Hochelaga/Hochelaga"," 175","Montréal",3,0,3,11,61,20,4,60,1,3,166,390
24028,"Hochelaga/Hochelaga"," 176","Montréal",3,1,2,1,40,14,2,41,2,3,109,356
24028,"Hochelaga/Hochelaga"," 177","Montréal",4,0,3,6,55,42,0,68,0,3,181,409
24028,"Hochelaga/Hochelaga"," 178","Montréal",7,1,9,8,55,53,0,57,0,0,190,432
24028,"Hochelaga/Hochelaga"," 179","Montréal",3,0,5,1,28,47,1,42,1,0,128,280
24028,"Hochelaga/Hochelaga"," 180","Montréal",7,0,3,5,43,52,0,68,2,7,187,387
24028,"Hochelaga/Hochelaga"," 181","Montréal",2,0,3,6,36,38,1,57,0,2,145,321
24028,"Hochelaga/Hochelaga"," 182","Montréal",6,1,2,4,45,50,0,39,0,2,149,358
24028,"Hochelaga/Hochelaga"," 183","Montréal",6,0,3,4,38,34,0,62,2,3,152,330
24028,"Hochelaga/Hochelaga"," 184","Montréal",7,3,8,8,47,27,0,63,3,3,169,353
24028,"Hochelaga/Hochelaga"," 185","Montréal",7,0,6,4,45,56,0,48,2,1,169,416
24028,"Hochelaga/Hochelaga"," 186","Montréal",1,1,5,3,35,23,1,55,1,4,129,310
24028,"Hochelaga/Hochelaga"," 187","Montréal",2,0,4,3,32,44,0,45,1,3,134,324
24028,"Hochelaga/Hochelaga"," 188","Montréal",6,0,0,3,30,49,1,70,1,1,161,415
24028,"Hochelaga/Hochelaga"," 189","Montréal",8,0,5,5,53,50,0,47,1,0,169,398
24028,"Hochelaga/Hochelaga"," 400","Montréal",10,2,1,1,117,161,0,3,0,10,305,366
24028,"Hochelaga/Hochelaga"," 401","Montréal",4,0,2,2,43,45,0,7,0,0,103,251
24028,"Hochelaga/Hochelaga"," 402","Montréal",5,0,3,1,27,42,0,4,0,1,83,248
24028,"Hochelaga/Hochelaga"," 403","Montréal",5,0,1,0,28,32,0,11,0,1,78,194
24028,"Hochelaga/Hochelaga"," 404","Montréal",25,1,2,2,129,170,0,7,0,12,348,455
24028,"Hochelaga/Hochelaga"," 405","Montréal",15,1,1,0,104,162,0,5,0,14,302,447
24028,"Hochelaga/Hochelaga"," 406","Montréal",7,0,1,0,34,49,0,12,0,1,104,532
24028,"Hochelaga/Hochelaga"," 407","Montréal",5,0,5,1,32,46,0,18,0,0,107,561
24028,"Hochelaga/Hochelaga"," 500","Mobile poll/Bureau itinérant",0,0,0,1,7,15,0,1,0,8,32,47
24028,"Hochelaga/Hochelaga"," 501","Mobile poll/Bureau itinérant",0,1,1,0,0,9,1,1,0,0,13,20
24028,"Hochelaga/Hochelaga"," 502","Mobile poll/Bureau itinérant",1,0,0,0,8,20,0,1,0,1,31,64
24028,"Hochelaga/Hochelaga"," 503","Mobile poll/Bureau itinérant",0,1,0,2,5,21,2,2,0,1,34,101
24028,"Hochelaga/Hochelaga"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,,
24028,"Hochelaga/Hochelaga"," 505","Mobile poll/Bureau itinérant",3,1,1,1,10,19,1,0,0,5,41,105
24028,"Hochelaga/Hochelaga"," 506","Mobile poll/Bureau itinérant",2,0,1,1,2,23,1,5,0,4,39,116
24028,"Hochelaga/Hochelaga"," 507","Montréal",Merged with No./Fusionné avec le n°108,,,,,,,,,,,26
24028,"Hochelaga/Hochelaga"," 508","Montréal",Merged with No./Fusionné avec le n°140,,,,,,,,,,,97
24028,"Hochelaga/Hochelaga"," 509","Mobile poll/Bureau itinérant",2,1,0,0,7,10,0,3,2,3,28,128
24028,"Hochelaga/Hochelaga"," 510","Mobile poll/Bureau itinérant",3,0,0,1,5,13,1,1,0,3,27,82
24028,"Hochelaga/Hochelaga"," 600","Montréal",63,0,9,6,375,495,1,56,5,11,1021,
24028,"Hochelaga/Hochelaga"," 601","Montréal",29,0,12,4,141,241,1,44,1,8,481,
24028,"Hochelaga/Hochelaga"," 602","Montréal",85,1,15,20,423,553,1,68,2,18,1186,
24028,"Hochelaga/Hochelaga"," 603","Montréal",32,0,9,6,217,218,0,72,1,6,561,
24028,"Hochelaga/Hochelaga"," 604","Montréal",20,0,9,9,177,136,0,76,3,4,434,
24028,"Hochelaga/Hochelaga"," 605","Montréal",53,1,12,14,345,294,0,81,3,15,818,
24028,"Hochelaga/Hochelaga"," 606","Montréal",20,1,10,7,193,188,0,55,2,5,481,
24028,"Hochelaga/Hochelaga"," 607","Montréal",42,3,17,10,291,372,0,134,5,6,880,
24028,"Hochelaga/Hochelaga"," 608","Montréal",68,3,14,16,578,568,1,109,1,4,1362,
24028,"Hochelaga/Hochelaga"," 609","Montréal",15,2,10,14,248,171,3,191,1,8,663,
24028,"Hochelaga/Hochelaga"," 610","Montréal",33,2,16,33,408,426,1,214,9,20,1162,
24028,"Hochelaga/Hochelaga"," 611","Montréal",13,1,7,8,264,176,2,151,8,7,637,
24028,"Hochelaga/Hochelaga"," 612","Montréal",21,2,15,15,297,208,4,196,4,14,776,
24028,"Hochelaga/Hochelaga"," 613","Montréal",22,2,21,17,290,235,2,217,2,9,817,
24028,"Hochelaga/Hochelaga"," 614","Montréal",14,1,24,12,270,223,2,206,2,19,773,
24028,"Hochelaga/Hochelaga"," 615","Montréal",32,1,21,23,303,226,0,258,10,17,891,
24028,"Hochelaga/Hochelaga",,Group 1/Groupe 1, 27,1,6,8,101,159,0,65,3,19,389,192
24028,"Hochelaga/Hochelaga",,Group 2/Groupe 2, 66,0,14,28,564,771,1,321,8,110,1883,
