Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lorilee Carrier,Richard Dunn,Serge Landry,Ginette Petitpas Taylor,Darlene Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 25","Moncton",13,11,27,60,41,0,152,416
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 26","Moncton",14,9,33,71,37,1,165,503
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 27","Moncton",7,10,34,87,32,0,170,485
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 28","Moncton",7,6,25,40,29,1,108,347
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 29","Moncton",10,1,34,36,22,0,103,389
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 30","Dieppe",6,3,29,68,15,4,125,405
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 31","Dieppe",5,5,21,85,19,0,135,337
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 32","Dieppe",8,9,19,65,9,1,111,352
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 33","Dieppe",5,6,17,51,21,0,100,346
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 34","Dieppe",9,5,14,48,4,0,80,318
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 35","Dieppe",5,9,25,69,21,0,129,633
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 36","Moncton",2,7,47,68,33,0,157,519
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 37","Moncton",3,3,17,54,20,0,97,355
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 38","Moncton",6,5,26,91,37,1,166,501
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 39","Moncton",9,12,30,85,34,1,171,499
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 40","Moncton",15,4,39,40,16,0,114,480
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 41","Moncton",17,24,45,56,24,0,166,618
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 42","Moncton",8,4,54,96,44,1,207,678
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 43","Moncton",18,5,39,52,25,2,141,371
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 44","Moncton",38,18,35,46,27,0,164,383
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 45","Moncton",17,9,61,65,27,2,181,592
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 46","Moncton",14,15,51,83,14,3,180,410
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 47","Dieppe",11,7,27,53,19,2,119,485
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 48","Dieppe",19,8,79,102,27,1,236,638
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 49","Dieppe",10,8,22,97,21,1,159,452
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 50","Dieppe",10,6,21,127,23,1,188,555
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 51","Dieppe",16,4,26,107,20,0,173,432
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 52","Dieppe",14,2,33,66,22,0,137,378
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 53","Dieppe",15,4,39,93,28,2,181,565
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 54","Dieppe",13,7,21,95,12,0,148,380
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 55","Moncton",5,15,34,46,22,1,123,389
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 56","Moncton",13,7,22,32,7,0,81,344
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 57","Moncton",9,8,32,50,15,1,115,340
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 58","Moncton",5,17,21,57,9,2,111,348
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 59","Moncton",3,18,27,64,21,1,134,342
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 60","Moncton",15,11,38,55,34,1,154,509
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 61","Moncton",10,3,22,69,21,0,125,481
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 62","Moncton",18,11,52,89,21,0,191,510
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 63","Moncton",14,8,27,68,22,0,139,494
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 64","Moncton",8,9,30,51,18,5,121,446
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 65","Moncton",17,11,24,60,48,2,162,517
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 66","Moncton",27,10,34,77,35,1,184,474
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 67","Moncton",7,7,13,52,64,0,143,547
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 68","Moncton",10,6,51,84,45,1,197,610
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 69","Moncton",15,2,38,61,45,1,162,480
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 70","Moncton",13,5,43,71,23,1,156,412
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 71","Moncton",14,12,34,143,58,0,261,712
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 72","Moncton",14,8,30,96,100,1,249,658
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 73","Moncton",9,4,45,52,13,0,123,337
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 74","Moncton",5,4,17,28,14,1,69,363
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 75","Moncton",10,10,28,59,17,0,124,424
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 76","Moncton",9,3,25,63,28,0,128,447
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 77","Moncton",5,1,16,55,33,3,113,474
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 78","Moncton",16,1,65,88,30,0,200,555
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 79","Moncton",17,9,29,66,36,0,157,447
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 80","Moncton",16,3,53,86,29,2,189,530
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 81","Moncton",15,9,25,45,34,2,130,438
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 82","Dieppe",3,2,20,105,17,2,149,478
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 83","Dieppe",8,5,31,100,18,0,162,456
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 84","Dieppe",8,4,20,101,28,0,161,420
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 85","Dieppe",5,9,15,81,10,0,120,397
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 86","Dieppe",14,11,44,77,22,0,168,543
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 87","Moncton",4,3,36,38,16,0,97,421
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 88","Moncton",10,9,21,48,19,2,109,417
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 89","Moncton",6,7,18,37,17,1,86,337
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 90","Moncton",18,16,45,70,11,0,160,489
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 91","Moncton",17,12,36,95,22,2,184,510
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 92","Moncton",16,12,35,66,30,1,160,504
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 93","Moncton",4,2,47,84,55,0,192,404
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 94","Moncton",8,4,33,65,39,0,149,429
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 95","Moncton",12,4,24,52,32,0,124,383
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 96","Moncton",3,3,31,89,36,0,162,385
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 97","Moncton",8,3,27,83,37,0,158,379
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 98","Moncton",8,7,31,72,40,0,158,405
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 99","Moncton",9,15,50,93,52,2,221,546
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 100","Moncton",11,10,38,114,75,0,248,570
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 101","Moncton",9,13,32,51,10,1,116,327
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 102","Moncton",13,8,23,29,14,0,87,310
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 103","Moncton",3,8,30,39,21,0,101,326
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 104","Moncton",15,2,18,32,14,0,81,372
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 105","Moncton",14,11,38,56,17,0,136,398
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 106","Moncton",14,17,25,64,26,0,146,434
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 107","Moncton",6,8,27,41,30,0,112,437
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 108","Moncton",12,6,32,59,37,0,146,376
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 109","Moncton",13,5,29,48,30,1,126,376
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 110","Moncton",17,6,42,55,19,3,142,461
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 111","Moncton",16,7,35,54,28,2,142,408
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 112","Moncton",5,4,25,66,41,0,141,418
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 113","Moncton",13,4,58,85,47,0,207,508
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 114","Moncton",7,11,35,100,47,0,200,444
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 115","Moncton",18,10,41,94,22,0,185,565
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 116","Moncton",4,3,39,69,44,0,159,420
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 117","Moncton",22,5,32,54,33,0,146,453
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 118","Moncton",9,5,35,103,32,0,184,422
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 119","Moncton",10,11,36,77,49,1,184,538
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 120","Moncton",16,3,39,83,66,1,208,550
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 121","Moncton",15,7,38,60,29,1,150,446
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 122","Moncton",12,3,20,43,32,0,110,330
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 123","Moncton",14,6,20,45,27,0,112,359
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 124","Moncton",12,8,14,29,14,6,83,344
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 125","Moncton",7,4,22,39,20,1,93,338
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 126","Moncton",7,6,32,56,20,1,122,368
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 127","Moncton",4,3,23,45,14,0,89,366
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 128","Moncton",7,15,28,80,34,1,165,407
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 129","Moncton",3,19,34,77,30,0,163,438
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 130","Moncton",12,3,24,43,27,0,109,342
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 131","Riverview",19,10,25,64,24,0,142,435
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 132","Riverview",8,9,32,47,56,0,152,462
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 133","Riverview",9,7,26,50,36,0,128,343
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 134","Riverview",9,8,36,50,31,1,135,412
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 135","Riverview",9,2,24,26,33,1,95,355
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 136","Riverview",8,4,31,41,35,2,121,371
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 137","Moncton",5,7,27,47,39,0,125,404
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 138","Moncton",19,4,22,57,22,0,124,422
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 139","Moncton",6,11,41,58,45,0,161,464
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 140","Moncton",12,9,27,45,22,0,115,404
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 141","Moncton",7,12,35,85,29,0,168,398
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 142","Riverview",6,10,30,106,70,0,222,569
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 143","Riverview",18,9,44,77,49,0,197,467
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 144","Riverview",15,8,28,71,50,0,172,472
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 145","Riverview",11,10,50,53,38,1,163,403
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 146","Moncton",8,11,34,77,38,0,168,524
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 147A","Moncton",13,6,27,39,44,0,129,461
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 147B","Moncton",Merged with No./Fusionné avec le n°401,,,,,,,39
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 148","Moncton",9,11,27,97,56,0,200,535
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 149","Riverview",6,5,28,68,27,0,134,433
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 150","Riverview",17,14,37,46,32,1,147,443
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 151","Riverview",17,4,34,59,40,1,155,392
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 152","Riverview",15,10,39,59,41,0,164,349
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 153","Riverview",24,7,40,63,72,3,209,493
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 154","Riverview",6,3,36,58,33,0,136,476
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 155","Riverview",21,8,57,67,38,1,192,530
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 156","Riverview",14,7,40,96,74,0,231,535
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 157","Moncton",5,3,36,41,32,0,117,333
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 158","Moncton",23,12,37,66,64,1,203,494
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 159","Moncton",20,11,33,54,67,0,185,463
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 160","Moncton",26,14,48,112,84,0,284,535
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 400","Moncton",5,3,4,32,4,0,48,205
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 401","Moncton",7,5,11,126,80,2,231,351
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°5,,,,,,,30
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°12,,,,,,,9
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°37,,,,,,,191
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°37,,,,,,,113
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°41,,,,,,,7
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°41,,,,,,,21
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°42,,,,,,,24
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°67,,,,,,,10
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 508","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°94,,,,,,,8
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 510","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°25,,,,,,,33
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°25,,,,,,,39
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°25,,,,,,,5
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°25,,,,,,,6
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°25,,,,,,,7
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,,19
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°121,,,,,,,15
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°80,,,,,,,31
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°106,,,,,,,32
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°111,,,,,,,24
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92,,,,,,,37
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°124,,,,,,,144
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°67,,,,,,,10
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°90,,,,,,,10
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 525","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°89,,,,,,,11
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 526","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°58,,,,,,,17
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 527","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°73,,,,,,,6
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 528","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 529","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°74,,,,,,,18
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 530","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°76,,,,,,,2
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 531","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°76,,,,,,,20
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 532","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°102,,,,,,,9
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 533","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°125,,,,,,,33
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 534","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°127,,,,,,,0
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 535","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°128,,,,,,,14
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 536","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°140,,,,,,,10
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 537","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°158,,,,,,,191
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 538","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°160,,,,,,,74
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 539","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°156,,,,,,,63
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 540","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°156,,,,,,,62
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 541","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°156,,,,,,,128
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 542","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°156,,,,,,,17
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 543","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°134,,,,,,,51
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 544","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°33,,,,,,,11
