Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand Chouinard,Lise des Greniers,Caroline Desrochers,Ruth Fontaine,Victoria Hernandez,Barbara Joannette,Alain Therrien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"La Prairie/La Prairie"," 102","Candiac",0,29,92,2,10,3,63,1,200,497
24034,"La Prairie/La Prairie"," 103","Candiac",0,32,82,3,14,4,56,0,191,473
24034,"La Prairie/La Prairie"," 104","Candiac",0,16,66,11,17,5,69,2,186,520
24034,"La Prairie/La Prairie"," 105","Candiac",0,15,66,2,25,1,42,2,153,443
24034,"La Prairie/La Prairie"," 106","Candiac",1,22,76,1,22,3,85,0,210,577
24034,"La Prairie/La Prairie"," 107","Candiac",0,26,104,3,17,2,57,2,211,671
24034,"La Prairie/La Prairie"," 108","Candiac",0,21,107,3,12,0,48,0,191,452
24034,"La Prairie/La Prairie"," 109","Candiac",0,32,82,6,15,2,71,0,208,574
24034,"La Prairie/La Prairie"," 110","Delson",0,6,46,7,16,10,82,9,176,454
24034,"La Prairie/La Prairie"," 111A","Delson",1,13,50,6,14,4,76,1,165,478
24034,"La Prairie/La Prairie"," 111B","Delson",1,19,46,6,16,2,69,3,162,500
24034,"La Prairie/La Prairie"," 112","Delson",Merged with No./Fusionné avec le n°114,,,,,,,,,412
24034,"La Prairie/La Prairie"," 113","Delson",0,15,62,9,18,9,73,0,186,615
24034,"La Prairie/La Prairie"," 114","Delson",1,24,107,7,26,10,140,15,330,417
24034,"La Prairie/La Prairie"," 115","Delson",0,16,59,5,15,3,75,0,173,398
24034,"La Prairie/La Prairie"," 116","Delson",0,25,69,5,19,9,50,2,179,445
24034,"La Prairie/La Prairie"," 117","Delson",0,24,86,8,19,4,101,6,248,511
24034,"La Prairie/La Prairie"," 118","Delson",1,14,57,13,20,1,59,6,171,444
24034,"La Prairie/La Prairie"," 119","Delson",0,20,71,7,10,6,80,0,194,450
24034,"La Prairie/La Prairie"," 120","Saint-Constant",0,17,58,12,7,2,79,8,183,568
24034,"La Prairie/La Prairie"," 121","Saint-Constant",0,14,57,2,9,2,99,3,186,417
24034,"La Prairie/La Prairie"," 122","Saint-Constant",2,20,42,9,21,3,100,8,205,526
24034,"La Prairie/La Prairie"," 123","Saint-Constant",0,16,43,3,30,2,95,3,192,597
24034,"La Prairie/La Prairie"," 124","Saint-Constant",2,16,39,2,17,3,123,0,202,528
24034,"La Prairie/La Prairie"," 125","Saint-Constant",0,8,44,10,11,3,70,1,147,470
24034,"La Prairie/La Prairie"," 126","Saint-Constant",0,8,39,3,20,4,130,6,210,490
24034,"La Prairie/La Prairie"," 127","Saint-Constant",1,18,57,2,17,6,112,1,214,527
24034,"La Prairie/La Prairie"," 128","Saint-Constant",0,12,52,3,20,5,97,6,195,540
24034,"La Prairie/La Prairie"," 129","Saint-Constant",0,29,59,3,19,3,112,3,228,477
24034,"La Prairie/La Prairie"," 130","Saint-Constant",0,8,46,8,10,1,94,2,169,430
24034,"La Prairie/La Prairie"," 131","Saint-Constant",0,18,46,6,11,8,111,7,207,530
24034,"La Prairie/La Prairie"," 132","Saint-Constant",0,20,40,6,20,3,110,1,200,516
24034,"La Prairie/La Prairie"," 133","Saint-Constant",2,22,67,4,25,2,93,3,218,483
24034,"La Prairie/La Prairie"," 134","Saint-Constant",0,13,50,18,22,1,100,6,210,588
24034,"La Prairie/La Prairie"," 135","Saint-Constant",0,26,44,8,16,7,105,1,207,463
24034,"La Prairie/La Prairie"," 136","Sainte-Catherine",0,20,36,7,22,5,88,0,178,489
24034,"La Prairie/La Prairie"," 137","Sainte-Catherine",0,15,62,4,17,2,99,2,201,525
24034,"La Prairie/La Prairie"," 138","Sainte-Catherine",0,17,51,9,20,2,78,2,179,415
24034,"La Prairie/La Prairie"," 139","Sainte-Catherine",0,9,37,7,10,2,69,3,137,401
24034,"La Prairie/La Prairie"," 140","Sainte-Catherine",0,14,38,4,4,0,61,2,123,391
24034,"La Prairie/La Prairie"," 141","Sainte-Catherine",1,12,31,6,18,6,54,3,131,371
24034,"La Prairie/La Prairie"," 142","Sainte-Catherine",0,12,53,6,12,3,80,5,171,389
24034,"La Prairie/La Prairie"," 143","Sainte-Catherine",0,18,40,6,22,3,114,1,204,439
24034,"La Prairie/La Prairie"," 144","Kahnawake 14",0,2,9,3,14,0,0,0,28,2376
24034,"La Prairie/La Prairie"," 145","Kahnawake 14",Merged with No./Fusionné avec le n°144,,,,,,,,,58
24034,"La Prairie/La Prairie"," 146","Saint-Philippe",0,23,59,10,29,3,95,0,219,650
24034,"La Prairie/La Prairie"," 147","Saint-Philippe",0,26,73,6,18,4,91,3,221,621
24034,"La Prairie/La Prairie"," 148","Saint-Philippe",0,21,89,11,20,1,89,5,236,610
24034,"La Prairie/La Prairie"," 149","Saint-Philippe",Merged with No./Fusionné avec le n°151,,,,,,,,,277
24034,"La Prairie/La Prairie"," 150","Saint-Philippe",0,17,55,9,17,1,67,2,168,449
24034,"La Prairie/La Prairie"," 151","Saint-Philippe",1,26,61,11,14,5,113,5,236,389
24034,"La Prairie/La Prairie"," 152","Saint-Philippe",0,21,48,2,18,1,86,4,180,495
24034,"La Prairie/La Prairie"," 153","Saint-Philippe",0,36,77,6,26,3,124,2,274,389
24034,"La Prairie/La Prairie"," 154","Saint-Philippe",Merged with No./Fusionné avec le n°153,,,,,,,,,306
24034,"La Prairie/La Prairie"," 155","Saint-Philippe",0,30,59,4,16,7,81,7,204,490
24034,"La Prairie/La Prairie"," 156","Saint-Philippe",0,27,60,7,12,2,83,8,199,523
24034,"La Prairie/La Prairie"," 157","Saint-Philippe",0,17,42,7,18,3,71,5,163,410
24034,"La Prairie/La Prairie"," 158","Saint-Constant",1,22,69,4,25,11,92,2,226,505
24034,"La Prairie/La Prairie"," 159","Saint-Constant",0,8,41,9,8,4,73,6,149,502
24034,"La Prairie/La Prairie"," 160","Saint-Constant",Merged with No./Fusionné avec le n°168,,,,,,,,,353
24034,"La Prairie/La Prairie"," 161","Saint-Constant",0,14,38,7,11,1,104,2,177,415
24034,"La Prairie/La Prairie"," 162","Saint-Constant",0,9,47,6,14,6,75,3,160,428
24034,"La Prairie/La Prairie"," 163","Saint-Constant",0,14,65,7,12,2,89,1,190,418
24034,"La Prairie/La Prairie"," 164","Saint-Constant",1,27,83,8,16,3,118,3,259,604
24034,"La Prairie/La Prairie"," 165","Saint-Constant",1,8,50,1,14,3,95,1,173,376
24034,"La Prairie/La Prairie"," 166","Saint-Constant",2,31,141,8,17,5,75,3,282,589
24034,"La Prairie/La Prairie"," 167","Saint-Constant",0,16,58,9,17,1,65,3,169,410
24034,"La Prairie/La Prairie"," 168","Saint-Constant",1,26,98,7,34,3,110,5,284,355
24034,"La Prairie/La Prairie"," 169A","Saint-Constant",1,16,64,8,15,5,76,1,186,510
24034,"La Prairie/La Prairie"," 169B","Saint-Constant",0,26,69,7,16,4,71,2,195,512
24034,"La Prairie/La Prairie"," 170","Saint-Constant",1,24,43,7,12,5,119,7,218,539
24034,"La Prairie/La Prairie"," 171","Saint-Constant",0,3,46,2,17,2,73,3,146,409
24034,"La Prairie/La Prairie"," 172A","Saint-Constant",0,26,98,10,16,4,78,1,233,594
24034,"La Prairie/La Prairie"," 172B","Saint-Constant",0,37,107,10,20,2,72,4,252,615
24034,"La Prairie/La Prairie"," 173","Saint-Constant",0,13,41,2,5,5,75,5,146,391
24034,"La Prairie/La Prairie"," 174","Saint-Mathieu",0,16,34,3,4,3,54,0,114,289
24034,"La Prairie/La Prairie"," 175","Saint-Mathieu",0,14,27,10,7,1,48,6,113,289
24034,"La Prairie/La Prairie"," 176","Saint-Constant",0,33,50,11,13,5,104,6,222,521
24034,"La Prairie/La Prairie"," 177","Saint-Mathieu",0,20,32,4,9,5,91,2,163,370
24034,"La Prairie/La Prairie"," 178","Saint-Mathieu",0,29,50,4,11,1,80,2,177,403
24034,"La Prairie/La Prairie"," 400A","Candiac",2,11,57,1,1,0,57,6,135,143
24034,"La Prairie/La Prairie"," 400B","Candiac",1,8,58,0,1,1,41,5,115,135
24034,"La Prairie/La Prairie"," 401A","Sainte-Catherine",2,10,54,1,2,1,34,8,112,153
24034,"La Prairie/La Prairie"," 401B","Sainte-Catherine",1,12,53,2,0,2,37,7,114,152
24034,"La Prairie/La Prairie"," 402A","Candiac",3,13,99,2,2,1,63,3,186,218
24034,"La Prairie/La Prairie"," 402B","Candiac",0,16,99,1,1,0,65,4,186,224
24034,"La Prairie/La Prairie"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°8,,,,,,,,,85
24034,"La Prairie/La Prairie"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°2,,,,,,,,,35
24034,"La Prairie/La Prairie"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°44,,,,,,,,,33
24034,"La Prairie/La Prairie"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°137,,,,,,,,,41
24034,"La Prairie/La Prairie"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°137,,,,,,,,,55
24034,"La Prairie/La Prairie"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°65,,,,,,,,,178
24034,"La Prairie/La Prairie"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°123,,,,,,,,,17
24034,"La Prairie/La Prairie"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°134,,,,,,,,,30
24034,"La Prairie/La Prairie"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°36A,,,,,,,,,177
24034,"La Prairie/La Prairie"," 600","La Prairie",3,115,447,23,56,24,493,16,1177,
24034,"La Prairie/La Prairie"," 601","La Prairie",3,133,424,28,75,24,573,27,1287,
24034,"La Prairie/La Prairie"," 602","La Prairie",1,183,741,26,98,23,745,11,1828,
24034,"La Prairie/La Prairie"," 603","La Prairie",1,126,533,26,70,25,646,12,1439,
24034,"La Prairie/La Prairie"," 604","Saint-Philippe",3,138,290,22,52,20,616,24,1165,
24034,"La Prairie/La Prairie"," 605","Candiac",0,176,496,8,50,9,325,4,1068,
24034,"La Prairie/La Prairie"," 606","Candiac",0,163,566,23,61,17,428,11,1269,
24034,"La Prairie/La Prairie"," 607","Candiac",2,149,654,14,99,17,525,13,1473,
24034,"La Prairie/La Prairie"," 608","Candiac",3,132,475,29,60,14,574,13,1300,
24034,"La Prairie/La Prairie"," 609","Sainte-Catherine",1,93,274,20,50,13,463,9,923,
24034,"La Prairie/La Prairie"," 610","Sainte-Catherine",2,76,264,31,71,9,587,14,1054,
24034,"La Prairie/La Prairie"," 611","Delson",3,149,470,35,70,24,845,13,1609,
24034,"La Prairie/La Prairie"," 612","Saint-Constant",4,124,386,32,63,16,662,22,1309,
24034,"La Prairie/La Prairie"," 613","Saint-Constant",4,120,362,22,48,14,802,15,1387,
24034,"La Prairie/La Prairie"," 614","Saint-Constant",1,141,497,33,81,15,857,14,1639,
24034,"La Prairie/La Prairie"," 615","Kahnawake--Sainte-Catherine",3,86,270,20,35,14,589,26,1043,
24034,"La Prairie/La Prairie"," 616","Saint-Constant",2,164,473,53,73,14,797,12,1588,
24034,"La Prairie/La Prairie"," 617","Saint-Philippe",1,80,145,7,24,12,332,14,615,
24034,"La Prairie/La Prairie",,Group 1/Groupe 1, 2,32,81,11,32,7,70,22,257,67
24034,"La Prairie/La Prairie",,Group 2/Groupe 2, 4,198,889,37,102,24,1133,94,2481,
