Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sukh Dhaliwal,Parveer Hundal,Avneet Johal,Syed Mohsin,Pamela Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59033,"Surrey--Newton/Surrey--Newton"," 25","Surrey",82,3,33,8,1,1,128,299
59033,"Surrey--Newton/Surrey--Newton"," 26","Surrey",125,7,44,25,5,0,206,504
59033,"Surrey--Newton/Surrey--Newton"," 27","Surrey",74,6,33,11,1,0,125,301
59033,"Surrey--Newton/Surrey--Newton"," 28","Surrey",134,3,63,23,1,0,224,478
59033,"Surrey--Newton/Surrey--Newton"," 29","Surrey",83,3,25,17,1,1,130,336
59033,"Surrey--Newton/Surrey--Newton"," 30","Surrey",65,3,11,7,1,2,89,302
59033,"Surrey--Newton/Surrey--Newton"," 31","Surrey",94,2,53,36,3,1,189,460
59033,"Surrey--Newton/Surrey--Newton"," 32","Surrey",96,6,33,41,5,1,182,466
59033,"Surrey--Newton/Surrey--Newton"," 33","Surrey",73,2,55,26,3,3,162,319
59033,"Surrey--Newton/Surrey--Newton"," 34","Surrey",107,2,58,30,4,1,202,438
59033,"Surrey--Newton/Surrey--Newton"," 35","Surrey",95,3,35,43,4,0,180,419
59033,"Surrey--Newton/Surrey--Newton"," 36","Surrey",131,3,58,34,10,5,241,772
59033,"Surrey--Newton/Surrey--Newton"," 37","Surrey",108,4,42,12,4,2,172,510
59033,"Surrey--Newton/Surrey--Newton"," 38","Surrey",107,4,27,15,2,2,157,584
59033,"Surrey--Newton/Surrey--Newton"," 39","Surrey",94,5,34,12,3,0,148,406
59033,"Surrey--Newton/Surrey--Newton"," 40","Surrey",70,2,29,29,3,5,138,381
59033,"Surrey--Newton/Surrey--Newton"," 41","Surrey",65,2,23,19,4,1,114,318
59033,"Surrey--Newton/Surrey--Newton"," 42","Surrey",75,1,30,16,4,3,129,415
59033,"Surrey--Newton/Surrey--Newton"," 43","Surrey",92,1,55,27,5,2,182,347
59033,"Surrey--Newton/Surrey--Newton"," 44","Surrey",Merged with No./Fusionné avec le n°43,,,,,,,266
59033,"Surrey--Newton/Surrey--Newton"," 45","Surrey",90,0,19,16,1,3,129,403
59033,"Surrey--Newton/Surrey--Newton"," 46","Surrey",65,4,49,29,11,2,160,497
59033,"Surrey--Newton/Surrey--Newton"," 47","Surrey",138,11,54,19,3,6,231,318
59033,"Surrey--Newton/Surrey--Newton"," 48","Surrey",95,18,45,12,2,1,173,374
59033,"Surrey--Newton/Surrey--Newton"," 49","Surrey",108,3,74,50,5,0,240,621
59033,"Surrey--Newton/Surrey--Newton"," 50","Surrey",90,2,27,16,2,2,139,468
59033,"Surrey--Newton/Surrey--Newton"," 51","Surrey",Merged with No./Fusionné avec le n°47,,,,,,,298
59033,"Surrey--Newton/Surrey--Newton"," 52","Surrey",73,6,40,11,0,3,133,432
59033,"Surrey--Newton/Surrey--Newton"," 53","Surrey",50,1,30,12,2,2,97,396
59033,"Surrey--Newton/Surrey--Newton"," 54","Surrey",59,2,27,6,2,2,98,386
59033,"Surrey--Newton/Surrey--Newton"," 55","Surrey",50,1,40,17,10,0,118,513
59033,"Surrey--Newton/Surrey--Newton"," 56","Surrey",49,1,44,24,3,1,122,476
59033,"Surrey--Newton/Surrey--Newton"," 57","Surrey",69,4,41,10,1,0,125,449
59033,"Surrey--Newton/Surrey--Newton"," 58","Surrey",67,2,20,10,5,0,104,416
59033,"Surrey--Newton/Surrey--Newton"," 59","Surrey",88,2,49,36,6,4,185,574
59033,"Surrey--Newton/Surrey--Newton"," 60","Surrey",29,3,27,26,6,0,91,349
59033,"Surrey--Newton/Surrey--Newton"," 61","Surrey",100,0,36,21,5,0,162,405
59033,"Surrey--Newton/Surrey--Newton"," 62","Surrey",55,0,36,25,6,1,123,472
59033,"Surrey--Newton/Surrey--Newton"," 63","Surrey",95,2,46,26,4,5,178,505
59033,"Surrey--Newton/Surrey--Newton"," 64","Surrey",45,1,32,22,13,1,114,380
59033,"Surrey--Newton/Surrey--Newton"," 65","Surrey",61,0,44,14,1,0,120,438
59033,"Surrey--Newton/Surrey--Newton"," 66","Surrey",44,2,31,22,7,1,107,449
59033,"Surrey--Newton/Surrey--Newton"," 67","Surrey",89,1,45,44,5,0,184,317
59033,"Surrey--Newton/Surrey--Newton"," 68","Surrey",Merged with No./Fusionné avec le n°67,,,,,,,255
59033,"Surrey--Newton/Surrey--Newton"," 69","Surrey",37,3,39,29,4,1,113,462
59033,"Surrey--Newton/Surrey--Newton"," 70","Surrey",44,0,50,30,1,2,127,504
59033,"Surrey--Newton/Surrey--Newton"," 71","Surrey",70,2,24,32,3,0,131,461
59033,"Surrey--Newton/Surrey--Newton"," 72","Surrey",74,6,72,33,7,0,192,513
59033,"Surrey--Newton/Surrey--Newton"," 73","Surrey",65,1,25,9,5,3,108,373
59033,"Surrey--Newton/Surrey--Newton"," 74","Surrey",95,6,55,16,1,1,174,420
59033,"Surrey--Newton/Surrey--Newton"," 75","Surrey",67,5,69,30,10,4,185,584
59033,"Surrey--Newton/Surrey--Newton"," 76","Surrey",90,2,25,20,0,3,140,396
59033,"Surrey--Newton/Surrey--Newton"," 77","Surrey",29,0,19,9,2,1,60,145
59033,"Surrey--Newton/Surrey--Newton"," 78","Surrey",84,10,43,21,3,8,169,376
59033,"Surrey--Newton/Surrey--Newton"," 79","Surrey",68,0,49,17,7,4,145,417
59033,"Surrey--Newton/Surrey--Newton"," 80","Surrey",59,2,38,22,2,3,126,505
59033,"Surrey--Newton/Surrey--Newton"," 81","Surrey",72,1,39,20,3,0,135,414
59033,"Surrey--Newton/Surrey--Newton"," 82","Surrey",69,5,25,18,2,2,121,370
59033,"Surrey--Newton/Surrey--Newton"," 83","Surrey",67,2,38,12,2,1,122,327
59033,"Surrey--Newton/Surrey--Newton"," 84","Surrey",44,2,35,13,0,2,96,362
59033,"Surrey--Newton/Surrey--Newton"," 85","Surrey",32,4,26,6,0,2,70,314
59033,"Surrey--Newton/Surrey--Newton"," 86","Surrey",98,2,28,7,2,3,140,420
59033,"Surrey--Newton/Surrey--Newton"," 87","Surrey",95,5,63,23,2,2,190,508
59033,"Surrey--Newton/Surrey--Newton"," 88","Surrey",59,2,24,9,2,0,96,353
59033,"Surrey--Newton/Surrey--Newton"," 89","Surrey",71,3,61,5,6,2,148,469
59033,"Surrey--Newton/Surrey--Newton"," 90","Surrey",80,1,33,8,3,1,126,454
59033,"Surrey--Newton/Surrey--Newton"," 91","Surrey",79,8,59,21,3,3,173,496
59033,"Surrey--Newton/Surrey--Newton"," 92","Surrey",50,3,50,10,5,3,121,456
59033,"Surrey--Newton/Surrey--Newton"," 93","Surrey",58,1,37,15,5,1,117,392
59033,"Surrey--Newton/Surrey--Newton"," 94","Surrey",86,0,31,9,1,0,127,485
59033,"Surrey--Newton/Surrey--Newton"," 95","Surrey",84,7,20,8,1,2,122,371
59033,"Surrey--Newton/Surrey--Newton"," 96","Surrey",97,4,46,10,1,5,163,549
59033,"Surrey--Newton/Surrey--Newton"," 97","Surrey",71,1,23,14,1,0,110,342
59033,"Surrey--Newton/Surrey--Newton"," 98","Surrey",102,3,38,25,7,2,177,716
59033,"Surrey--Newton/Surrey--Newton"," 99","Surrey",68,5,37,21,7,1,139,518
59033,"Surrey--Newton/Surrey--Newton"," 100","Surrey",80,4,44,9,0,0,137,397
59033,"Surrey--Newton/Surrey--Newton"," 101","Surrey",44,1,28,18,2,0,93,345
59033,"Surrey--Newton/Surrey--Newton"," 102","Surrey",117,9,51,55,6,2,240,571
59033,"Surrey--Newton/Surrey--Newton"," 103","Surrey",60,1,55,58,2,3,179,501
59033,"Surrey--Newton/Surrey--Newton"," 104","Surrey",69,3,41,28,4,3,148,377
59033,"Surrey--Newton/Surrey--Newton"," 105","Surrey",56,0,35,40,0,4,135,290
59033,"Surrey--Newton/Surrey--Newton"," 106","Surrey",58,2,26,45,3,1,135,347
59033,"Surrey--Newton/Surrey--Newton"," 107","Surrey",94,1,34,46,5,0,180,409
59033,"Surrey--Newton/Surrey--Newton"," 108","Surrey",56,1,40,28,5,3,133,360
59033,"Surrey--Newton/Surrey--Newton"," 109","Surrey",53,0,30,36,4,1,124,367
59033,"Surrey--Newton/Surrey--Newton"," 110","Surrey",84,1,32,35,4,0,156,364
59033,"Surrey--Newton/Surrey--Newton"," 111","Surrey",144,17,54,17,6,2,240,691
59033,"Surrey--Newton/Surrey--Newton"," 112","Surrey",85,2,63,48,5,3,206,864
59033,"Surrey--Newton/Surrey--Newton"," 113","Surrey",82,3,39,22,5,0,151,336
59033,"Surrey--Newton/Surrey--Newton"," 114","Surrey",96,1,29,18,4,0,148,398
59033,"Surrey--Newton/Surrey--Newton"," 115","Surrey",64,5,28,10,5,1,113,299
59033,"Surrey--Newton/Surrey--Newton"," 116","Surrey",73,2,56,45,11,1,188,542
59033,"Surrey--Newton/Surrey--Newton"," 117","Surrey",83,0,45,24,5,3,160,404
59033,"Surrey--Newton/Surrey--Newton"," 118","Surrey",59,3,36,26,6,1,131,427
59033,"Surrey--Newton/Surrey--Newton"," 119","Surrey",68,3,22,8,1,3,105,379
59033,"Surrey--Newton/Surrey--Newton"," 120","Surrey",78,0,69,34,3,1,185,602
59033,"Surrey--Newton/Surrey--Newton"," 121","Surrey",112,1,55,20,1,1,190,510
59033,"Surrey--Newton/Surrey--Newton"," 122","Surrey",83,3,31,23,3,2,145,552
59033,"Surrey--Newton/Surrey--Newton"," 123","Surrey",69,3,42,22,9,0,145,168
59033,"Surrey--Newton/Surrey--Newton"," 124","Surrey",94,10,52,21,2,2,181,623
59033,"Surrey--Newton/Surrey--Newton"," 125","Surrey",114,3,31,12,1,1,162,514
59033,"Surrey--Newton/Surrey--Newton"," 126","Surrey",59,2,36,19,2,0,118,398
59033,"Surrey--Newton/Surrey--Newton"," 127","Surrey",100,5,38,29,7,0,179,432
59033,"Surrey--Newton/Surrey--Newton"," 128","Surrey",45,1,29,21,4,0,100,363
59033,"Surrey--Newton/Surrey--Newton"," 129","Surrey",Merged with No./Fusionné avec le n°123,,,,,,,353
59033,"Surrey--Newton/Surrey--Newton"," 130","Surrey",105,4,58,21,4,0,192,664
59033,"Surrey--Newton/Surrey--Newton"," 131","Surrey",134,2,73,29,5,1,244,811
59033,"Surrey--Newton/Surrey--Newton"," 132","Surrey",62,2,50,21,2,2,139,436
59033,"Surrey--Newton/Surrey--Newton"," 133","Surrey",104,2,32,20,3,0,161,561
59033,"Surrey--Newton/Surrey--Newton"," 134","Surrey",79,0,39,19,0,1,138,472
59033,"Surrey--Newton/Surrey--Newton"," 135","Surrey",49,2,41,25,6,0,123,383
59033,"Surrey--Newton/Surrey--Newton"," 136","Surrey",81,3,24,27,1,3,139,465
59033,"Surrey--Newton/Surrey--Newton"," 137","Surrey",70,1,37,17,0,0,125,345
59033,"Surrey--Newton/Surrey--Newton"," 138","Surrey",65,0,37,13,1,5,121,426
59033,"Surrey--Newton/Surrey--Newton"," 139","Surrey",79,3,35,20,3,0,140,416
59033,"Surrey--Newton/Surrey--Newton"," 140","Surrey",99,2,53,23,4,2,183,778
59033,"Surrey--Newton/Surrey--Newton"," 141","Surrey",113,3,52,29,4,5,206,644
59033,"Surrey--Newton/Surrey--Newton"," 142","Surrey",118,1,50,28,4,2,203,556
59033,"Surrey--Newton/Surrey--Newton"," 143","Surrey",62,0,39,26,2,1,130,465
59033,"Surrey--Newton/Surrey--Newton"," 144","Surrey",105,3,70,33,5,2,218,670
59033,"Surrey--Newton/Surrey--Newton"," 145","Surrey",68,0,50,18,1,1,138,475
59033,"Surrey--Newton/Surrey--Newton"," 146","Surrey",175,5,71,51,6,5,313,1103
59033,"Surrey--Newton/Surrey--Newton"," 147","Surrey",51,1,17,11,3,1,84,402
59033,"Surrey--Newton/Surrey--Newton"," 148","Surrey",72,3,51,47,6,0,179,557
59033,"Surrey--Newton/Surrey--Newton"," 500","Mobile poll/Bureau itinérant",28,0,9,1,1,1,40,54
59033,"Surrey--Newton/Surrey--Newton"," 501","Mobile poll/Bureau itinérant",29,0,5,2,0,6,42,77
59033,"Surrey--Newton/Surrey--Newton"," 502","Mobile poll/Bureau itinérant",23,2,15,3,2,0,45,87
59033,"Surrey--Newton/Surrey--Newton"," 503","Mobile poll/Bureau itinérant",30,9,20,15,1,2,77,104
59033,"Surrey--Newton/Surrey--Newton"," 504","Mobile poll/Bureau itinérant",14,1,5,0,1,0,21,36
59033,"Surrey--Newton/Surrey--Newton"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°22,,,,,,,51
59033,"Surrey--Newton/Surrey--Newton"," 600","Surrey",236,7,92,77,17,0,429,
59033,"Surrey--Newton/Surrey--Newton"," 601","Surrey",210,3,130,92,25,2,462,
59033,"Surrey--Newton/Surrey--Newton"," 602","Surrey",705,11,330,240,48,2,1336,
59033,"Surrey--Newton/Surrey--Newton"," 603","Surrey",728,21,258,151,27,5,1190,
59033,"Surrey--Newton/Surrey--Newton"," 604","Surrey",345,4,141,57,7,1,555,
59033,"Surrey--Newton/Surrey--Newton"," 605","Surrey",316,28,113,82,9,3,551,
59033,"Surrey--Newton/Surrey--Newton"," 606","Surrey",263,11,121,71,17,2,485,
59033,"Surrey--Newton/Surrey--Newton"," 607","Surrey",441,13,192,67,8,6,727,
59033,"Surrey--Newton/Surrey--Newton"," 608","Surrey",332,13,141,199,21,0,706,
59033,"Surrey--Newton/Surrey--Newton"," 609","Surrey",559,13,173,114,28,7,894,
59033,"Surrey--Newton/Surrey--Newton"," 610","Surrey",714,26,367,192,29,4,1332,
59033,"Surrey--Newton/Surrey--Newton"," 611","Surrey",602,12,355,305,52,2,1328,
59033,"Surrey--Newton/Surrey--Newton"," 612","Surrey",390,8,170,126,28,5,727,
59033,"Surrey--Newton/Surrey--Newton"," 613","Surrey",177,4,74,62,7,0,324,
59033,"Surrey--Newton/Surrey--Newton"," 614","Surrey",491,10,163,85,39,1,789,
59033,"Surrey--Newton/Surrey--Newton"," 615","Surrey",407,7,227,143,16,2,802,
59033,"Surrey--Newton/Surrey--Newton",,Group 1/Groupe 1, 147,5,71,55,12,10,300,106
59033,"Surrey--Newton/Surrey--Newton",,Group 2/Groupe 2, 1185,25,594,373,38,106,2321,
