Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ivan Byard,Brian Chang,Marci Ien,Syed Jaffery,Ryan Lester,Annamie Paul,Peter Stubbins,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35108,"Toronto Centre/Toronto-Centre"," 434-2","Toronto",Merged with No./Fusionné avec le n°36,,,,,,,,,230
35108,"Toronto Centre/Toronto-Centre"," 435","Toronto",0,46,84,3,22,16,0,0,171,274
35108,"Toronto Centre/Toronto-Centre"," 435-1","Toronto",0,52,65,4,19,17,2,1,160,275
35108,"Toronto Centre/Toronto-Centre"," 436","Toronto",Void/Supprimé,,,,,,,,,
35108,"Toronto Centre/Toronto-Centre"," 436-1","Toronto",2,51,76,3,17,13,1,1,164,281
35108,"Toronto Centre/Toronto-Centre"," 437","Toronto",Merged with No./Fusionné avec le n°38,,,,,,,,,276
35108,"Toronto Centre/Toronto-Centre"," 438","Toronto",0,72,161,5,33,38,0,0,309,236
35108,"Toronto Centre/Toronto-Centre"," 439","Toronto",Merged with No./Fusionné avec le n°438,,,,,,,,,209
35108,"Toronto Centre/Toronto-Centre"," 439-1","Toronto",2,86,132,5,21,33,0,2,281,550
35108,"Toronto Centre/Toronto-Centre"," 440","Toronto",Void/Supprimé,,,,,,,,,
35108,"Toronto Centre/Toronto-Centre"," 441","Toronto",Merged with No./Fusionné avec le n°429-1,,,,,,,,,356
35108,"Toronto Centre/Toronto-Centre"," 441-1","Toronto",Merged with No./Fusionné avec le n°438,,,,,,,,,181
35108,"Toronto Centre/Toronto-Centre"," 442","Toronto",Merged with No./Fusionné avec le n°47,,,,,,,,,196
35108,"Toronto Centre/Toronto-Centre"," 443","Toronto",Merged with No./Fusionné avec le n°436-1,,,,,,,,,278
35108,"Toronto Centre/Toronto-Centre"," 444","Toronto",Merged with No./Fusionné avec le n°435-1,,,,,,,,,200
35108,"Toronto Centre/Toronto-Centre"," 445","Toronto",Merged with No./Fusionné avec le n°435-1,,,,,,,,,182
35108,"Toronto Centre/Toronto-Centre"," 446","Toronto",Merged with No./Fusionné avec le n°435,,,,,,,,,259
35108,"Toronto Centre/Toronto-Centre"," 446-1","Toronto",Merged with No./Fusionné avec le n°435,,,,,,,,,121
35108,"Toronto Centre/Toronto-Centre"," 447","Toronto",Merged with No./Fusionné avec le n°47,,,,,,,,,223
35108,"Toronto Centre/Toronto-Centre"," 447-1","Toronto",0,106,130,7,45,20,0,0,308,291
35108,"Toronto Centre/Toronto-Centre"," 448","Toronto",Merged with No./Fusionné avec le n°42,,,,,,,,,271
35108,"Toronto Centre/Toronto-Centre"," 449","Toronto",Merged with No./Fusionné avec le n°457-1,,,,,,,,,282
35108,"Toronto Centre/Toronto-Centre"," 450","Toronto",Merged with No./Fusionné avec le n°447-1,,,,,,,,,226
35108,"Toronto Centre/Toronto-Centre"," 451","Toronto",0,113,149,6,23,16,4,1,312,372
35108,"Toronto Centre/Toronto-Centre"," 451-1","Toronto",2,36,158,10,24,13,0,7,250,432
