Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alana DeLong,Mark Hecht,Blair Herbert,Alistair MacGregor,Lia Versaevel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 44","North Cowichan",19,8,7,64,7,2,107,396
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 45","North Cowichan",52,13,31,81,5,1,183,676
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 46","North Cowichan",29,6,19,85,9,0,148,478
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 47","Sahtlam",48,17,8,69,8,1,151,415
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 48","North Cowichan",30,4,19,54,13,0,120,405
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 49","Sahtlam",25,2,16,48,10,0,101,311
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 50","North Cowichan",33,13,12,65,8,0,131,365
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 51","North Cowichan",31,11,25,75,14,0,156,491
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 52","Duncan",16,6,13,48,12,0,95,407
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 53","Duncan",25,14,4,63,8,0,114,374
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 54","North Cowichan",32,14,22,45,6,0,119,476
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 55","North Cowichan",16,9,16,31,8,0,80,324
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 56","Duncan",18,5,14,33,10,2,82,312
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 57","Duncan",22,6,12,58,6,1,105,371
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 58","Duncan",9,5,13,46,7,0,80,347
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 59","Duncan",30,7,19,71,12,0,139,440
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 60","Duncan",30,14,20,73,9,1,147,467
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 61","Duncan",17,5,14,55,5,0,96,313
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 62","Duncan",20,4,14,46,8,0,92,295
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 63","Duncan",18,8,17,30,2,0,75,318
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 64","Duncan",10,3,18,33,2,0,66,345
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 65","Duncan",24,11,12,62,4,0,113,450
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 66","Deerholme",69,21,30,79,34,0,233,654
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 67","North Cowichan",15,6,15,17,3,0,56,260
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 68","Eagle Heights",28,10,14,49,5,1,107,307
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 69","Eagle Heights",23,12,15,35,7,0,92,341
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 70","Koksilah",2,0,0,57,3,0,62,414
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 71","Eagle Heights",35,12,13,36,9,0,105,309
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 72","Duncan",11,7,6,88,10,2,124,448
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 73","Koksilah",11,6,8,62,3,1,91,386
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 74","North Cowichan",Merged with No./Fusionné avec le n°22,,,,,,,375
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 75","North Cowichan",36,6,25,59,8,0,134,389
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 76","North Cowichan",29,5,34,76,3,0,147,391
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 77","Duncan",27,2,23,51,4,1,108,364
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 78","North Cowichan",83,18,24,134,19,0,278,290
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 79","Tzouhalem",Merged with No./Fusionné avec le n°78,,,,,,,293
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 80","North Cowichan",65,5,29,75,15,0,189,495
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 81","North Cowichan",70,12,49,95,3,0,229,607
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 82","North Cowichan",43,14,29,64,13,1,164,410
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 83","North Cowichan",51,7,17,53,9,0,137,382
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 84","North Cowichan",77,6,36,94,7,4,224,608
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 85","North Cowichan",62,11,46,68,12,0,199,513
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 86","North Cowichan",47,2,31,67,8,2,157,422
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 87","Cowichan 1",21,0,16,44,7,0,88,290
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 88","Cowichan Lake ",74,5,32,74,17,0,202,605
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 89","Cowichan Lake ",34,7,22,48,6,1,118,346
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 90","Lake Cowichan",39,8,12,59,7,1,126,404
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 91","Lake Cowichan",22,6,24,45,4,0,101,327
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 92","Lake Cowichan",34,8,21,85,14,0,162,507
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 93","Lake Cowichan",33,9,17,73,8,0,140,472
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 94","Lake Cowichan",30,7,8,34,5,0,84,331
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 95","Lake Cowichan",61,13,21,80,18,0,193,590
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 96","Lake Cowichan",28,5,4,53,16,0,106,320
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 97","Port Renfrew",20,9,16,69,22,1,137,341
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 98","Cowichan Station",48,16,15,72,21,0,172,435
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 99","Cowichan Station",65,20,21,110,9,0,225,470
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 100","Duncan",51,17,15,64,7,1,155,281
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 101","Cowichan Station",56,21,20,98,26,0,221,486
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 102","Cowichan Bay",69,11,25,63,29,2,199,506
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 103","Cowichan Bay",59,18,43,127,31,0,278,633
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 104","Cowichan Bay",47,10,20,115,15,0,207,449
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 105","Cowichan Bay",49,6,21,48,28,0,152,524
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 106","Cowichan Bay",51,3,10,62,3,0,129,421
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 107","Cowichan Bay",35,7,19,71,13,0,145,420
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 108","Cobble Hill",38,17,18,71,7,2,153,465
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 109","Cobble Hill",42,15,14,60,14,0,145,387
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 110","Cobble Hill",31,6,24,58,13,0,132,394
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 111","Cobble Hill",50,11,32,80,10,0,183,436
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 112","Cobble Hill",41,13,32,66,13,2,167,427
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 113","Hatch Point 12",33,5,13,44,9,0,104,412
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 114","Hatch Point 12",48,6,21,60,10,0,145,354
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 115","Hatch Point 12",49,3,24,27,8,0,111,272
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 116","Hatch Point 12",57,1,42,29,5,0,134,343
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 117","Hatch Point 12",32,14,23,48,19,0,136,355
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 118","Hatch Point 12",73,2,44,43,4,8,174,468
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 119","Hatch Point 12",33,5,21,38,7,1,105,312
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 120","Cobble Hill",29,6,10,43,12,0,100,329
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 121","Cobble Hill",43,9,21,45,12,0,130,466
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 122","Mill Bay",31,5,17,54,10,0,117,472
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 123","Mill Bay",38,7,28,54,5,0,132,497
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 124","Mill Bay",38,7,32,46,6,2,131,435
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 125","Shawnigan Lake",51,12,23,80,7,0,173,468
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 126","Shawnigan Lake",50,8,21,45,5,1,130,405
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 127","Shawnigan Lake",27,9,27,58,11,3,135,348
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 128","Shawnigan Lake",53,16,18,46,10,0,143,519
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 129","Shawnigan Lake",43,12,17,66,19,3,160,438
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 130","Shawnigan Lake",48,15,23,33,23,0,142,466
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 131","Shawnigan Lake",48,11,27,58,16,0,160,556
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 132","Cobble Hill",35,16,32,59,11,0,153,432
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 133","Shawnigan Lake",46,3,16,48,8,0,121,314
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 134","Shawnigan",13,7,9,43,13,0,85,285
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 135","Shawnigan Lake",43,7,12,30,7,0,99,343
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 136","Shawnigan Lake",19,11,18,54,24,0,126,340
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 137","Shawnigan Lake",32,11,29,55,16,0,143,337
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 138","Shawnigan Lake",32,8,26,62,18,0,146,418
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 139","Shawnigan Lake",31,5,17,42,9,0,104,227
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 140","Shawnigan Lake",48,18,20,71,11,1,169,500
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 141","Mill Bay",20,3,22,27,3,0,75,226
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 142","Mill Bay",22,1,23,36,12,0,94,362
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 143","Mill Bay",25,5,22,36,9,0,97,331
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 144","Mill Bay",58,10,48,52,12,0,180,648
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 145","Mill Bay",20,4,30,60,8,0,122,466
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 146","Malahat",53,9,19,52,15,0,148,488
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 147","Millstream",37,5,16,39,23,0,120,425
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 148","Langford",52,6,15,68,18,0,159,526
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 149","Highlands",32,3,20,50,9,0,114,408
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 150","Millstream",15,6,13,44,9,0,87,260
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 151","Millstream",35,7,16,37,9,0,104,379
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 152","Highlands",52,8,36,34,7,0,137,473
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 153","Highlands",26,6,35,23,9,2,101,290
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 154","Langford",90,11,61,54,6,0,222,794
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 155","Highlands--Langford",65,3,35,62,8,0,173,549
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 156","Langford",50,1,43,69,7,0,170,549
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 157","Langford",84,9,43,52,12,0,200,573
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 158","Langford",34,8,25,57,14,0,138,436
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 159","Langford",57,11,43,88,10,1,210,548
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 160","Langford",45,12,26,64,8,0,155,539
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 161","Langford",12,8,24,73,9,2,128,506
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 162","Langford",56,18,31,62,8,2,177,552
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 163","Langford",71,9,47,93,15,0,235,617
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 164","Langford",53,10,45,81,9,1,199,562
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 165","Langford",40,8,40,94,9,1,192,646
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 166","Langford",51,4,43,84,9,1,192,584
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 167A","Langford",58,11,42,86,19,1,217,646
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 167B","Langford",56,11,35,87,9,1,199,612
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 168","Langford",67,10,46,95,16,0,234,646
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 169","Langford",66,20,52,77,5,0,220,691
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 170","Langford",26,10,18,61,10,0,125,319
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 171","Langford",39,4,35,92,11,0,181,423
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 172","Langford",56,13,40,90,19,1,219,431
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 173A","Langford",32,8,38,128,12,1,219,638
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 173B","Langford",65,3,38,92,14,1,213,641
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 174","Langford",53,6,24,71,10,0,164,497
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 175","Langford",36,3,18,39,6,0,102,406
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 176","Langford",54,6,37,88,14,1,200,659
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 177","Langford",54,6,32,68,13,0,173,575
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 178","Langford",37,8,37,99,18,1,200,525
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 179","Langford",70,20,51,132,21,0,294,902
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 180","Langford",48,14,46,115,14,0,237,748
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 181","Langford",47,9,37,85,10,2,190,587
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 182","Langford",29,13,27,77,5,0,151,527
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 183","Langford",49,11,27,88,10,0,185,534
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 184","Langford",36,7,22,96,11,0,172,490
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 185","Langford",39,10,29,77,5,0,160,522
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 186","Langford",22,8,18,52,11,0,111,350
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 187","Langford",29,5,23,52,5,0,114,377
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 188","Langford",41,9,23,60,11,1,145,482
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 189","Langford",52,12,26,73,7,1,171,620
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 190","Langford",63,10,44,127,18,0,262,971
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 191","Langford",15,5,5,29,6,0,60,239
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 192","Langford",39,7,30,108,11,1,196,661
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 193","Langford",42,1,30,66,13,0,152,479
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 194","Langford",68,6,59,82,17,1,233,731
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 195","Langford",43,11,42,99,14,0,209,644
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 196","Langford",36,5,26,94,13,0,174,479
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 197","Langford",28,6,30,74,9,0,147,460
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 198","Langford",58,6,52,82,9,0,207,609
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 199","Langford",37,4,21,82,9,0,153,446
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 200","Langford",48,6,34,78,21,1,188,639
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 201","Langford",22,8,25,52,5,0,112,348
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 202","Langford",45,14,29,95,9,0,192,608
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 203","Langford",50,12,36,81,20,1,200,702
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 204","Langford",36,6,30,59,6,0,137,488
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 205","Langford",61,17,57,126,30,0,291,989
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 206","Langford",35,11,46,82,10,1,185,598
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 207","Langford",44,2,38,71,10,0,165,630
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 208","Langford",39,9,54,93,10,1,206,528
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 209","Langford",33,10,35,81,7,0,166,659
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 210","Langford",21,12,25,59,9,0,126,390
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 500","Mobile poll/Bureau itinérant",4,2,7,7,3,0,23,25
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°11,,,,,,,12
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°29,,,,,,,2
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 503","Mobile poll/Bureau itinérant",5,0,5,6,3,0,19,31
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 504","Mobile poll/Bureau itinérant",1,0,2,0,4,0,7,11
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 505","Mobile poll/Bureau itinérant",10,2,7,14,2,0,35,51
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 506","Mobile poll/Bureau itinérant",6,0,10,30,2,0,48,97
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 507","Mobile poll/Bureau itinérant",10,2,11,19,2,0,44,56
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 508","Mobile poll/Bureau itinérant",10,0,9,11,2,0,32,49
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 509","Mobile poll/Bureau itinérant",4,0,3,11,0,1,19,32
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 510","Mobile poll/Bureau itinérant",3,1,8,11,1,1,25,33
