Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michele Braniff,Lorne Bruce,Connie Cody,Bryan May,Maggie Segounis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35016,"Cambridge/Cambridge"," 602","Cambridge",21,91,183,246,43,1,585,
35016,"Cambridge/Cambridge"," 603","Cambridge",47,224,367,426,92,0,1156,
35016,"Cambridge/Cambridge"," 604","Cambridge",34,135,389,385,75,0,1018,
35016,"Cambridge/Cambridge"," 605","Cambridge",18,156,276,401,89,4,944,
35016,"Cambridge/Cambridge"," 606","Cambridge",23,102,392,500,59,3,1079,
35016,"Cambridge/Cambridge"," 607","Cambridge",19,99,345,453,54,3,973,
35016,"Cambridge/Cambridge"," 608","Cambridge",24,129,538,351,72,0,1114,
35016,"Cambridge/Cambridge"," 609","Cambridge",21,159,370,384,72,4,1010,
35016,"Cambridge/Cambridge"," 610","Cambridge",25,156,296,401,81,5,964,
35016,"Cambridge/Cambridge"," 611","Cambridge",29,129,211,273,56,6,704,
35016,"Cambridge/Cambridge"," 612","Cambridge",32,126,400,489,47,0,1094,
35016,"Cambridge/Cambridge"," 613","Cambridge",29,158,355,457,80,3,1082,
35016,"Cambridge/Cambridge"," 614","North Dumfries",10,32,201,138,36,1,418,
35016,"Cambridge/Cambridge"," 615","Cambridge",33,141,403,415,96,3,1091,
35016,"Cambridge/Cambridge"," 616","Cambridge",25,157,391,380,117,10,1080,
35016,"Cambridge/Cambridge"," 617","Brant",14,35,213,108,24,0,394,
35016,"Cambridge/Cambridge"," 618","North Dumfries",33,178,579,517,94,2,1403,
35016,"Cambridge/Cambridge",,Group 1/Groupe 1, 16,91,107,129,19,21,383,159
35016,"Cambridge/Cambridge",,Group 2/Groupe 2, 53,312,649,962,76,61,2113,
