Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Sidney Coles,Phil De Luna,Stephanie Osadchuk,Peter Remedios,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 70","Toronto",60,5,9,40,1,1,116,415
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 71","Toronto",74,22,20,44,5,0,165,599
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 72","Toronto",109,32,13,27,7,2,190,654
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 73","Toronto",139,25,9,37,6,3,219,440
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 74A","Toronto",108,22,1,16,2,11,160,309
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 74B","Toronto",Merged with No./Fusionné avec le n°73,,,,,,,155
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 75A","Toronto",Merged with No./Fusionné avec le n°66,,,,,,,370
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 75B","Toronto",Merged with No./Fusionné avec le n°414,,,,,,,119
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 76","Toronto",82,18,16,67,6,0,189,524
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 77","Toronto",59,12,15,55,5,1,147,500
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 78","Toronto",77,15,9,35,10,0,146,463
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 79","Toronto",66,30,11,42,9,3,161,572
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 80","Toronto",117,32,20,86,8,6,269,349
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 81","Toronto",41,4,7,69,2,0,123,416
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 82","Toronto",93,24,11,58,7,1,194,452
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 83","Toronto",70,35,16,40,6,9,176,564
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 84A","Toronto",Merged with No./Fusionné avec le n°82,,,,,,,154
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 84B","Toronto",66,4,10,49,0,1,130,299
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 85","Toronto",67,57,14,28,4,0,170,504
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 86","Toronto",59,18,5,20,2,0,104,401
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 87","Toronto",98,7,9,72,2,0,188,322
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 88","Toronto",75,24,8,24,6,0,137,516
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 89","Toronto",142,26,15,28,7,9,227,417
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 90","Toronto",96,27,15,41,8,2,189,544
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 91","Toronto",110,31,16,33,11,1,202,595
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 92","Toronto",Merged with No./Fusionné avec le n°89,,,,,,,263
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 93","Toronto",103,23,2,30,7,0,165,494
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 94","Toronto",112,26,20,65,4,1,228,375
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 95","Toronto",141,36,19,85,8,0,289,925
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 96","Toronto",102,18,11,52,11,2,196,392
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 97","Toronto",Merged with No./Fusionné avec le n°127,,,,,,,346
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 98","Toronto",101,28,14,45,5,2,195,566
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 99","Toronto",173,51,3,8,6,3,244,512
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 100","Toronto",Merged with No./Fusionné avec le n°55,,,,,,,378
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 101","Toronto",Merged with No./Fusionné avec le n°96,,,,,,,381
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 102","Toronto",66,19,7,74,7,0,173,565
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 103","Toronto",108,46,35,74,2,3,268,443
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 104","Toronto",90,20,17,60,4,0,191,622
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 105","Toronto",68,17,14,41,2,0,142,388
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 106","Toronto",Merged with No./Fusionné avec le n°105,,,,,,,299
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 107","Toronto",Merged with No./Fusionné avec le n°108,,,,,,,527
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 108","Toronto",183,104,21,48,12,1,369,360
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 109","Toronto",Merged with No./Fusionné avec le n°114,,,,,,,388
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 110","Toronto",105,32,13,83,5,0,238,396
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 111","Toronto",131,21,23,96,5,3,279,449
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 112","Toronto",Merged with No./Fusionné avec le n°94,,,,,,,349
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 113","Toronto",126,26,9,94,4,7,266,446
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 114","Toronto",120,43,26,36,8,1,234,387
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 115","Toronto",Merged with No./Fusionné avec le n°116,,,,,,,313
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 116","Toronto",89,39,26,60,4,6,224,354
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 117","Toronto",98,41,16,25,4,2,186,501
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 118","Toronto",79,36,6,18,14,2,155,451
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 119","Toronto",76,19,12,25,6,3,141,439
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 120","Toronto",66,38,2,15,5,1,127,461
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 121","Toronto",146,57,28,43,13,3,290,373
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 122","Toronto",Merged with No./Fusionné avec le n°121,,,,,,,360
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 123","Toronto",171,67,23,47,13,4,325,394
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 124","Toronto",Merged with No./Fusionné avec le n°123,,,,,,,324
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 125","Toronto",Merged with No./Fusionné avec le n°128,,,,,,,350
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 126","Toronto",136,62,18,50,10,0,276,446
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 127","Toronto",169,52,21,39,7,1,289,404
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 128","Toronto",171,33,28,59,6,7,304,431
