Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Medha Joshi,Ruby Sahota,Teresa Yeh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35010,"Brampton North/Brampton-Nord"," 173","Brampton",25,84,22,0,131,437
35010,"Brampton North/Brampton-Nord"," 174","Brampton",45,71,12,3,131,373
35010,"Brampton North/Brampton-Nord"," 175","Brampton",52,51,24,0,127,389
35010,"Brampton North/Brampton-Nord"," 500","Mobile poll/Bureau itinérant",27,41,9,1,78,152
35010,"Brampton North/Brampton-Nord"," 501","Mobile poll/Bureau itinérant",14,15,7,0,36,119
35010,"Brampton North/Brampton-Nord"," 502","Mobile poll/Bureau itinérant",9,49,4,1,63,102
35010,"Brampton North/Brampton-Nord"," 503","Mobile poll/Bureau itinérant",13,25,1,0,39,83
35010,"Brampton North/Brampton-Nord"," 504","Mobile poll/Bureau itinérant",9,17,4,0,30,48
35010,"Brampton North/Brampton-Nord"," 600","Brampton",139,336,67,4,546,
35010,"Brampton North/Brampton-Nord"," 601","Brampton",170,412,84,7,673,
35010,"Brampton North/Brampton-Nord"," 602","Brampton",211,297,78,3,589,
35010,"Brampton North/Brampton-Nord"," 603","Brampton",172,268,78,3,521,
35010,"Brampton North/Brampton-Nord"," 604","Brampton",214,482,100,11,807,
35010,"Brampton North/Brampton-Nord"," 605","Brampton",215,455,102,2,774,
35010,"Brampton North/Brampton-Nord"," 606","Brampton",211,521,87,7,826,
35010,"Brampton North/Brampton-Nord"," 607","Brampton",450,890,124,6,1470,
35010,"Brampton North/Brampton-Nord"," 608","Brampton",410,760,128,20,1318,
35010,"Brampton North/Brampton-Nord"," 609","Brampton",510,528,111,5,1154,
35010,"Brampton North/Brampton-Nord"," 610","Brampton",254,444,116,7,821,
35010,"Brampton North/Brampton-Nord"," 611","Brampton",330,638,135,10,1113,
35010,"Brampton North/Brampton-Nord"," 612","Brampton",418,510,135,10,1073,
35010,"Brampton North/Brampton-Nord"," 613","Brampton",250,421,92,9,772,
35010,"Brampton North/Brampton-Nord",,Group 1/Groupe 1, 87,153,70,22,332,137
35010,"Brampton North/Brampton-Nord",,Group 2/Groupe 2, 403,724,176,66,1369,
