Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sitara Chiu,Ahmed Hussen,Hawa Mire,Sajanth Mohan,Nicki Ward,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35120,"York South--Weston/York-Sud--Weston"," 31","Toronto",3,41,13,15,1,1,74,376
35120,"York South--Weston/York-Sud--Weston"," 32","Toronto",1,52,11,14,2,0,80,373
35120,"York South--Weston/York-Sud--Weston"," 33","Toronto",0,61,15,5,1,0,82,430
35120,"York South--Weston/York-Sud--Weston"," 34","Toronto",4,121,23,21,5,6,180,649
35120,"York South--Weston/York-Sud--Weston"," 35","Toronto",9,57,17,40,1,1,125,401
35120,"York South--Weston/York-Sud--Weston"," 36","Toronto",3,54,9,13,1,0,80,231
35120,"York South--Weston/York-Sud--Weston"," 37","Toronto",3,55,18,35,2,0,113,451
35120,"York South--Weston/York-Sud--Weston"," 38","Toronto",9,64,45,41,11,2,172,476
35120,"York South--Weston/York-Sud--Weston"," 39","Toronto",9,86,37,53,9,1,195,513
35120,"York South--Weston/York-Sud--Weston"," 40","Toronto",7,61,27,39,5,0,139,469
35120,"York South--Weston/York-Sud--Weston"," 41","Toronto",1,68,15,26,3,0,113,499
35120,"York South--Weston/York-Sud--Weston"," 42","Toronto",5,52,18,43,3,1,122,381
35120,"York South--Weston/York-Sud--Weston"," 43","Toronto",8,46,8,61,1,0,124,443
35120,"York South--Weston/York-Sud--Weston"," 44","Toronto",8,50,19,60,1,1,139,540
35120,"York South--Weston/York-Sud--Weston"," 45","Toronto",10,144,36,33,2,1,226,569
35120,"York South--Weston/York-Sud--Weston"," 46","Toronto",9,74,20,11,4,1,119,336
35120,"York South--Weston/York-Sud--Weston"," 47","Toronto",13,66,18,26,6,1,130,425
35120,"York South--Weston/York-Sud--Weston"," 48","Toronto",5,106,16,31,3,0,161,356
35120,"York South--Weston/York-Sud--Weston"," 49","Toronto",8,73,36,35,6,3,161,450
35120,"York South--Weston/York-Sud--Weston"," 50","Toronto",7,79,23,34,3,0,146,367
35120,"York South--Weston/York-Sud--Weston"," 51","Toronto",12,64,29,49,6,1,161,435
35120,"York South--Weston/York-Sud--Weston"," 52","Toronto",3,80,30,44,2,3,162,444
35120,"York South--Weston/York-Sud--Weston"," 53","Toronto",5,71,23,28,0,0,127,416
35120,"York South--Weston/York-Sud--Weston"," 54","Toronto",3,38,12,5,0,2,60,532
35120,"York South--Weston/York-Sud--Weston"," 55","Toronto",11,72,25,32,6,0,146,360
35120,"York South--Weston/York-Sud--Weston"," 56","Toronto",5,77,15,29,1,0,127,441
35120,"York South--Weston/York-Sud--Weston"," 57","Toronto",9,54,26,37,2,1,129,385
35120,"York South--Weston/York-Sud--Weston"," 58","Toronto",10,66,33,40,3,1,153,414
35120,"York South--Weston/York-Sud--Weston"," 59","Toronto",5,99,17,14,4,0,139,568
35120,"York South--Weston/York-Sud--Weston"," 60","Toronto",4,117,35,34,5,0,195,488
35120,"York South--Weston/York-Sud--Weston"," 61","Toronto",4,74,26,20,6,4,134,471
35120,"York South--Weston/York-Sud--Weston"," 62","Toronto",8,87,35,32,3,8,173,510
35120,"York South--Weston/York-Sud--Weston"," 63","Toronto",9,88,42,14,0,4,157,702
35120,"York South--Weston/York-Sud--Weston"," 64","Toronto",9,114,26,33,4,6,192,516
35120,"York South--Weston/York-Sud--Weston"," 65","Toronto",8,82,32,32,1,5,160,704
35120,"York South--Weston/York-Sud--Weston"," 66","Toronto",2,68,11,6,0,5,92,405
35120,"York South--Weston/York-Sud--Weston"," 67","Toronto",1,67,20,28,2,0,118,386
35120,"York South--Weston/York-Sud--Weston"," 68","Toronto",1,7,4,6,0,0,18,46
35120,"York South--Weston/York-Sud--Weston"," 69","Toronto",4,94,12,24,1,0,135,450
35120,"York South--Weston/York-Sud--Weston"," 70","Toronto",5,123,34,30,3,5,200,567
35120,"York South--Weston/York-Sud--Weston"," 71","Toronto",4,108,23,29,5,4,173,545
35120,"York South--Weston/York-Sud--Weston"," 72","Toronto",3,105,31,39,2,0,180,499
35120,"York South--Weston/York-Sud--Weston"," 73","Toronto",9,78,12,32,6,4,141,327
35120,"York South--Weston/York-Sud--Weston"," 74","Toronto",7,59,18,27,4,1,116,342
35120,"York South--Weston/York-Sud--Weston"," 75","Toronto",10,100,18,41,0,3,172,500
35120,"York South--Weston/York-Sud--Weston"," 76","Toronto",7,173,35,23,6,4,248,732
35120,"York South--Weston/York-Sud--Weston"," 77","Toronto",4,85,33,29,2,5,158,446
35120,"York South--Weston/York-Sud--Weston"," 78","Toronto",5,111,29,29,3,1,178,492
35120,"York South--Weston/York-Sud--Weston"," 79","Toronto",2,64,10,6,1,3,86,447
35120,"York South--Weston/York-Sud--Weston"," 80","Toronto",2,17,3,3,0,0,25,89
35120,"York South--Weston/York-Sud--Weston"," 81","Toronto",7,103,28,25,1,3,167,564
35120,"York South--Weston/York-Sud--Weston"," 82","Toronto",4,66,28,25,1,6,130,492
35120,"York South--Weston/York-Sud--Weston"," 83","Toronto",5,75,28,25,1,1,135,472
35120,"York South--Weston/York-Sud--Weston"," 84","Toronto",3,98,28,20,0,2,151,440
35120,"York South--Weston/York-Sud--Weston"," 85","Toronto",10,88,28,42,2,3,173,530
35120,"York South--Weston/York-Sud--Weston"," 86","Toronto",3,64,18,18,4,4,111,378
35120,"York South--Weston/York-Sud--Weston"," 87","Toronto",2,64,18,17,6,1,108,451
35120,"York South--Weston/York-Sud--Weston"," 88","Toronto",3,74,23,26,7,4,137,460
35120,"York South--Weston/York-Sud--Weston"," 89","Toronto",7,61,28,24,5,2,127,408
35120,"York South--Weston/York-Sud--Weston"," 90","Toronto",6,63,11,21,6,1,108,396
35120,"York South--Weston/York-Sud--Weston"," 91","Toronto",4,47,8,11,2,1,73,180
35120,"York South--Weston/York-Sud--Weston"," 92","Toronto",7,112,21,23,0,1,164,534
35120,"York South--Weston/York-Sud--Weston"," 93","Toronto",9,116,45,18,1,7,196,630
35120,"York South--Weston/York-Sud--Weston"," 94","Toronto",5,20,11,10,1,0,47,148
35120,"York South--Weston/York-Sud--Weston"," 95","Toronto",5,54,25,15,3,3,105,364
35120,"York South--Weston/York-Sud--Weston"," 96","Toronto",7,80,26,25,2,4,144,490
35120,"York South--Weston/York-Sud--Weston"," 97","Toronto",3,47,25,22,6,2,105,443
35120,"York South--Weston/York-Sud--Weston"," 98","Toronto",9,63,22,19,0,1,114,326
35120,"York South--Weston/York-Sud--Weston"," 99","Toronto",5,81,27,22,3,0,138,334
35120,"York South--Weston/York-Sud--Weston"," 100","Toronto",8,87,19,14,6,6,140,405
35120,"York South--Weston/York-Sud--Weston"," 101","Toronto",4,49,19,16,7,2,97,310
35120,"York South--Weston/York-Sud--Weston"," 102","Toronto",7,104,52,47,6,10,226,541
35120,"York South--Weston/York-Sud--Weston"," 103","Toronto",4,60,25,21,2,3,115,452
35120,"York South--Weston/York-Sud--Weston"," 104","Toronto",3,48,18,30,4,0,103,397
35120,"York South--Weston/York-Sud--Weston"," 105","Toronto",6,48,27,31,3,1,116,390
35120,"York South--Weston/York-Sud--Weston"," 106","Toronto",7,74,22,17,3,0,123,479
35120,"York South--Weston/York-Sud--Weston"," 107","Toronto",7,58,19,25,2,3,114,426
35120,"York South--Weston/York-Sud--Weston"," 108","Toronto",3,42,42,13,3,0,103,419
35120,"York South--Weston/York-Sud--Weston"," 109","Toronto",3,50,37,24,6,0,120,395
35120,"York South--Weston/York-Sud--Weston"," 110","Toronto",7,57,25,26,1,1,117,424
35120,"York South--Weston/York-Sud--Weston"," 111","Toronto",13,60,36,25,2,1,137,476
35120,"York South--Weston/York-Sud--Weston"," 112","Toronto",12,95,32,52,6,2,199,546
35120,"York South--Weston/York-Sud--Weston"," 113","Toronto",7,70,19,27,3,1,127,465
35120,"York South--Weston/York-Sud--Weston"," 114","Toronto",18,131,40,32,2,2,225,939
35120,"York South--Weston/York-Sud--Weston"," 115","Toronto",6,72,20,27,4,1,130,358
35120,"York South--Weston/York-Sud--Weston"," 116","Toronto",8,88,45,42,6,1,190,473
35120,"York South--Weston/York-Sud--Weston"," 117","Toronto",8,85,53,23,8,1,178,580
35120,"York South--Weston/York-Sud--Weston"," 118","Toronto",5,94,35,34,3,1,172,485
35120,"York South--Weston/York-Sud--Weston"," 119","Toronto",9,104,41,46,4,2,206,546
35120,"York South--Weston/York-Sud--Weston"," 120","Toronto",14,92,44,36,3,1,190,489
35120,"York South--Weston/York-Sud--Weston"," 121","Toronto",9,88,61,64,3,0,225,560
35120,"York South--Weston/York-Sud--Weston"," 122","Toronto",8,81,33,38,2,1,163,380
35120,"York South--Weston/York-Sud--Weston"," 123","Toronto",11,69,46,40,5,1,172,479
35120,"York South--Weston/York-Sud--Weston"," 124","Toronto",3,63,17,17,1,2,103,322
35120,"York South--Weston/York-Sud--Weston"," 125","Toronto",0,76,20,8,2,5,111,456
35120,"York South--Weston/York-Sud--Weston"," 126","Toronto",2,67,8,9,0,3,89,408
35120,"York South--Weston/York-Sud--Weston"," 127","Toronto",1,60,5,22,0,2,90,396
35120,"York South--Weston/York-Sud--Weston"," 128","Toronto",5,78,18,13,2,2,118,541
35120,"York South--Weston/York-Sud--Weston"," 129","Toronto",4,67,37,22,0,5,135,386
35120,"York South--Weston/York-Sud--Weston"," 130","Toronto",7,61,23,24,0,0,115,367
35120,"York South--Weston/York-Sud--Weston"," 131","Toronto",6,72,36,29,0,0,143,522
35120,"York South--Weston/York-Sud--Weston"," 132","Toronto",9,62,14,32,6,0,123,459
35120,"York South--Weston/York-Sud--Weston"," 133","Toronto",2,53,33,10,4,0,102,366
35120,"York South--Weston/York-Sud--Weston"," 134","Toronto",6,57,47,17,1,2,130,412
35120,"York South--Weston/York-Sud--Weston"," 135","Toronto",5,71,62,25,8,1,172,467
35120,"York South--Weston/York-Sud--Weston"," 136","Toronto",9,94,46,28,4,1,182,394
35120,"York South--Weston/York-Sud--Weston"," 137","Toronto",9,99,36,45,5,2,196,394
35120,"York South--Weston/York-Sud--Weston"," 138","Toronto",6,104,44,33,2,0,189,450
35120,"York South--Weston/York-Sud--Weston"," 139","Toronto",10,56,30,59,4,0,159,426
35120,"York South--Weston/York-Sud--Weston"," 140","Toronto",6,72,36,40,8,1,163,419
35120,"York South--Weston/York-Sud--Weston"," 141","Toronto",10,101,40,26,16,0,193,461
35120,"York South--Weston/York-Sud--Weston"," 142","Toronto",12,48,40,45,3,3,151,415
35120,"York South--Weston/York-Sud--Weston"," 143","Toronto",10,74,45,31,5,1,166,350
35120,"York South--Weston/York-Sud--Weston"," 144","Toronto",11,83,54,42,9,1,200,421
35120,"York South--Weston/York-Sud--Weston"," 400","Toronto",4,96,7,10,0,2,119,201
35120,"York South--Weston/York-Sud--Weston"," 401","Toronto",5,80,17,5,1,0,108,328
35120,"York South--Weston/York-Sud--Weston"," 402","Toronto",2,91,11,4,2,1,111,346
35120,"York South--Weston/York-Sud--Weston"," 403","Toronto",4,107,16,7,0,2,136,359
35120,"York South--Weston/York-Sud--Weston"," 404","Toronto",1,47,10,13,0,0,71,301
35120,"York South--Weston/York-Sud--Weston"," 405","Toronto",1,83,5,7,0,0,96,157
35120,"York South--Weston/York-Sud--Weston"," 406","Toronto",1,63,13,3,2,0,82,259
35120,"York South--Weston/York-Sud--Weston"," 407","Toronto",1,38,9,4,0,0,52,186
35120,"York South--Weston/York-Sud--Weston"," 408","Toronto",2,76,13,17,2,0,110,231
35120,"York South--Weston/York-Sud--Weston"," 409","Toronto",4,69,21,18,4,2,118,232
35120,"York South--Weston/York-Sud--Weston"," 410","Toronto",0,57,4,26,2,10,99,139
35120,"York South--Weston/York-Sud--Weston"," 411","Toronto",5,60,17,4,2,5,93,244
35120,"York South--Weston/York-Sud--Weston"," 412","Toronto",2,111,23,7,3,3,149,510
35120,"York South--Weston/York-Sud--Weston"," 413","Toronto",8,100,32,35,3,7,185,598
35120,"York South--Weston/York-Sud--Weston"," 414","Toronto",8,188,29,27,3,7,262,490
35120,"York South--Weston/York-Sud--Weston"," 415","Toronto",2,45,9,2,2,0,60,337
35120,"York South--Weston/York-Sud--Weston"," 416","Toronto",3,63,25,13,1,7,112,440
35120,"York South--Weston/York-Sud--Weston"," 417","Toronto",4,91,30,12,1,3,141,408
35120,"York South--Weston/York-Sud--Weston"," 418","Toronto",0,63,10,5,2,0,80,220
35120,"York South--Weston/York-Sud--Weston"," 419","Toronto",1,76,18,3,1,0,99,305
35120,"York South--Weston/York-Sud--Weston"," 420","Toronto",0,75,9,8,1,2,95,395
35120,"York South--Weston/York-Sud--Weston"," 421","Toronto",2,41,8,2,1,0,54,163
35120,"York South--Weston/York-Sud--Weston"," 422","Toronto",3,47,9,2,1,2,64,125
35120,"York South--Weston/York-Sud--Weston"," 423","Toronto",11,44,17,26,3,0,101,276
35120,"York South--Weston/York-Sud--Weston"," 424","Toronto",7,50,18,23,4,0,102,287
35120,"York South--Weston/York-Sud--Weston"," 425","Toronto",0,27,7,9,0,0,43,154
35120,"York South--Weston/York-Sud--Weston"," 426","Toronto",3,81,8,6,1,0,99,307
35120,"York South--Weston/York-Sud--Weston"," 427","Toronto",3,48,3,8,0,0,62,184
35120,"York South--Weston/York-Sud--Weston"," 428","York",Void/Supprimé,,,,,,,
35120,"York South--Weston/York-Sud--Weston"," 429","Toronto",5,60,19,5,6,0,95,209
35120,"York South--Weston/York-Sud--Weston"," 430","Toronto",5,91,18,18,5,2,139,375
35120,"York South--Weston/York-Sud--Weston"," 431","Toronto",12,105,28,27,2,1,175,517
35120,"York South--Weston/York-Sud--Weston"," 432","Toronto",6,159,54,45,6,0,270,742
35120,"York South--Weston/York-Sud--Weston"," 433","Toronto",12,89,24,50,6,5,186,457
35120,"York South--Weston/York-Sud--Weston"," 434","Toronto",3,109,2,17,1,8,140,223
35120,"York South--Weston/York-Sud--Weston"," 435","Toronto",13,63,24,16,5,3,124,263
35120,"York South--Weston/York-Sud--Weston"," 436","Toronto",Void/Supprimé,,,,,,,
35120,"York South--Weston/York-Sud--Weston"," 437","Toronto",2,23,6,2,3,0,36,194
35120,"York South--Weston/York-Sud--Weston"," 438","Toronto",3,106,10,19,1,0,139,259
35120,"York South--Weston/York-Sud--Weston"," 439","Toronto",8,118,47,54,4,0,231,373
35120,"York South--Weston/York-Sud--Weston"," 440","Toronto",11,137,32,53,6,0,239,356
35120,"York South--Weston/York-Sud--Weston"," 441","Toronto",17,109,34,50,6,2,218,357
35120,"York South--Weston/York-Sud--Weston"," 442","Toronto",12,120,41,68,2,2,245,371
35120,"York South--Weston/York-Sud--Weston"," 500","Mobile poll/Bureau itinérant",1,12,1,4,0,0,18,39
35120,"York South--Weston/York-Sud--Weston"," 501","Mobile poll/Bureau itinérant",2,35,7,6,3,4,57,104
35120,"York South--Weston/York-Sud--Weston"," 502","Mobile poll/Bureau itinérant",6,38,5,8,1,5,63,146
35120,"York South--Weston/York-Sud--Weston"," 503","Mobile poll/Bureau itinérant",2,24,9,5,1,0,41,130
35120,"York South--Weston/York-Sud--Weston"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
35120,"York South--Weston/York-Sud--Weston"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°65,,,,,,,2
35120,"York South--Weston/York-Sud--Weston"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°36,,,,,,,1
35120,"York South--Weston/York-Sud--Weston"," 507","Mobile poll/Bureau itinérant",2,39,6,10,2,0,59,275
35120,"York South--Weston/York-Sud--Weston"," 600","Toronto",49,406,129,208,20,0,812,
35120,"York South--Weston/York-Sud--Weston"," 601","Toronto",93,712,121,344,20,0,1290,
35120,"York South--Weston/York-Sud--Weston"," 602","Toronto",51,741,140,414,13,1,1360,
35120,"York South--Weston/York-Sud--Weston"," 603","Toronto",25,466,104,90,5,0,690,
35120,"York South--Weston/York-Sud--Weston"," 604","Toronto",51,799,219,194,19,16,1298,
35120,"York South--Weston/York-Sud--Weston"," 605","Toronto",46,574,115,148,14,0,897,
35120,"York South--Weston/York-Sud--Weston"," 606","Toronto",40,518,141,188,9,0,896,
35120,"York South--Weston/York-Sud--Weston"," 607","Toronto",48,553,168,184,17,0,970,
35120,"York South--Weston/York-Sud--Weston"," 608","Toronto",45,397,125,147,22,8,744,
35120,"York South--Weston/York-Sud--Weston"," 609","Toronto",77,616,247,217,21,13,1191,
35120,"York South--Weston/York-Sud--Weston"," 610","Toronto",34,429,160,131,14,0,768,
35120,"York South--Weston/York-Sud--Weston",,Group 1/Groupe 1, 5,145,66,45,9,27,297,181
35120,"York South--Weston/York-Sud--Weston",,Group 2/Groupe 2, 36,934,403,261,41,18,1693,
