Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Androvic,Brian Dias,Johannes Kotilainen,Maleeha Shahid,Ryan Turnbull,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Whitby/Whitby"," 112B","Whitby",10,19,2,54,151,0,236,728
35114,"Whitby/Whitby"," 113","Whitby",Merged with No./Fusionné avec le n°114,,,,,,,412
35114,"Whitby/Whitby"," 114","Whitby",13,50,4,128,131,4,330,454
35114,"Whitby/Whitby"," 115","Whitby",9,36,6,108,124,3,286,408
35114,"Whitby/Whitby"," 116","Whitby",Merged with No./Fusionné avec le n°115,,,,,,,394
35114,"Whitby/Whitby"," 117","Whitby",Merged with No./Fusionné avec le n°107,,,,,,,325
35114,"Whitby/Whitby"," 118","Whitby",15,35,15,133,148,1,347,465
35114,"Whitby/Whitby"," 119","Whitby",Merged with No./Fusionné avec le n°118,,,,,,,416
35114,"Whitby/Whitby"," 120","Whitby",22,66,3,117,155,0,363,380
35114,"Whitby/Whitby"," 121","Whitby",Merged with No./Fusionné avec le n°151,,,,,,,416
35114,"Whitby/Whitby"," 122","Whitby",Merged with No./Fusionné avec le n°150,,,,,,,276
35114,"Whitby/Whitby"," 123","Whitby",Merged with No./Fusionné avec le n°150,,,,,,,381
35114,"Whitby/Whitby"," 124","Whitby",Merged with No./Fusionné avec le n°106,,,,,,,435
35114,"Whitby/Whitby"," 125","Whitby",11,37,2,60,77,0,187,434
35114,"Whitby/Whitby"," 126","Whitby",Merged with No./Fusionné avec le n°125,,,,,,,412
35114,"Whitby/Whitby"," 127","Whitby",Merged with No./Fusionné avec le n°111,,,,,,,313
35114,"Whitby/Whitby"," 128","Whitby",10,45,7,119,122,1,304,530
35114,"Whitby/Whitby"," 129","Whitby",Merged with No./Fusionné avec le n°128,,,,,,,505
35114,"Whitby/Whitby"," 130","Whitby",13,55,4,108,137,0,317,445
35114,"Whitby/Whitby"," 131","Whitby",Merged with No./Fusionné avec le n°130,,,,,,,455
35114,"Whitby/Whitby"," 132A","Whitby",Merged with No./Fusionné avec le n°133,,,,,,,408
35114,"Whitby/Whitby"," 132B","Mobile poll/Bureau itinérant",3,3,1,11,13,0,31,61
35114,"Whitby/Whitby"," 133","Whitby",11,29,1,83,109,2,235,429
35114,"Whitby/Whitby"," 134","Whitby",9,51,3,75,62,0,200,625
35114,"Whitby/Whitby"," 135","Whitby",16,55,5,100,103,1,280,488
35114,"Whitby/Whitby"," 136","Whitby",18,60,3,62,114,7,264,408
35114,"Whitby/Whitby"," 137","Whitby",18,61,3,122,173,3,380,507
35114,"Whitby/Whitby"," 138","Whitby",Merged with No./Fusionné avec le n°137,,,,,,,466
35114,"Whitby/Whitby"," 139","Whitby",23,49,7,86,137,1,303,428
35114,"Whitby/Whitby"," 140","Whitby",Merged with No./Fusionné avec le n°135,,,,,,,484
35114,"Whitby/Whitby"," 141","Whitby",14,42,6,86,111,0,259,420
35114,"Whitby/Whitby"," 142","Whitby",Merged with No./Fusionné avec le n°141,,,,,,,321
35114,"Whitby/Whitby"," 143","Whitby",19,51,3,115,136,3,327,429
35114,"Whitby/Whitby"," 144","Whitby",Merged with No./Fusionné avec le n°155,,,,,,,353
35114,"Whitby/Whitby"," 145","Whitby",Merged with No./Fusionné avec le n°156,,,,,,,314
35114,"Whitby/Whitby"," 146","Whitby",Merged with No./Fusionné avec le n°143,,,,,,,374
35114,"Whitby/Whitby"," 147","Whitby",Merged with No./Fusionné avec le n°148,,,,,,,328
35114,"Whitby/Whitby"," 148","Whitby",20,71,7,88,129,2,317,591
35114,"Whitby/Whitby"," 149A","Whitby",3,19,7,120,70,5,224,297
