Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles-Eugène Bergeron,Carl Brochu,Ghislain Daigle,Guylaine Dumont,Jacques Gourde,Samuel Lamarche,Mariève Lemay,Benoit Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 105","Lévis",1,0,22,10,78,24,1,5,1,142,370
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 106","Lévis",6,0,20,12,57,46,0,6,1,148,375
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 107","Lévis",3,0,19,18,77,28,1,3,3,152,367
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 108","Lévis",1,0,19,10,82,27,2,12,3,156,420
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 109","Lévis",7,1,33,25,154,67,3,10,6,306,723
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 110A","Lévis",1,0,22,13,76,21,1,9,7,150,331
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 110B","Lévis",2,0,16,18,76,27,3,4,4,150,327
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 111","Lévis",2,0,21,21,72,43,4,7,3,173,427
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 112","Lévis",3,1,20,24,90,51,1,2,0,192,406
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 113","Lévis",1,0,29,13,96,36,2,10,3,190,408
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 114","Lévis",2,0,15,13,107,30,3,4,2,176,383
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 115","Lévis",1,0,12,15,73,21,1,4,3,130,336
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 116","Lévis",2,0,24,16,51,15,3,8,3,122,330
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 117","Lévis",2,0,28,12,72,41,4,3,0,162,391
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 118","Lévis",7,0,33,26,70,43,0,11,4,194,540
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 119","Lévis",2,0,42,15,112,64,4,5,8,252,528
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 120","Lévis",0,0,28,12,84,20,0,6,3,153,342
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 121","Lévis",4,1,28,7,73,46,2,5,2,168,390
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 122","Lévis",2,0,33,22,92,48,2,11,3,213,515
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 123A","Lévis",0,0,13,3,45,25,3,2,3,94,295
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 123B","Lévis",4,0,17,7,56,23,1,6,1,115,280
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 124","Lévis",4,1,19,16,87,41,2,5,2,177,451
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 125","Saint-Lambert-de-Lauzon",2,0,17,5,87,17,2,7,3,140,298
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 126","Saint-Lambert-de-Lauzon",3,0,12,6,65,36,1,12,0,135,349
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 127","Saint-Lambert-de-Lauzon",5,1,22,10,94,27,5,4,0,168,400
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 128","Saint-Lambert-de-Lauzon",6,1,18,15,67,29,2,11,4,153,335
