Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alejandra Bravo,Adrian Currie,Tara Dos Remedios,Julie Dzerowicz,Chai Kalevar,Jenny Kalimbet,Troy Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Davenport/Davenport"," 31","Toronto",55,5,10,106,0,25,0,2,203,469
35018,"Davenport/Davenport"," 32","Toronto",40,3,9,65,0,24,0,2,143,479
35018,"Davenport/Davenport"," 33","Toronto",39,1,5,67,0,19,1,6,138,500
35018,"Davenport/Davenport"," 34","Toronto",132,11,11,137,0,31,1,2,325,481
35018,"Davenport/Davenport"," 35","Toronto",Merged with No./Fusionné avec le n°34,,,,,,,,,413
35018,"Davenport/Davenport"," 36","Toronto",83,4,8,81,0,37,0,0,213,412
35018,"Davenport/Davenport"," 37","Toronto",Merged with No./Fusionné avec le n°38,,,,,,,,,389
35018,"Davenport/Davenport"," 38","Toronto",132,8,9,134,0,35,1,3,322,395
35018,"Davenport/Davenport"," 39","Toronto",82,6,3,90,0,9,0,0,190,416
35018,"Davenport/Davenport"," 40","Toronto",62,3,7,89,0,18,0,1,180,470
35018,"Davenport/Davenport"," 41","Toronto",52,2,11,59,1,31,1,2,159,528
35018,"Davenport/Davenport"," 42","Toronto",35,0,4,75,0,21,0,0,135,499
35018,"Davenport/Davenport"," 43","Toronto",46,4,12,66,0,22,0,2,152,494
35018,"Davenport/Davenport"," 44","Toronto",34,1,7,59,0,23,0,1,125,440
35018,"Davenport/Davenport"," 45","Toronto",58,5,2,67,1,16,1,0,150,505
35018,"Davenport/Davenport"," 46","Toronto",40,2,4,56,0,11,0,0,113,446
35018,"Davenport/Davenport"," 47","Toronto",56,1,3,89,2,27,2,2,182,416
35018,"Davenport/Davenport"," 48","Toronto",66,4,3,69,0,15,0,1,158,420
35018,"Davenport/Davenport"," 49","Toronto",60,4,9,76,0,15,1,1,166,454
35018,"Davenport/Davenport"," 50","Toronto",59,8,3,88,1,37,2,4,202,456
35018,"Davenport/Davenport"," 51","Toronto",61,5,11,90,1,19,0,3,190,496
35018,"Davenport/Davenport"," 52","Toronto",69,4,7,104,0,19,0,0,203,465
35018,"Davenport/Davenport"," 53","Toronto",66,1,1,52,0,15,0,0,135,425
35018,"Davenport/Davenport"," 54","Toronto",69,3,10,57,0,14,1,1,155,443
35018,"Davenport/Davenport"," 55","Toronto",95,5,2,117,0,27,0,1,247,553
35018,"Davenport/Davenport"," 56","Toronto",23,4,5,65,1,25,0,0,123,502
35018,"Davenport/Davenport"," 57","Toronto",39,6,4,62,0,23,1,0,135,492
35018,"Davenport/Davenport"," 58","Toronto",12,1,4,61,2,23,0,3,106,424
35018,"Davenport/Davenport"," 59","Toronto",55,3,3,72,0,19,0,5,157,468
35018,"Davenport/Davenport"," 60","Toronto",81,4,3,85,0,28,0,1,202,620
35018,"Davenport/Davenport"," 61","Toronto",71,3,6,65,1,15,1,1,163,460
35018,"Davenport/Davenport"," 62","Toronto",52,0,2,51,0,8,0,0,113,439
35018,"Davenport/Davenport"," 63","Toronto",44,1,3,52,1,18,0,0,119,477
35018,"Davenport/Davenport"," 64","Toronto",43,2,1,52,0,8,0,0,106,447
35018,"Davenport/Davenport"," 65","Toronto",47,1,4,60,0,18,0,1,131,526
35018,"Davenport/Davenport"," 66","Toronto",53,1,5,40,0,15,0,1,115,494
35018,"Davenport/Davenport"," 67","Toronto",64,5,3,80,0,28,1,0,181,510
35018,"Davenport/Davenport"," 68","Toronto",37,5,7,48,0,17,0,2,116,473
35018,"Davenport/Davenport"," 69","Toronto",27,4,7,80,0,8,0,0,126,297
35018,"Davenport/Davenport"," 70","Toronto",Merged with No./Fusionné avec le n°71,,,,,,,,,432
35018,"Davenport/Davenport"," 71","Toronto",113,9,6,99,2,35,2,6,272,486
35018,"Davenport/Davenport"," 72","Toronto",87,5,9,74,0,19,1,2,197,515
35018,"Davenport/Davenport"," 73","Toronto",70,10,4,67,0,21,0,3,175,464
35018,"Davenport/Davenport"," 74","Toronto",71,6,11,50,2,16,0,0,156,440
35018,"Davenport/Davenport"," 75","Toronto",96,3,2,47,1,13,0,3,165,470
35018,"Davenport/Davenport"," 76","Toronto",70,4,6,84,0,14,0,4,182,449
35018,"Davenport/Davenport"," 77","Toronto",63,3,2,58,0,12,0,1,139,431
35018,"Davenport/Davenport"," 78","Toronto",56,3,8,83,0,16,0,0,166,481
35018,"Davenport/Davenport"," 79","Toronto",73,5,4,86,0,20,1,1,190,459
35018,"Davenport/Davenport"," 80","Toronto",77,13,2,89,0,17,0,1,199,505
35018,"Davenport/Davenport"," 81","Toronto",80,5,4,67,1,12,1,2,172,441
35018,"Davenport/Davenport"," 82","Toronto",44,6,14,128,0,29,5,4,230,534
35018,"Davenport/Davenport"," 83","Toronto",79,4,5,54,0,25,0,0,167,478
35018,"Davenport/Davenport"," 84","Toronto",26,1,4,51,2,16,9,2,111,446
35018,"Davenport/Davenport"," 85","Toronto",71,4,9,44,1,23,2,0,154,473
35018,"Davenport/Davenport"," 86","Toronto",55,2,10,62,1,14,0,0,144,461
35018,"Davenport/Davenport"," 87","Toronto",72,5,9,66,0,20,1,2,175,488
35018,"Davenport/Davenport"," 88","Toronto",44,4,8,74,0,18,0,0,148,442
35018,"Davenport/Davenport"," 89","Toronto",71,3,7,53,0,17,0,2,153,426
35018,"Davenport/Davenport"," 90","Toronto",73,5,9,81,0,18,0,2,188,449
35018,"Davenport/Davenport"," 91","Toronto",61,4,4,56,0,12,0,4,141,423
35018,"Davenport/Davenport"," 92","Toronto",54,4,1,52,0,11,1,1,124,409
35018,"Davenport/Davenport"," 93","Toronto",64,0,4,56,0,15,1,0,140,438
35018,"Davenport/Davenport"," 94","Toronto",67,3,5,68,0,10,0,3,156,461
35018,"Davenport/Davenport"," 95","Toronto",121,4,7,84,0,13,0,1,230,397
35018,"Davenport/Davenport"," 96A","Toronto",Merged with No./Fusionné avec le n°95,,,,,,,,,170
35018,"Davenport/Davenport"," 96B","Toronto",Merged with No./Fusionné avec le n°97,,,,,,,,,252
35018,"Davenport/Davenport"," 97","Toronto",67,5,1,29,0,11,0,0,113,307
35018,"Davenport/Davenport"," 98","Toronto",97,4,8,75,0,28,0,0,212,305
35018,"Davenport/Davenport"," 99","Toronto",Merged with No./Fusionné avec le n°98,,,,,,,,,271
35018,"Davenport/Davenport"," 100","Toronto",66,4,4,77,0,17,0,1,169,436
35018,"Davenport/Davenport"," 101","Toronto",103,9,3,66,2,15,1,0,199,437
35018,"Davenport/Davenport"," 102","Toronto",55,3,7,61,0,18,0,2,146,420
35018,"Davenport/Davenport"," 103","Toronto",103,4,7,30,0,10,0,0,154,470
35018,"Davenport/Davenport"," 104","Toronto",50,3,4,40,1,14,0,1,113,421
35018,"Davenport/Davenport"," 105","Toronto",77,5,9,60,0,6,0,1,158,474
35018,"Davenport/Davenport"," 106","Toronto",67,3,7,68,0,15,0,0,160,553
35018,"Davenport/Davenport"," 107","Toronto",76,5,5,74,0,17,0,0,177,454
35018,"Davenport/Davenport"," 108","Toronto",Merged with No./Fusionné avec le n°90,,,,,,,,,428
35018,"Davenport/Davenport"," 109","Toronto",63,7,7,71,0,15,0,2,165,478
35018,"Davenport/Davenport"," 110","Toronto",142,4,11,146,2,31,1,7,344,495
35018,"Davenport/Davenport"," 111","Toronto",Merged with No./Fusionné avec le n°110,,,,,,,,,368
35018,"Davenport/Davenport"," 112","Toronto",77,4,12,88,0,13,2,1,197,441
35018,"Davenport/Davenport"," 113","Toronto",91,4,6,59,0,25,0,2,187,522
35018,"Davenport/Davenport"," 114","Toronto",76,7,7,71,1,28,0,0,190,491
35018,"Davenport/Davenport"," 115","Toronto",75,1,6,65,0,22,0,2,171,572
35018,"Davenport/Davenport"," 116","Toronto",9,5,0,49,0,11,0,1,75,101
35018,"Davenport/Davenport"," 117","Toronto",57,5,5,67,0,12,0,0,146,456
35018,"Davenport/Davenport"," 118","Toronto",66,4,9,46,1,15,0,0,141,415
35018,"Davenport/Davenport"," 119","Toronto",49,4,4,43,0,18,0,1,119,455
35018,"Davenport/Davenport"," 120","Toronto",97,5,5,39,0,11,0,4,161,462
35018,"Davenport/Davenport"," 121","Toronto",18,4,10,125,0,27,2,2,188,361
35018,"Davenport/Davenport"," 122","Toronto",92,3,5,81,0,17,0,0,198,442
35018,"Davenport/Davenport"," 123","Toronto",99,5,8,59,0,10,0,1,182,377
35018,"Davenport/Davenport"," 124","Toronto",80,7,3,78,0,23,0,0,191,423
35018,"Davenport/Davenport"," 125","Toronto",106,10,7,48,0,14,0,2,187,446
35018,"Davenport/Davenport"," 126","Toronto",Merged with No./Fusionné avec le n°136,,,,,,,,,331
35018,"Davenport/Davenport"," 127","Toronto",79,4,3,77,0,13,0,2,178,453
35018,"Davenport/Davenport"," 128","Toronto",69,3,6,80,1,15,0,1,175,469
35018,"Davenport/Davenport"," 129","Toronto",88,6,8,82,1,15,0,2,202,443
35018,"Davenport/Davenport"," 130","Toronto",84,13,2,85,0,19,0,2,205,463
35018,"Davenport/Davenport"," 131","Toronto",117,7,14,121,0,26,0,2,287,476
35018,"Davenport/Davenport"," 132","Toronto",126,6,5,118,0,26,2,1,284,443
35018,"Davenport/Davenport"," 133","Toronto",77,7,11,117,0,29,0,4,245,503
35018,"Davenport/Davenport"," 134","Toronto",Merged with No./Fusionné avec le n°131,,,,,,,,,388
35018,"Davenport/Davenport"," 135","Toronto",Merged with No./Fusionné avec le n°132,,,,,,,,,448
35018,"Davenport/Davenport"," 136","Toronto",134,9,5,102,0,19,0,2,271,421
35018,"Davenport/Davenport"," 137","Toronto",Merged with No./Fusionné avec le n°138,,,,,,,,,459
35018,"Davenport/Davenport"," 138","Toronto",146,10,9,150,0,36,2,5,358,566
35018,"Davenport/Davenport"," 139","Toronto",89,2,4,61,0,27,0,1,184,435
35018,"Davenport/Davenport"," 140","Toronto",107,5,4,85,0,28,0,1,230,415
35018,"Davenport/Davenport"," 141","Toronto",Merged with No./Fusionné avec le n°144,,,,,,,,,432
35018,"Davenport/Davenport"," 142","Toronto",64,7,3,87,0,21,0,4,186,401
35018,"Davenport/Davenport"," 143","Toronto",71,7,10,58,0,21,0,1,168,514
35018,"Davenport/Davenport"," 144","Toronto",107,6,8,97,1,23,1,2,245,435
35018,"Davenport/Davenport"," 145","Toronto",84,3,7,52,0,18,0,3,167,413
35018,"Davenport/Davenport"," 146","Toronto",2,0,0,1,0,0,0,0,3,468
35018,"Davenport/Davenport"," 147","Toronto",96,5,8,71,0,15,0,1,196,485
35018,"Davenport/Davenport"," 148","Toronto",77,5,4,89,0,13,0,3,191,464
35018,"Davenport/Davenport"," 149","Toronto",157,13,12,137,1,39,1,4,364,576
35018,"Davenport/Davenport"," 150","Toronto",100,4,5,73,1,25,0,5,213,432
35018,"Davenport/Davenport"," 151","Toronto",87,4,4,81,1,25,0,1,203,463
35018,"Davenport/Davenport"," 152","Toronto",92,11,3,79,0,14,0,2,201,419
35018,"Davenport/Davenport"," 153","Toronto",Merged with No./Fusionné avec le n°149,,,,,,,,,437
35018,"Davenport/Davenport"," 154","Toronto",51,3,6,72,0,11,0,1,144,427
35018,"Davenport/Davenport"," 155","Toronto",79,8,3,61,0,22,1,0,174,401
35018,"Davenport/Davenport"," 156","Toronto",67,13,4,65,0,17,0,3,169,427
35018,"Davenport/Davenport"," 157","Toronto",57,5,5,66,0,20,0,0,153,444
35018,"Davenport/Davenport"," 158","Toronto",85,6,1,68,0,22,0,0,182,422
35018,"Davenport/Davenport"," 159","Toronto",93,3,1,110,1,27,0,1,236,417
35018,"Davenport/Davenport"," 160","Toronto",Merged with No./Fusionné avec le n°159,,,,,,,,,362
35018,"Davenport/Davenport"," 161","Toronto",127,7,7,119,0,45,0,1,306,485
35018,"Davenport/Davenport"," 162","Toronto",Merged with No./Fusionné avec le n°164,,,,,,,,,309
35018,"Davenport/Davenport"," 163","Toronto",170,1,8,91,0,17,0,0,287,472
35018,"Davenport/Davenport"," 164","Toronto",94,8,8,104,0,40,1,1,256,397
35018,"Davenport/Davenport"," 165","Toronto",51,4,6,91,0,30,0,0,182,403
35018,"Davenport/Davenport"," 166","Toronto",88,5,6,113,0,32,0,0,244,452
35018,"Davenport/Davenport"," 167","Toronto",Void/Supprimé,,,,,,,,,
35018,"Davenport/Davenport"," 168","Toronto",Merged with No./Fusionné avec le n°169,,,,,,,,,296
35018,"Davenport/Davenport"," 169","Toronto",202,14,12,183,0,48,0,2,461,611
35018,"Davenport/Davenport"," 400","Toronto",52,1,7,59,0,3,0,2,124,356
35018,"Davenport/Davenport"," 401","Toronto",43,1,3,37,0,9,0,0,93,332
35018,"Davenport/Davenport"," 402","Toronto",39,2,7,31,1,9,0,1,90,264
35018,"Davenport/Davenport"," 403","Toronto",Merged with No./Fusionné avec le n°133,,,,,,,,,312
35018,"Davenport/Davenport"," 404","Toronto",5,1,0,28,0,4,2,3,43,55
35018,"Davenport/Davenport"," 405","Toronto",7,3,0,30,0,7,0,0,47,77
35018,"Davenport/Davenport"," 406","Toronto",4,2,2,58,0,4,0,9,79,133
35018,"Davenport/Davenport"," 407","Toronto",131,14,10,84,0,25,0,1,265,527
35018,"Davenport/Davenport"," 600","Toronto",208,8,39,647,3,159,1,8,1073,
35018,"Davenport/Davenport"," 601","Toronto",472,22,37,532,5,101,3,8,1180,
35018,"Davenport/Davenport"," 602","Toronto",488,18,32,458,2,122,1,2,1123,
35018,"Davenport/Davenport"," 603","Toronto",281,14,34,388,0,68,0,3,788,
35018,"Davenport/Davenport"," 604","Toronto",434,18,46,480,2,119,5,8,1112,
35018,"Davenport/Davenport"," 605","Toronto",398,10,38,322,0,59,1,0,828,
35018,"Davenport/Davenport"," 606","Toronto",652,31,38,619,1,126,0,9,1476,
35018,"Davenport/Davenport"," 607","Toronto",613,31,45,449,1,75,5,10,1229,
35018,"Davenport/Davenport"," 608","Toronto",649,31,46,557,0,75,2,10,1370,
35018,"Davenport/Davenport"," 609","Toronto",446,16,37,231,2,68,0,0,800,
35018,"Davenport/Davenport"," 610","Toronto",695,28,22,485,1,86,4,9,1330,
35018,"Davenport/Davenport"," 611","Toronto",678,34,28,532,0,82,0,4,1358,
35018,"Davenport/Davenport"," 612","Toronto",549,14,23,353,0,75,0,2,1016,
35018,"Davenport/Davenport"," 613","Toronto",507,12,34,511,0,72,0,4,1140,
35018,"Davenport/Davenport"," 614","Toronto",322,21,11,267,1,55,0,4,681,
35018,"Davenport/Davenport",,Group 1/Groupe 1, 496,20,15,258,1,47,1,37,875,404
35018,"Davenport/Davenport",,Group 2/Groupe 2, 1203,45,27,1050,6,138,3,60,2532,
