Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Orrin Bliss,Jonathan Bridges,Tom Lipp,Michael MacLean,Getu Shawile,Martin Shields,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48003,"Bow River/Bow River"," 93","Langdon",14,37,2,42,17,331,0,443,752
48003,"Bow River/Bow River"," 94","Langdon",6,17,2,27,12,153,0,217,397
48003,"Bow River/Bow River"," 95","Langdon",12,22,0,20,13,179,2,248,498
48003,"Bow River/Bow River"," 96","Dalemead",9,23,0,13,6,132,0,183,374
48003,"Bow River/Bow River"," 97","Indus",2,21,2,12,9,127,1,174,374
48003,"Bow River/Bow River"," 98","Carseland",9,30,1,28,25,214,0,307,454
48003,"Bow River/Bow River"," 99","Carseland",10,55,1,28,9,221,0,324,453
48003,"Bow River/Bow River"," 100","Hussar",11,12,0,3,2,87,0,115,333
48003,"Bow River/Bow River"," 101","Hussar",11,8,0,9,2,119,0,149,316
48003,"Bow River/Bow River"," 102","Gleichen",4,23,0,18,23,77,2,147,532
48003,"Bow River/Bow River"," 103","Cluny",2,16,1,5,1,50,0,75,281
48003,"Bow River/Bow River"," 104","Siksika 146",0,3,1,13,6,6,1,30,447
48003,"Bow River/Bow River"," 105A","Siksika 146",2,0,0,24,14,7,0,47,658
48003,"Bow River/Bow River"," 105B","Siksika 146",0,0,0,21,10,3,0,34,572
48003,"Bow River/Bow River"," 106","Gem",9,19,0,3,0,124,1,156,283
48003,"Bow River/Bow River"," 107","Mossleigh",10,26,2,11,7,139,0,195,271
48003,"Bow River/Bow River"," 108","Arrowwood",19,22,0,11,11,209,0,272,463
48003,"Bow River/Bow River"," 109","Siksika 146",1,5,1,118,49,24,0,198,399
48003,"Bow River/Bow River"," 110","Bassano",6,4,1,6,3,86,0,106,404
48003,"Bow River/Bow River"," 111","Bassano",6,4,0,14,8,84,0,116,342
48003,"Bow River/Bow River"," 112","Bassano",4,8,0,6,9,70,0,97,277
48003,"Bow River/Bow River"," 113","Bassano",5,11,1,6,6,90,0,119,313
48003,"Bow River/Bow River"," 114","Rosemary",8,41,1,5,6,145,2,208,321
48003,"Bow River/Bow River"," 115","Rosemary",9,42,3,6,1,100,0,161,238
48003,"Bow River/Bow River"," 116","Milo",7,19,0,8,6,213,4,257,425
48003,"Bow River/Bow River"," 117","Duchess",9,50,1,13,3,193,1,270,440
48003,"Bow River/Bow River"," 118","Duchess",7,21,5,8,6,165,0,212,415
48003,"Bow River/Bow River"," 119","Duchess",6,39,4,9,0,149,1,208,399
48003,"Bow River/Bow River"," 120","Patricia",6,14,0,6,2,105,0,133,331
48003,"Bow River/Bow River"," 121","Brant",5,17,1,1,10,95,1,130,352
48003,"Bow River/Bow River"," 122","Vulcan",5,19,1,19,17,105,0,166,455
48003,"Bow River/Bow River"," 123","Vulcan",6,19,2,16,10,97,2,152,370
48003,"Bow River/Bow River"," 124","Vulcan",9,15,1,18,10,97,0,150,389
