Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melissa Felian,Mimi Lee,Mary Ng,Ilia Pashaev,Paul Sahbaz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35055,"Markham--Thornhill/Markham--Thornhill"," 78","Markham",46,6,152,5,25,3,237,393
35055,"Markham--Thornhill/Markham--Thornhill"," 79","Markham",Merged with No./Fusionné avec le n°82,,,,,,,295
35055,"Markham--Thornhill/Markham--Thornhill"," 80","Markham",51,7,130,1,17,5,211,465
35055,"Markham--Thornhill/Markham--Thornhill"," 81","Markham",52,11,117,3,22,2,207,396
35055,"Markham--Thornhill/Markham--Thornhill"," 82","Markham",32,4,131,8,33,1,209,410
35055,"Markham--Thornhill/Markham--Thornhill"," 83","Markham",22,4,94,5,19,0,144,463
35055,"Markham--Thornhill/Markham--Thornhill"," 84","Markham",Merged with No./Fusionné avec le n°80,,,,,,,302
35055,"Markham--Thornhill/Markham--Thornhill"," 85","Markham",26,11,99,3,25,0,164,495
35055,"Markham--Thornhill/Markham--Thornhill"," 86","Markham",18,8,74,3,16,1,120,462
35055,"Markham--Thornhill/Markham--Thornhill"," 87","Markham",24,4,44,1,11,0,84,324
35055,"Markham--Thornhill/Markham--Thornhill"," 88","Markham",28,0,76,1,10,1,116,462
35055,"Markham--Thornhill/Markham--Thornhill"," 89","Markham",24,2,70,4,6,1,107,490
35055,"Markham--Thornhill/Markham--Thornhill"," 90","Markham",33,5,81,8,13,3,143,437
35055,"Markham--Thornhill/Markham--Thornhill"," 91","Markham",39,3,73,3,17,2,137,477
35055,"Markham--Thornhill/Markham--Thornhill"," 92","Markham",17,6,78,2,5,0,108,414
35055,"Markham--Thornhill/Markham--Thornhill"," 93","Markham",22,4,43,4,14,1,88,418
35055,"Markham--Thornhill/Markham--Thornhill"," 94","Markham",27,3,77,4,4,0,115,494
35055,"Markham--Thornhill/Markham--Thornhill"," 95","Markham",30,6,68,3,10,1,118,445
35055,"Markham--Thornhill/Markham--Thornhill"," 96","Markham",26,1,66,4,3,1,101,447
35055,"Markham--Thornhill/Markham--Thornhill"," 97","Markham",35,8,113,6,20,2,184,583
35055,"Markham--Thornhill/Markham--Thornhill"," 98","Markham",93,30,350,5,13,11,502,837
35055,"Markham--Thornhill/Markham--Thornhill"," 99","Markham",30,4,68,8,12,0,122,522
35055,"Markham--Thornhill/Markham--Thornhill"," 100","Markham",23,4,76,3,24,0,130,454
35055,"Markham--Thornhill/Markham--Thornhill"," 101","Markham",32,4,74,3,13,0,126,452
35055,"Markham--Thornhill/Markham--Thornhill"," 102","Markham",39,4,77,1,13,2,136,497
35055,"Markham--Thornhill/Markham--Thornhill"," 103","Markham",11,3,91,8,15,0,128,380
35055,"Markham--Thornhill/Markham--Thornhill"," 104","Markham",13,6,61,5,12,2,99,450
35055,"Markham--Thornhill/Markham--Thornhill"," 105","Markham",31,2,60,0,12,0,105,325
35055,"Markham--Thornhill/Markham--Thornhill"," 106","Markham",35,3,71,0,12,2,123,325
35055,"Markham--Thornhill/Markham--Thornhill"," 107","Markham",48,4,88,1,30,4,175,459
35055,"Markham--Thornhill/Markham--Thornhill"," 108","Markham",17,8,80,4,13,0,122,424
35055,"Markham--Thornhill/Markham--Thornhill"," 109","Markham",22,1,57,4,15,1,100,335
35055,"Markham--Thornhill/Markham--Thornhill"," 110","Markham",24,0,57,1,6,0,88,320
35055,"Markham--Thornhill/Markham--Thornhill"," 111","Markham",54,2,78,3,6,0,143,477
35055,"Markham--Thornhill/Markham--Thornhill"," 112","Markham",55,4,56,2,11,0,128,412
35055,"Markham--Thornhill/Markham--Thornhill"," 113","Markham",40,2,70,4,17,0,133,459
35055,"Markham--Thornhill/Markham--Thornhill"," 114","Markham",33,2,34,1,6,0,76,318
35055,"Markham--Thornhill/Markham--Thornhill"," 115","Markham",54,2,46,4,8,1,115,464
35055,"Markham--Thornhill/Markham--Thornhill"," 116","Markham",31,1,37,1,2,1,73,317
35055,"Markham--Thornhill/Markham--Thornhill"," 117","Markham",38,1,49,2,10,0,100,315
35055,"Markham--Thornhill/Markham--Thornhill"," 118","Markham",42,1,60,0,5,1,109,330
35055,"Markham--Thornhill/Markham--Thornhill"," 119","Markham",66,1,63,2,7,1,140,458
35055,"Markham--Thornhill/Markham--Thornhill"," 120","Markham",76,2,124,7,15,4,228,385
35055,"Markham--Thornhill/Markham--Thornhill"," 121","Markham",67,5,102,0,19,1,194,412
35055,"Markham--Thornhill/Markham--Thornhill"," 122","Markham",Merged with No./Fusionné avec le n°120,,,,,,,378
35055,"Markham--Thornhill/Markham--Thornhill"," 123","Markham",37,4,59,6,11,1,118,430
35055,"Markham--Thornhill/Markham--Thornhill"," 124","Markham",Merged with No./Fusionné avec le n°128,,,,,,,302
35055,"Markham--Thornhill/Markham--Thornhill"," 125","Markham",Merged with No./Fusionné avec le n°121,,,,,,,364
35055,"Markham--Thornhill/Markham--Thornhill"," 126","Markham",37,1,55,3,10,0,106,204
35055,"Markham--Thornhill/Markham--Thornhill"," 127","Markham",54,2,61,1,8,2,128,406
35055,"Markham--Thornhill/Markham--Thornhill"," 128","Markham",76,6,110,8,18,1,219,432
35055,"Markham--Thornhill/Markham--Thornhill"," 129","Markham",80,14,114,7,16,0,231,420
35055,"Markham--Thornhill/Markham--Thornhill"," 130","Markham",71,6,91,6,16,2,192,501
35055,"Markham--Thornhill/Markham--Thornhill"," 131","Markham",Merged with No./Fusionné avec le n°129,,,,,,,318
35055,"Markham--Thornhill/Markham--Thornhill"," 132","Markham",44,4,84,11,22,1,166,574
35055,"Markham--Thornhill/Markham--Thornhill"," 133","Markham",38,3,80,3,25,0,149,460
35055,"Markham--Thornhill/Markham--Thornhill"," 134","Markham",55,4,65,2,14,3,143,454
35055,"Markham--Thornhill/Markham--Thornhill"," 135","Markham",44,6,72,1,11,0,134,442
35055,"Markham--Thornhill/Markham--Thornhill"," 136","Markham",54,3,82,9,13,1,162,508
35055,"Markham--Thornhill/Markham--Thornhill"," 137","Markham",62,7,72,5,15,3,164,481
35055,"Markham--Thornhill/Markham--Thornhill"," 138","Markham",64,2,91,2,14,1,174,503
35055,"Markham--Thornhill/Markham--Thornhill"," 139","Markham",39,4,57,5,11,2,118,428
35055,"Markham--Thornhill/Markham--Thornhill"," 140","Markham",41,7,65,4,18,3,138,525
35055,"Markham--Thornhill/Markham--Thornhill"," 141","Markham",64,6,64,3,7,2,146,488
35055,"Markham--Thornhill/Markham--Thornhill"," 142","Markham",64,7,88,11,16,2,188,495
35055,"Markham--Thornhill/Markham--Thornhill"," 143","Markham",53,5,73,6,13,1,151,431
35055,"Markham--Thornhill/Markham--Thornhill"," 144","Markham",68,6,95,8,22,5,204,488
35055,"Markham--Thornhill/Markham--Thornhill"," 145","Markham",66,6,51,2,8,2,135,383
35055,"Markham--Thornhill/Markham--Thornhill"," 146","Markham",33,7,62,6,16,3,127,322
35055,"Markham--Thornhill/Markham--Thornhill"," 147","Markham",34,6,45,0,9,1,95,299
35055,"Markham--Thornhill/Markham--Thornhill"," 148","Markham",36,1,42,0,3,2,84,334
35055,"Markham--Thornhill/Markham--Thornhill"," 149","Markham",52,6,78,1,6,0,143,439
35055,"Markham--Thornhill/Markham--Thornhill"," 150","Markham",51,2,51,0,3,0,107,344
35055,"Markham--Thornhill/Markham--Thornhill"," 151","Markham",42,1,35,5,3,1,87,336
35055,"Markham--Thornhill/Markham--Thornhill"," 152","Markham",61,2,43,4,2,0,112,375
35055,"Markham--Thornhill/Markham--Thornhill"," 400","Markham",15,1,62,7,4,2,91,168
35055,"Markham--Thornhill/Markham--Thornhill"," 401","Markham",14,2,36,1,8,4,65,130
35055,"Markham--Thornhill/Markham--Thornhill"," 402","Markham",28,5,46,4,2,2,87,143
35055,"Markham--Thornhill/Markham--Thornhill"," 403","Markham",95,5,144,1,11,3,259,530
35055,"Markham--Thornhill/Markham--Thornhill"," 404","Markham",77,4,174,10,15,7,287,624
35055,"Markham--Thornhill/Markham--Thornhill"," 405","Markham",98,7,155,4,18,4,286,620
35055,"Markham--Thornhill/Markham--Thornhill"," 406","Markham",22,3,29,4,4,0,62,103
35055,"Markham--Thornhill/Markham--Thornhill"," 407","Markham",52,0,24,0,0,4,80,143
35055,"Markham--Thornhill/Markham--Thornhill"," 600","Markham",198,15,505,7,47,7,779,
35055,"Markham--Thornhill/Markham--Thornhill"," 601","Markham",112,13,389,5,38,11,568,
35055,"Markham--Thornhill/Markham--Thornhill"," 602","Markham",137,13,711,11,50,13,935,
35055,"Markham--Thornhill/Markham--Thornhill"," 603","Markham",117,12,564,6,50,6,755,
35055,"Markham--Thornhill/Markham--Thornhill"," 604","Markham",208,15,741,11,51,13,1039,
35055,"Markham--Thornhill/Markham--Thornhill"," 605","Markham",232,12,649,11,72,5,981,
35055,"Markham--Thornhill/Markham--Thornhill"," 606","Markham",248,20,579,21,87,2,957,
35055,"Markham--Thornhill/Markham--Thornhill"," 607","Markham",257,20,610,15,70,5,977,
35055,"Markham--Thornhill/Markham--Thornhill"," 608","Markham",647,23,952,30,91,5,1748,
35055,"Markham--Thornhill/Markham--Thornhill"," 609","Markham",707,24,627,12,66,12,1448,
35055,"Markham--Thornhill/Markham--Thornhill"," 610","Markham",653,30,714,35,89,9,1530,
35055,"Markham--Thornhill/Markham--Thornhill"," 611","Markham",100,9,460,5,47,0,621,
35055,"Markham--Thornhill/Markham--Thornhill"," 612","Markham",82,7,551,11,61,0,712,
35055,"Markham--Thornhill/Markham--Thornhill",,Group 1/Groupe 1, 91,8,179,7,67,18,370,248
35055,"Markham--Thornhill/Markham--Thornhill",,Group 2/Groupe 2, 532,30,1034,17,138,56,1807,
