Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roberta L Abbott,Michael Barrett,Alex Cassell,Lorraine Rekmans,Michelle Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 63","Rideau Lakes",43,55,10,5,23,1,137,343
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 64","Rideau Lakes",31,83,17,9,26,0,166,442
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 65","Augusta",24,136,12,7,32,1,212,311
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 66","Augusta",21,100,15,0,29,0,165,327
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 67","Augusta",31,132,17,3,39,3,225,362
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 68","Augusta",23,88,6,3,14,1,135,334
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 69","Augusta",11,105,9,4,16,0,145,361
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 70","Prescott",32,87,11,6,42,0,178,524
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 71","Prescott",33,59,15,1,40,2,150,518
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 72","Prescott",30,61,4,3,32,0,130,449
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 73","Prescott",21,53,12,1,23,1,111,366
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 74","Prescott",12,43,15,3,24,1,98,292
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 75","Prescott",32,39,12,8,21,0,112,388
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 76","Prescott",53,82,24,6,27,1,193,523
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 77","Prescott",45,44,19,7,35,3,153,429
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 78","Rideau Lakes",38,105,15,3,15,0,176,474
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 79","Rideau Lakes",33,56,6,8,22,0,125,351
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 80","Rideau Lakes",37,71,9,3,8,0,128,279
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 81","Rideau Lakes",44,96,11,3,19,1,174,385
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 82","Augusta",27,95,10,0,17,0,149,311
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 83","Augusta",21,69,6,4,16,1,117,279
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 84","Augusta",37,75,9,2,29,0,152,379
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 85","Elizabethtown-Kitley",20,115,12,1,31,0,179,447
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 86","Elizabethtown-Kitley",25,91,24,5,24,1,170,463
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 87","Elizabethtown-Kitley",28,116,16,1,25,1,187,495
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 88","Elizabethtown-Kitley",24,82,11,5,21,1,144,383
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 89","Augusta",32,90,9,5,28,0,164,307
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 90","Augusta",41,140,16,1,30,1,229,381
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 91","Elizabethtown-Kitley",38,105,13,9,13,0,178,336
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 92","Elizabethtown-Kitley",13,72,12,2,23,0,122,319
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 93","Elizabethtown-Kitley",42,148,14,6,31,0,241,436
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 94","Augusta",29,136,23,2,35,3,228,513
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 95","Augusta",45,81,9,4,12,0,151,437
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 96","Augusta",39,90,10,6,30,0,175,453
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 97","Augusta",50,103,6,3,25,0,187,508
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 98","Elizabethtown-Kitley",64,132,13,5,47,3,264,437
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 99","Elizabethtown-Kitley",35,111,15,6,20,2,189,419
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 100","Rideau Lakes",36,96,15,11,34,3,195,502
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 101","Rideau Lakes",53,83,10,9,25,1,181,530
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 102","Elizabethtown-Kitley",29,89,20,6,28,1,173,449
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 103","Elizabethtown-Kitley",29,73,5,3,19,0,129,310
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 104","Elizabethtown-Kitley",32,78,17,17,35,1,180,421
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 105","Elizabethtown-Kitley",41,52,4,12,12,2,123,367
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 106","Brockville",47,51,4,1,19,0,122,296
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 107","Brockville",52,42,6,2,16,0,118,411
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 108","Brockville",46,75,12,7,37,0,177,428
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 109","Brockville",64,67,5,1,24,0,161,436
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 110","Brockville",39,85,15,6,34,2,181,496
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 111A","Brockville",29,49,9,1,25,4,117,314
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 111B","Brockville",21,38,3,5,18,0,85,292
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 112","Brockville",40,89,12,10,49,2,202,602
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 113","Brockville",20,46,10,4,30,0,110,351
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 114","Brockville",23,36,8,4,26,0,97,332
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 115","Brockville",57,53,7,5,35,0,157,509
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 116","Brockville",34,71,15,5,29,0,154,529
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 117","Brockville",28,45,13,1,36,0,123,487
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 118","Brockville",19,42,10,3,23,0,97,475
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 119","Brockville",43,74,8,6,40,1,172,538
